match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2014_124_128_2014-08-23 14:30:00,2014-08-23 14:30:00,True,128,Hannover 96,w,124,Schalke 04,1.17979,2,2,270,28,4,1.5652,w,1.17979,0.956665,1,1,218,36,3,0.956665
Bundesliga 2014_125_128_2014-08-31 14:30:00,2014-08-31 14:30:00,False,128,Hannover 96,d,125,Mainz 05,0.561787,0,0,253,25,7,0.9233,d,0.561787,1.0088,0,0,192,17,7,1.0088
Bundesliga 2014_118_128_2014-09-14 16:30:00,2014-09-14 16:30:00,True,128,Hannover 96,w,118,Hamburger SV,2.22631,2,2,188,37,9,2.3773999999999997,w,2.22631,0.976735,0,0,218,35,9,0.976735
Bundesliga 2014_128_205_2014-09-20 14:30:00,2014-09-20 14:30:00,False,128,Hannover 96,l,205,Paderborn,0.550873,0,0,151,19,7,0.3493,l,0.550873,2.05175,2,2,251,20,4,2.05175
Bundesliga 2014_128_134_2014-09-24 19:00:00,2014-09-24 19:00:00,True,128,Hannover 96,w,134,FC Cologne,0.408032,1,1,373,19,3,0.9448000000000001,w,0.408032,0.695122,0,0,245,22,5,0.695122
Bundesliga 2014_128_133_2014-09-27 14:30:00,2014-09-27 14:30:00,False,128,Hannover 96,l,133,VfB Stuttgart,0.853246,0,0,333,21,5,1.3723,l,0.853246,0.826395,1,1,272,33,5,0.826395
Bundesliga 2014_117_128_2014-10-04 14:30:00,2014-10-04 14:30:00,False,128,Hannover 96,l,117,Bayern Munich,0.443178,0,0,419,8,5,0.1738,l,0.443178,2.69879,4,4,187,17,14,2.69879
Bundesliga 2014_128_130_2014-10-18 14:30:00,2014-10-18 14:30:00,True,128,Hannover 96,l,130,Borussia M.Gladbach,0.558311,0,0,264,23,7,0.524,l,0.558311,1.61826,3,3,290,28,4,1.61826
Bundesliga 2014_128_129_2014-10-25 14:30:00,2014-10-25 14:30:00,False,128,Hannover 96,w,129,Borussia Dortmund,0.695852,1,1,201,25,2,0.6527999999999999,w,0.695852,1.61946,0,0,198,23,10,1.61946
Bundesliga 2014_128_132_2014-11-01 14:30:00,2014-11-01 14:30:00,True,128,Hannover 96,w,132,Eintracht Frankfurt,1.11725,1,1,169,26,5,2.0544000000000002,w,1.11725,0.353128,0,0,319,26,5,0.353128
Bundesliga 2014_122_128_2014-11-07 19:30:00,2014-11-07 19:30:00,False,128,Hannover 96,w,122,Hertha Berlin,1.09164,2,2,125,30,4,2.0647,w,1.09164,0.363993,0,0,151,20,3,0.363993
Bundesliga 2014_119_128_2014-11-22 14:30:00,2014-11-22 14:30:00,True,128,Hannover 96,l,119,Bayer Leverkusen,0.780087,1,1,122,26,4,0.3666,l,0.780087,2.36608,3,3,174,42,9,2.36608
Bundesliga 2014_120_128_2014-11-29 17:30:00,2014-11-29 17:30:00,False,128,Hannover 96,l,120,Hoffenheim,1.81072,3,3,115,34,7,1.2409,l,1.81072,1.99562,4,4,295,44,7,1.99562
Bundesliga 2014_128_131_2014-12-06 14:30:00,2014-12-06 14:30:00,True,128,Hannover 96,l,131,Wolfsburg,1.6788,1,1,240,33,9,1.2459,l,1.6788,1.85576,3,3,237,27,3,1.85576
Bundesliga 2014_123_128_2014-12-13 14:30:00,2014-12-13 14:30:00,False,128,Hannover 96,d,123,Werder Bremen,1.54036,3,3,159,26,5,1.1379,d,1.54036,1.84609,3,3,201,24,7,1.84609
Bundesliga 2014_121_128_2014-12-16 19:00:00,2014-12-16 19:00:00,True,128,Hannover 96,w,121,Augsburg,1.33926,2,2,242,28,6,1.9782000000000002,w,0.581483,0.693534,0,0,273,37,0,0.693534
Bundesliga 2014_128_135_2014-12-21 16:30:00,2014-12-21 16:30:00,False,128,Hannover 96,d,135,Freiburg,1.52484,2,2,150,27,10,1.5096,d,1.52484,1.28555,2,2,296,31,4,1.28555
Bundesliga 2014_124_128_2015-01-31 14:30:00,2015-01-31 14:30:00,False,128,Hannover 96,l,124,Schalke 04,0.91702,0,0,166,22,11,0.5885,l,0.91702,1.99671,1,1,374,23,10,1.99671
Bundesliga 2014_125_128_2015-02-03 19:00:00,2015-02-03 19:00:00,True,128,Hannover 96,d,125,Mainz 05,1.7109,1,1,251,20,8,1.7881999999999998,d,1.7109,1.19042,1,1,337,21,8,1.19042
Bundesliga 2014_118_128_2015-02-07 17:30:00,2015-02-07 17:30:00,False,128,Hannover 96,l,118,Hamburger SV,2.24545,1,1,120,19,7,2.5264,l,1.48767,0.674771,2,2,405,37,2,0.674771
Bundesliga 2014_128_205_2015-02-15 16:30:00,2015-02-15 16:30:00,True,128,Hannover 96,l,205,Paderborn,0.858803,1,1,160,27,6,1.2273,l,0.858803,0.98493,2,2,407,24,1,0.98493
Bundesliga 2014_128_134_2015-02-21 17:30:00,2015-02-21 17:30:00,False,128,Hannover 96,d,134,FC Cologne,0.979608,1,1,191,26,2,0.9153,d,0.979608,1.54226,1,1,332,27,5,1.54226
Bundesliga 2014_128_133_2015-02-28 14:30:00,2015-02-28 14:30:00,True,128,Hannover 96,d,133,VfB Stuttgart,1.5399,1,1,162,34,3,2.0264999999999995,d,1.5399,0.742277,1,1,215,26,2,0.742277
Bundesliga 2014_117_128_2015-03-07 14:30:00,2015-03-07 14:30:00,True,128,Hannover 96,l,117,Bayern Munich,0.205925,1,1,445,11,0,0.2949,l,0.205925,1.33559,3,3,86,21,3,0.577811
Bundesliga 2014_128_130_2015-03-15 16:30:00,2015-03-15 16:30:00,False,128,Hannover 96,l,130,Borussia M.Gladbach,0.395038,0,0,377,25,3,0.0468,l,0.395038,3.30586,2,2,274,34,12,3.30586
Bundesliga 2014_128_129_2015-03-21 14:30:00,2015-03-21 14:30:00,True,128,Hannover 96,l,129,Borussia Dortmund,0.927629,2,2,240,30,4,0.45809999999999995,l,0.927629,2.31429,3,3,275,30,10,2.31429
Bundesliga 2014_128_132_2015-04-04 14:30:00,2015-04-04 14:30:00,False,128,Hannover 96,d,132,Eintracht Frankfurt,1.33074,2,2,124,31,7,1.6360999999999999,d,1.33074,1.03699,2,2,309,23,4,1.03699
Bundesliga 2014_122_128_2015-04-10 19:30:00,2015-04-10 19:30:00,True,128,Hannover 96,d,122,Hertha Berlin,1.67956,1,1,157,20,2,2.6176,d,1.67956,0.358149,1,1,308,26,6,0.358149
Bundesliga 2014_119_128_2015-04-18 14:30:00,2015-04-18 14:30:00,False,128,Hannover 96,l,119,Bayer Leverkusen,0.326006,0,0,144,18,0,0.1145,l,0.326006,2.60733,4,4,159,25,5,2.60733
Bundesliga 2014_120_128_2015-04-25 14:30:00,2015-04-25 14:30:00,True,128,Hannover 96,l,120,Hoffenheim,1.30305,1,1,164,19,8,1.3991,l,0.545273,1.26477,2,2,137,27,5,1.26477
Bundesliga 2014_128_131_2015-05-02 14:30:00,2015-05-02 14:30:00,False,128,Hannover 96,d,131,Wolfsburg,1.41691,2,2,337,22,2,1.2751000000000001,d,1.41691,1.52891,2,2,161,35,7,1.52891
Bundesliga 2014_123_128_2015-05-09 14:30:00,2015-05-09 14:30:00,True,128,Hannover 96,d,123,Werder Bremen,1.17255,1,1,123,33,5,1.9806,d,1.17255,0.490122,1,1,132,15,5,0.490122
Bundesliga 2014_121_128_2015-05-16 14:30:00,2015-05-16 14:30:00,False,128,Hannover 96,w,121,Augsburg,0.466165,2,2,348,21,7,0.6429,w,0.466165,1.03797,1,1,94,28,7,0.280192
Bundesliga 2014_128_135_2015-05-23 14:30:00,2015-05-23 14:30:00,True,128,Hannover 96,w,135,Freiburg,0.593454,2,2,241,23,5,1.2315,w,0.593454,0.661015,1,1,168,32,7,0.661015
