match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2014_130_133_2014-08-24 16:30:00,2014-08-24 16:30:00,False,133,VfB Stuttgart,d,130,Borussia M.Gladbach,0.433199,1,1,406,28,3,0.2034,d,0.433199,2.40939,1,1,268,19,7,2.40939
Bundesliga 2014_133_134_2014-08-30 14:30:00,2014-08-30 14:30:00,True,133,VfB Stuttgart,l,134,FC Cologne,0.722885,0,0,170,27,9,0.8184,l,0.722885,1.2983,2,2,468,18,4,1.2983
Bundesliga 2014_117_133_2014-09-13 14:30:00,2014-09-13 14:30:00,False,133,VfB Stuttgart,l,117,Bayern Munich,0.310166,0,0,441,26,3,0.5502,l,0.310166,1.22987,2,2,167,33,13,1.22987
Bundesliga 2014_120_133_2014-09-20 14:30:00,2014-09-20 14:30:00,True,133,VfB Stuttgart,l,120,Hoffenheim,1.32987,0,0,124,34,9,1.4571999999999998,l,1.32987,1.15033,2,2,322,31,5,1.15033
Bundesliga 2014_129_133_2014-09-24 19:00:00,2014-09-24 19:00:00,False,133,VfB Stuttgart,d,129,Borussia Dortmund,1.48044,2,2,378,17,5,0.9395000000000001,d,1.48044,2.13683,2,2,195,22,14,2.13683
Bundesliga 2014_128_133_2014-09-27 14:30:00,2014-09-27 14:30:00,True,133,VfB Stuttgart,w,128,Hannover 96,0.826395,1,1,272,33,5,1.261,w,0.826395,0.853246,0,0,333,21,5,0.853246
Bundesliga 2014_122_133_2014-10-03 19:30:00,2014-10-03 19:30:00,False,133,VfB Stuttgart,l,122,Hertha Berlin,1.42919,2,2,178,30,8,0.6992999999999999,l,1.42919,2.36582,3,3,291,22,5,1.60804
Bundesliga 2014_119_133_2014-10-18 14:30:00,2014-10-18 14:30:00,True,133,VfB Stuttgart,d,119,Bayer Leverkusen,1.30466,3,3,169,31,3,0.9498,d,1.30466,1.86824,3,3,184,22,4,1.86824
Bundesliga 2014_132_133_2014-10-25 14:30:00,2014-10-25 14:30:00,False,133,VfB Stuttgart,w,132,Eintracht Frankfurt,3.13433,5,5,213,30,5,1.5038,w,3.13433,2.97969,4,4,188,27,9,2.97969
Bundesliga 2014_131_133_2014-11-01 14:30:00,2014-11-01 14:30:00,True,133,VfB Stuttgart,l,131,Wolfsburg,0.924949,0,0,239,32,4,0.3081,l,0.924949,2.69946,4,4,319,16,8,2.69946
Bundesliga 2014_123_133_2014-11-08 17:30:00,2014-11-08 17:30:00,False,133,VfB Stuttgart,l,123,Werder Bremen,0.774005,0,0,176,32,3,1.4739,l,0.774005,0.645076,2,2,368,27,6,0.645076
Bundesliga 2014_121_133_2014-11-23 16:30:00,2014-11-23 16:30:00,True,133,VfB Stuttgart,l,121,Augsburg,0.382848,0,0,320,32,1,0.2217,l,0.382848,2.06226,1,1,163,30,5,1.30449
Bundesliga 2014_133_135_2014-11-28 19:30:00,2014-11-28 19:30:00,False,133,VfB Stuttgart,w,135,Freiburg,3.36392,4,4,324,26,3,2.5129,w,3.36392,1.49535,1,1,223,21,11,1.49535
Bundesliga 2014_124_133_2014-12-06 14:30:00,2014-12-06 14:30:00,True,133,VfB Stuttgart,l,124,Schalke 04,0.675308,0,0,310,32,7,0.5699000000000001,l,0.675308,1.6953,4,4,288,21,5,1.6953
Bundesliga 2014_125_133_2014-12-13 17:30:00,2014-12-13 17:30:00,False,133,VfB Stuttgart,d,125,Mainz 05,0.54527,1,1,297,33,1,0.6920000000000001,d,0.54527,1.35199,1,1,161,38,4,1.35199
Bundesliga 2014_118_133_2014-12-16 19:00:00,2014-12-16 19:00:00,False,133,VfB Stuttgart,w,118,Hamburger SV,1.36453,1,1,325,26,9,2.1834,w,1.36453,0.436429,0,0,165,32,8,0.436429
Bundesliga 2014_133_205_2014-12-20 14:30:00,2014-12-20 14:30:00,True,133,VfB Stuttgart,d,205,Paderborn,0.772123,0,0,265,27,2,1.2027999999999999,d,0.772123,0.933283,0,0,141,35,4,0.933283
Bundesliga 2014_130_133_2015-01-31 14:30:00,2015-01-31 14:30:00,True,133,VfB Stuttgart,l,130,Borussia M.Gladbach,1.61352,0,0,402,24,6,1.6721,l,1.61352,1.27392,1,1,248,16,7,1.27392
Bundesliga 2014_133_134_2015-02-04 19:00:00,2015-02-04 19:00:00,False,133,VfB Stuttgart,d,134,FC Cologne,0.621159,0,0,316,25,2,1.6194,d,0.621159,0.310801,0,0,369,23,5,0.310801
Bundesliga 2014_117_133_2015-02-07 14:30:00,2015-02-07 14:30:00,True,133,VfB Stuttgart,l,117,Bayern Munich,0.132112,0,0,285,11,1,1.1503,l,0.132112,0.0975022,2,2,50,12,1,0.0975022
Bundesliga 2014_120_133_2015-02-14 14:30:00,2015-02-14 14:30:00,False,133,VfB Stuttgart,l,120,Hoffenheim,0.1911,1,1,162,33,0,0.45110000000000006,l,0.1911,1.20262,2,2,195,36,6,1.20262
Bundesliga 2014_129_133_2015-02-20 19:30:00,2015-02-20 19:30:00,True,133,VfB Stuttgart,l,129,Borussia Dortmund,1.55893,2,2,338,23,1,1.3682999999999998,l,0.801157,1.56399,3,3,279,40,6,1.56399
Bundesliga 2014_128_133_2015-02-28 14:30:00,2015-02-28 14:30:00,False,133,VfB Stuttgart,d,128,Hannover 96,0.742277,1,1,215,26,2,0.7116,d,0.742277,1.5399,1,1,162,34,3,1.5399
Bundesliga 2014_122_133_2015-03-06 19:30:00,2015-03-06 19:30:00,True,133,VfB Stuttgart,d,122,Hertha Berlin,1.07906,0,0,94,38,3,1.7073,d,1.07906,0.682492,0,0,386,26,3,0.682492
Bundesliga 2014_119_133_2015-03-13 19:30:00,2015-03-13 19:30:00,False,133,VfB Stuttgart,l,119,Bayer Leverkusen,1.03528,0,0,219,26,3,0.9166000000000001,l,1.03528,1.59835,4,4,190,45,4,1.59835
Bundesliga 2014_132_133_2015-03-21 14:30:00,2015-03-21 14:30:00,True,133,VfB Stuttgart,w,132,Eintracht Frankfurt,2.22419,3,3,208,38,8,2.1233,w,2.22419,1.35468,1,1,141,23,5,1.35468
Bundesliga 2014_131_133_2015-04-04 14:30:00,2015-04-04 14:30:00,False,133,VfB Stuttgart,l,131,Wolfsburg,1.92469,1,1,340,30,1,0.42890000000000006,l,1.92469,3.74206,3,3,146,17,5,2.98428
Bundesliga 2014_123_133_2015-04-12 16:30:00,2015-04-12 16:30:00,True,133,VfB Stuttgart,w,123,Werder Bremen,2.35291,3,3,232,32,6,2.683,w,2.35291,0.448325,2,2,145,19,6,0.448325
Bundesliga 2014_121_133_2015-04-18 17:30:00,2015-04-18 17:30:00,False,133,VfB Stuttgart,l,121,Augsburg,2.41152,1,1,306,18,4,2.3153,l,2.41152,1.14401,2,2,178,19,4,1.14401
Bundesliga 2014_133_135_2015-04-25 14:30:00,2015-04-25 14:30:00,True,133,VfB Stuttgart,d,135,Freiburg,1.20966,2,2,238,34,4,0.7052,d,1.20966,2.04706,2,2,148,24,9,1.28928
Bundesliga 2014_124_133_2015-05-02 14:30:00,2015-05-02 14:30:00,False,133,VfB Stuttgart,l,124,Schalke 04,1.13594,2,2,331,24,2,0.5057,l,1.13594,2.46865,3,3,154,23,12,2.46865
Bundesliga 2014_125_133_2015-05-09 17:30:00,2015-05-09 17:30:00,True,133,VfB Stuttgart,w,125,Mainz 05,2.70104,2,2,226,39,9,2.8645,w,2.70104,0.278579,0,0,201,18,1,0.278579
Bundesliga 2014_118_133_2015-05-16 14:30:00,2015-05-16 14:30:00,True,133,VfB Stuttgart,w,118,Hamburger SV,2.50374,2,2,183,24,2,2.8282000000000003,w,2.50374,0.197392,1,1,240,42,4,0.197392
Bundesliga 2014_133_205_2015-05-23 14:30:00,2015-05-23 14:30:00,False,133,VfB Stuttgart,w,205,Paderborn,2.42856,2,2,208,42,9,2.6612,w,2.42856,0.538797,1,1,171,22,3,0.538797
