match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2015_133_134_2015-08-16 19:30:00,2015-08-16 19:30:00,False,134,FC Cologne,w,133,VfB Stuttgart,1.85087,3,3,213,15,4,0.6534,w,1.0931,2.98558,1,1,166,28,11,2.22781
Bundesliga 2015_131_134_2015-08-22 17:30:00,2015-08-22 17:30:00,True,134,FC Cologne,d,131,Wolfsburg,1.37825,1,1,398,27,6,0.7962,d,1.37825,2.14017,1,1,124,26,4,2.14017
Bundesliga 2015_118_134_2015-08-29 17:30:00,2015-08-29 17:30:00,True,134,FC Cologne,w,118,Hamburger SV,1.67081,2,2,234,36,9,1.5731000000000002,w,0.913029,1.44461,1,1,240,27,5,1.44461
Bundesliga 2015_132_134_2015-09-12 20:30:00,2015-09-12 20:30:00,False,134,FC Cologne,l,132,Eintracht Frankfurt,0.902695,2,2,288,29,6,0.2702,l,0.902695,2.93005,6,6,317,34,7,2.93005
Bundesliga 2015_130_134_2015-09-19 17:30:00,2015-09-19 17:30:00,True,134,FC Cologne,w,130,Borussia M.Gladbach,0.541995,1,1,440,28,4,1.42,w,0.541995,0.4042,0,0,278,32,4,0.4042
Bundesliga 2015_122_134_2015-09-22 22:00:00,2015-09-22 22:00:00,False,134,FC Cologne,l,122,Hertha Berlin,0.853586,0,0,275,14,5,0.9493,l,0.853586,1.34684,2,2,286,22,11,1.34684
Bundesliga 2015_126_134_2015-09-25 22:30:00,2015-09-25 22:30:00,True,134,FC Cologne,d,126,Ingolstadt,1.3352,1,1,161,20,7,2.0180000000000002,d,1.3352,0.638071,1,1,277,24,3,0.638071
Bundesliga 2015_124_134_2015-10-04 17:30:00,2015-10-04 17:30:00,False,134,FC Cologne,w,124,Schalke 04,1.32,3,3,287,10,2,1.547,w,1.32,1.11607,0,0,147,24,7,1.11607
Bundesliga 2015_128_134_2015-10-18 17:30:00,2015-10-18 17:30:00,True,134,FC Cologne,l,128,Hannover 96,1.52116,0,0,181,29,7,1.5222000000000002,l,1.52116,1.26113,1,1,349,22,2,1.26113
Bundesliga 2015_117_134_2015-10-24 17:30:00,2015-10-24 17:30:00,False,134,FC Cologne,l,117,Bayern Munich,0.230279,0,0,271,3,0,0.0208,l,0.230279,3.69101,4,4,163,10,16,2.93323
Bundesliga 2015_120_134_2015-10-31 18:30:00,2015-10-31 18:30:00,True,134,FC Cologne,d,120,Hoffenheim,1.33774,0,0,265,21,10,1.6903,d,1.33774,0.90728,0,0,347,26,6,0.90728
Bundesliga 2015_119_134_2015-11-07 18:30:00,2015-11-07 18:30:00,False,134,FC Cologne,w,119,Bayer Leverkusen,2.03601,2,2,207,31,8,2.5547,w,2.03601,0.457253,1,1,191,29,3,0.457253
Bundesliga 2015_125_134_2015-11-21 18:30:00,2015-11-21 18:30:00,True,134,FC Cologne,d,125,Mainz 05,0.868247,0,0,292,25,6,1.8718,d,0.868247,0.315868,0,0,285,24,3,0.315868
Bundesliga 2015_127_134_2015-11-27 23:30:00,2015-11-27 23:30:00,False,134,FC Cologne,d,127,Darmstadt,0.933778,0,0,122,18,6,1.7256,d,0.933778,0.508721,0,0,345,21,7,0.508721
Bundesliga 2015_121_134_2015-12-05 18:30:00,2015-12-05 18:30:00,True,134,FC Cologne,l,121,Augsburg,2.36543,0,0,200,24,10,1.5690000000000002,l,1.60766,2.1005,1,1,205,24,3,2.1005
Bundesliga 2015_123_134_2015-12-12 18:30:00,2015-12-12 18:30:00,False,134,FC Cologne,d,123,Werder Bremen,1.22073,1,1,204,20,3,1.1749999999999998,d,1.22073,1.34869,1,1,355,35,10,0.590911
Bundesliga 2015_129_134_2015-12-19 18:30:00,2015-12-19 18:30:00,True,134,FC Cologne,w,129,Borussia Dortmund,0.769926,2,2,380,25,6,1.3515,w,0.769926,0.750674,1,1,122,23,9,0.750674
Bundesliga 2015_133_134_2016-01-23 18:30:00,2016-01-23 18:30:00,True,134,FC Cologne,l,133,VfB Stuttgart,2.33406,1,1,247,24,9,1.1457,l,1.57628,2.63662,3,3,316,26,7,2.63662
Bundesliga 2015_131_134_2016-01-31 18:30:00,2016-01-31 18:30:00,False,134,FC Cologne,d,131,Wolfsburg,0.698473,1,1,400,29,3,0.41400000000000003,d,0.698473,2.04894,1,1,157,20,6,2.04894
