match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2015_131_132_2015-08-16 17:30:00,2015-08-16 17:30:00,True,131,Wolfsburg,w,132,Eintracht Frankfurt,0.740041,2,2,207,27,4,1.1501000000000001,w,0.740041,0.950098,1,1,371,33,6,0.950098
Bundesliga 2015_131_134_2015-08-22 17:30:00,2015-08-22 17:30:00,False,131,Wolfsburg,d,134,FC Cologne,2.14017,1,1,124,26,4,1.9572,d,2.14017,1.37825,1,1,398,27,6,1.37825
Bundesliga 2015_124_131_2015-08-28 22:30:00,2015-08-28 22:30:00,True,131,Wolfsburg,w,124,Schalke 04,1.52939,3,3,281,36,0,2.1018999999999997,w,0.771616,0.748153,0,0,365,26,8,0.748153
Bundesliga 2015_126_131_2015-09-12 17:30:00,2015-09-12 17:30:00,False,131,Wolfsburg,d,126,Ingolstadt,0.732037,0,0,108,23,4,1.8417999999999999,d,0.732037,0.178191,0,0,307,28,7,0.178191
Bundesliga 2015_122_131_2015-09-19 17:30:00,2015-09-19 17:30:00,True,131,Wolfsburg,w,122,Hertha Berlin,2.42975,2,2,270,21,7,2.8316,w,1.67197,0.271584,0,0,298,20,9,0.271584
Bundesliga 2015_117_131_2015-09-22 22:00:00,2015-09-22 22:00:00,False,131,Wolfsburg,l,117,Bayern Munich,0.160394,1,1,513,11,1,0.019,l,0.160394,3.68676,5,5,289,22,11,3.68676
Bundesliga 2015_128_131_2015-09-26 17:30:00,2015-09-26 17:30:00,True,131,Wolfsburg,d,128,Hannover 96,1.41905,1,1,179,26,7,1.619,d,1.41905,1.08934,1,1,452,15,1,1.08934
Bundesliga 2015_130_131_2015-10-03 17:30:00,2015-10-03 17:30:00,False,131,Wolfsburg,l,130,Borussia M.Gladbach,0.813505,0,0,270,28,5,0.8058999999999998,l,0.813505,1.45907,2,2,339,37,4,1.45907
Bundesliga 2015_120_131_2015-10-17 17:30:00,2015-10-17 17:30:00,True,131,Wolfsburg,w,120,Hoffenheim,2.80506,4,4,310,25,9,2.4803,w,2.80506,1.07639,2,2,308,32,4,1.07639
Bundesliga 2015_127_131_2015-10-24 17:30:00,2015-10-24 17:30:00,False,131,Wolfsburg,w,127,Darmstadt,0.976111,1,1,82,18,10,1.692,w,0.976111,0.594469,0,0,335,23,5,0.594469
Bundesliga 2015_119_131_2015-10-31 21:30:00,2015-10-31 21:30:00,True,131,Wolfsburg,w,119,Bayer Leverkusen,2.11288,2,2,219,44,8,2.0159,w,2.11288,1.31846,1,1,238,35,5,1.31846
Bundesliga 2015_125_131_2015-11-07 18:30:00,2015-11-07 18:30:00,False,131,Wolfsburg,l,125,Mainz 05,0.153219,0,0,157,27,0,0.3054,l,0.153219,1.36046,2,2,372,45,6,1.36046
