match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2016_122_135_2016-08-28 17:30:00,2016-08-28 17:30:00,False,135,Freiburg,l,122,Hertha Berlin,0.360723,1,1,353,13,1,0.8162,l,0.360723,0.869084,2,2,333,24,10,0.869084
Bundesliga 2016_130_135_2016-09-10 17:30:00,2016-09-10 17:30:00,True,135,Freiburg,w,130,Borussia M.Gladbach,1.55438,3,3,435,30,4,2.6645999999999996,w,0.796602,0.130259,1,1,165,16,0,0.130259
Bundesliga 2016_134_135_2016-09-16 22:30:00,2016-09-16 22:30:00,False,135,Freiburg,l,134,FC Cologne,1.4295,0,0,165,19,3,1.2927,l,1.4295,1.40487,3,3,381,16,4,1.40487
Bundesliga 2016_118_135_2016-09-20 22:00:00,2016-09-20 22:00:00,True,135,Freiburg,w,118,Hamburger SV,1.78293,1,1,253,33,5,2.3531,w,1.78293,0.647916,0,0,221,16,3,0.647916
Bundesliga 2016_129_135_2016-09-23 22:30:00,2016-09-23 22:30:00,False,135,Freiburg,l,129,Borussia Dortmund,1.05384,1,1,372,49,2,0.2122,l,1.05384,3.2333,3,3,129,27,14,3.2333
Bundesliga 2016_132_135_2016-10-01 17:30:00,2016-10-01 17:30:00,True,135,Freiburg,w,132,Eintracht Frankfurt,0.464817,1,1,331,27,9,1.0408,w,0.464817,0.715723,0,0,134,25,8,0.715723
Bundesliga 2016_120_135_2016-10-15 17:30:00,2016-10-15 17:30:00,False,135,Freiburg,l,120,Hoffenheim,0.860554,1,1,220,26,7,0.36019999999999996,l,0.860554,2.4316,2,2,307,31,4,1.67382
Bundesliga 2016_121_135_2016-10-22 17:30:00,2016-10-22 17:30:00,True,135,Freiburg,w,121,Augsburg,1.53071,2,2,256,19,9,1.6443999999999999,w,1.53071,1.23006,1,1,317,21,4,1.23006
Bundesliga 2016_123_135_2016-10-29 17:30:00,2016-10-29 17:30:00,False,135,Freiburg,w,123,Werder Bremen,1.71134,3,3,263,34,6,1.6929999999999998,w,0.953566,1.29428,1,1,161,26,6,1.29428
Bundesliga 2016_131_135_2016-11-05 18:30:00,2016-11-05 18:30:00,True,135,Freiburg,l,131,Wolfsburg,0.916201,0,0,141,15,2,0.49950000000000006,l,0.916201,2.12583,3,3,271,33,4,1.36806
Bundesliga 2016_125_135_2016-11-19 18:30:00,2016-11-19 18:30:00,False,135,Freiburg,l,125,Mainz 05,2.46211,2,2,131,21,11,1.3236999999999999,l,2.46211,2.51061,4,4,297,35,4,1.75284
Bundesliga 2016_135_136_2016-11-25 23:30:00,2016-11-25 23:30:00,True,135,Freiburg,l,136,RasenBallsport Leipzig,0.683397,1,1,281,23,3,0.45589999999999997,l,0.683397,1.90539,4,4,304,32,7,1.90539
Bundesliga 2016_119_135_2016-12-03 18:30:00,2016-12-03 18:30:00,False,135,Freiburg,d,119,Bayer Leverkusen,0.599753,1,1,399,32,3,0.0867,d,0.599753,3.31063,1,1,137,27,13,2.5531
Bundesliga 2016_127_135_2016-12-10 18:30:00,2016-12-10 18:30:00,True,135,Freiburg,w,127,Darmstadt,1.61481,1,1,155,12,9,2.2870999999999997,w,0.857031,0.604576,0,0,329,13,3,0.604576
Bundesliga 2016_124_135_2016-12-17 18:30:00,2016-12-17 18:30:00,False,135,Freiburg,d,124,Schalke 04,1.25505,1,1,392,14,1,1.6427,d,1.25505,0.958265,1,1,150,25,3,0.958265
Bundesliga 2016_126_135_2016-12-21 23:00:00,2016-12-21 23:00:00,False,135,Freiburg,w,126,Ingolstadt,1.5487,2,2,194,14,3,1.5955,w,0.790928,1.2843,1,1,175,28,7,1.2843
Bundesliga 2016_117_135_2017-01-20 19:30:00,2017-01-20 19:30:00,True,135,Freiburg,l,117,Bayern Munich,0.696302,1,1,558,29,3,1.4156,l,0.696302,0.60487,2,2,134,36,8,0.60487
Bundesliga 2016_122_135_2017-01-29 17:30:00,2017-01-29 17:30:00,True,135,Freiburg,w,122,Hertha Berlin,0.618883,2,2,399,16,4,1.3633,w,0.618883,0.529186,1,1,178,28,5,0.529186
Bundesliga 2016_130_135_2017-02-04 14:30:00,2017-02-04 14:30:00,False,135,Freiburg,l,130,Borussia M.Gladbach,0.546023,0,0,256,20,11,0.37629999999999997,l,0.546023,1.86188,3,3,290,18,8,1.86188
Bundesliga 2016_134_135_2017-02-12 16:30:00,2017-02-12 16:30:00,True,135,Freiburg,w,134,FC Cologne,0.928509,2,2,208,24,9,0.6763,w,0.928509,1.74238,1,1,305,25,6,1.74238
Bundesliga 2016_118_135_2017-02-18 17:30:00,2017-02-18 17:30:00,False,135,Freiburg,d,118,Hamburger SV,0.940296,2,2,177,13,11,0.7229,d,0.940296,1.63591,2,2,221,23,8,0.878136
Bundesliga 2016_129_135_2017-02-25 14:30:00,2017-02-25 14:30:00,True,135,Freiburg,l,129,Borussia Dortmund,0.318406,0,0,365,19,4,0.0034999999999999996,l,0.318406,5.0778,3,3,169,34,15,5.0778
Bundesliga 2016_132_135_2017-03-05 14:30:00,2017-03-05 14:30:00,False,135,Freiburg,w,132,Eintracht Frankfurt,1.64187,2,2,183,15,4,1.3037,w,1.64187,1.72726,1,1,278,29,3,1.72726
Bundesliga 2016_120_135_2017-03-11 14:30:00,2017-03-11 14:30:00,True,135,Freiburg,d,120,Hoffenheim,1.14554,1,1,376,25,7,0.9444,d,0.257977,1.59538,1,1,246,22,7,1.59538
Bundesliga 2016_121_135_2017-03-18 14:30:00,2017-03-18 14:30:00,False,135,Freiburg,d,121,Augsburg,1.03907,1,1,206,29,4,1.2997999999999998,d,0.281295,1.13915,1,1,217,38,1,1.13915
