match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2016_118_126_2016-08-27 17:30:00,2016-08-27 17:30:00,True,118,Hamburger SV,d,126,Ingolstadt,0.309707,1,1,200,25,2,0.5241,d,0.309707,1.20744,1,1,187,24,3,1.20744
Bundesliga 2016_118_119_2016-09-10 17:30:00,2016-09-10 17:30:00,False,118,Hamburger SV,l,119,Bayer Leverkusen,0.65629,1,1,246,28,5,0.37550000000000006,l,0.65629,2.1378,3,3,123,26,9,2.1378
Bundesliga 2016_118_136_2016-09-17 17:30:00,2016-09-17 17:30:00,True,118,Hamburger SV,l,136,RasenBallsport Leipzig,1.08134,0,0,157,20,4,0.1433,l,1.08134,3.30009,4,4,307,31,5,2.54232
Bundesliga 2016_118_135_2016-09-20 22:00:00,2016-09-20 22:00:00,False,118,Hamburger SV,l,135,Freiburg,0.647916,0,0,221,16,3,0.42260000000000003,l,0.647916,1.78293,1,1,253,33,5,1.78293
Bundesliga 2016_117_118_2016-09-24 17:30:00,2016-09-24 17:30:00,True,118,Hamburger SV,l,117,Bayern Munich,0.304936,0,0,343,14,1,0.20040000000000002,l,0.304936,2.12276,1,1,129,39,7,2.12276
Bundesliga 2016_118_122_2016-10-01 17:30:00,2016-10-01 17:30:00,False,118,Hamburger SV,l,122,Hertha Berlin,1.11245,0,0,173,34,7,0.4879,l,1.11245,2.44266,2,2,293,15,7,1.68496
Bundesliga 2016_118_130_2016-10-15 17:30:00,2016-10-15 17:30:00,False,118,Hamburger SV,d,130,Borussia M.Gladbach,0.209913,0,0,471,21,0,0.0215,d,0.209913,3.46166,0,0,90,27,13,1.93356
Bundesliga 2016_118_132_2016-10-21 22:30:00,2016-10-21 22:30:00,True,118,Hamburger SV,l,132,Eintracht Frankfurt,0.163638,0,0,323,28,4,0.36679999999999996,l,0.163638,1.31119,3,3,206,32,10,1.31119
Bundesliga 2016_118_134_2016-10-30 20:30:00,2016-10-30 20:30:00,False,118,Hamburger SV,l,134,FC Cologne,0.307566,0,0,375,26,1,0.07339999999999999,l,0.307566,2.93112,3,3,166,24,4,2.17358
Bundesliga 2016_118_129_2016-11-05 18:30:00,2016-11-05 18:30:00,True,118,Hamburger SV,l,129,Borussia Dortmund,0.716262,2,2,342,31,4,0.19070000000000004,l,0.716262,2.88584,5,5,145,36,6,2.88584
Bundesliga 2016_118_120_2016-11-20 18:30:00,2016-11-20 18:30:00,False,118,Hamburger SV,d,120,Hoffenheim,1.80116,2,2,312,38,3,1.023,d,1.80116,2.31892,2,2,142,19,10,2.31892
Bundesliga 2016_118_123_2016-11-26 18:30:00,2016-11-26 18:30:00,True,118,Hamburger SV,d,123,Werder Bremen,2.17271,2,2,168,27,10,2.085,d,2.17271,1.21396,2,2,161,21,5,1.21396
Bundesliga 2016_118_127_2016-12-04 18:30:00,2016-12-04 18:30:00,False,118,Hamburger SV,w,127,Darmstadt,2.12004,2,2,167,24,8,2.4771,w,2.12004,0.567564,0,0,120,24,7,0.567564
Bundesliga 2016_118_121_2016-12-10 18:30:00,2016-12-10 18:30:00,True,118,Hamburger SV,w,121,Augsburg,0.886586,1,1,204,24,6,1.2734,w,0.886586,0.952731,0,0,93,14,5,0.952731
Bundesliga 2016_118_125_2016-12-17 18:30:00,2016-12-17 18:30:00,False,118,Hamburger SV,l,125,Mainz 05,0.900534,1,1,203,24,2,0.9809,l,0.900534,1.36545,3,3,118,30,3,1.36545
Bundesliga 2016_118_124_2016-12-20 23:00:00,2016-12-20 23:00:00,True,118,Hamburger SV,w,124,Schalke 04,2.47737,2,2,273,39,7,2.7943,w,1.63239,0.439814,1,1,163,25,0,0.439814
Bundesliga 2016_118_131_2017-01-21 17:30:00,2017-01-21 17:30:00,False,118,Hamburger SV,l,131,Wolfsburg,0.666936,0,0,306,37,4,0.8683,l,0.666936,1.13564,1,1,76,22,5,1.13564
Bundesliga 2016_118_126_2017-01-28 17:30:00,2017-01-28 17:30:00,False,118,Hamburger SV,l,126,Ingolstadt,0.491104,1,1,114,20,6,0.5129,l,0.491104,1.41586,3,3,187,26,3,0.658079
Bundesliga 2016_118_119_2017-02-03 19:30:00,2017-02-03 19:30:00,True,118,Hamburger SV,w,119,Bayer Leverkusen,1.0957,1,1,228,35,3,2.1751,w,1.0957,0.258906,0,0,87,41,6,0.258906
Bundesliga 2016_118_136_2017-02-11 14:30:00,2017-02-11 14:30:00,False,118,Hamburger SV,w,136,RasenBallsport Leipzig,1.4821,3,3,297,26,2,1.4135,w,1.4821,1.39703,0,0,93,27,15,1.39703
Bundesliga 2016_118_135_2017-02-18 17:30:00,2017-02-18 17:30:00,True,118,Hamburger SV,d,135,Freiburg,1.63591,2,2,221,23,8,2.0186,d,0.878136,0.940296,2,2,177,13,11,0.940296
Bundesliga 2016_117_118_2017-02-25 14:30:00,2017-02-25 14:30:00,False,118,Hamburger SV,l,117,Bayern Munich,0.228928,0,0,494,23,1,0.024399999999999998,l,0.228928,3.61743,8,8,147,26,12,2.85966
Bundesliga 2016_118_122_2017-03-05 16:30:00,2017-03-05 16:30:00,True,118,Hamburger SV,w,122,Hertha Berlin,0.696504,1,1,314,33,4,1.6061999999999999,w,0.696504,0.385743,0,0,202,29,2,0.385743
Bundesliga 2016_118_130_2017-03-12 16:30:00,2017-03-12 16:30:00,True,118,Hamburger SV,w,130,Borussia M.Gladbach,1.4575,2,2,236,24,11,1.4197,w,1.4575,1.31382,1,1,108,24,7,1.31382
Bundesliga 2016_118_132_2017-03-18 17:30:00,2017-03-18 17:30:00,False,118,Hamburger SV,d,132,Eintracht Frankfurt,0.134726,0,0,131,28,1,0.4383,d,0.134726,1.03591,0,0,99,29,3,1.03591
Bundesliga 2016_118_134_2017-04-01 14:30:00,2017-04-01 14:30:00,True,118,Hamburger SV,w,134,FC Cologne,1.36149,2,2,174,33,5,1.5218,w,1.36149,1.13052,1,1,154,22,0,1.13052
Bundesliga 2016_118_129_2017-04-04 19:00:00,2017-04-04 19:00:00,False,118,Hamburger SV,l,129,Borussia Dortmund,1.01065,0,0,404,36,3,0.1254,l,1.01065,3.96885,3,3,165,22,15,3.96885
Bundesliga 2016_118_120_2017-04-08 14:30:00,2017-04-08 14:30:00,True,118,Hamburger SV,w,120,Hoffenheim,0.920754,2,2,215,40,11,0.8918999999999999,w,0.920754,1.40908,1,1,75,20,4,0.651307
Bundesliga 2016_118_123_2017-04-16 14:30:00,2017-04-16 14:30:00,False,118,Hamburger SV,l,123,Werder Bremen,0.695911,1,1,233,34,1,0.5464,l,0.695911,1.74435,2,2,169,29,6,1.74435
Bundesliga 2016_118_127_2017-04-22 14:30:00,2017-04-22 14:30:00,True,118,Hamburger SV,l,127,Darmstadt,1.14997,1,1,134,26,13,1.1745999999999999,l,1.14997,1.31693,2,2,178,26,6,1.31693
Bundesliga 2016_118_121_2017-04-30 14:30:00,2017-04-30 14:30:00,False,118,Hamburger SV,l,121,Augsburg,0.294926,0,0,193,25,4,0.11180000000000001,l,0.294926,2.14215,4,4,107,21,4,2.14215
Bundesliga 2016_118_125_2017-05-07 14:30:00,2017-05-07 14:30:00,True,118,Hamburger SV,d,125,Mainz 05,0.327514,0,0,140,38,6,0.39239999999999997,d,0.327514,1.37521,0,0,97,23,5,1.37521
Bundesliga 2016_118_124_2017-05-13 14:30:00,2017-05-13 14:30:00,False,118,Hamburger SV,d,124,Schalke 04,1.82811,1,1,195,31,11,1.8043999999999998,d,1.82811,1.23798,1,1,168,23,6,1.23798
Bundesliga 2016_118_131_2017-05-20 14:30:00,2017-05-20 14:30:00,True,118,Hamburger SV,w,131,Wolfsburg,0.566862,2,2,126,35,3,1.0246,w,0.566862,0.872557,1,1,154,33,6,0.872557
