match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2017_129_131_2017-08-19 14:30:00,2017-08-19 14:30:00,False,129,Borussia Dortmund,w,131,Wolfsburg,1.12424,3,3,99,32,10,1.9392999999999998,w,1.12424,0.495065,0,0,344,18,2,0.495065
Bundesliga 2017_122_129_2017-08-26 17:30:00,2017-08-26 17:30:00,True,129,Borussia Dortmund,w,122,Hertha Berlin,2.06987,2,2,156,23,7,2.5835,w,2.06987,0.406341,0,0,417,19,2,0.406341
Bundesliga 2017_129_135_2017-09-09 14:30:00,2017-09-09 14:30:00,False,129,Borussia Dortmund,d,135,Freiburg,1.56801,0,0,57,21,9,2.1934,d,1.56801,0.490076,0,0,365,11,1,0.490076
Bundesliga 2017_129_134_2017-09-17 17:00:00,2017-09-17 17:00:00,True,129,Borussia Dortmund,w,134,FC Cologne,3.85155,5,5,127,21,9,2.9307999999999996,w,3.09377,0.461837,0,0,452,20,1,0.461837
Bundesliga 2017_118_129_2017-09-20 19:30:00,2017-09-20 19:30:00,False,129,Borussia Dortmund,w,118,Hamburger SV,3.18132,3,3,166,33,10,2.9666,w,3.18132,0.186271,0,0,185,31,4,0.186271
Bundesliga 2017_129_130_2017-09-23 17:30:00,2017-09-23 17:30:00,True,129,Borussia Dortmund,w,130,Borussia M.Gladbach,4.84433,6,6,119,18,12,2.9269,w,4.84433,1.11994,1,1,650,15,2,1.11994
Bundesliga 2017_121_129_2017-09-30 14:30:00,2017-09-30 14:30:00,False,129,Borussia Dortmund,w,121,Augsburg,1.93835,2,2,124,35,7,2.0713999999999997,w,1.18058,1.04024,1,1,267,27,4,1.04024
Bundesliga 2017_129_136_2017-10-14 17:30:00,2017-10-14 17:30:00,True,129,Borussia Dortmund,l,136,RasenBallsport Leipzig,2.11212,2,2,124,27,6,1.0998999999999999,l,1.35434,2.39084,3,3,368,35,6,1.63306
Bundesliga 2017_129_132_2017-10-21 14:30:00,2017-10-21 14:30:00,False,129,Borussia Dortmund,d,132,Eintracht Frankfurt,2.08809,2,2,103,25,8,0.9502,d,2.08809,2.74141,2,2,228,26,7,1.98363
Bundesliga 2017_128_129_2017-10-28 14:30:00,2017-10-28 14:30:00,False,129,Borussia Dortmund,l,128,Hannover 96,0.85483,2,2,98,25,8,0.3977,l,0.85483,2.3406,4,4,257,33,6,1.58282
Bundesliga 2017_117_129_2017-11-04 17:30:00,2017-11-04 17:30:00,True,129,Borussia Dortmund,l,117,Bayern Munich,1.89107,1,1,290,23,9,1.8273,l,1.89107,1.27845,3,3,300,24,5,1.27845
Bundesliga 2017_129_133_2017-11-17 19:30:00,2017-11-17 19:30:00,False,129,Borussia Dortmund,l,133,VfB Stuttgart,1.79368,1,1,107,21,8,1.8875,l,1.0359,1.14326,2,2,270,29,5,1.14326
Bundesliga 2017_124_129_2017-11-25 14:30:00,2017-11-25 14:30:00,True,129,Borussia Dortmund,d,124,Schalke 04,2.39089,4,4,239,25,5,2.2039,d,2.39089,1.2544,4,4,212,32,6,1.2544
Bundesliga 2017_119_129_2017-12-02 14:30:00,2017-12-02 14:30:00,False,129,Borussia Dortmund,d,119,Bayer Leverkusen,1.14867,1,1,138,42,12,0.6088,d,1.14867,2.1951,1,1,413,21,5,2.1951
Bundesliga 2017_123_129_2017-12-09 14:30:00,2017-12-09 14:30:00,True,129,Borussia Dortmund,l,123,Werder Bremen,1.86761,1,1,158,22,8,2.184,l,1.86761,0.944053,2,2,481,22,1,0.944053
Bundesliga 2017_125_129_2017-12-12 19:30:00,2017-12-12 19:30:00,False,129,Borussia Dortmund,w,125,Mainz 05,2.02169,2,2,284,18,11,2.5046,w,2.02169,0.503881,0,0,405,21,5,0.503881
Bundesliga 2017_120_129_2017-12-16 17:30:00,2017-12-16 17:30:00,True,129,Borussia Dortmund,w,120,Hoffenheim,3.38052,2,2,396,22,4,2.653,w,2.62274,1.31881,1,1,308,25,7,1.31881
Bundesliga 2017_129_131_2018-01-14 17:00:00,2018-01-14 17:00:00,True,129,Borussia Dortmund,d,131,Wolfsburg,2.55723,0,0,219,21,12,2.6219,d,2.55723,0.698882,0,0,247,35,9,0.698882
Bundesliga 2017_122_129_2018-01-19 19:30:00,2018-01-19 19:30:00,False,129,Borussia Dortmund,d,122,Hertha Berlin,1.64967,1,1,208,30,10,2.0643000000000002,d,1.64967,0.800387,1,1,315,24,2,0.800387
Bundesliga 2017_129_135_2018-01-27 14:30:00,2018-01-27 14:30:00,True,129,Borussia Dortmund,d,135,Freiburg,0.675137,2,2,162,40,3,1.1444,d,0.675137,0.759035,2,2,405,19,8,0.759035
Bundesliga 2017_129_134_2018-02-02 19:30:00,2018-02-02 19:30:00,False,129,Borussia Dortmund,w,134,FC Cologne,2.4117,3,3,275,22,10,1.6509999999999998,w,2.4117,2.00798,2,2,298,22,4,2.00798
Bundesliga 2017_118_129_2018-02-10 14:30:00,2018-02-10 14:30:00,True,129,Borussia Dortmund,w,118,Hamburger SV,2.58479,2,2,195,33,5,2.7868,w,2.58479,0.4947,0,0,331,26,7,0.4947
Bundesliga 2017_129_130_2018-02-18 17:00:00,2018-02-18 17:00:00,False,129,Borussia Dortmund,w,130,Borussia M.Gladbach,0.362785,1,1,208,38,7,0.3328,w,0.362785,1.84628,0,0,178,37,9,1.84628
Bundesliga 2017_121_129_2018-02-26 19:30:00,2018-02-26 19:30:00,True,129,Borussia Dortmund,d,121,Augsburg,1.19993,1,1,185,26,13,1.4798,d,1.19993,1.01277,1,1,334,21,3,1.01277
Bundesliga 2017_129_136_2018-03-03 17:30:00,2018-03-03 17:30:00,False,129,Borussia Dortmund,d,136,RasenBallsport Leipzig,1.66037,1,1,211,35,7,1.9982999999999997,d,1.66037,1.03725,1,1,263,31,9,1.03725
Bundesliga 2017_129_132_2018-03-11 17:00:00,2018-03-11 17:00:00,True,129,Borussia Dortmund,w,132,Eintracht Frankfurt,1.28057,3,3,196,27,2,1.3821999999999999,w,1.28057,1.23331,2,2,157,20,4,1.23331
Bundesliga 2017_128_129_2018-03-18 12:30:00,2018-03-18 12:30:00,True,129,Borussia Dortmund,w,128,Hannover 96,2.43612,1,1,182,32,10,2.5347,w,2.43612,0.659875,0,0,256,18,5,0.659875
Bundesliga 2017_117_129_2018-03-31 14:30:00,2018-03-31 14:30:00,False,129,Borussia Dortmund,l,117,Bayern Munich,0.485044,0,0,444,13,2,0.0147,l,0.485044,4.59926,6,6,271,20,9,4.59926
Bundesliga 2017_129_133_2018-04-08 13:30:00,2018-04-08 13:30:00,True,129,Borussia Dortmund,w,133,VfB Stuttgart,1.60177,3,3,185,16,13,2.1636,w,1.60177,0.613194,0,0,181,25,3,0.613194
Bundesliga 2017_124_129_2018-04-15 13:30:00,2018-04-15 13:30:00,False,129,Borussia Dortmund,l,124,Schalke 04,0.925683,0,0,189,23,6,1.3859,l,0.925683,0.858968,2,2,265,24,5,0.858968
Bundesliga 2017_119_129_2018-04-21 16:30:00,2018-04-21 16:30:00,True,129,Borussia Dortmund,w,119,Bayer Leverkusen,3.53524,4,4,253,27,11,2.9154999999999998,w,2.77746,0.409487,0,0,191,25,8,0.409487
Bundesliga 2017_123_129_2018-04-29 16:00:00,2018-04-29 16:00:00,False,129,Borussia Dortmund,d,123,Werder Bremen,2.47525,1,1,142,11,10,2.2157,d,2.47525,1.2344,1,1,375,10,6,1.2344
