match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2018_132_135_2018-08-25 16:30:00,2018-08-25 16:30:00,False,132,Eintracht Frankfurt,w,135,Freiburg,0.81415,2,2,238,15,2,0.8449,w,0.81415,1.46674,0,0,179,19,13,1.46674
Bundesliga 2018_123_132_2018-09-01 13:30:00,2018-09-01 13:30:00,True,132,Eintracht Frankfurt,l,123,Werder Bremen,1.25306,1,1,252,7,1,1.2917,l,0.495288,1.34271,2,2,188,23,9,1.34271
Bundesliga 2018_129_132_2018-09-14 18:30:00,2018-09-14 18:30:00,False,132,Eintracht Frankfurt,l,129,Borussia Dortmund,0.199314,1,1,431,27,1,0.08180000000000001,l,0.199314,1.95503,3,3,258,28,1,1.95503
Bundesliga 2018_132_136_2018-09-23 16:00:00,2018-09-23 16:00:00,True,132,Eintracht Frankfurt,d,136,RasenBallsport Leipzig,1.80358,1,1,222,29,4,1.2924000000000002,d,1.80358,1.8818,1,1,177,17,5,1.12402
Bundesliga 2018_130_132_2018-09-26 18:30:00,2018-09-26 18:30:00,False,132,Eintracht Frankfurt,l,130,Borussia M.Gladbach,1.11709,1,1,268,18,3,1.0585,l,1.11709,1.5541,3,3,194,13,7,1.5541
Bundesliga 2018_128_132_2018-09-30 13:30:00,2018-09-30 13:30:00,True,132,Eintracht Frankfurt,w,128,Hannover 96,2.76495,4,4,251,27,8,2.7906,w,2.76495,0.613099,1,1,126,20,2,0.613099
Bundesliga 2018_120_132_2018-10-07 13:30:00,2018-10-07 13:30:00,False,132,Eintracht Frankfurt,w,120,Hoffenheim,1.02517,2,2,291,21,1,0.4986,w,1.02517,2.24067,1,1,127,19,12,2.24067
Bundesliga 2018_132_233_2018-10-19 18:30:00,2018-10-19 18:30:00,True,132,Eintracht Frankfurt,w,233,Fortuna Duesseldorf,3.51257,7,7,266,18,8,2.8417999999999997,w,2.75479,0.666096,1,1,336,23,3,0.666096
Bundesliga 2018_132_234_2018-10-28 11:30:00,2018-10-28 11:30:00,False,132,Eintracht Frankfurt,d,234,Nuernberg,0.998569,1,1,227,19,4,1.3924,d,0.998569,0.949097,1,1,269,15,3,0.949097
Bundesliga 2018_132_133_2018-11-02 19:30:00,2018-11-02 19:30:00,False,132,Eintracht Frankfurt,w,133,VfB Stuttgart,3.33128,3,3,310,26,11,2.6935,w,3.33128,1.02365,0,0,245,15,2,1.02365
Bundesliga 2018_124_132_2018-11-11 17:00:00,2018-11-11 17:00:00,True,132,Eintracht Frankfurt,w,124,Schalke 04,2.51248,3,3,230,30,3,2.7105,w,2.51248,0.609591,0,0,212,24,1,0.609591
Bundesliga 2018_121_132_2018-11-24 14:30:00,2018-11-24 14:30:00,False,132,Eintracht Frankfurt,w,121,Augsburg,3.21577,3,3,269,19,10,2.1243,w,3.21577,2.01274,1,1,184,24,14,2.01274
Bundesliga 2018_131_132_2018-12-02 17:00:00,2018-12-02 17:00:00,True,132,Eintracht Frankfurt,l,131,Wolfsburg,1.53625,1,1,135,21,10,1.2367000000000001,l,1.53625,1.72581,2,2,156,20,2,1.72581
Bundesliga 2018_122_132_2018-12-08 17:30:00,2018-12-08 17:30:00,False,132,Eintracht Frankfurt,l,122,Hertha Berlin,1.12526,0,0,158,23,6,2.1414,l,1.12526,0.243455,1,1,245,28,5,0.243455
Bundesliga 2018_119_132_2018-12-16 17:00:00,2018-12-16 17:00:00,True,132,Eintracht Frankfurt,w,119,Bayer Leverkusen,3.59588,2,2,230,38,10,2.8495000000000004,w,3.59588,0.744745,1,1,207,22,4,0.744745
Bundesliga 2018_125_132_2018-12-19 19:30:00,2018-12-19 19:30:00,False,132,Eintracht Frankfurt,d,125,Mainz 05,1.09488,2,2,179,26,3,0.9747,d,1.09488,1.61471,2,2,209,29,5,1.61471
Bundesliga 2018_117_132_2018-12-22 17:30:00,2018-12-22 17:30:00,True,132,Eintracht Frankfurt,l,117,Bayern Munich,1.31242,0,0,363,21,3,0.7919,l,1.31242,2.04036,3,3,224,16,12,2.04036
Bundesliga 2018_132_135_2019-01-19 14:30:00,2019-01-19 14:30:00,True,132,Eintracht Frankfurt,w,135,Freiburg,2.9107,3,3,268,31,5,2.3025,w,2.9107,1.54911,1,1,242,16,5,1.54911
Bundesliga 2018_123_132_2019-01-26 17:30:00,2019-01-26 17:30:00,False,132,Eintracht Frankfurt,d,123,Werder Bremen,1.64974,2,2,184,25,2,0.7107,d,0.891959,2.6,2,2,244,16,10,2.6
Bundesliga 2018_129_132_2019-02-02 14:30:00,2019-02-02 14:30:00,True,132,Eintracht Frankfurt,d,129,Borussia Dortmund,1.44338,1,1,336,38,3,1.042,d,1.44338,1.8842,1,1,198,11,11,1.8842
Bundesliga 2018_132_136_2019-02-09 14:30:00,2019-02-09 14:30:00,False,132,Eintracht Frankfurt,d,136,RasenBallsport Leipzig,0.501519,0,0,184,23,6,0.5162,d,0.501519,1.59427,0,0,198,18,6,1.59427
Bundesliga 2018_130_132_2019-02-17 14:30:00,2019-02-17 14:30:00,True,132,Eintracht Frankfurt,d,130,Borussia M.Gladbach,1.16069,1,1,323,24,3,1.3501999999999998,d,1.16069,1.17016,1,1,194,19,9,1.17016
Bundesliga 2018_128_132_2019-02-24 14:30:00,2019-02-24 14:30:00,False,132,Eintracht Frankfurt,w,128,Hannover 96,2.33768,3,3,212,19,5,2.6775,w,2.33768,0.392236,0,0,220,23,6,0.392236
Bundesliga 2018_120_132_2019-03-02 14:30:00,2019-03-02 14:30:00,True,132,Eintracht Frankfurt,w,120,Hoffenheim,2.30575,3,3,243,37,12,1.7721999999999998,w,2.30575,1.76367,2,2,201,21,5,1.76367
Bundesliga 2018_132_233_2019-03-11 19:30:00,2019-03-11 19:30:00,False,132,Eintracht Frankfurt,w,233,Fortuna Duesseldorf,2.76254,3,3,259,29,2,2.7155,w,2.76254,0.837274,0,0,265,16,3,0.837274
Bundesliga 2018_132_234_2019-03-17 14:30:00,2019-03-17 14:30:00,True,132,Eintracht Frankfurt,w,234,Nuernberg,2.58949,1,1,148,22,17,2.6119,w,2.58949,0.702802,0,0,290,20,2,0.702802
