match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2018_122_234_2018-08-25 16:30:00,2018-08-25 16:30:00,False,234,Nuernberg,l,122,Hertha Berlin,1.34412,0,0,288,20,3,1.6267,l,0.586343,1.03309,1,1,286,24,4,1.03309
Bundesliga 2018_125_234_2018-09-01 13:30:00,2018-09-01 13:30:00,True,234,Nuernberg,d,125,Mainz 05,1.56238,1,1,245,20,6,2.3979,d,1.56238,0.367667,1,1,360,15,4,0.367667
Bundesliga 2018_123_234_2018-09-16 13:30:00,2018-09-16 13:30:00,False,234,Nuernberg,d,123,Werder Bremen,0.514375,1,1,277,18,4,1.1242,d,0.514375,0.700449,1,1,250,28,3,0.700449
Bundesliga 2018_128_234_2018-09-22 13:30:00,2018-09-22 13:30:00,True,234,Nuernberg,w,128,Hannover 96,1.64985,2,2,252,16,11,2.3315,w,1.64985,0.557368,0,0,289,4,6,0.557368
Bundesliga 2018_129_234_2018-09-26 18:30:00,2018-09-26 18:30:00,False,234,Nuernberg,l,129,Borussia Dortmund,0.154216,0,0,580,18,3,0.1397,l,0.154216,2.18746,7,7,212,16,8,2.18746
Bundesliga 2018_233_234_2018-09-29 13:30:00,2018-09-29 13:30:00,True,234,Nuernberg,w,233,Fortuna Duesseldorf,2.42225,3,3,341,13,3,2.3295999999999997,w,1.66448,1.17182,0,0,195,15,11,1.17182
Bundesliga 2018_136_234_2018-10-07 16:00:00,2018-10-07 16:00:00,False,234,Nuernberg,l,136,RasenBallsport Leipzig,0.394254,0,0,347,12,2,0.0527,l,0.394254,3.17935,6,6,287,35,5,2.42157
Bundesliga 2018_120_234_2018-10-20 13:30:00,2018-10-20 13:30:00,True,234,Nuernberg,l,120,Hoffenheim,1.11043,1,1,379,15,3,0.4575,l,0.352729,2.46148,3,3,137,24,15,2.46148
Bundesliga 2018_132_234_2018-10-28 11:30:00,2018-10-28 11:30:00,True,234,Nuernberg,d,132,Eintracht Frankfurt,0.949097,1,1,269,15,3,1.2610000000000001,d,0.949097,0.998569,1,1,227,19,4,0.998569
Bundesliga 2018_121_234_2018-11-03 14:30:00,2018-11-03 14:30:00,False,234,Nuernberg,d,121,Augsburg,1.37885,2,2,248,22,6,0.5668,d,1.37885,2.61879,2,2,159,21,7,2.61879
Bundesliga 2018_133_234_2018-11-10 14:30:00,2018-11-10 14:30:00,True,234,Nuernberg,l,133,VfB Stuttgart,0.434841,0,0,204,20,4,0.4452,l,0.434841,1.54977,2,2,225,16,3,1.54977
