match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2019_119_205_2019-08-17 14:30:00,2019-08-17 14:30:00,True,119,Bayer Leverkusen,w,205,Paderborn,2.47615,3,3,119,31,9,2.3902,w,2.47615,1.20475,2,2,504,29,2,1.20475
Bundesliga 2019_119_233_2019-08-24 14:30:00,2019-08-24 14:30:00,False,119,Bayer Leverkusen,w,233,Fortuna Duesseldorf,1.82469,3,3,149,29,7,1.9219,w,1.82469,1.12017,1,1,469,25,4,1.12017
Bundesliga 2019_119_120_2019-08-31 14:30:00,2019-08-31 14:30:00,True,119,Bayer Leverkusen,d,120,Hoffenheim,0.936475,0,0,100,13,8,1.778,d,0.936475,0.450548,0,0,375,18,1,0.450548
Bundesliga 2019_119_129_2019-09-14 13:30:00,2019-09-14 13:30:00,False,119,Bayer Leverkusen,l,129,Borussia Dortmund,1.14812,0,0,173,25,3,0.22,l,1.14812,3.23112,4,4,465,28,9,3.23112
Bundesliga 2019_119_240_2019-09-21 13:30:00,2019-09-21 13:30:00,True,119,Bayer Leverkusen,w,240,Union Berlin,1.55742,2,2,228,24,8,2.5505000000000004,w,1.55742,0.125413,0,0,563,25,1,0.125413
Bundesliga 2019_119_121_2019-09-28 13:30:00,2019-09-28 13:30:00,False,119,Bayer Leverkusen,w,121,Augsburg,0.978659,3,3,143,13,6,2.0901,w,0.978659,0.27153,0,0,590,23,1,0.27153
Bundesliga 2019_119_136_2019-10-05 14:30:00,2019-10-05 14:30:00,True,119,Bayer Leverkusen,d,136,RasenBallsport Leipzig,1.6617,1,1,211,27,9,0.7931999999999999,d,1.6617,2.45811,1,1,507,30,3,2.45811
Bundesliga 2019_119_132_2019-10-18 19:30:00,2019-10-18 19:30:00,False,119,Bayer Leverkusen,l,132,Eintracht Frankfurt,1.58917,0,0,121,23,7,0.6699999999999999,l,1.58917,2.73688,3,3,382,23,9,1.97918
Bundesliga 2019_119_123_2019-10-26 17:30:00,2019-10-26 17:30:00,True,119,Bayer Leverkusen,d,123,Werder Bremen,2.95018,2,2,175,35,8,2.8106999999999998,d,2.95018,0.502517,2,2,296,17,6,0.502517
Bundesliga 2019_119_130_2019-11-02 14:30:00,2019-11-02 14:30:00,True,119,Bayer Leverkusen,l,130,Borussia M.Gladbach,2.12992,1,1,204,27,3,1.3835000000000002,l,2.12992,2.05874,2,2,291,18,3,2.05874
Bundesliga 2019_119_131_2019-11-10 14:30:00,2019-11-10 14:30:00,False,119,Bayer Leverkusen,w,131,Wolfsburg,1.20713,2,2,226,24,0,1.8981,w,1.20713,0.571444,0,0,331,32,4,0.571444
Bundesliga 2019_119_135_2019-11-23 14:30:00,2019-11-23 14:30:00,True,119,Bayer Leverkusen,d,135,Freiburg,3.96943,1,1,137,20,7,2.7985999999999995,d,3.96943,1.25233,1,1,394,20,4,1.25233
Bundesliga 2019_117_119_2019-11-30 17:30:00,2019-11-30 17:30:00,False,119,Bayer Leverkusen,w,117,Bayern Munich,1.44804,2,2,410,20,3,0.8864,w,1.44804,2.24624,1,1,129,28,16,2.24624
