match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2019_136_240_2019-08-18 17:00:00,2019-08-18 17:00:00,True,240,Union Berlin,l,136,RasenBallsport Leipzig,0.782907,0,0,410,26,2,0.0764,l,0.782907,3.93387,4,4,181,22,12,3.93387
Bundesliga 2019_121_240_2019-08-24 14:30:00,2019-08-24 14:30:00,False,240,Union Berlin,d,121,Augsburg,0.891198,1,1,201,29,2,0.909,d,0.891198,1.37579,1,1,165,27,3,1.37579
Bundesliga 2019_129_240_2019-08-31 17:30:00,2019-08-31 17:30:00,True,240,Union Berlin,w,129,Borussia Dortmund,1.4209,3,3,451,19,2,1.1764000000000001,w,1.4209,1.60213,1,1,107,13,12,1.60213
Bundesliga 2019_123_240_2019-09-14 13:30:00,2019-09-14 13:30:00,True,240,Union Berlin,l,123,Werder Bremen,1.98106,1,1,228,26,5,1.2346,l,1.22329,2.14722,2,2,155,17,6,0.631742
Bundesliga 2019_119_240_2019-09-21 13:30:00,2019-09-21 13:30:00,False,240,Union Berlin,l,119,Bayer Leverkusen,0.125413,0,0,563,25,1,0.25939999999999996,l,0.125413,1.55742,2,2,228,24,8,1.55742
Bundesliga 2019_132_240_2019-09-27 18:30:00,2019-09-27 18:30:00,True,240,Union Berlin,l,132,Eintracht Frankfurt,0.7564,1,1,191,14,4,0.3257,l,0.7564,2.31283,2,2,237,24,2,2.31283
Bundesliga 2019_131_240_2019-10-06 14:30:00,2019-10-06 14:30:00,False,240,Union Berlin,l,131,Wolfsburg,0.511105,0,0,215,28,2,0.4405,l,0.511105,1.80334,1,1,183,20,6,1.80334
Bundesliga 2019_135_240_2019-10-19 14:30:00,2019-10-19 14:30:00,True,240,Union Berlin,w,135,Freiburg,1.47678,2,2,346,29,8,2.1616,w,1.47678,0.565578,0,0,190,17,6,0.565578
Bundesliga 2019_117_240_2019-10-26 14:30:00,2019-10-26 14:30:00,False,240,Union Berlin,l,117,Bayern Munich,1.7324,1,1,435,28,0,0.6191,l,0.216846,2.88476,2,2,195,22,15,2.88476
Bundesliga 2019_122_240_2019-11-02 17:30:00,2019-11-02 17:30:00,True,240,Union Berlin,w,122,Hertha Berlin,1.31187,1,1,221,26,3,2.2744,w,0.554093,0.415645,0,0,245,9,4,0.415645
Bundesliga 2019_125_240_2019-11-09 14:30:00,2019-11-09 14:30:00,False,240,Union Berlin,w,125,Mainz 05,1.5394,3,3,262,26,6,1.0050000000000001,w,1.5394,2.04684,2,2,183,29,8,2.04684
Bundesliga 2019_130_240_2019-11-23 14:30:00,2019-11-23 14:30:00,True,240,Union Berlin,w,130,Borussia M.Gladbach,1.49758,2,2,385,25,4,1.8573,w,1.49758,0.95814,0,0,163,15,7,0.95814
Bundesliga 2019_124_240_2019-11-29 19:30:00,2019-11-29 19:30:00,False,240,Union Berlin,l,124,Schalke 04,1.65551,1,1,285,23,1,1.6642000000000001,l,0.897809,1.27089,2,2,223,20,9,1.27089
Bundesliga 2019_134_240_2019-12-08 14:30:00,2019-12-08 14:30:00,True,240,Union Berlin,w,134,FC Cologne,1.7912,2,2,168,35,2,2.2051,w,1.7912,0.772348,0,0,223,30,1,0.772348
Bundesliga 2019_205_240_2019-12-14 14:30:00,2019-12-14 14:30:00,False,240,Union Berlin,d,205,Paderborn,1.79415,1,1,261,27,7,1.6577,d,1.79415,1.3758,1,1,131,28,2,1.3758
Bundesliga 2019_120_240_2019-12-17 19:30:00,2019-12-17 19:30:00,True,240,Union Berlin,l,120,Hoffenheim,1.53884,0,0,197,23,5,1.9353999999999998,l,1.53884,0.819222,2,2,182,13,1,0.819222
Bundesliga 2019_233_240_2019-12-22 14:30:00,2019-12-22 14:30:00,False,240,Union Berlin,l,233,Fortuna Duesseldorf,1.9614,1,1,222,22,6,2.0159000000000002,l,1.9614,1.17089,2,2,265,16,7,1.17089
Bundesliga 2019_136_240_2020-01-18 17:30:00,2020-01-18 17:30:00,False,240,Union Berlin,l,136,RasenBallsport Leipzig,1.02267,1,1,359,26,5,1.0971,l,1.02267,1.34573,3,3,150,17,12,1.34573
Bundesliga 2019_121_240_2020-01-25 14:30:00,2020-01-25 14:30:00,True,240,Union Berlin,w,121,Augsburg,1.19907,2,2,228,22,3,0.506,w,1.19907,2.47924,0,0,171,16,3,2.47924
Bundesliga 2019_129_240_2020-02-01 14:30:00,2020-02-01 14:30:00,False,240,Union Berlin,l,129,Borussia Dortmund,0.560146,0,0,549,28,0,0.0682,l,0.560146,3.29375,5,5,234,16,7,2.53605
Bundesliga 2019_123_240_2020-02-08 14:30:00,2020-02-08 14:30:00,False,240,Union Berlin,w,123,Werder Bremen,2.25796,2,2,458,34,3,2.141,w,2.25796,1.24914,0,0,133,18,10,1.24914
Bundesliga 2019_119_240_2020-02-15 14:30:00,2020-02-15 14:30:00,True,240,Union Berlin,l,119,Bayer Leverkusen,2.02125,2,2,323,40,5,1.7194,l,2.02125,1.55179,3,3,131,20,7,1.55179
Bundesliga 2019_132_240_2020-02-24 19:30:00,2020-02-24 19:30:00,False,240,Union Berlin,w,132,Eintracht Frankfurt,1.03525,2,2,262,22,5,0.42310000000000003,w,1.03525,2.42046,1,1,112,33,9,2.42046
Bundesliga 2019_131_240_2020-03-01 12:30:00,2020-03-01 12:30:00,True,240,Union Berlin,d,131,Wolfsburg,1.04208,2,2,285,20,1,0.6626000000000001,d,1.04208,1.95508,2,2,139,25,3,1.95508
Bundesliga 2019_135_240_2020-03-07 14:30:00,2020-03-07 14:30:00,False,240,Union Berlin,l,135,Freiburg,0.805309,1,1,216,22,7,0.6263000000000001,l,0.805309,1.62613,3,3,185,16,1,1.62613
Bundesliga 2019_117_240_2020-05-17 16:00:00,2020-05-17 16:00:00,True,240,Union Berlin,l,117,Bayern Munich,0.548769,0,0,406,20,4,0.5715,l,0.548769,1.39334,2,2,138,30,10,0.635561
Bundesliga 2019_122_240_2020-05-22 18:30:00,2020-05-22 18:30:00,False,240,Union Berlin,l,122,Hertha Berlin,0.273771,0,0,305,16,4,0.1341,l,0.273771,2.51634,4,4,217,22,5,2.51634
Bundesliga 2019_125_240_2020-05-27 18:30:00,2020-05-27 18:30:00,True,240,Union Berlin,d,125,Mainz 05,0.772053,1,1,296,21,3,1.5021,d,0.772053,0.594984,1,1,151,19,4,0.594984
Bundesliga 2019_130_240_2020-05-31 13:30:00,2020-05-31 13:30:00,False,240,Union Berlin,l,130,Borussia M.Gladbach,0.719923,1,1,400,21,2,0.3962,l,0.719923,2.16238,4,4,231,16,5,2.16238
Bundesliga 2019_124_240_2020-06-07 13:30:00,2020-06-07 13:30:00,True,240,Union Berlin,d,124,Schalke 04,2.39933,1,1,208,23,2,2.8281,d,2.39933,0.166933,1,1,150,27,1,0.166933
