match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2020_122_123_2020-09-19 13:30:00,2020-09-19 13:30:00,False,122,Hertha Berlin,w,123,Werder Bremen,2.05406,4,4,163,34,3,2.4869999999999997,w,2.05406,0.495892,1,1,266,22,6,0.495892
Bundesliga 2020_122_132_2020-09-25 18:30:00,2020-09-25 18:30:00,True,122,Hertha Berlin,l,132,Eintracht Frankfurt,1.55994,1,1,215,16,3,1.3124,l,1.55994,1.62111,3,3,316,20,6,0.863333
Bundesliga 2020_117_122_2020-10-04 16:00:00,2020-10-04 16:00:00,False,122,Hertha Berlin,l,117,Bayern Munich,1.24509,3,3,280,23,1,0.1261,l,1.24509,3.99311,4,4,157,38,11,3.23533
Bundesliga 2020_122_133_2020-10-17 13:30:00,2020-10-17 13:30:00,True,122,Hertha Berlin,l,133,VfB Stuttgart,1.42805,0,0,135,25,10,1.3388,l,1.42805,1.40822,2,2,329,25,1,1.40822
Bundesliga 2020_122_136_2020-10-24 13:30:00,2020-10-24 13:30:00,False,122,Hertha Berlin,l,136,RasenBallsport Leipzig,0.802136,1,1,224,24,6,0.27549999999999997,l,0.802136,2.68523,2,2,117,20,18,1.92745
Bundesliga 2020_122_131_2020-11-01 17:00:00,2020-11-01 17:00:00,True,122,Hertha Berlin,d,131,Wolfsburg,1.25246,1,1,187,15,5,2.0895,d,1.25246,0.397923,1,1,212,34,7,0.397923
Bundesliga 2020_121_122_2020-11-07 14:30:00,2020-11-07 14:30:00,False,122,Hertha Berlin,w,121,Augsburg,2.51682,3,3,271,20,5,2.7982,w,1.75904,0.350601,0,0,311,33,3,0.350601
Bundesliga 2020_122_129_2020-11-21 19:30:00,2020-11-21 19:30:00,True,122,Hertha Berlin,l,129,Borussia Dortmund,1.20761,2,2,333,31,3,0.39,l,0.449831,2.83449,5,5,263,32,11,2.83449
Bundesliga 2020_119_122_2020-11-29 14:30:00,2020-11-29 14:30:00,False,122,Hertha Berlin,d,119,Bayer Leverkusen,0.517533,0,0,294,24,3,0.8397,d,0.517533,1.04196,0,0,220,32,2,1.04196
Bundesliga 2020_122_240_2020-12-04 19:30:00,2020-12-04 19:30:00,True,122,Hertha Berlin,w,240,Union Berlin,0.768378,3,3,143,25,4,1.8476,w,0.768378,0.268079,1,1,427,16,4,0.268079
Bundesliga 2020_122_130_2020-12-12 14:30:00,2020-12-12 14:30:00,False,122,Hertha Berlin,d,130,Borussia M.Gladbach,0.36509,1,1,233,20,4,0.47840000000000005,d,0.36509,1.35982,1,1,223,21,6,1.35982
Bundesliga 2020_122_125_2020-12-15 19:30:00,2020-12-15 19:30:00,True,122,Hertha Berlin,d,125,Mainz 05,0.490128,0,0,131,25,7,0.9695,d,0.490128,0.742962,0,0,381,22,4,0.742962
Bundesliga 2020_122_135_2020-12-20 14:30:00,2020-12-20 14:30:00,False,122,Hertha Berlin,l,135,Freiburg,1.03828,1,1,132,26,5,0.2501,l,1.03828,2.96729,4,4,316,24,8,2.20951
Bundesliga 2020_122_124_2021-01-02 17:30:00,2021-01-02 17:30:00,True,122,Hertha Berlin,w,124,Schalke 04,2.06576,3,3,145,20,9,2.3644,w,2.06576,0.717925,0,0,286,26,2,0.717925
Bundesliga 2020_122_262_2021-01-10 17:00:00,2021-01-10 17:00:00,False,122,Hertha Berlin,l,262,Arminia Bielefeld,0.603143,0,0,191,27,3,1.2886000000000002,l,0.603143,0.623296,1,1,237,21,1,0.623296
Bundesliga 2020_122_134_2021-01-16 14:30:00,2021-01-16 14:30:00,False,122,Hertha Berlin,d,134,FC Cologne,0.419961,0,0,237,30,5,1.3094000000000001,d,0.419961,0.336553,0,0,254,22,3,0.336553
Bundesliga 2020_120_122_2021-01-19 19:30:00,2021-01-19 19:30:00,True,122,Hertha Berlin,l,120,Hoffenheim,1.33502,0,0,178,24,8,1.595,l,0.577241,1.07527,3,3,302,21,2,1.07527
Bundesliga 2020_122_123_2021-01-23 17:30:00,2021-01-23 17:30:00,True,122,Hertha Berlin,l,123,Werder Bremen,1.99787,1,1,142,22,9,1.8302999999999998,l,1.24033,1.39323,4,4,275,17,1,0.635531
Bundesliga 2020_122_132_2021-01-30 14:30:00,2021-01-30 14:30:00,False,122,Hertha Berlin,l,132,Eintracht Frankfurt,0.381451,1,1,294,19,4,0.3036,l,0.381451,1.78331,3,3,189,30,9,1.02562
Bundesliga 2020_117_122_2021-02-05 19:30:00,2021-02-05 19:30:00,True,122,Hertha Berlin,l,117,Bayern Munich,1.24698,0,0,290,22,3,0.9409000000000001,l,1.24698,1.8015,1,1,193,28,10,1.04373
Bundesliga 2020_122_133_2021-02-13 14:30:00,2021-02-13 14:30:00,False,122,Hertha Berlin,d,133,VfB Stuttgart,0.832358,1,1,287,35,3,0.9013,d,0.832358,1.3857,1,1,274,37,7,1.3857
Bundesliga 2020_122_136_2021-02-21 14:30:00,2021-02-21 14:30:00,True,122,Hertha Berlin,l,136,RasenBallsport Leipzig,0.859063,0,0,243,22,5,1.0861,l,0.859063,1.16338,3,3,270,15,7,1.16338
Bundesliga 2020_122_131_2021-02-27 14:30:00,2021-02-27 14:30:00,False,122,Hertha Berlin,l,131,Wolfsburg,1.18868,0,0,285,23,3,1.9121000000000001,l,1.18868,0.620957,2,2,183,18,6,0.620957
Bundesliga 2020_121_122_2021-03-06 14:30:00,2021-03-06 14:30:00,True,122,Hertha Berlin,w,121,Augsburg,2.68531,2,2,136,28,9,2.6578000000000004,w,1.92753,0.836158,1,1,320,22,2,0.836158
Bundesliga 2020_122_129_2021-03-13 17:30:00,2021-03-13 17:30:00,False,122,Hertha Berlin,l,129,Borussia Dortmund,0.0761441,0,0,477,10,3,0.112,l,0.0761441,1.93335,2,2,167,19,12,1.93335
Bundesliga 2020_119_122_2021-03-21 14:30:00,2021-03-21 14:30:00,True,122,Hertha Berlin,w,119,Bayer Leverkusen,2.00238,3,3,325,23,9,1.3834,w,2.00238,2.00246,0,0,86,26,10,2.00246
Bundesliga 2020_122_240_2021-04-04 16:00:00,2021-04-04 16:00:00,False,122,Hertha Berlin,d,240,Union Berlin,0.850228,1,1,293,10,1,1.4355,d,0.0924508,0.801212,1,1,234,19,3,0.801212
Bundesliga 2020_122_130_2021-04-10 13:30:00,2021-04-10 13:30:00,True,122,Hertha Berlin,d,130,Borussia M.Gladbach,1.41784,2,2,205,21,10,1.4430999999999998,d,1.41784,1.24723,2,2,328,17,6,0.489458
Bundesliga 2020_122_125_2021-05-03 18:00:00,2021-05-03 18:00:00,False,122,Hertha Berlin,d,125,Mainz 05,1.54384,1,1,270,18,5,0.5572,d,1.54384,2.8172,1,1,222,26,4,2.8172
Bundesliga 2020_122_135_2021-05-06 16:30:00,2021-05-06 16:30:00,True,122,Hertha Berlin,w,135,Freiburg,2.03873,3,3,379,18,4,2.299,w,2.03873,0.850618,0,0,223,28,6,0.850618
Bundesliga 2020_122_262_2021-05-09 16:00:00,2021-05-09 16:00:00,True,122,Hertha Berlin,d,262,Arminia Bielefeld,0.757903,0,0,165,17,6,1.5798,d,0.757903,0.501126,0,0,388,18,4,0.501126
Bundesliga 2020_122_124_2021-05-12 16:00:00,2021-05-12 16:00:00,False,122,Hertha Berlin,w,124,Schalke 04,1.48104,2,2,247,22,5,1.6656,w,1.48104,1.07359,1,1,309,9,1,1.07359
