match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2020_117_124_2020-09-18 18:30:00,2020-09-18 18:30:00,False,124,Schalke 04,l,117,Bayern Munich,0.14975,0,0,380,15,3,0.0063999999999999994,l,0.14975,4.62088,8,8,203,32,24,3.86311
Bundesliga 2020_123_124_2020-09-26 16:30:00,2020-09-26 16:30:00,True,124,Schalke 04,l,123,Werder Bremen,1.67597,1,1,87,22,3,0.4914,l,1.67597,3.10437,3,3,303,32,4,2.34668
Bundesliga 2020_124_136_2020-10-03 16:30:00,2020-10-03 16:30:00,False,124,Schalke 04,l,136,RasenBallsport Leipzig,0.215209,0,0,384,9,0,0.0363,l,0.215209,3.25836,4,4,198,49,10,2.50059
Bundesliga 2020_124_240_2020-10-18 16:00:00,2020-10-18 16:00:00,True,124,Schalke 04,d,240,Union Berlin,0.250814,1,1,256,20,1,0.6699999999999999,d,0.250814,0.831403,1,1,320,15,2,0.831403
Bundesliga 2020_124_129_2020-10-24 16:30:00,2020-10-24 16:30:00,False,124,Schalke 04,l,129,Borussia Dortmund,0.236172,0,0,470,26,1,0.3752,l,0.236172,1.48384,3,3,158,17,16,1.48384
Bundesliga 2020_124_133_2020-10-30 19:30:00,2020-10-30 19:30:00,True,124,Schalke 04,d,133,VfB Stuttgart,0.726659,1,1,259,29,2,0.6262,d,0.726659,1.56968,1,1,284,41,10,0.81198
Bundesliga 2020_124_125_2020-11-07 14:30:00,2020-11-07 14:30:00,False,124,Schalke 04,d,125,Mainz 05,1.70687,2,2,129,23,12,0.40800000000000003,d,1.70687,3.36371,2,2,347,33,9,1.84815
Bundesliga 2020_124_131_2020-11-21 14:30:00,2020-11-21 14:30:00,True,124,Schalke 04,l,131,Wolfsburg,1.00376,0,0,316,28,3,0.375,l,1.00376,2.66289,2,2,202,35,7,2.66289
Bundesliga 2020_124_130_2020-11-28 17:30:00,2020-11-28 17:30:00,False,124,Schalke 04,l,130,Borussia M.Gladbach,0.734533,1,1,349,23,8,0.1618,l,0.734533,3.15544,4,4,225,24,10,3.15544
Bundesliga 2020_119_124_2020-12-06 17:00:00,2020-12-06 17:00:00,True,124,Schalke 04,l,119,Bayer Leverkusen,1.22701,0,0,368,31,4,0.5614,l,0.426776,2.45305,3,3,154,20,7,2.45305
Bundesliga 2020_121_124_2020-12-13 14:30:00,2020-12-13 14:30:00,False,124,Schalke 04,d,121,Augsburg,1.90769,2,2,154,27,10,1.8418,d,1.90769,1.25437,2,2,297,20,2,1.25437
Bundesliga 2020_124_135_2020-12-16 17:30:00,2020-12-16 17:30:00,True,124,Schalke 04,l,135,Freiburg,0.376573,0,0,265,25,2,0.5988,l,0.376573,1.15776,2,2,305,25,2,1.15776
Bundesliga 2020_124_262_2020-12-19 14:30:00,2020-12-19 14:30:00,True,124,Schalke 04,l,262,Arminia Bielefeld,0.338524,0,0,225,21,4,0.755,l,0.338524,0.89989,1,1,154,36,4,0.89989
Bundesliga 2020_122_124_2021-01-02 17:30:00,2021-01-02 17:30:00,False,124,Schalke 04,l,122,Hertha Berlin,0.717925,0,0,286,26,2,0.4522,l,0.717925,2.06576,3,3,145,20,9,2.06576
Bundesliga 2020_120_124_2021-01-09 14:30:00,2021-01-09 14:30:00,True,124,Schalke 04,w,120,Hoffenheim,2.13307,4,4,281,34,7,1.5685,w,2.13307,1.84328,0,0,178,29,5,1.84328
Bundesliga 2020_124_132_2021-01-17 17:00:00,2021-01-17 17:00:00,False,124,Schalke 04,l,132,Eintracht Frankfurt,0.135505,1,1,380,15,5,0.1595,l,0.135505,1.97864,3,3,165,27,12,1.97864
Bundesliga 2020_124_134_2021-01-20 17:30:00,2021-01-20 17:30:00,True,124,Schalke 04,l,134,FC Cologne,1.14009,1,1,186,19,7,0.8769,l,1.14009,1.7479,2,2,351,23,4,1.7479
Bundesliga 2020_117_124_2021-01-24 14:30:00,2021-01-24 14:30:00,True,124,Schalke 04,l,117,Bayern Munich,0.937959,0,0,262,10,2,0.26859999999999995,l,0.937959,3.12798,4,4,205,39,15,3.12798
Bundesliga 2020_123_124_2021-01-30 14:30:00,2021-01-30 14:30:00,False,124,Schalke 04,d,123,Werder Bremen,0.467918,1,1,244,27,3,1.1212,d,0.467918,0.64374,1,1,334,25,8,0.64374
Bundesliga 2020_124_136_2021-02-06 14:30:00,2021-02-06 14:30:00,True,124,Schalke 04,l,136,RasenBallsport Leipzig,0.125218,0,0,294,19,0,0.046400000000000004,l,0.125218,3.10182,3,3,186,38,17,3.10182
Bundesliga 2020_124_240_2021-02-13 17:30:00,2021-02-13 17:30:00,False,124,Schalke 04,d,240,Union Berlin,0.335784,0,0,156,25,6,0.2744,d,0.335784,1.9379,0,0,307,29,8,1.9379
Bundesliga 2020_124_129_2021-02-20 17:30:00,2021-02-20 17:30:00,True,124,Schalke 04,l,129,Borussia Dortmund,0.830269,0,0,333,25,7,0.54,l,0.830269,1.85349,4,4,200,32,10,1.85349
Bundesliga 2020_124_133_2021-02-27 14:30:00,2021-02-27 14:30:00,False,124,Schalke 04,l,133,VfB Stuttgart,1.64536,1,1,215,23,7,0.677,l,0.887581,2.68633,5,5,236,22,10,2.68633
