match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2021_120_121_2021-08-14 13:30:00,2021-08-14 13:30:00,True,121,Augsburg,l,120,Hoffenheim,0.734658,0,0,258,13,9,0.0863,l,0.734658,3.44423,4,4,206,20,8,3.44423
Bundesliga 2021_121_132_2021-08-21 13:30:00,2021-08-21 13:30:00,False,121,Augsburg,d,132,Eintracht Frankfurt,0.16593,0,0,244,18,5,0.39490000000000003,d,0.16593,1.3297,0,0,119,25,8,1.3297
Bundesliga 2021_119_121_2021-08-28 13:30:00,2021-08-28 13:30:00,True,121,Augsburg,l,119,Bayer Leverkusen,1.6937,1,1,348,32,4,1.0878,l,1.6937,2.1207,4,4,209,24,3,2.1207
Bundesliga 2021_121_240_2021-09-11 13:30:00,2021-09-11 13:30:00,False,121,Augsburg,d,240,Union Berlin,0.831722,0,0,305,17,4,0.6398,d,0.831722,1.71533,0,0,176,19,0,1.71533
Bundesliga 2021_121_130_2021-09-18 13:30:00,2021-09-18 13:30:00,True,121,Augsburg,w,130,Borussia M.Gladbach,0.494801,1,1,363,16,3,1.0473,w,0.494801,0.74574,0,0,120,25,7,0.74574
Bundesliga 2021_121_135_2021-09-26 15:30:00,2021-09-26 15:30:00,False,121,Augsburg,l,135,Freiburg,0.191653,0,0,293,16,2,0.0050999999999999995,l,0.191653,3.97075,3,3,176,23,12,3.21313
Bundesliga 2021_121_129_2021-10-02 13:30:00,2021-10-02 13:30:00,False,121,Augsburg,l,129,Borussia Dortmund,0.746485,1,1,405,40,1,0.22710000000000002,l,0.746485,2.72281,2,2,109,23,11,1.96503
Bundesliga 2021_121_262_2021-10-17 15:30:00,2021-10-17 15:30:00,True,121,Augsburg,d,262,Arminia Bielefeld,0.913256,1,1,176,18,4,1.9454000000000002,d,0.913256,0.285865,1,1,205,28,5,0.285865
Bundesliga 2021_121_125_2021-10-22 18:30:00,2021-10-22 18:30:00,False,121,Augsburg,l,125,Mainz 05,0.664542,1,1,295,30,2,0.033299999999999996,l,0.664542,4.13366,4,4,225,28,10,4.13366
Bundesliga 2021_121_133_2021-10-31 14:30:00,2021-10-31 14:30:00,True,121,Augsburg,w,133,VfB Stuttgart,2.59567,4,4,368,28,5,2.5343999999999998,w,2.59567,0.90948,1,1,138,18,5,0.90948
Bundesliga 2021_121_131_2021-11-06 14:30:00,2021-11-06 14:30:00,False,121,Augsburg,l,131,Wolfsburg,0.867311,0,0,396,14,4,1.2847,l,0.867311,0.910085,1,1,192,22,4,0.910085
Bundesliga 2021_117_121_2021-11-19 19:30:00,2021-11-19 19:30:00,True,121,Augsburg,w,117,Bayern Munich,0.614461,2,2,427,16,3,0.8388,w,0.614461,1.24258,1,1,74,16,21,1.24258
Bundesliga 2021_121_122_2021-11-27 14:30:00,2021-11-27 14:30:00,False,121,Augsburg,d,122,Hertha Berlin,1.61295,1,1,232,18,9,1.1417,d,1.61295,1.92656,1,1,215,18,2,1.92656
Bundesliga 2021_121_268_2021-12-04 14:30:00,2021-12-04 14:30:00,True,121,Augsburg,l,268,Bochum,2.86606,2,2,192,23,6,1.9454,l,2.10828,2.04524,3,3,228,17,6,2.04524
Bundesliga 2021_121_134_2021-12-10 19:30:00,2021-12-10 19:30:00,False,121,Augsburg,w,134,FC Cologne,1.17632,2,2,270,22,5,1.3432000000000002,w,1.17632,1.15891,0,0,117,16,10,1.15891
