match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2021_117_130_2021-08-13 18:30:00,2021-08-13 18:30:00,False,117,Bayern Munich,d,130,Borussia M.Gladbach,2.91794,1,1,154,18,17,1.9867,d,2.91794,1.98777,1,1,365,33,7,1.98777
Bundesliga 2021_117_134_2021-08-22 15:30:00,2021-08-22 15:30:00,True,117,Bayern Munich,w,134,FC Cologne,3.08002,3,3,234,26,6,2.6723,w,3.08002,0.957893,2,2,346,36,1,0.957893
Bundesliga 2021_117_122_2021-08-28 16:30:00,2021-08-28 16:30:00,True,117,Bayern Munich,w,122,Hertha Berlin,4.25513,5,5,229,26,23,2.9501,w,4.25513,0.575566,0,0,359,16,2,0.575566
Bundesliga 2021_117_136_2021-09-11 16:30:00,2021-09-11 16:30:00,False,117,Bayern Munich,w,136,RasenBallsport Leipzig,4.30091,4,4,227,19,13,2.9867999999999997,w,3.54314,0.347898,1,1,242,25,7,0.347898
Bundesliga 2021_117_268_2021-09-18 13:30:00,2021-09-18 13:30:00,True,117,Bayern Munich,w,268,Bochum,6.88189,7,7,151,19,17,2.9983999999999997,w,6.88189,1.23312,0,0,373,22,2,1.23312
Bundesliga 2021_117_267_2021-09-24 18:30:00,2021-09-24 18:30:00,False,117,Bayern Munich,w,267,Greuther Fuerth,0.677915,3,3,153,17,3,1.2939,w,0.677915,0.655908,1,1,414,37,2,0.655908
Bundesliga 2021_117_132_2021-10-03 15:30:00,2021-10-03 15:30:00,True,117,Bayern Munich,l,132,Eintracht Frankfurt,2.18047,1,1,138,23,21,2.6546,l,2.18047,0.389616,2,2,401,12,2,0.389616
Bundesliga 2021_117_119_2021-10-17 13:30:00,2021-10-17 13:30:00,False,117,Bayern Munich,w,119,Bayer Leverkusen,3.44913,5,5,307,33,20,2.7936,w,3.44913,0.729378,1,1,343,13,6,0.729378
Bundesliga 2021_117_120_2021-10-23 13:30:00,2021-10-23 13:30:00,True,117,Bayern Munich,w,120,Hoffenheim,3.31148,4,4,239,13,6,2.8672999999999997,w,3.31148,0.446465,0,0,413,27,1,0.446465
Bundesliga 2021_117_240_2021-10-30 13:30:00,2021-10-30 13:30:00,False,117,Bayern Munich,w,240,Union Berlin,3.14739,5,5,223,16,14,2.8477999999999994,w,2.38962,0.744794,2,2,384,14,5,0.744794
Bundesliga 2021_117_135_2021-11-06 14:30:00,2021-11-06 14:30:00,True,117,Bayern Munich,w,135,Freiburg,3.16849,2,2,158,10,18,2.689,w,3.16849,0.910798,1,1,417,31,5,0.910798
Bundesliga 2021_117_121_2021-11-19 19:30:00,2021-11-19 19:30:00,False,117,Bayern Munich,l,121,Augsburg,1.24258,1,1,74,16,21,1.8495,l,1.24258,0.614461,2,2,427,16,3,0.614461
Bundesliga 2021_117_262_2021-11-27 17:30:00,2021-11-27 17:30:00,True,117,Bayern Munich,w,262,Arminia Bielefeld,2.67728,1,1,129,21,22,2.7346999999999997,w,2.67728,0.385377,0,0,390,13,2,0.385377
Bundesliga 2021_117_129_2021-12-04 17:30:00,2021-12-04 17:30:00,False,117,Bayern Munich,w,129,Borussia Dortmund,2.42143,3,3,258,25,15,2.0827,w,1.66365,1.43058,2,2,285,26,10,1.43058
Bundesliga 2021_117_125_2021-12-11 14:30:00,2021-12-11 14:30:00,True,117,Bayern Munich,w,125,Mainz 05,1.78613,2,2,172,26,11,2.0588,w,1.78613,0.872668,1,1,406,25,5,0.872668
Bundesliga 2021_117_133_2021-12-14 17:30:00,2021-12-14 17:30:00,False,117,Bayern Munich,w,133,VfB Stuttgart,4.98146,5,5,258,22,17,2.9335,w,4.98146,1.04709,0,0,411,30,7,1.04709
Bundesliga 2021_117_131_2021-12-17 19:30:00,2021-12-17 19:30:00,True,117,Bayern Munich,w,131,Wolfsburg,4.31291,4,4,260,45,21,2.7822999999999998,w,4.31291,1.41635,0,0,268,13,2,1.41635
Bundesliga 2021_117_130_2022-01-07 19:30:00,2022-01-07 19:30:00,True,117,Bayern Munich,l,130,Borussia M.Gladbach,1.35599,1,1,185,32,14,1.261,l,1.35599,1.51069,2,2,402,29,5,1.51069
Bundesliga 2021_117_134_2022-01-15 14:30:00,2022-01-15 14:30:00,False,117,Bayern Munich,w,134,FC Cologne,3.87329,4,4,294,22,25,2.7950000000000004,w,3.87329,1.0312,0,0,255,26,6,1.0312
Bundesliga 2021_117_122_2022-01-23 16:30:00,2022-01-23 16:30:00,False,117,Bayern Munich,w,122,Hertha Berlin,5.18503,4,4,217,46,20,2.9498,w,5.18503,0.847937,1,1,420,15,5,0.847937
Bundesliga 2021_117_136_2022-02-05 17:30:00,2022-02-05 17:30:00,True,117,Bayern Munich,w,136,RasenBallsport Leipzig,3.0334,3,3,274,32,17,1.6159999999999999,w,3.0334,2.65667,2,2,382,17,7,2.65667
Bundesliga 2021_117_268_2022-02-12 14:30:00,2022-02-12 14:30:00,False,117,Bayern Munich,l,268,Bochum,1.87083,2,2,121,15,10,1.7502,l,1.87083,1.34846,4,4,295,23,6,0.590766
Bundesliga 2021_117_267_2022-02-20 14:30:00,2022-02-20 14:30:00,True,117,Bayern Munich,w,267,Greuther Fuerth,2.52333,4,4,97,20,22,2.6076,w,2.52333,0.66071,1,1,424,29,1,0.66071
Bundesliga 2021_117_132_2022-02-26 17:30:00,2022-02-26 17:30:00,False,117,Bayern Munich,w,132,Eintracht Frankfurt,2.60814,1,1,142,17,14,2.3080999999999996,w,2.60814,1.1892,0,0,417,22,5,1.1892
Bundesliga 2021_117_119_2022-03-05 14:30:00,2022-03-05 14:30:00,True,117,Bayern Munich,d,119,Bayer Leverkusen,1.6659,1,1,180,26,14,0.9727,d,1.6659,2.26407,1,1,379,25,7,2.26407
Bundesliga 2021_117_120_2022-03-12 14:30:00,2022-03-12 14:30:00,False,117,Bayern Munich,d,120,Hoffenheim,3.98532,1,1,210,28,7,2.5477,d,3.98532,2.02668,1,1,385,18,13,2.02668
Bundesliga 2021_117_240_2022-03-19 17:30:00,2022-03-19 17:30:00,True,117,Bayern Munich,w,240,Union Berlin,2.82028,4,4,188,30,8,2.3844000000000003,w,2.0625,1.38973,0,0,508,19,2,1.38973
