match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2021_125_136_2021-08-15 13:30:00,2021-08-15 13:30:00,True,125,Mainz 05,w,136,RasenBallsport Leipzig,1.27109,1,1,301,18,2,1.8362,w,1.27109,0.841814,0,0,106,23,6,0.841814
Bundesliga 2021_125_268_2021-08-21 13:30:00,2021-08-21 13:30:00,False,125,Mainz 05,l,268,Bochum,0.817413,0,0,174,22,4,1.1056,l,0.817413,1.05301,2,2,245,16,1,1.05301
Bundesliga 2021_125_267_2021-08-28 13:30:00,2021-08-28 13:30:00,True,125,Mainz 05,w,267,Greuther Fuerth,2.79493,3,3,209,34,12,2.8449,w,2.79493,0.304223,0,0,180,18,5,0.304223
Bundesliga 2021_120_125_2021-09-11 13:30:00,2021-09-11 13:30:00,False,125,Mainz 05,w,120,Hoffenheim,0.933476,2,2,318,18,4,1.7099,w,0.933476,0.509713,0,0,126,19,5,0.509713
Bundesliga 2021_125_135_2021-09-18 13:30:00,2021-09-18 13:30:00,True,125,Mainz 05,d,135,Freiburg,1.26167,0,0,224,28,6,2.1521999999999997,d,1.26167,0.364252,0,0,166,22,2,0.364252
Bundesliga 2021_119_125_2021-09-25 13:30:00,2021-09-25 13:30:00,False,125,Mainz 05,l,119,Bayer Leverkusen,0.930118,0,0,337,28,6,0.9548,l,0.930118,1.45034,1,1,134,22,9,1.45034
Bundesliga 2021_125_240_2021-10-03 13:30:00,2021-10-03 13:30:00,True,125,Mainz 05,l,240,Union Berlin,1.25545,1,1,233,28,11,1.4790999999999999,l,1.25545,1.1103,2,2,249,17,6,1.1103
Bundesliga 2021_125_129_2021-10-16 13:30:00,2021-10-16 13:30:00,False,125,Mainz 05,l,129,Borussia Dortmund,0.610876,1,1,404,25,2,0.24409999999999998,l,0.610876,2.3618,3,3,172,24,12,1.6041
Bundesliga 2021_121_125_2021-10-22 18:30:00,2021-10-22 18:30:00,True,125,Mainz 05,w,121,Augsburg,4.13366,4,4,225,28,10,2.9448000000000003,w,4.13366,0.664542,1,1,295,30,2,0.664542
Bundesliga 2021_125_262_2021-10-30 13:30:00,2021-10-30 13:30:00,False,125,Mainz 05,w,262,Arminia Bielefeld,2.97383,2,2,221,16,11,2.8152,w,2.97383,0.497896,1,1,274,22,3,0.497896
Bundesliga 2021_125_130_2021-11-05 19:30:00,2021-11-05 19:30:00,True,125,Mainz 05,d,130,Borussia M.Gladbach,0.94947,1,1,299,42,5,0.8828,d,0.94947,1.50835,1,1,249,16,2,1.50835
Bundesliga 2021_125_134_2021-11-21 16:30:00,2021-11-21 16:30:00,True,125,Mainz 05,d,134,FC Cologne,0.941346,1,1,275,31,5,0.7484,d,0.941346,1.75564,1,1,179,18,6,1.75564
Bundesliga 2021_125_133_2021-11-26 19:30:00,2021-11-26 19:30:00,False,125,Mainz 05,l,133,VfB Stuttgart,1.17743,1,1,249,40,7,2.2313,l,1.17743,0.276918,2,2,219,13,3,0.276918
Bundesliga 2021_125_131_2021-12-04 14:30:00,2021-12-04 14:30:00,True,125,Mainz 05,w,131,Wolfsburg,1.41164,3,3,217,36,5,1.9054,w,1.41164,0.760457,0,0,109,18,5,0.760457
Bundesliga 2021_117_125_2021-12-11 14:30:00,2021-12-11 14:30:00,False,125,Mainz 05,l,117,Bayern Munich,0.872668,1,1,406,25,5,0.6929,l,0.872668,1.78613,2,2,172,26,11,1.78613
Bundesliga 2021_122_125_2021-12-14 19:30:00,2021-12-14 19:30:00,True,125,Mainz 05,w,122,Hertha Berlin,3.10591,4,4,156,34,8,2.8819000000000004,w,3.10591,0.393369,0,0,275,16,0,0.393369
Bundesliga 2021_125_132_2021-12-18 14:30:00,2021-12-18 14:30:00,False,125,Mainz 05,l,132,Eintracht Frankfurt,0.832437,0,0,272,20,8,0.6981999999999999,l,0.832437,1.52805,1,1,253,30,5,1.52805
Bundesliga 2021_125_136_2022-01-08 14:30:00,2022-01-08 14:30:00,False,125,Mainz 05,l,136,RasenBallsport Leipzig,0.319779,1,1,418,19,2,0.0306,l,0.319779,3.55391,4,4,237,15,12,2.79614
Bundesliga 2021_125_268_2022-01-15 14:30:00,2022-01-15 14:30:00,True,125,Mainz 05,w,268,Bochum,1.60302,1,1,199,28,12,1.5518999999999998,w,1.60302,1.32639,0,0,187,18,6,0.568614
Bundesliga 2021_125_267_2022-01-22 14:30:00,2022-01-22 14:30:00,False,125,Mainz 05,l,267,Greuther Fuerth,1.40771,1,1,156,25,7,1.4467,l,1.40771,1.29371,2,2,268,30,5,1.29371
Bundesliga 2021_120_125_2022-02-05 14:30:00,2022-02-05 14:30:00,True,125,Mainz 05,w,120,Hoffenheim,1.77868,2,2,265,15,4,1.7607999999999997,w,1.0209,1.31773,0,0,211,19,10,1.31773
Bundesliga 2021_125_135_2022-02-12 14:30:00,2022-02-12 14:30:00,False,125,Mainz 05,d,135,Freiburg,3.15753,1,1,262,28,10,2.3421,d,3.15753,1.69097,1,1,109,22,6,1.69097
Bundesliga 2021_119_125_2022-02-18 19:30:00,2022-02-18 19:30:00,True,125,Mainz 05,w,119,Bayer Leverkusen,1.00622,3,3,322,32,10,1.4786,w,1.00622,0.827749,2,2,154,19,7,0.827749
Bundesliga 2021_125_240_2022-02-26 14:30:00,2022-02-26 14:30:00,False,125,Mainz 05,l,240,Union Berlin,0.75947,1,1,212,16,6,1.1566,l,0.75947,0.883998,3,3,255,19,3,0.883998
Bundesliga 2021_125_129_2022-03-16 17:30:00,2022-03-16 17:30:00,True,125,Mainz 05,l,129,Borussia Dortmund,0.782406,0,0,254,28,5,0.8219,l,0.782406,1.39041,1,1,167,21,6,1.39041
Bundesliga 2021_125_262_2022-03-19 14:30:00,2022-03-19 14:30:00,True,125,Mainz 05,w,262,Arminia Bielefeld,4.32637,4,4,188,27,11,2.9873,w,2.05304,0.236164,0,0,275,30,2,0.236164
Bundesliga 2021_125_130_2022-04-03 15:30:00,2022-04-03 15:30:00,False,125,Mainz 05,d,130,Borussia M.Gladbach,1.78,1,1,330,33,6,1.5232,d,1.78,1.55193,1,1,274,22,6,1.55193
Bundesliga 2021_121_125_2022-04-06 16:30:00,2022-04-06 16:30:00,False,125,Mainz 05,l,121,Augsburg,1.84563,1,1,145,29,6,1.2774,l,1.84563,1.92513,2,2,257,22,2,1.16735
Bundesliga 2021_125_134_2022-04-09 13:30:00,2022-04-09 13:30:00,False,125,Mainz 05,l,134,FC Cologne,0.926438,2,2,223,34,4,0.5718000000000001,l,0.926438,1.90576,3,3,156,23,3,1.90576
Bundesliga 2021_125_133_2022-04-16 13:30:00,2022-04-16 13:30:00,True,125,Mainz 05,d,133,VfB Stuttgart,0.723024,0,0,211,36,1,1.3779000000000001,d,0.723024,0.633775,0,0,220,28,6,0.633775
Bundesliga 2021_125_131_2022-04-22 18:30:00,2022-04-22 18:30:00,False,125,Mainz 05,l,131,Wolfsburg,0.613976,0,0,460,10,2,0.0432,l,0.613976,3.6526,5,5,315,33,10,2.89482
Bundesliga 2021_117_125_2022-04-30 13:30:00,2022-04-30 13:30:00,True,125,Mainz 05,w,117,Bayern Munich,3.17227,3,3,345,30,9,2.552,w,3.17227,1.23601,1,1,120,28,7,1.23601
Bundesliga 2021_122_125_2022-05-07 16:30:00,2022-05-07 16:30:00,False,125,Mainz 05,w,122,Hertha Berlin,0.756414,2,2,150,19,12,0.9212,w,0.756414,1.11131,1,1,368,30,4,0.353531
Bundesliga 2021_125_132_2022-05-14 13:30:00,2022-05-14 13:30:00,True,125,Mainz 05,d,132,Eintracht Frankfurt,0.850382,2,2,281,26,5,0.6520999999999999,d,0.850382,1.70213,2,2,263,24,4,1.70213
