match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2022_133_136_2022-08-07 13:30:00,2022-08-07 13:30:00,False,136,RasenBallsport Leipzig,d,133,VfB Stuttgart,2.13153,1,1,151,28,14,2.5046,d,2.13153,0.565488,1,1,294,21,8,0.565488
Bundesliga 2022_134_136_2022-08-13 13:30:00,2022-08-13 13:30:00,True,136,RasenBallsport Leipzig,d,134,FC Cologne,1.17885,2,2,223,16,3,1.0784,d,1.17885,1.51583,2,2,261,31,8,1.51583
Bundesliga 2022_136_240_2022-08-20 16:30:00,2022-08-20 16:30:00,False,136,RasenBallsport Leipzig,l,240,Union Berlin,0.958767,1,1,114,21,8,1.6232,l,0.958767,0.642263,2,2,483,20,3,0.642263
Bundesliga 2022_131_136_2022-08-27 13:30:00,2022-08-27 13:30:00,True,136,RasenBallsport Leipzig,w,131,Wolfsburg,3.79244,2,2,312,23,5,2.9346,w,3.03475,0.520425,0,0,202,28,5,0.520425
Bundesliga 2022_132_136_2022-09-03 16:30:00,2022-09-03 16:30:00,False,136,RasenBallsport Leipzig,l,132,Eintracht Frankfurt,0.220403,0,0,231,25,4,0.014599999999999998,l,0.220403,3.62625,4,4,344,31,4,2.86847
Bundesliga 2022_129_136_2022-09-10 13:30:00,2022-09-10 13:30:00,True,136,RasenBallsport Leipzig,w,129,Borussia Dortmund,1.70495,3,3,284,31,8,2.4805,w,1.70495,0.334567,0,0,200,25,4,0.334567
Bundesliga 2022_130_136_2022-09-17 16:30:00,2022-09-17 16:30:00,False,136,RasenBallsport Leipzig,l,130,Borussia M.Gladbach,1.25609,0,0,283,34,5,0.4441,l,1.25609,2.97746,3,3,307,23,8,2.97746
Bundesliga 2022_136_268_2022-10-01 13:30:00,2022-10-01 13:30:00,True,136,RasenBallsport Leipzig,w,268,Bochum,4.21544,4,4,180,16,12,2.9914,w,2.69989,0.146803,0,0,507,16,1,0.146803
Bundesliga 2022_125_136_2022-10-08 13:30:00,2022-10-08 13:30:00,False,136,RasenBallsport Leipzig,d,125,Mainz 05,1.4696,1,1,147,14,10,2.0817,d,1.4696,0.649518,1,1,361,24,4,0.649518
Bundesliga 2022_122_136_2022-10-15 16:30:00,2022-10-15 16:30:00,True,136,RasenBallsport Leipzig,w,122,Hertha Berlin,3.30191,3,3,183,28,13,2.0507,w,3.30191,2.42152,2,2,281,15,3,1.66374
Bundesliga 2022_121_136_2022-10-22 13:30:00,2022-10-22 13:30:00,False,136,RasenBallsport Leipzig,d,121,Augsburg,2.38989,3,3,79,9,13,1.7174,d,2.38989,1.91261,3,3,275,21,6,1.15483
Bundesliga 2022_119_136_2022-10-29 13:30:00,2022-10-29 13:30:00,True,136,RasenBallsport Leipzig,w,119,Bayer Leverkusen,1.63234,2,2,422,25,6,2.6188,w,1.63234,0.141987,0,0,330,13,6,0.141987
Bundesliga 2022_120_136_2022-11-05 14:30:00,2022-11-05 14:30:00,False,136,RasenBallsport Leipzig,w,120,Hoffenheim,1.66347,3,3,221,11,9,1.7465,w,1.66347,1.16126,1,1,415,23,1,1.16126
Bundesliga 2022_135_136_2022-11-09 19:30:00,2022-11-09 19:30:00,True,136,RasenBallsport Leipzig,w,135,Freiburg,3.28873,3,3,239,16,9,2.968,w,2.53095,0.148116,1,1,337,23,5,0.148116
Bundesliga 2022_123_136_2022-11-12 14:30:00,2022-11-12 14:30:00,False,136,RasenBallsport Leipzig,w,123,Werder Bremen,2.1323,2,2,281,11,12,2.2178,w,2.1323,1.03468,1,1,300,19,6,1.03468
Bundesliga 2022_117_136_2023-01-20 19:30:00,2023-01-20 19:30:00,True,136,RasenBallsport Leipzig,d,117,Bayern Munich,1.03072,1,1,372,43,10,1.5543,d,1.03072,0.813529,1,1,253,27,4,0.813529
