match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2023_127_132_2023-08-20 15:30:00,2023-08-20 15:30:00,False,127,Darmstadt,l,132,Eintracht Frankfurt,0.813333,0,0,389,17,4,0.8804,l,0.813333,1.2399,1,1,211,20,7,1.2399
Bundesliga 2023_127_240_2023-08-26 13:30:00,2023-08-26 13:30:00,True,127,Darmstadt,l,240,Union Berlin,2.59994,1,1,97,17,5,2.0173,l,2.59994,1.6379,4,4,310,22,4,1.6379
Bundesliga 2023_119_127_2023-09-02 13:30:00,2023-09-02 13:30:00,False,127,Darmstadt,l,119,Bayer Leverkusen,0.681851,1,1,375,17,3,0.1152,l,0.681851,3.42599,5,5,172,13,20,3.42599
Bundesliga 2023_127_130_2023-09-17 15:30:00,2023-09-17 15:30:00,True,127,Darmstadt,d,130,Borussia M.Gladbach,1.328,3,3,294,16,4,0.315,d,1.328,3.49324,3,3,160,13,6,2.73546
Bundesliga 2023_127_133_2023-09-22 18:30:00,2023-09-22 18:30:00,False,127,Darmstadt,l,133,VfB Stuttgart,0.272376,1,1,374,23,5,0.07,l,0.272376,3.04946,3,3,301,26,14,3.04946
Bundesliga 2023_123_127_2023-10-01 13:30:00,2023-10-01 13:30:00,True,127,Darmstadt,w,123,Werder Bremen,2.34923,4,4,289,22,4,1.9917,w,1.59145,1.54627,2,2,192,28,9,1.54627
Bundesliga 2023_121_127_2023-10-07 13:30:00,2023-10-07 13:30:00,False,127,Darmstadt,w,121,Augsburg,1.96153,2,2,182,16,4,1.9707,w,1.20376,1.18473,1,1,241,25,12,1.18473
Bundesliga 2023_127_136_2023-10-21 13:30:00,2023-10-21 13:30:00,True,127,Darmstadt,l,136,RasenBallsport Leipzig,1.68331,1,1,176,25,4,1.258,l,0.925533,1.83161,3,3,266,16,3,1.83161
Bundesliga 2023_117_127_2023-10-28 13:30:00,2023-10-28 13:30:00,False,127,Darmstadt,l,117,Bayern Munich,0.924873,0,0,257,16,9,0.012299999999999998,l,0.924873,5.884,8,8,286,28,11,5.884
Bundesliga 2023_127_268_2023-11-03 19:30:00,2023-11-03 19:30:00,True,127,Darmstadt,l,268,Bochum,0.854923,1,1,115,16,5,0.7707000000000002,l,0.854923,1.56273,2,2,203,28,3,1.56273
Bundesliga 2023_125_127_2023-11-11 14:30:00,2023-11-11 14:30:00,True,127,Darmstadt,d,125,Mainz 05,0.449952,0,0,188,25,5,1.0977000000000001,d,0.449952,0.624718,0,0,352,26,6,0.624718
Bundesliga 2023_127_135_2023-11-25 14:30:00,2023-11-25 14:30:00,False,127,Darmstadt,d,135,Freiburg,0.34181,1,1,381,14,3,0.45330000000000004,d,0.34181,1.34505,1,1,163,17,11,1.34505
Bundesliga 2023_127_134_2023-12-01 18:30:00,2023-12-01 18:30:00,True,127,Darmstadt,l,134,FC Cologne,0.61755,0,0,271,19,2,0.7148000000000001,l,0.61755,1.30112,1,1,215,13,3,1.30112
Bundesliga 2023_127_280_2023-12-09 14:30:00,2023-12-09 14:30:00,False,127,Darmstadt,l,280,FC Heidenheim,1.00759,2,2,137,17,5,0.766,l,1.00759,1.86894,3,3,237,20,8,1.86894
Bundesliga 2023_127_131_2023-12-16 14:30:00,2023-12-16 14:30:00,True,127,Darmstadt,l,131,Wolfsburg,0.942093,0,0,168,25,9,1.69,l,0.942093,0.587028,1,1,319,13,4,0.587028
Bundesliga 2023_120_127_2023-12-19 19:30:00,2023-12-19 19:30:00,False,127,Darmstadt,d,120,Hoffenheim,0.952662,3,3,230,21,7,0.2693,d,0.952662,2.81806,3,3,323,11,7,2.06028
Bundesliga 2023_127_129_2024-01-13 17:30:00,2024-01-13 17:30:00,True,127,Darmstadt,l,129,Borussia Dortmund,0.825788,0,0,301,32,6,0.1623,l,0.825788,3.14682,3,3,267,11,12,3.14682
Bundesliga 2023_127_132_2024-01-20 14:30:00,2024-01-20 14:30:00,True,127,Darmstadt,d,132,Eintracht Frankfurt,1.3877,2,2,444,20,7,1.3828999999999998,d,1.3877,1.28892,2,2,331,16,2,1.28892
Bundesliga 2023_127_240_2024-01-28 14:30:00,2024-01-28 14:30:00,False,127,Darmstadt,l,240,Union Berlin,1.00135,0,0,282,15,7,0.1896,l,1.00135,3.54733,1,1,266,26,8,3.54733
