match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2023_120_135_2023-08-19 13:30:00,2023-08-19 13:30:00,True,120,Hoffenheim,l,135,Freiburg,1.67186,1,1,243,22,8,0.5233,l,1.67186,3.24821,2,2,239,11,7,3.24821
Bundesliga 2023_120_280_2023-08-26 13:30:00,2023-08-26 13:30:00,False,120,Hoffenheim,w,280,FC Heidenheim,2.75768,3,3,116,18,4,1.4165,w,1.99991,2.72999,2,2,280,16,8,1.97221
Bundesliga 2023_120_131_2023-09-02 13:30:00,2023-09-02 13:30:00,True,120,Hoffenheim,w,131,Wolfsburg,1.78689,3,3,326,12,4,1.6682000000000001,w,1.78689,1.4154,1,1,198,15,11,1.4154
Bundesliga 2023_120_134_2023-09-16 13:30:00,2023-09-16 13:30:00,False,120,Hoffenheim,w,134,FC Cologne,1.06988,3,3,201,16,4,1.2799,w,1.06988,1.19432,1,1,170,30,9,1.19432
Bundesliga 2023_120_240_2023-09-23 13:30:00,2023-09-23 13:30:00,False,120,Hoffenheim,w,240,Union Berlin,2.15364,2,2,240,24,3,1.8018999999999998,w,1.39586,1.62442,0,0,237,17,5,1.62442
Bundesliga 2023_120_129_2023-09-29 18:30:00,2023-09-29 18:30:00,True,120,Hoffenheim,l,129,Borussia Dortmund,1.85129,1,1,201,24,14,1.476,l,1.09352,1.69401,3,3,210,13,2,1.69401
Bundesliga 2023_120_123_2023-10-07 16:30:00,2023-10-07 16:30:00,False,120,Hoffenheim,w,123,Werder Bremen,1.52805,3,3,245,22,8,1.7818,w,1.52805,1.03064,2,2,287,26,6,1.03064
Bundesliga 2023_120_132_2023-10-21 13:30:00,2023-10-21 13:30:00,True,120,Hoffenheim,l,132,Eintracht Frankfurt,1.13281,1,1,308,17,6,0.6780999999999999,l,1.13281,2.13235,3,3,307,12,12,2.13235
Bundesliga 2023_120_133_2023-10-28 13:30:00,2023-10-28 13:30:00,False,120,Hoffenheim,w,133,VfB Stuttgart,1.74412,3,3,355,13,1,0.4707,w,0.986341,3.15109,2,2,118,18,13,2.39332
Bundesliga 2023_119_120_2023-11-04 14:30:00,2023-11-04 14:30:00,True,120,Hoffenheim,l,119,Bayer Leverkusen,1.27214,2,2,331,11,4,1.5462000000000002,l,1.27214,1.05046,3,3,306,14,12,1.05046
Bundesliga 2023_120_121_2023-11-11 14:30:00,2023-11-11 14:30:00,False,120,Hoffenheim,d,121,Augsburg,0.897413,1,1,148,19,5,1.3245999999999998,d,0.897413,0.937133,1,1,362,24,7,0.937133
Bundesliga 2023_120_125_2023-11-26 16:30:00,2023-11-26 16:30:00,True,120,Hoffenheim,d,125,Mainz 05,0.7002,1,1,224,22,12,0.4357,d,0.7002,1.96701,1,1,278,26,15,1.20923
Bundesliga 2023_120_130_2023-12-02 14:30:00,2023-12-02 14:30:00,False,120,Hoffenheim,l,130,Borussia M.Gladbach,1.33696,1,1,281,24,8,1.0988,l,1.33696,1.60234,2,2,276,15,8,0.844565
Bundesliga 2023_120_268_2023-12-08 19:30:00,2023-12-08 19:30:00,True,120,Hoffenheim,w,268,Bochum,2.27533,3,3,283,25,7,1.6655999999999997,w,2.27533,1.82523,1,1,193,25,6,1.82523
Bundesliga 2023_120_136_2023-12-16 17:30:00,2023-12-16 17:30:00,False,120,Hoffenheim,l,136,RasenBallsport Leipzig,1.04243,1,1,291,16,5,0.27790000000000004,l,1.04243,2.91669,3,3,242,17,18,2.91669
Bundesliga 2023_120_127_2023-12-19 19:30:00,2023-12-19 19:30:00,True,120,Hoffenheim,d,127,Darmstadt,2.81806,3,3,323,11,7,2.6078,d,2.06028,0.952662,3,3,230,21,7,0.952662
Bundesliga 2023_117_120_2024-01-12 19:30:00,2024-01-12 19:30:00,False,120,Hoffenheim,l,117,Bayern Munich,1.61888,0,0,257,11,6,0.4442,l,1.61888,3.4164,3,3,266,33,25,3.4164
Bundesliga 2023_120_135_2024-01-20 14:30:00,2024-01-20 14:30:00,False,120,Hoffenheim,l,135,Freiburg,1.76349,2,2,204,17,9,0.8965000000000001,l,1.76349,2.47971,3,3,249,27,10,2.47971
Bundesliga 2023_120_280_2024-01-27 14:30:00,2024-01-27 14:30:00,True,120,Hoffenheim,d,280,FC Heidenheim,3.23703,1,1,137,27,20,2.6711000000000005,d,2.47926,1.10065,1,1,363,16,3,1.10065
Bundesliga 2023_120_131_2024-02-04 14:30:00,2024-02-04 14:30:00,False,120,Hoffenheim,d,131,Wolfsburg,1.93269,2,2,185,26,12,1.5720999999999998,d,1.93269,1.60418,2,2,245,14,11,0.846404
Bundesliga 2023_120_134_2024-02-11 16:30:00,2024-02-11 16:30:00,True,120,Hoffenheim,d,134,FC Cologne,0.726907,1,1,208,25,8,1.8536000000000001,d,0.726907,0.172441,1,1,334,18,3,0.172441
Bundesliga 2023_120_240_2024-02-17 14:30:00,2024-02-17 14:30:00,True,120,Hoffenheim,l,240,Union Berlin,1.24508,0,0,181,20,13,0.6834,l,1.24508,2.1649,1,1,396,16,5,2.1649
Bundesliga 2023_120_129_2024-02-25 16:30:00,2024-02-25 16:30:00,False,120,Hoffenheim,w,129,Borussia Dortmund,1.31588,3,3,383,17,1,0.3891,w,1.31588,3.06361,2,2,140,16,12,3.06361
Bundesliga 2023_120_123_2024-03-03 16:30:00,2024-03-03 16:30:00,True,120,Hoffenheim,w,123,Werder Bremen,2.06582,2,2,275,19,12,1.9092,w,2.06582,1.34942,1,1,257,20,6,1.34942
Bundesliga 2023_120_132_2024-03-10 16:30:00,2024-03-10 16:30:00,False,120,Hoffenheim,l,132,Eintracht Frankfurt,0.695868,1,1,319,18,2,0.1026,l,0.695868,3.53168,3,3,199,27,15,3.53168
Bundesliga 2023_120_133_2024-03-16 17:30:00,2024-03-16 17:30:00,True,120,Hoffenheim,l,133,VfB Stuttgart,0.229186,0,0,291,25,3,0.0598,l,0.229186,3.1752,3,3,226,21,14,3.1752
Bundesliga 2023_119_120_2024-03-30 14:30:00,2024-03-30 14:30:00,False,120,Hoffenheim,l,119,Bayer Leverkusen,0.657688,1,1,209,6,8,0.1651,l,0.657688,3.03672,2,2,191,22,29,3.03672
