match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2024_119_130_2024-08-23 18:30:00,2024-08-23 18:30:00,True,130,Borussia M.Gladbach,l,119,Bayer Leverkusen,1.51665,2,2,313,22,5,0.3707,l,1.51665,3.23588,3,3,273,15,10,2.30665
Bundesliga 2024_130_268_2024-08-31 13:30:00,2024-08-31 13:30:00,False,130,Borussia M.Gladbach,w,268,Bochum,2.66887,2,2,195,13,9,2.6088,w,2.66887,0.918629,0,0,348,27,6,0.918629
Bundesliga 2024_130_133_2024-09-14 13:30:00,2024-09-14 13:30:00,True,130,Borussia M.Gladbach,l,133,VfB Stuttgart,2.05136,1,1,344,35,7,0.9375,l,2.05136,2.7214,3,3,223,22,7,2.7214
Bundesliga 2024_130_132_2024-09-21 16:30:00,2024-09-21 16:30:00,False,130,Borussia M.Gladbach,l,132,Eintracht Frankfurt,1.19669,0,0,201,18,9,0.381,l,1.19669,2.93252,2,2,372,13,9,2.93252
Bundesliga 2024_130_240_2024-09-28 13:30:00,2024-09-28 13:30:00,True,130,Borussia M.Gladbach,w,240,Union Berlin,1.38305,1,1,171,15,5,1.9318,w,1.38305,0.731164,0,0,398,27,2,0.731164
Bundesliga 2024_121_130_2024-10-04 18:30:00,2024-10-04 18:30:00,False,130,Borussia M.Gladbach,l,121,Augsburg,0.807021,1,1,105,22,5,0.6523000000000001,l,0.807021,1.75524,2,2,385,44,8,1.75524
Bundesliga 2024_130_280_2024-10-19 13:30:00,2024-10-19 13:30:00,True,130,Borussia M.Gladbach,w,280,FC Heidenheim,4.14976,3,3,130,18,15,2.5907,w,3.39198,1.89766,2,2,294,9,5,1.13988
Bundesliga 2024_125_130_2024-10-25 18:30:00,2024-10-25 18:30:00,False,130,Borussia M.Gladbach,d,125,Mainz 05,0.934033,1,1,281,21,6,0.9197000000000001,d,0.934033,1.45557,1,1,252,34,17,1.45557
Bundesliga 2024_123_130_2024-11-03 16:30:00,2024-11-03 16:30:00,True,130,Borussia M.Gladbach,w,123,Werder Bremen,2.95668,4,4,314,22,9,2.4324,w,2.95668,1.30211,1,1,303,23,6,1.30211
Bundesliga 2024_130_136_2024-11-09 17:30:00,2024-11-09 17:30:00,False,130,Borussia M.Gladbach,d,136,RasenBallsport Leipzig,1.31521,0,0,363,16,2,1.7646,d,1.31521,0.849803,0,0,236,30,5,0.849803
Bundesliga 2024_130_288_2024-11-24 16:30:00,2024-11-24 16:30:00,True,130,Borussia M.Gladbach,w,288,St. Pauli,2.99128,2,2,296,11,9,2.5524999999999998,w,2.99128,1.15234,0,0,380,20,3,1.15234
Bundesliga 2024_130_135_2024-11-30 14:30:00,2024-11-30 14:30:00,False,130,Borussia M.Gladbach,l,135,Freiburg,1.27811,1,1,270,26,11,0.7257,l,1.27811,2.15426,3,3,306,17,6,2.15426
Bundesliga 2024_129_130_2024-12-07 17:30:00,2024-12-07 17:30:00,True,130,Borussia M.Gladbach,d,129,Borussia Dortmund,1.10194,1,1,320,19,4,0.9848999999999999,d,0.344165,1.58856,1,1,213,24,6,1.58856
Bundesliga 2024_130_287_2024-12-14 14:30:00,2024-12-14 14:30:00,True,130,Borussia M.Gladbach,w,287,Holstein Kiel,2.33425,4,4,256,17,4,2.7207000000000003,w,2.33425,0.323948,1,1,352,27,4,0.323948
Bundesliga 2024_120_130_2024-12-21 14:30:00,2024-12-21 14:30:00,False,130,Borussia M.Gladbach,w,120,Hoffenheim,0.490494,2,2,335,18,1,0.045700000000000005,w,0.490494,3.7229,1,1,254,26,21,2.96513
Bundesliga 2024_117_130_2025-01-11 17:30:00,2025-01-11 17:30:00,True,130,Borussia M.Gladbach,l,117,Bayern Munich,0.326195,0,0,351,22,3,0.011099999999999999,l,0.326195,4.47736,1,1,208,27,12,3.71958
Bundesliga 2024_130_131_2025-01-14 19:30:00,2025-01-14 19:30:00,False,130,Borussia M.Gladbach,l,131,Wolfsburg,0.856948,1,1,192,17,5,0.0808,l,0.856948,3.72762,5,5,399,22,11,2.96984
Bundesliga 2024_119_130_2025-01-18 17:30:00,2025-01-18 17:30:00,False,130,Borussia M.Gladbach,l,119,Bayer Leverkusen,0.473935,1,1,352,15,0,0.2429,l,0.473935,2.08382,3,3,329,22,8,1.32605
Bundesliga 2024_130_268_2025-01-25 17:30:00,2025-01-25 17:30:00,True,130,Borussia M.Gladbach,w,268,Bochum,2.93153,3,3,219,17,5,2.7279,w,2.05904,0.759449,0,0,322,27,6,0.759449
Bundesliga 2024_130_133_2025-02-01 14:30:00,2025-02-01 14:30:00,False,130,Borussia M.Gladbach,w,133,VfB Stuttgart,1.96971,2,2,289,16,12,2.1527,w,1.96971,0.950734,1,1,265,26,12,0.950734
Bundesliga 2024_130_132_2025-02-08 17:30:00,2025-02-08 17:30:00,True,130,Borussia M.Gladbach,d,132,Eintracht Frankfurt,0.656491,1,1,280,20,6,0.17880000000000001,d,0.656491,2.5487,1,1,305,17,9,2.5487
Bundesliga 2024_130_240_2025-02-15 14:30:00,2025-02-15 14:30:00,False,130,Borussia M.Gladbach,w,240,Union Berlin,2.22036,2,2,265,12,9,1.7967000000000002,w,2.22036,1.66824,1,1,312,26,6,0.910467
Bundesliga 2024_121_130_2025-02-22 14:30:00,2025-02-22 14:30:00,True,130,Borussia M.Gladbach,l,121,Augsburg,0.800003,0,0,236,16,10,0.6403,l,0.800003,1.73915,3,3,339,20,7,1.73915
Bundesliga 2024_130_280_2025-03-01 14:30:00,2025-03-01 14:30:00,False,130,Borussia M.Gladbach,w,280,FC Heidenheim,1.7158,3,3,192,15,5,1.2368999999999999,w,1.7158,1.87707,0,0,361,14,12,1.87707
Bundesliga 2024_125_130_2025-03-07 19:30:00,2025-03-07 19:30:00,True,130,Borussia M.Gladbach,l,125,Mainz 05,1.25544,1,1,253,24,6,0.7981999999999999,l,1.25544,1.98889,3,3,368,21,10,1.98889
Bundesliga 2024_123_130_2025-03-15 14:30:00,2025-03-15 14:30:00,False,130,Borussia M.Gladbach,w,123,Werder Bremen,2.32056,4,4,248,14,7,0.9439,w,1.56278,2.98283,2,2,260,17,16,2.22506
Bundesliga 2024_130_136_2025-03-29 14:30:00,2025-03-29 14:30:00,True,130,Borussia M.Gladbach,w,136,RasenBallsport Leipzig,1.79539,1,1,262,10,8,2.0401000000000002,w,1.79539,0.929047,0,0,188,21,18,0.929047
Bundesliga 2024_130_288_2025-04-06 13:30:00,2025-04-06 13:30:00,False,130,Borussia M.Gladbach,d,288,St. Pauli,0.646648,1,1,275,13,1,0.33940000000000003,d,0.646648,2.19443,1,1,210,11,5,2.19443
Bundesliga 2024_130_135_2025-04-12 13:30:00,2025-04-12 13:30:00,True,130,Borussia M.Gladbach,l,135,Freiburg,0.524784,1,1,335,10,8,0.2616,l,0.524784,2.31704,2,2,229,26,10,2.31704
Bundesliga 2024_129_130_2025-04-20 15:30:00,2025-04-20 15:30:00,False,130,Borussia M.Gladbach,l,129,Borussia Dortmund,1.2185,2,2,309,15,1,1.4148,l,0.460724,1.18456,3,3,214,26,10,1.18456
Bundesliga 2024_130_287_2025-04-26 13:30:00,2025-04-26 13:30:00,False,130,Borussia M.Gladbach,l,287,Holstein Kiel,2.55098,3,3,140,23,5,1.1043,l,2.55098,3.0385,4,4,300,16,7,3.0385
Bundesliga 2024_120_130_2025-05-03 13:30:00,2025-05-03 13:30:00,True,130,Borussia M.Gladbach,d,120,Hoffenheim,1.91833,4,4,254,12,4,1.4116,d,1.91833,1.91093,4,4,218,15,9,1.91093
Bundesliga 2024_117_130_2025-05-10 16:30:00,2025-05-10 16:30:00,False,130,Borussia M.Gladbach,l,117,Bayern Munich,1.35544,0,0,370,13,3,0.5546,l,1.35544,2.78307,2,2,255,19,17,2.78307
