match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Bundesliga 2024_280_288_2024-08-25 15:30:00,2024-08-25 15:30:00,False,280,FC Heidenheim,w,288,St. Pauli,1.16833,2,2,320,24,1,1.3808000000000002,w,1.16833,1.1609,0,0,183,23,2,1.1609
Bundesliga 2024_121_280_2024-09-01 13:30:00,2024-09-01 13:30:00,True,280,FC Heidenheim,w,121,Augsburg,3.09376,4,4,302,23,7,2.8447999999999998,w,2.33599,0.641534,0,0,160,21,10,0.641534
Bundesliga 2024_129_280_2024-09-13 18:30:00,2024-09-13 18:30:00,False,280,FC Heidenheim,l,129,Borussia Dortmund,1.61406,2,2,339,22,4,0.5768,l,0.856287,2.84066,4,4,208,21,8,2.08289
Bundesliga 2024_135_280_2024-09-21 13:30:00,2024-09-21 13:30:00,True,280,FC Heidenheim,l,135,Freiburg,0.379656,0,0,296,5,4,0.5992999999999999,l,0.379656,1.23884,3,3,231,16,15,1.23884
Bundesliga 2024_125_280_2024-09-28 13:30:00,2024-09-28 13:30:00,False,280,FC Heidenheim,w,125,Mainz 05,1.09304,2,2,198,17,8,1.9931,w,1.09304,0.371434,0,0,194,20,4,0.371434
Bundesliga 2024_136_280_2024-10-06 13:30:00,2024-10-06 13:30:00,True,280,FC Heidenheim,l,136,RasenBallsport Leipzig,1.08159,0,0,249,22,6,0.8212,l,1.08159,1.81585,1,1,201,29,7,1.81585
Bundesliga 2024_130_280_2024-10-19 13:30:00,2024-10-19 13:30:00,False,280,FC Heidenheim,l,130,Borussia M.Gladbach,1.89766,2,2,294,9,5,0.3083,l,1.13988,4.14976,3,3,130,18,15,3.39198
Bundesliga 2024_120_280_2024-10-27 18:30:00,2024-10-27 18:30:00,True,280,FC Heidenheim,d,120,Hoffenheim,1.57817,0,0,224,24,5,2.1561999999999997,d,1.57817,0.692793,0,0,225,30,5,0.692793
Bundesliga 2024_280_287_2024-11-02 14:30:00,2024-11-02 14:30:00,False,280,FC Heidenheim,l,287,Holstein Kiel,1.27585,0,0,179,24,7,0.7208999999999999,l,1.27585,2.13316,1,1,215,21,6,2.13316
Bundesliga 2024_131_280_2024-11-10 18:30:00,2024-11-10 18:30:00,True,280,FC Heidenheim,l,131,Wolfsburg,2.62448,1,1,125,20,5,2.1068,l,2.62448,1.55233,3,3,293,24,4,1.55233
Bundesliga 2024_119_280_2024-11-23 14:30:00,2024-11-23 14:30:00,False,280,FC Heidenheim,l,119,Bayer Leverkusen,1.03141,2,2,485,11,3,0.6648000000000001,l,1.03141,2.02581,5,5,151,10,8,2.02581
Bundesliga 2024_132_280_2024-12-01 16:30:00,2024-12-01 16:30:00,True,280,FC Heidenheim,l,132,Eintracht Frankfurt,0.861094,0,0,281,20,4,0.15810000000000002,l,0.861094,3.19019,4,4,240,25,12,3.19019
Bundesliga 2024_117_280_2024-12-07 14:30:00,2024-12-07 14:30:00,False,280,FC Heidenheim,l,117,Bayern Munich,1.16879,2,2,504,9,3,0.28569999999999995,l,1.16879,3.08538,4,4,119,25,21,3.08538
Bundesliga 2024_133_280_2024-12-15 14:30:00,2024-12-15 14:30:00,True,280,FC Heidenheim,l,133,VfB Stuttgart,0.808275,1,1,328,29,3,0.12229999999999999,l,0.808275,3.46171,3,3,133,17,9,2.70394
Bundesliga 2024_268_280_2024-12-22 14:30:00,2024-12-22 14:30:00,False,280,FC Heidenheim,l,268,Bochum,0.512353,0,0,209,28,12,0.5243,l,0.512353,1.68369,2,2,219,32,9,1.68369
Bundesliga 2024_240_280_2025-01-11 14:30:00,2025-01-11 14:30:00,True,280,FC Heidenheim,w,240,Union Berlin,1.75563,2,2,276,20,16,1.9152,w,1.75563,1.03435,0,0,346,21,5,1.03435
Bundesliga 2024_123_280_2025-01-15 19:30:00,2025-01-15 19:30:00,False,280,FC Heidenheim,d,123,Werder Bremen,1.91878,3,3,299,29,6,1.4073,d,1.91878,1.87497,3,3,237,17,11,1.87497
Bundesliga 2024_280_288_2025-01-18 14:30:00,2025-01-18 14:30:00,True,280,FC Heidenheim,l,288,St. Pauli,0.923964,0,0,190,12,7,0.35259999999999997,l,0.923964,2.23242,2,2,345,30,7,1.47464
Bundesliga 2024_121_280_2025-01-25 14:30:00,2025-01-25 14:30:00,False,280,FC Heidenheim,l,121,Augsburg,0.94738,1,1,368,19,8,0.7746,l,0.94738,1.63821,2,2,230,16,7,1.63821
