match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2014_71_85_2014-08-16 15:00:00,2014-08-16 15:00:00,False,71,Aston Villa,w,85,Stoke,0.909774,1,1,323,23,4,1.8321999999999998,w,0.909774,0.423368,0,0,132,32,3,0.423368
EPL 2014_71_86_2014-08-23 12:45:00,2014-08-23 12:45:00,True,71,Aston Villa,d,86,Newcastle United,0.507525,0,0,326,21,4,1.1057,d,0.507525,0.699295,0,0,180,21,7,0.699295
EPL 2014_71_91_2014-08-31 13:30:00,2014-08-31 13:30:00,True,71,Aston Villa,w,91,Hull,0.639316,2,2,366,13,6,1.6075,w,0.639316,0.28888,1,1,278,24,7,0.28888
EPL 2014_71_87_2014-09-13 17:30:00,2014-09-13 17:30:00,False,71,Aston Villa,w,87,Liverpool,0.701676,1,1,486,9,1,1.3252,w,0.701676,0.728097,0,0,91,14,5,0.728097
EPL 2014_71_83_2014-09-20 15:00:00,2014-09-20 15:00:00,True,71,Aston Villa,l,83,Arsenal,0.649013,0,0,531,12,0,0.6912,l,0.649013,1.36224,3,3,170,22,7,1.36224
EPL 2014_71_80_2014-09-27 15:00:00,2014-09-27 15:00:00,False,71,Aston Villa,l,80,Chelsea,0.228896,0,0,395,8,2,0.0219,l,0.228896,3.14218,3,3,273,15,6,3.14218
EPL 2014_71_88_2014-10-04 17:30:00,2014-10-04 17:30:00,True,71,Aston Villa,l,88,Manchester City,0.690283,0,0,490,19,1,0.39339999999999997,l,0.690283,2.30634,2,2,202,26,12,2.30634
EPL 2014_71_72_2014-10-18 15:00:00,2014-10-18 15:00:00,False,71,Aston Villa,l,72,Everton,0.37205,0,0,414,24,6,0.34140000000000004,l,0.37205,1.67016,3,3,193,12,7,1.67016
EPL 2014_202_71_2014-10-27 20:00:00,2014-10-27 20:00:00,False,71,Aston Villa,l,202,Queens Park Rangers,1.18709,0,0,123,22,6,1.6813,l,1.18709,0.81667,2,2,340,25,3,0.81667
EPL 2014_71_82_2014-11-02 16:00:00,2014-11-02 16:00:00,True,71,Aston Villa,l,82,Tottenham,0.872267,1,1,273,19,3,0.3639,l,0.872267,2.54173,2,2,145,18,11,2.54173
EPL 2014_71_81_2014-11-08 15:00:00,2014-11-08 15:00:00,False,71,Aston Villa,d,81,West Ham,0.560875,0,0,241,17,2,0.6379,d,0.560875,1.47873,0,0,158,21,15,1.47873
EPL 2014_71_74_2014-11-24 20:00:00,2014-11-24 20:00:00,True,71,Aston Villa,d,74,Southampton,1.13228,1,1,292,14,3,1.6318000000000001,d,1.13228,0.863156,1,1,124,20,14,0.863156
EPL 2014_71_92_2014-11-29 15:00:00,2014-11-29 15:00:00,False,71,Aston Villa,d,92,Burnley,1.0873,1,1,254,11,11,0.5442,d,1.0873,2.3058,1,1,263,25,7,1.54463
EPL 2014_71_78_2014-12-02 20:00:00,2014-12-02 20:00:00,False,71,Aston Villa,w,78,Crystal Palace,0.192439,1,1,119,18,2,0.6592,w,0.192439,0.801741,0,0,223,37,6,0.801741
EPL 2014_71_75_2014-12-07 16:00:00,2014-12-07 16:00:00,True,71,Aston Villa,w,75,Leicester,1.97697,2,2,135,21,7,2.0575,w,1.97697,1.0083,1,1,327,35,6,1.0083
EPL 2014_71_76_2014-12-13 15:00:00,2014-12-13 15:00:00,False,71,Aston Villa,l,76,West Bromwich Albion,0.266303,0,0,202,13,4,0.3204,l,0.266303,1.4373,1,1,280,34,3,1.4373
EPL 2014_71_89_2014-12-20 15:00:00,2014-12-20 15:00:00,True,71,Aston Villa,d,89,Manchester United,0.575806,1,1,301,13,3,0.8913,d,0.575806,1.06851,1,1,202,19,7,1.06851
EPL 2014_71_84_2014-12-26 15:00:00,2014-12-26 15:00:00,False,71,Aston Villa,l,84,Swansea,1.41578,0,0,278,19,10,2.0369,l,1.41578,0.601468,1,1,376,28,6,0.601468
EPL 2014_71_77_2014-12-28 15:00:00,2014-12-28 15:00:00,True,71,Aston Villa,d,77,Sunderland,0.650993,0,0,270,15,7,1.1384999999999998,d,0.650993,0.845626,0,0,262,20,6,0.845626
EPL 2014_71_78_2015-01-01 15:00:00,2015-01-01 15:00:00,True,71,Aston Villa,d,78,Crystal Palace,1.38709,0,0,134,27,7,2.0644,d,1.38709,0.575995,0,0,373,24,4,0.575995
EPL 2014_71_75_2015-01-10 15:00:00,2015-01-10 15:00:00,False,71,Aston Villa,l,75,Leicester,0.606149,0,0,120,19,8,0.2633,l,0.606149,2.36522,1,1,304,44,5,2.36522
EPL 2014_71_87_2015-01-17 15:00:00,2015-01-17 15:00:00,True,71,Aston Villa,l,87,Liverpool,0.845309,0,0,275,25,14,0.7783,l,0.845309,1.54424,2,2,209,28,7,1.54424
EPL 2014_71_83_2015-02-01 13:30:00,2015-02-01 13:30:00,False,71,Aston Villa,l,83,Arsenal,0.714521,0,0,272,20,6,0.3085,l,0.714521,2.35805,5,5,347,18,5,1.59688
EPL 2014_71_80_2015-02-07 15:00:00,2015-02-07 15:00:00,True,71,Aston Villa,l,80,Chelsea,0.707847,1,1,304,17,5,0.9545000000000001,l,0.707847,1.11662,2,2,322,16,7,1.11662
EPL 2014_71_91_2015-02-10 19:45:00,2015-02-10 19:45:00,False,71,Aston Villa,l,91,Hull,0.423817,0,0,131,18,2,0.7621,l,0.423817,0.985975,2,2,252,25,5,0.985975
EPL 2014_71_85_2015-02-21 15:00:00,2015-02-21 15:00:00,True,71,Aston Villa,l,85,Stoke,0.234004,1,1,188,16,4,0.3713,l,0.234004,1.11955,2,2,179,18,3,0.358377
EPL 2014_71_86_2015-02-28 15:00:00,2015-02-28 15:00:00,False,71,Aston Villa,l,86,Newcastle United,0.773437,0,0,162,22,6,1.1585,l,0.773437,0.93198,1,1,176,13,0,0.93198
EPL 2014_71_76_2015-03-03 19:45:00,2015-03-03 19:45:00,True,71,Aston Villa,w,76,West Bromwich Albion,1.9201,2,2,174,21,6,2.19,w,1.15893,0.905628,1,1,269,14,5,0.905628
EPL 2014_71_77_2015-03-14 15:00:00,2015-03-14 15:00:00,False,71,Aston Villa,w,77,Sunderland,1.50195,4,4,196,19,3,2.2547,w,1.50195,0.472898,0,0,275,34,9,0.472898
