match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2014_84_89_2014-08-16 12:45:00,2014-08-16 12:45:00,True,89,Manchester United,l,84,Swansea,1.16635,1,1,253,25,8,2.2359,l,1.16635,0.278076,2,2,341,19,2,0.278076
EPL 2014_77_89_2014-08-24 16:00:00,2014-08-24 16:00:00,False,89,Manchester United,d,77,Sunderland,0.941557,1,1,297,27,2,1.674,d,0.941557,0.666489,1,1,267,21,4,0.666489
EPL 2014_89_92_2014-08-30 12:45:00,2014-08-30 12:45:00,False,89,Manchester United,d,92,Burnley,0.467281,0,0,150,21,11,1.2096,d,0.467281,0.513746,0,0,305,27,2,0.513746
EPL 2014_202_89_2014-09-14 16:00:00,2014-09-14 16:00:00,True,89,Manchester United,w,202,Queens Park Rangers,2.20911,4,4,228,26,9,2.5363,w,2.20911,0.563524,0,0,546,12,4,0.563524
EPL 2014_75_89_2014-09-21 13:30:00,2014-09-21 13:30:00,False,89,Manchester United,l,75,Leicester,1.71191,3,3,174,26,7,0.8067,l,1.71191,2.5422,5,5,285,23,6,1.01986
EPL 2014_81_89_2014-09-27 15:00:00,2014-09-27 15:00:00,True,89,Manchester United,w,81,West Ham,0.520246,2,2,189,13,5,0.6964999999999999,w,0.520246,1.27452,1,1,315,21,10,1.27452
EPL 2014_72_89_2014-10-05 12:00:00,2014-10-05 12:00:00,True,89,Manchester United,w,72,Everton,1.6239,2,2,268,36,4,0.9917,w,1.6239,2.13558,1,1,269,20,7,1.37441
EPL 2014_76_89_2014-10-20 20:00:00,2014-10-20 20:00:00,False,89,Manchester United,d,76,West Bromwich Albion,0.934042,2,2,214,27,8,1.572,d,0.934042,0.61662,2,2,286,16,3,0.61662
EPL 2014_80_89_2014-10-26 16:00:00,2014-10-26 16:00:00,True,89,Manchester United,d,80,Chelsea,1.84074,1,1,245,18,7,2.0214,d,1.84074,0.989916,1,1,254,18,8,0.989916
EPL 2014_88_89_2014-11-02 13:30:00,2014-11-02 13:30:00,False,89,Manchester United,l,88,Manchester City,0.727924,0,0,253,19,5,0.3017,l,0.727924,2.56723,1,1,258,35,14,2.56723
EPL 2014_78_89_2014-11-08 15:00:00,2014-11-08 15:00:00,True,89,Manchester United,w,78,Crystal Palace,0.956776,1,1,127,17,3,1.843,w,0.956776,0.400837,0,0,390,15,3,0.400837
