match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2014_202_91_2014-08-16 15:00:00,2014-08-16 15:00:00,True,202,Queens Park Rangers,l,91,Hull,1.90067,0,0,218,17,1,2.0149,l,1.12689,1.11757,1,1,216,21,5,1.11757
EPL 2014_202_82_2014-08-24 13:30:00,2014-08-24 13:30:00,False,202,Queens Park Rangers,l,82,Tottenham,1.07617,0,0,456,28,2,0.5381,l,1.07617,2.38894,4,4,224,29,8,2.38894
EPL 2014_202_77_2014-08-30 15:00:00,2014-08-30 15:00:00,True,202,Queens Park Rangers,w,77,Sunderland,1.27277,1,1,322,26,7,1.5890999999999997,w,1.27277,0.964343,0,0,166,21,7,0.964343
EPL 2014_202_89_2014-09-14 16:00:00,2014-09-14 16:00:00,False,202,Queens Park Rangers,l,89,Manchester United,0.563524,0,0,546,12,4,0.3136,l,0.563524,2.20911,4,4,228,26,9,2.20911
EPL 2014_202_85_2014-09-20 12:45:00,2014-09-20 12:45:00,True,202,Queens Park Rangers,d,85,Stoke,1.05642,2,2,238,24,3,0.9737,d,1.05642,1.45847,2,2,235,24,6,1.45847
EPL 2014_202_74_2014-09-27 15:00:00,2014-09-27 15:00:00,False,202,Queens Park Rangers,l,74,Southampton,0.456323,1,1,262,18,3,0.2299,l,0.456323,2.34463,2,2,210,22,8,2.34463
EPL 2014_202_81_2014-10-05 16:15:00,2014-10-05 16:15:00,False,202,Queens Park Rangers,l,81,West Ham,0.697342,0,0,234,24,0,0.5123,l,0.697342,1.64038,2,2,273,22,5,1.64038
EPL 2014_202_87_2014-10-19 13:30:00,2014-10-19 13:30:00,True,202,Queens Park Rangers,l,87,Liverpool,2.60852,2,2,258,34,8,2.1516,l,2.60852,1.51813,3,3,126,20,8,1.51813
EPL 2014_202_71_2014-10-27 20:00:00,2014-10-27 20:00:00,True,202,Queens Park Rangers,w,71,Aston Villa,0.81667,2,2,340,25,3,0.9961,w,0.81667,1.18709,0,0,123,22,6,1.18709
EPL 2014_202_80_2014-11-01 15:00:00,2014-11-01 15:00:00,False,202,Queens Park Rangers,l,80,Chelsea,0.510067,1,1,300,23,3,0.24209999999999998,l,0.510067,2.23703,2,2,176,32,12,1.47586
EPL 2014_202_88_2014-11-08 17:30:00,2014-11-08 17:30:00,True,202,Queens Park Rangers,d,88,Manchester City,1.86489,2,2,271,28,4,1.5175999999999998,d,1.86489,1.70189,2,2,175,21,15,1.70189
EPL 2014_202_86_2014-11-22 15:00:00,2014-11-22 15:00:00,False,202,Queens Park Rangers,l,86,Newcastle United,0.402285,0,0,184,26,5,0.47050000000000003,l,0.402285,1.47871,1,1,149,34,9,1.47871
EPL 2014_202_75_2014-11-29 15:00:00,2014-11-29 15:00:00,True,202,Queens Park Rangers,w,75,Leicester,2.98194,3,3,105,13,7,1.9742000000000002,w,2.98194,2.10013,2,2,175,29,8,2.10013
EPL 2014_202_84_2014-12-02 19:45:00,2014-12-02 19:45:00,False,202,Queens Park Rangers,l,84,Swansea,0.789519,0,0,335,28,4,0.7788,l,0.789519,1.54207,2,2,186,24,6,1.54207
EPL 2014_202_92_2014-12-06 15:00:00,2014-12-06 15:00:00,True,202,Queens Park Rangers,w,92,Burnley,1.63744,2,2,157,14,11,1.654,w,1.63744,1.2646,0,0,161,25,12,1.2646
EPL 2014_202_72_2014-12-15 20:00:00,2014-12-15 20:00:00,False,202,Queens Park Rangers,l,72,Everton,0.972265,1,1,286,28,4,1.5516999999999999,l,0.972265,0.747708,3,3,232,29,5,0.747708
EPL 2014_202_76_2014-12-20 15:00:00,2014-12-20 15:00:00,True,202,Queens Park Rangers,w,76,West Bromwich Albion,2.92864,3,3,184,22,4,2.5012,w,2.16747,1.30117,2,2,157,17,12,1.30117
EPL 2014_202_83_2014-12-26 17:30:00,2014-12-26 17:30:00,False,202,Queens Park Rangers,l,83,Arsenal,1.21752,1,1,304,35,7,0.6531,l,0.456385,2.13888,2,2,221,18,11,1.37771
EPL 2014_202_78_2014-12-28 15:00:00,2014-12-28 15:00:00,True,202,Queens Park Rangers,d,78,Crystal Palace,0.405679,0,0,112,24,4,1.3231,d,0.405679,0.328577,0,0,177,22,5,0.328577
