match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2015_75_77_2015-08-08 18:00:00,2015-08-08 18:00:00,False,77,Sunderland,l,75,Leicester,1.45946,2,2,172,18,6,0.662,l,1.45946,2.56803,4,4,272,25,5,1.80686
EPL 2015_77_79_2015-08-15 18:00:00,2015-08-15 18:00:00,True,77,Sunderland,l,79,Norwich,0.329128,1,1,224,22,2,0.3375,l,0.329128,1.71686,3,3,224,21,6,1.71686
EPL 2015_77_84_2015-08-22 18:00:00,2015-08-22 18:00:00,True,77,Sunderland,d,84,Swansea,0.569426,1,1,293,29,2,0.6088,d,0.569426,1.56064,1,1,163,19,4,1.56064
EPL 2015_71_77_2015-08-29 18:00:00,2015-08-29 18:00:00,False,77,Sunderland,d,71,Aston Villa,0.368848,2,2,294,40,3,0.1749,d,0.368848,2.27406,2,2,190,22,12,1.51289
EPL 2015_77_82_2015-09-13 16:30:00,2015-09-13 16:30:00,True,77,Sunderland,l,82,Tottenham,1.0407,0,0,217,18,4,1.0179,l,1.0407,1.45615,1,1,150,29,12,1.45615
EPL 2015_73_77_2015-09-19 18:00:00,2015-09-19 18:00:00,False,77,Sunderland,l,73,Bournemouth,0.854867,0,0,241,26,2,1.5617,l,0.854867,0.644335,2,2,230,27,7,0.644335
EPL 2015_77_89_2015-09-26 18:00:00,2015-09-26 18:00:00,False,77,Sunderland,l,89,Manchester United,0.832139,0,0,352,16,1,0.1436,l,0.832139,2.8971,3,3,180,28,6,2.8971
EPL 2015_77_81_2015-10-03 18:00:00,2015-10-03 18:00:00,True,77,Sunderland,d,81,West Ham,1.08401,2,2,247,19,3,0.7297,d,1.08401,1.93656,2,2,197,21,7,1.93656
EPL 2015_76_77_2015-10-17 18:00:00,2015-10-17 18:00:00,False,77,Sunderland,l,76,West Bromwich Albion,0.658473,0,0,211,23,5,0.2791,l,0.658473,2.07781,1,1,179,19,2,2.07781
EPL 2015_77_86_2015-10-25 16:00:00,2015-10-25 16:00:00,True,77,Sunderland,w,86,Newcastle United,2.37969,3,3,247,20,5,2.1763,w,1.61852,1.41744,0,0,143,16,7,1.41744
EPL 2015_72_77_2015-11-01 17:30:00,2015-11-01 17:30:00,False,77,Sunderland,l,72,Everton,1.21834,2,2,345,23,8,0.6232,l,1.21834,2.34852,6,6,169,11,11,2.34852
EPL 2015_74_77_2015-11-07 19:00:00,2015-11-07 19:00:00,True,77,Sunderland,l,74,Southampton,0.299104,0,0,274,14,3,0.25129999999999997,l,0.299104,1.79578,1,1,139,19,6,1.03461
EPL 2015_77_78_2015-11-24 00:00:00,2015-11-24 00:00:00,False,77,Sunderland,w,78,Crystal Palace,1.30739,1,1,249,9,8,1.9251999999999998,w,1.30739,0.696183,0,0,98,32,4,0.696183
EPL 2015_77_85_2015-11-28 19:00:00,2015-11-28 19:00:00,True,77,Sunderland,w,85,Stoke,0.863466,2,2,255,26,6,1.3138,w,0.863466,0.79464,0,0,234,15,4,0.79464
EPL 2015_77_83_2015-12-05 19:00:00,2015-12-05 19:00:00,False,77,Sunderland,l,83,Arsenal,1.5228,1,1,377,16,7,0.8341,l,1.5228,2.29559,3,3,133,23,11,2.29559
