match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2015_82_89_2015-08-08 15:45:00,2015-08-08 15:45:00,False,82,Tottenham,l,89,Manchester United,0.6746,0,0,263,32,10,1.3613,l,0.6746,0.627539,1,1,318,23,4,0.627539
EPL 2015_82_85_2015-08-15 18:00:00,2015-08-15 18:00:00,True,82,Tottenham,d,85,Stoke,1.70614,2,2,243,24,1,0.6767,d,1.70614,2.80956,2,2,325,28,5,2.04843
EPL 2015_75_82_2015-08-22 18:00:00,2015-08-22 18:00:00,False,82,Tottenham,d,75,Leicester,1.89437,1,1,94,19,5,2.1978999999999997,d,1.89437,0.829012,1,1,296,19,5,0.829012
EPL 2015_72_82_2015-08-29 20:30:00,2015-08-29 20:30:00,True,82,Tottenham,d,72,Everton,1.99917,0,0,238,32,11,2.3372,d,1.99917,0.694692,0,0,241,13,6,0.694692
EPL 2015_77_82_2015-09-13 16:30:00,2015-09-13 16:30:00,False,82,Tottenham,w,77,Sunderland,1.45615,1,1,150,29,12,1.6844999999999999,w,1.45615,1.0407,0,0,217,18,4,1.0407
EPL 2015_78_82_2015-09-20 16:30:00,2015-09-20 16:30:00,True,82,Tottenham,w,78,Crystal Palace,1.01573,1,1,176,34,10,1.7608,w,1.01573,0.538439,0,0,234,23,5,0.538439
EPL 2015_82_88_2015-09-26 15:45:00,2015-09-26 15:45:00,True,82,Tottenham,w,88,Manchester City,2.30799,4,4,201,38,3,1.896,w,2.30799,1.57842,1,1,218,20,17,1.57842
EPL 2015_82_84_2015-10-04 19:00:00,2015-10-04 19:00:00,False,82,Tottenham,d,84,Swansea,1.18142,2,2,238,31,4,1.6914,d,1.18142,0.774806,2,2,291,21,3,0.774806
EPL 2015_82_87_2015-10-17 15:45:00,2015-10-17 15:45:00,True,82,Tottenham,d,87,Liverpool,0.586228,0,0,213,38,4,1.142,d,0.586228,0.715892,0,0,221,27,3,0.715892
EPL 2015_73_82_2015-10-25 18:05:00,2015-10-25 18:05:00,False,82,Tottenham,w,73,Bournemouth,3.43313,5,5,204,37,5,2.9152,w,2.67196,0.490581,1,1,284,23,5,0.490581
EPL 2015_71_82_2015-11-03 00:00:00,2015-11-03 00:00:00,True,82,Tottenham,w,71,Aston Villa,1.14374,3,3,155,26,7,2.0859,w,1.14374,0.325711,1,1,301,21,1,0.325711
EPL 2015_82_83_2015-11-08 20:00:00,2015-11-08 20:00:00,False,82,Tottenham,d,83,Arsenal,0.90585,1,1,223,23,5,0.5739,d,0.90585,2.01767,1,1,189,30,9,2.01767
EPL 2015_81_82_2015-11-22 20:00:00,2015-11-22 20:00:00,True,82,Tottenham,w,81,West Ham,3.22353,4,4,205,37,8,2.7728,w,3.22353,0.818937,1,1,253,27,4,0.818937
EPL 2015_80_82_2015-11-29 16:00:00,2015-11-29 16:00:00,True,82,Tottenham,d,80,Chelsea,0.333494,0,0,134,19,3,1.2338,d,0.333494,0.283375,0,0,264,23,5,0.283375
EPL 2015_76_82_2015-12-05 19:00:00,2015-12-05 19:00:00,False,82,Tottenham,d,76,West Bromwich Albion,1.12876,1,1,124,13,3,1.0145,d,1.12876,1.48695,1,1,311,35,4,1.48695
EPL 2015_82_86_2015-12-13 20:00:00,2015-12-13 20:00:00,True,82,Tottenham,l,86,Newcastle United,1.03317,1,1,152,27,5,0.8423,l,1.03317,1.55252,2,2,232,27,5,1.55252
EPL 2015_74_82_2015-12-19 19:00:00,2015-12-19 19:00:00,False,82,Tottenham,w,74,Southampton,1.47453,2,2,175,26,6,1.9242000000000001,w,1.47453,0.83385,0,0,191,45,5,0.83385
EPL 2015_79_82_2015-12-26 19:00:00,2015-12-26 19:00:00,True,82,Tottenham,w,79,Norwich,2.40666,3,3,186,21,13,2.7030000000000003,w,1.64549,0.452019,0,0,315,30,4,0.452019
EPL 2015_82_90_2015-12-28 19:00:00,2015-12-28 19:00:00,False,82,Tottenham,w,90,Watford,0.527248,2,2,134,29,2,0.6641999999999999,w,0.527248,1.13011,1,1,261,27,4,1.13011
