match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2016_80_81_2016-08-15 23:00:00,2016-08-15 23:00:00,True,80,Chelsea,w,81,West Ham,1.4603,2,2,213,34,7,2.2936,w,0.699127,0.445604,1,1,333,28,3,0.445604
EPL 2016_80_90_2016-08-20 18:00:00,2016-08-20 18:00:00,False,80,Chelsea,w,90,Watford,1.75595,2,2,201,24,9,2.1832,w,1.75595,0.804549,1,1,296,30,1,0.804549
EPL 2016_80_92_2016-08-27 18:00:00,2016-08-27 18:00:00,True,80,Chelsea,w,92,Burnley,2.65838,3,3,233,14,23,2.8418,w,2.65838,0.18449,0,0,343,24,1,0.18449
EPL 2016_80_84_2016-09-11 19:00:00,2016-09-11 19:00:00,False,80,Chelsea,d,84,Swansea,2.19035,2,2,234,17,14,2.0143,d,2.19035,1.2304,2,2,287,28,3,0.469231
EPL 2016_80_87_2016-09-16 23:00:00,2016-09-16 23:00:00,True,80,Chelsea,l,87,Liverpool,1.16415,1,1,250,17,11,1.1212,l,1.16415,1.41642,2,2,323,32,4,1.41642
EPL 2016_80_83_2016-09-24 20:30:00,2016-09-24 20:30:00,False,80,Chelsea,l,83,Arsenal,0.613553,0,0,236,20,4,0.5593,l,0.613553,1.66224,3,3,274,24,15,1.66224
EPL 2016_80_91_2016-10-01 18:00:00,2016-10-01 18:00:00,False,80,Chelsea,w,91,Hull,1.99155,2,2,233,21,11,2.6359000000000004,w,1.99155,0.27266,0,0,281,19,2,0.27266
EPL 2016_75_80_2016-10-15 15:30:00,2016-10-15 15:30:00,True,80,Chelsea,w,75,Leicester,3.11573,3,3,258,23,12,2.9316999999999998,w,3.11573,0.182549,0,0,320,25,3,0.182549
EPL 2016_80_89_2016-10-23 19:00:00,2016-10-23 19:00:00,True,80,Chelsea,w,89,Manchester United,2.25192,4,4,227,25,4,2.4444000000000004,w,2.25192,0.742805,0,0,233,36,9,0.742805
EPL 2016_74_80_2016-10-30 20:00:00,2016-10-30 20:00:00,False,80,Chelsea,w,74,Southampton,1.14759,2,2,237,19,8,1.9948000000000001,w,1.14759,0.422364,0,0,208,29,5,0.422364
EPL 2016_72_80_2016-11-05 21:30:00,2016-11-05 21:30:00,True,80,Chelsea,w,72,Everton,1.94078,5,5,274,21,12,2.8023,w,1.94078,0.0131321,0,0,374,28,1,0.0131321
EPL 2016_80_93_2016-11-20 20:00:00,2016-11-20 20:00:00,False,80,Chelsea,w,93,Middlesbrough,1.68738,1,1,299,29,20,2.2786,w,1.68738,0.55976,0,0,298,24,2,0.55976
EPL 2016_80_82_2016-11-26 21:30:00,2016-11-26 21:30:00,True,80,Chelsea,w,82,Tottenham,1.24948,2,2,238,26,7,2.1180000000000003,w,1.24948,0.422568,1,1,207,33,3,0.422568
EPL 2016_80_88_2016-12-03 16:30:00,2016-12-03 16:30:00,False,80,Chelsea,w,88,Manchester City,1.2848,3,3,283,21,8,0.685,w,1.2848,2.24061,1,1,194,34,9,2.24061
EPL 2016_76_80_2016-12-11 16:00:00,2016-12-11 16:00:00,True,80,Chelsea,w,76,West Bromwich Albion,0.551109,1,1,123,21,4,1.6332999999999998,w,0.551109,0.212574,0,0,278,26,0,0.212574
EPL 2016_77_80_2016-12-14 23:45:00,2016-12-14 23:45:00,False,80,Chelsea,w,77,Sunderland,1.22459,1,1,148,17,4,1.9969999999999999,w,1.22459,0.473979,0,0,301,18,5,0.473979
EPL 2016_78_80_2016-12-17 16:30:00,2016-12-17 16:30:00,False,80,Chelsea,w,78,Crystal Palace,0.81444,1,1,263,21,13,1.7385,w,0.81444,0.356331,0,0,192,21,5,0.356331
EPL 2016_73_80_2016-12-26 19:00:00,2016-12-26 19:00:00,True,80,Chelsea,w,73,Bournemouth,1.71303,3,3,361,27,9,2.2879000000000005,w,0.95186,0.650942,0,0,220,23,5,0.650942
