match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2017_74_84_2017-08-12 15:00:00,2017-08-12 15:00:00,False,84,Swansea,d,74,Southampton,0.406196,0,0,219,17,1,0.246,d,0.406196,2.21748,0,0,213,25,16,2.21748
EPL 2017_84_89_2017-08-19 12:30:00,2017-08-19 12:30:00,True,84,Swansea,l,89,Manchester United,0.304164,0,0,341,19,4,0.0199,l,0.304164,3.41021,4,4,217,26,4,3.41021
EPL 2017_78_84_2017-08-26 15:00:00,2017-08-26 15:00:00,False,84,Swansea,w,78,Crystal Palace,0.966783,2,2,288,12,1,1.4879,w,0.966783,0.818951,0,0,291,19,8,0.818951
EPL 2017_84_86_2017-09-10 16:00:00,2017-09-10 16:00:00,True,84,Swansea,l,86,Newcastle United,1.48574,0,0,152,19,6,1.7627,l,1.48574,1.03177,1,1,303,32,2,1.03177
EPL 2017_82_84_2017-09-16 17:30:00,2017-09-16 17:30:00,False,84,Swansea,d,82,Tottenham,0.154074,0,0,341,14,0,0.44580000000000003,d,0.154074,1.17894,0,0,125,26,12,1.17894
EPL 2017_84_90_2017-09-23 15:00:00,2017-09-23 15:00:00,True,84,Swansea,l,90,Watford,1.50811,1,1,259,22,5,1.5756,l,1.50811,1.25817,2,2,249,26,3,1.25817
EPL 2017_81_84_2017-09-30 15:00:00,2017-09-30 15:00:00,False,84,Swansea,l,81,West Ham,0.178568,0,0,200,24,0,0.7012,l,0.178568,0.692185,1,1,309,27,0,0.692185
EPL 2017_219_84_2017-10-14 15:00:00,2017-10-14 15:00:00,True,84,Swansea,w,219,Huddersfield,1.65446,2,2,351,34,4,2.4025,w,1.65446,0.596086,0,0,198,18,3,0.596086
EPL 2017_75_84_2017-10-21 15:00:00,2017-10-21 15:00:00,True,84,Swansea,l,75,Leicester,0.559618,1,1,212,16,2,0.38130000000000003,l,0.559618,1.80814,2,2,242,18,5,1.80814
EPL 2017_83_84_2017-10-28 15:00:00,2017-10-28 15:00:00,False,84,Swansea,l,83,Arsenal,0.8355,1,1,381,17,3,0.399,l,0.8355,2.37777,2,2,164,22,19,2.37777
EPL 2017_220_84_2017-11-04 15:00:00,2017-11-04 15:00:00,True,84,Swansea,l,220,Brighton,1.24557,0,0,199,20,8,1.6679,l,1.24557,0.874927,1,1,265,14,0,0.874927
EPL 2017_84_92_2017-11-18 15:00:00,2017-11-18 15:00:00,False,84,Swansea,l,92,Burnley,0.431402,0,0,141,16,3,0.4597,l,0.431402,1.5427,2,2,274,23,7,1.5427
EPL 2017_73_84_2017-11-25 15:00:00,2017-11-25 15:00:00,True,84,Swansea,d,73,Bournemouth,0.879594,0,0,263,42,4,1.7673,d,0.879594,0.449075,0,0,222,14,7,0.449075
EPL 2017_80_84_2017-11-29 19:45:00,2017-11-29 19:45:00,False,84,Swansea,l,80,Chelsea,0.0411427,0,0,337,16,1,0.084,l,0.0411427,2.30012,1,1,237,24,9,2.30012
EPL 2017_84_85_2017-12-02 15:00:00,2017-12-02 15:00:00,False,84,Swansea,l,85,Stoke,0.320601,1,1,184,26,0,0.49310000000000004,l,0.320601,1.24743,2,2,287,18,9,1.24743
