match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2017_87_90_2017-08-12 12:30:00,2017-08-12 12:30:00,True,90,Watford,d,87,Liverpool,2.17647,3,3,259,23,2,1.0226,d,2.17647,2.61549,3,3,206,14,10,1.85432
EPL 2017_73_90_2017-08-19 15:00:00,2017-08-19 15:00:00,False,90,Watford,w,73,Bournemouth,2.17717,2,2,230,25,7,2.3991,w,2.17717,0.766694,0,0,165,16,7,0.766694
EPL 2017_220_90_2017-08-26 15:00:00,2017-08-26 15:00:00,True,90,Watford,d,220,Brighton,0.281459,0,0,258,8,5,0.6756,d,0.281459,0.952357,0,0,156,22,8,0.952357
EPL 2017_74_90_2017-09-09 15:00:00,2017-09-09 15:00:00,False,90,Watford,w,74,Southampton,0.57794,2,2,201,21,3,1.5306,w,0.57794,0.331259,0,0,192,19,6,0.331259
EPL 2017_88_90_2017-09-16 15:00:00,2017-09-16 15:00:00,True,90,Watford,l,88,Manchester City,0.803933,0,0,384,13,1,0.0545,l,0.803933,3.99349,6,6,188,23,16,3.23232
EPL 2017_84_90_2017-09-23 15:00:00,2017-09-23 15:00:00,False,90,Watford,w,84,Swansea,1.25817,2,2,249,26,3,1.089,w,1.25817,1.50811,1,1,259,22,5,1.50811
EPL 2017_76_90_2017-09-30 15:00:00,2017-09-30 15:00:00,False,90,Watford,d,76,West Bromwich Albion,1.62462,2,2,165,20,11,1.0928,d,1.62462,1.93896,2,2,322,20,5,1.93896
EPL 2017_83_90_2017-10-14 17:30:00,2017-10-14 17:30:00,True,90,Watford,w,83,Arsenal,1.63418,2,2,309,19,4,1.9394999999999998,w,0.873011,0.988468,1,1,264,23,8,0.988468
EPL 2017_80_90_2017-10-21 19:30:00,2017-10-21 19:30:00,False,90,Watford,l,80,Chelsea,1.79693,2,2,268,31,8,1.3739000000000001,l,1.79693,1.78315,4,4,207,22,4,1.78315
EPL 2017_85_90_2017-10-28 15:00:00,2017-10-28 15:00:00,True,90,Watford,l,85,Stoke,1.13448,0,0,114,18,13,1.6319,l,1.13448,0.778883,1,1,295,9,4,0.778883
EPL 2017_72_90_2017-11-05 16:30:00,2017-11-05 16:30:00,False,90,Watford,l,72,Everton,2.05534,2,2,120,13,6,0.9804999999999999,l,1.29417,2.5796,3,3,211,29,7,1.81843
EPL 2017_81_90_2017-11-19 16:00:00,2017-11-19 16:00:00,True,90,Watford,w,81,West Ham,1.24547,2,2,238,25,12,1.1397,w,1.24547,1.43369,0,0,289,19,3,1.43369
EPL 2017_86_90_2017-11-25 15:00:00,2017-11-25 15:00:00,False,90,Watford,w,86,Newcastle United,2.05844,3,3,254,28,7,2.2603,w,2.05844,0.86002,0,0,237,25,10,0.86002
EPL 2017_89_90_2017-11-28 20:00:00,2017-11-28 20:00:00,True,90,Watford,l,89,Manchester United,1.29277,2,2,196,22,4,1.0968,l,0.5316,1.63491,4,4,262,16,5,1.63491
EPL 2017_82_90_2017-12-02 15:00:00,2017-12-02 15:00:00,True,90,Watford,d,82,Tottenham,0.352672,1,1,235,23,6,0.7602,d,0.352672,0.788817,1,1,208,21,3,0.788817
EPL 2017_90_92_2017-12-09 15:00:00,2017-12-09 15:00:00,False,90,Watford,l,92,Burnley,0.819233,0,0,161,14,7,1.6745,l,0.819233,0.485632,1,1,177,16,6,0.485632
EPL 2017_78_90_2017-12-12 20:00:00,2017-12-12 20:00:00,False,90,Watford,l,78,Crystal Palace,1.40441,1,1,225,21,1,1.5967,l,1.40441,1.10545,2,2,167,19,3,1.10545
EPL 2017_219_90_2017-12-16 15:00:00,2017-12-16 15:00:00,True,90,Watford,l,219,Huddersfield,0.589103,1,1,152,18,7,0.058499999999999996,l,0.589103,3.49193,4,4,261,33,4,2.73076
EPL 2017_220_90_2017-12-23 15:00:00,2017-12-23 15:00:00,False,90,Watford,l,220,Brighton,1.30044,0,0,226,21,4,1.2835999999999999,l,1.30044,1.40139,1,1,183,16,3,1.40139
EPL 2017_75_90_2017-12-26 15:00:00,2017-12-26 15:00:00,True,90,Watford,w,75,Leicester,1.43009,2,2,189,32,6,1.2358,w,1.43009,1.54771,1,1,140,19,4,1.54771
EPL 2017_84_90_2017-12-30 15:00:00,2017-12-30 15:00:00,True,90,Watford,l,84,Swansea,1.17794,1,1,334,27,5,1.2101,l,1.17794,1.31479,2,2,292,28,4,1.31479
EPL 2017_88_90_2018-01-02 20:00:00,2018-01-02 20:00:00,False,90,Watford,l,88,Manchester City,0.965283,1,1,536,21,2,0.2963,l,0.965283,2.77398,3,3,142,26,14,2.77398
EPL 2017_74_90_2018-01-13 15:00:00,2018-01-13 15:00:00,True,90,Watford,d,74,Southampton,1.67369,2,2,178,24,13,2.0095,d,1.67369,0.857637,2,2,210,19,6,0.857637
EPL 2017_75_90_2018-01-20 15:00:00,2018-01-20 15:00:00,False,90,Watford,l,75,Leicester,0.740795,0,0,235,21,4,0.6549,l,0.740795,1.51932,2,2,192,22,6,0.758155
EPL 2017_85_90_2018-01-31 20:00:00,2018-01-31 20:00:00,False,90,Watford,d,85,Stoke,0.740773,0,0,121,18,6,1.3363,d,0.740773,0.722172,0,0,111,16,5,0.722172
EPL 2017_80_90_2018-02-05 20:00:00,2018-02-05 20:00:00,True,90,Watford,w,80,Chelsea,2.12696,4,4,312,32,13,2.5432,w,1.36579,0.573557,1,1,218,19,5,0.573557
EPL 2017_81_90_2018-02-10 15:00:00,2018-02-10 15:00:00,False,90,Watford,l,81,West Ham,0.799928,0,0,102,19,9,0.5711999999999999,l,0.799928,1.83359,2,2,208,23,2,1.83359
EPL 2017_72_90_2018-02-24 17:30:00,2018-02-24 17:30:00,True,90,Watford,w,72,Everton,0.606929,1,1,170,31,4,1.1953,w,0.606929,0.665127,0,0,199,28,4,0.665127
EPL 2017_76_90_2018-03-03 15:00:00,2018-03-03 15:00:00,True,90,Watford,w,76,West Bromwich Albion,1.23526,1,1,166,20,4,1.4497,w,1.23526,1.09115,0,0,193,34,3,1.09115
EPL 2017_83_90_2018-03-11 13:30:00,2018-03-11 13:30:00,False,90,Watford,l,83,Arsenal,1.54676,0,0,284,17,7,0.7555999999999999,l,0.785587,2.38263,3,3,151,20,8,2.38263
EPL 2017_87_90_2018-03-17 17:30:00,2018-03-17 17:30:00,False,90,Watford,l,87,Liverpool,0.35476,0,0,371,19,2,0.3206,l,0.35476,1.81208,5,5,224,19,14,1.81208
EPL 2017_73_90_2018-03-31 15:00:00,2018-03-31 15:00:00,True,90,Watford,d,73,Bournemouth,0.76133,2,2,243,34,15,0.4241,d,0.76133,2.1146,2,2,176,10,7,1.35343
EPL 2017_90_92_2018-04-07 14:00:00,2018-04-07 14:00:00,True,90,Watford,l,92,Burnley,1.36685,1,1,131,23,10,1.3159,l,1.36685,1.38319,2,2,200,28,1,1.38319
EPL 2017_219_90_2018-04-14 14:00:00,2018-04-14 14:00:00,False,90,Watford,l,219,Huddersfield,0.306273,0,0,145,16,7,0.6414,l,0.306273,0.929512,1,1,204,25,7,0.929512
EPL 2017_78_90_2018-04-21 14:00:00,2018-04-21 14:00:00,True,90,Watford,d,78,Crystal Palace,0.59455,0,0,174,44,2,1.7199,d,0.59455,0.182325,0,0,156,18,6,0.182325
EPL 2017_82_90_2018-04-30 19:00:00,2018-04-30 19:00:00,False,90,Watford,l,82,Tottenham,1.36928,0,0,329,22,5,1.0616,l,1.36928,1.76757,2,2,176,31,13,1.76757
EPL 2017_86_90_2018-05-05 15:00:00,2018-05-05 15:00:00,True,90,Watford,w,86,Newcastle United,2.81246,2,2,318,18,2,2.807,w,1.89999,0.613901,1,1,215,14,6,0.613901
EPL 2017_89_90_2018-05-13 15:00:00,2018-05-13 15:00:00,False,90,Watford,l,89,Manchester United,0.654288,0,0,250,27,5,1.4852,l,0.654288,0.45805,1,1,262,14,5,0.45805
