match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2018_74_92_2018-08-12 15:30:00,2018-08-12 15:30:00,False,92,Burnley,d,74,Southampton,1.40827,0,0,164,21,7,1.6760000000000002,d,1.40827,1.01994,0,0,199,12,3,1.01994
EPL 2018_90_92_2018-08-19 15:30:00,2018-08-19 15:30:00,True,92,Burnley,l,90,Watford,0.392642,1,1,149,19,4,0.213,l,0.392642,1.9171,3,3,227,26,9,1.9171
EPL 2018_228_92_2018-08-26 17:00:00,2018-08-26 17:00:00,False,92,Burnley,l,228,Fulham,1.56882,2,2,353,19,5,1.1357,l,1.56882,1.92459,4,4,164,14,10,1.92459
EPL 2018_89_92_2018-09-02 15:00:00,2018-09-02 15:00:00,True,92,Burnley,l,89,Manchester United,1.09923,0,0,294,14,2,0.33099999999999996,l,1.09923,2.90359,2,2,215,20,13,2.14242
EPL 2018_229_92_2018-09-16 12:30:00,2018-09-16 12:30:00,False,92,Burnley,l,229,Wolverhampton Wanderers,0.208994,0,0,287,16,3,0.0428,l,0.208994,3.3916,1,1,226,13,11,3.3916
EPL 2018_73_92_2018-09-22 14:00:00,2018-09-22 14:00:00,True,92,Burnley,w,73,Bournemouth,2.29417,4,4,330,32,10,2.3859,w,2.29417,0.976413,0,0,156,9,10,0.976413
EPL 2018_227_92_2018-09-30 15:00:00,2018-09-30 15:00:00,False,92,Burnley,w,227,Cardiff,0.111527,2,2,90,13,6,0.2355,w,0.111527,1.56707,1,1,105,17,14,1.56707
EPL 2018_219_92_2018-10-06 14:00:00,2018-10-06 14:00:00,True,92,Burnley,d,219,Huddersfield,0.353128,1,1,332,23,1,0.6769,d,0.353128,1.02549,1,1,109,17,1,1.02549
EPL 2018_88_92_2018-10-20 14:00:00,2018-10-20 14:00:00,False,92,Burnley,l,88,Manchester City,0.370236,0,0,390,10,1,0.0207,l,0.370236,4.48577,5,5,179,19,18,4.48577
EPL 2018_80_92_2018-10-28 12:30:00,2018-10-28 12:30:00,True,92,Burnley,l,80,Chelsea,0.269828,0,0,526,33,1,0.0808,l,0.269828,3.01621,4,4,196,15,8,3.01621
EPL 2018_81_92_2018-11-03 15:00:00,2018-11-03 15:00:00,False,92,Burnley,l,81,West Ham,0.882514,2,2,252,20,3,0.3722,l,0.882514,2.55739,4,4,144,15,14,2.55739
EPL 2018_75_92_2018-11-10 15:00:00,2018-11-10 15:00:00,False,92,Burnley,d,75,Leicester,0.368393,0,0,255,20,0,0.4652,d,0.368393,1.5091,0,0,134,17,6,1.5091
EPL 2018_86_92_2018-11-26 20:00:00,2018-11-26 20:00:00,True,92,Burnley,l,86,Newcastle United,1.49487,1,1,277,19,10,1.1776,l,1.49487,1.67701,2,2,371,31,3,1.67701
EPL 2018_78_92_2018-12-01 15:00:00,2018-12-01 15:00:00,False,92,Burnley,l,78,Crystal Palace,0.302477,0,0,256,23,2,0.2739,l,0.302477,2.03785,2,2,178,13,10,2.03785
EPL 2018_87_92_2018-12-05 19:45:00,2018-12-05 19:45:00,True,92,Burnley,l,87,Liverpool,1.05809,1,1,445,20,7,0.20450000000000002,l,1.05809,2.73897,3,3,87,9,14,2.73897
EPL 2018_220_92_2018-12-08 15:00:00,2018-12-08 15:00:00,True,92,Burnley,w,220,Brighton,1.81251,1,1,295,20,8,2.0648,w,1.81251,0.951507,0,0,150,16,3,0.951507
EPL 2018_82_92_2018-12-15 15:00:00,2018-12-15 15:00:00,False,92,Burnley,l,82,Tottenham,0.451196,0,0,327,18,4,0.3987,l,0.451196,1.74625,1,1,99,14,11,1.74625
