match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2018_83_88_2018-08-12 18:00:00,2018-08-12 18:00:00,False,88,Manchester City,w,83,Arsenal,2.0178,2,2,241,22,8,2.5791,w,2.0178,0.445187,0,0,339,25,8,0.445187
EPL 2018_219_88_2018-08-19 15:30:00,2018-08-19 15:30:00,True,88,Manchester City,w,219,Huddersfield,4.60356,6,6,101,11,17,2.9558999999999997,w,4.60356,0.663731,1,1,317,9,4,0.663731
EPL 2018_229_88_2018-08-25 14:30:00,2018-08-25 14:30:00,False,88,Manchester City,d,229,Wolverhampton Wanderers,1.84293,1,1,123,18,10,1.8124,d,1.84293,1.26376,1,1,366,16,2,1.26376
EPL 2018_86_88_2018-09-01 16:30:00,2018-09-01 16:30:00,True,88,Manchester City,w,86,Newcastle United,2.46904,2,2,97,11,9,2.6351000000000004,w,2.46904,0.554763,1,1,396,13,2,0.554763
EPL 2018_228_88_2018-09-15 14:00:00,2018-09-15 14:00:00,True,88,Manchester City,w,228,Fulham,4.91621,3,3,228,21,22,2.9919,w,4.91621,0.342698,0,0,420,11,3,0.342698
EPL 2018_227_88_2018-09-22 14:00:00,2018-09-22 14:00:00,False,88,Manchester City,w,227,Cardiff,3.08415,5,5,107,14,18,2.9209,w,3.08415,0.0980726,0,0,540,8,2,0.0980726
EPL 2018_220_88_2018-09-29 14:00:00,2018-09-29 14:00:00,True,88,Manchester City,w,220,Brighton,2.90697,2,2,115,19,21,2.8899000000000004,w,2.90697,0.23023,0,0,330,10,0,0.23023
EPL 2018_87_88_2018-10-07 15:30:00,2018-10-07 15:30:00,False,88,Manchester City,d,87,Liverpool,1.07481,0,0,333,22,4,2.0808,d,0.313641,0.433994,0,0,347,15,3,0.433994
EPL 2018_88_92_2018-10-20 14:00:00,2018-10-20 14:00:00,True,88,Manchester City,w,92,Burnley,4.48577,5,5,179,19,18,2.9664,w,4.48577,0.370236,0,0,390,10,1,0.370236
EPL 2018_82_88_2018-10-29 19:00:00,2018-10-29 19:00:00,False,88,Manchester City,w,82,Tottenham,1.93588,1,1,290,22,15,2.5302,w,1.93588,0.442436,0,0,277,26,4,0.442436
EPL 2018_74_88_2018-11-04 15:00:00,2018-11-04 15:00:00,True,88,Manchester City,w,74,Southampton,2.76272,6,6,179,20,35,2.0159,w,2.76272,1.81466,1,1,417,14,4,1.05349
EPL 2018_88_89_2018-11-11 16:30:00,2018-11-11 16:30:00,True,88,Manchester City,w,89,Manchester United,2.02764,3,3,240,19,16,2.2319,w,2.02764,0.97089,1,1,384,19,5,0.209721
EPL 2018_81_88_2018-11-24 15:00:00,2018-11-24 15:00:00,False,88,Manchester City,w,81,West Ham,2.95852,4,4,190,13,11,2.803,w,2.95852,0.829504,0,0,524,18,6,0.829504
EPL 2018_73_88_2018-12-01 15:00:00,2018-12-01 15:00:00,True,88,Manchester City,w,73,Bournemouth,2.83557,3,3,149,24,10,2.7379,w,2.83557,0.715009,1,1,472,7,6,0.715009
