match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2018_82_86_2018-08-11 14:30:00,2018-08-11 14:30:00,True,86,Newcastle United,l,82,Tottenham,0.974497,1,1,349,20,8,0.3879,l,0.974497,2.58097,2,2,198,35,3,2.58097
EPL 2018_227_86_2018-08-18 14:30:00,2018-08-18 14:30:00,False,86,Newcastle United,d,227,Cardiff,1.55405,0,0,107,17,3,1.7041,d,0.79288,1.15521,0,0,151,30,3,1.15521
EPL 2018_80_86_2018-08-26 18:00:00,2018-08-26 18:00:00,True,86,Newcastle United,l,80,Chelsea,0.209337,1,1,338,14,3,0.26239999999999997,l,0.209337,1.49669,2,2,80,18,13,0.735524
EPL 2018_86_88_2018-09-01 16:30:00,2018-09-01 16:30:00,False,86,Newcastle United,l,88,Manchester City,0.554763,1,1,396,13,2,0.23270000000000002,l,0.554763,2.46904,2,2,97,11,9,2.46904
EPL 2018_83_86_2018-09-15 14:00:00,2018-09-15 14:00:00,True,86,Newcastle United,l,83,Arsenal,0.412121,1,1,354,24,3,0.8492,l,0.412121,0.90461,2,2,149,21,10,0.90461
EPL 2018_78_86_2018-09-22 14:00:00,2018-09-22 14:00:00,False,86,Newcastle United,d,78,Crystal Palace,0.229309,0,0,271,29,1,0.6326,d,0.229309,0.930793,0,0,147,20,9,0.930793
EPL 2018_75_86_2018-09-29 14:00:00,2018-09-29 14:00:00,True,86,Newcastle United,l,75,Leicester,0.397301,0,0,315,27,3,0.4535,l,0.397301,1.34341,2,2,191,21,3,0.582246
EPL 2018_86_89_2018-10-06 16:30:00,2018-10-06 16:30:00,False,86,Newcastle United,l,89,Manchester United,1.55962,2,2,336,25,5,0.8258000000000001,l,1.55962,2.40631,3,3,85,17,12,2.40631
EPL 2018_220_86_2018-10-20 14:00:00,2018-10-20 14:00:00,True,86,Newcastle United,l,220,Brighton,1.71169,0,0,93,22,6,2.1504,l,1.71169,0.675798,1,1,245,23,6,0.675798
EPL 2018_74_86_2018-10-27 14:00:00,2018-10-27 14:00:00,False,86,Newcastle United,d,74,Southampton,0.297646,0,0,184,22,3,0.5441,d,0.297646,1.19216,0,0,215,16,7,1.19216
EPL 2018_86_90_2018-11-03 15:00:00,2018-11-03 15:00:00,True,86,Newcastle United,w,90,Watford,0.691575,1,1,264,24,1,0.2791,w,0.691575,2.5452,0,0,159,15,18,2.5452
EPL 2018_73_86_2018-11-10 15:00:00,2018-11-10 15:00:00,True,86,Newcastle United,w,73,Bournemouth,2.57545,2,2,289,19,4,1.8605999999999998,w,2.57545,1.91687,1,1,138,22,5,1.91687
EPL 2018_86_92_2018-11-26 20:00:00,2018-11-26 20:00:00,False,86,Newcastle United,w,92,Burnley,1.67701,2,2,371,31,3,1.5262,w,1.67701,1.49487,1,1,277,19,10,1.49487
EPL 2018_81_86_2018-12-01 15:00:00,2018-12-01 15:00:00,True,86,Newcastle United,l,81,West Ham,1.12583,0,0,182,19,9,0.4187,l,1.12583,2.62697,3,3,282,16,3,2.62697
