match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2019_72_78_2019-08-10 15:00:00,2019-08-10 15:00:00,False,72,Everton,d,78,Crystal Palace,1.2246,0,0,110,27,5,1.6257,d,1.2246,0.87159,0,0,294,26,5,0.87159
EPL 2019_72_90_2019-08-17 15:00:00,2019-08-17 15:00:00,True,72,Everton,w,90,Watford,0.832913,1,1,195,22,4,1.0150000000000001,w,0.832913,1.17279,0,0,157,40,3,1.17279
EPL 2019_71_72_2019-08-23 20:00:00,2019-08-23 20:00:00,False,72,Everton,l,71,Aston Villa,1.25668,0,0,146,27,12,1.7245,l,1.25668,0.855926,2,2,265,20,6,0.855926
EPL 2019_229_72_2019-09-01 14:00:00,2019-09-01 14:00:00,True,72,Everton,w,229,Wolverhampton Wanderers,1.48842,3,3,160,30,4,0.9823999999999999,w,1.48842,2.00172,2,2,242,12,5,2.00172
EPL 2019_72_73_2019-09-15 13:00:00,2019-09-15 13:00:00,False,72,Everton,l,73,Bournemouth,1.50641,1,1,171,31,9,1.4259,l,1.50641,1.41542,3,3,266,22,3,1.41542
EPL 2019_238_72_2019-09-21 14:00:00,2019-09-21 14:00:00,True,72,Everton,l,238,Sheffield United,1.26041,0,0,96,17,9,1.9885999999999997,l,1.26041,0.508011,2,2,263,20,2,0.508011
EPL 2019_72_88_2019-09-28 16:30:00,2019-09-28 16:30:00,True,72,Everton,l,88,Manchester City,2.35854,1,1,392,12,6,0.9393,l,2.35854,3.1082,3,3,204,21,13,3.1082
EPL 2019_72_92_2019-10-05 15:00:00,2019-10-05 15:00:00,False,72,Everton,l,92,Burnley,1.30723,0,0,156,20,4,2.0524,l,1.30723,0.558912,1,1,273,14,6,0.558912
EPL 2019_72_81_2019-10-19 12:30:00,2019-10-19 12:30:00,True,72,Everton,w,81,West Ham,2.23324,2,2,183,32,11,2.6186,w,2.23324,0.459112,0,0,191,19,3,0.459112
EPL 2019_220_72_2019-10-26 15:00:00,2019-10-26 15:00:00,False,72,Everton,l,220,Brighton,1.04723,2,2,327,28,7,1.1805,l,1.04723,1.15279,3,3,237,28,4,0.391623
EPL 2019_72_82_2019-11-03 16:30:00,2019-11-03 16:30:00,True,72,Everton,d,82,Tottenham,1.15532,1,1,281,25,8,2.2648,d,1.15532,0.243393,1,1,184,18,1,0.243393
EPL 2019_72_74_2019-11-09 15:00:00,2019-11-09 15:00:00,False,72,Everton,w,74,Southampton,2.08883,2,2,202,31,6,2.3575,w,2.08883,0.742281,1,1,169,17,1,0.742281
EPL 2019_72_79_2019-11-23 15:00:00,2019-11-23 15:00:00,True,72,Everton,l,79,Norwich,0.812693,0,0,137,23,15,0.638,l,0.812693,1.80849,2,2,189,23,4,1.80849
EPL 2019_72_75_2019-12-01 16:30:00,2019-12-01 16:30:00,False,72,Everton,l,75,Leicester,1.24986,1,1,367,20,1,0.7024999999999999,l,1.24986,2.24348,2,2,129,23,9,2.24348
EPL 2019_72_87_2019-12-04 20:15:00,2019-12-04 20:15:00,False,72,Everton,l,87,Liverpool,1.76453,2,2,315,35,6,0.9361,l,1.76453,2.41397,5,5,184,19,10,2.41397
EPL 2019_72_80_2019-12-07 12:30:00,2019-12-07 12:30:00,True,72,Everton,w,80,Chelsea,2.03892,3,3,350,39,5,1.9575000000000002,w,2.03892,1.25734,1,1,83,18,17,1.25734
EPL 2019_72_89_2019-12-15 14:00:00,2019-12-15 14:00:00,False,72,Everton,d,89,Manchester United,0.276759,1,1,270,24,2,0.39990000000000003,d,0.276759,1.48327,1,1,98,11,4,1.48327
EPL 2019_72_83_2019-12-21 12:30:00,2019-12-21 12:30:00,True,72,Everton,d,83,Arsenal,0.486523,0,0,323,26,8,0.8431,d,0.486523,0.881818,0,0,185,23,1,0.881818
EPL 2019_72_92_2019-12-26 15:00:00,2019-12-26 15:00:00,True,72,Everton,w,92,Burnley,1.47521,1,1,105,19,2,2.1380000000000003,w,1.47521,0.565252,0,0,314,24,1,0.565252
EPL 2019_72_86_2019-12-28 15:00:00,2019-12-28 15:00:00,False,72,Everton,w,86,Newcastle United,2.82576,2,2,153,18,6,2.1729,w,2.82576,1.63211,1,1,250,17,6,1.63211
EPL 2019_72_88_2020-01-01 17:30:00,2020-01-01 17:30:00,False,72,Everton,l,88,Manchester City,0.848942,1,1,518,23,2,0.6552,l,0.848942,1.79757,2,2,257,25,9,1.79757
EPL 2019_220_72_2020-01-11 15:00:00,2020-01-11 15:00:00,True,72,Everton,w,220,Brighton,2.02533,1,1,252,29,10,1.7227000000000001,w,2.02533,1.53324,0,0,279,16,6,1.53324
EPL 2019_72_81_2020-01-18 15:00:00,2020-01-18 15:00:00,False,72,Everton,d,81,West Ham,1.95473,1,1,223,27,4,1.5778,d,1.95473,1.68436,1,1,245,25,2,1.68436
EPL 2019_72_86_2020-01-21 19:30:00,2020-01-21 19:30:00,True,72,Everton,d,86,Newcastle United,2.05254,2,2,293,25,5,2.4682999999999997,d,2.05254,0.570931,2,2,347,23,2,0.570931
EPL 2019_72_90_2020-02-01 15:00:00,2020-02-01 15:00:00,False,72,Everton,w,90,Watford,2.70178,3,3,174,21,5,2.6442,w,2.70178,0.919248,2,2,231,25,2,0.919248
EPL 2019_72_78_2020-02-08 12:30:00,2020-02-08 12:30:00,True,72,Everton,w,78,Crystal Palace,2.79103,3,3,252,31,2,2.6689,w,2.79103,0.865323,1,1,173,22,8,0.865323
EPL 2019_72_83_2020-02-23 16:30:00,2020-02-23 16:30:00,False,72,Everton,l,83,Arsenal,2.65691,2,2,291,27,1,2.3609,l,2.65691,1.33567,3,3,272,20,5,1.33567
EPL 2019_72_89_2020-03-01 14:00:00,2020-03-01 14:00:00,True,72,Everton,d,89,Manchester United,2.41259,1,1,201,24,5,2.2946,d,2.41259,1.12561,1,1,155,17,7,1.12561
EPL 2019_72_80_2020-03-08 14:00:00,2020-03-08 14:00:00,False,72,Everton,l,80,Chelsea,0.445922,0,0,439,23,3,0.2901,l,0.445922,2.02883,4,4,267,21,9,2.02883
EPL 2019_72_87_2020-06-21 18:00:00,2020-06-21 18:00:00,True,72,Everton,d,87,Liverpool,0.621456,0,0,314,17,1,1.2691,d,0.621456,0.659123,0,0,135,34,10,0.659123
EPL 2019_72_79_2020-06-24 17:00:00,2020-06-24 17:00:00,False,72,Everton,w,79,Norwich,0.654912,1,1,252,24,1,1.5691000000000002,w,0.654912,0.382813,0,0,310,22,2,0.382813
EPL 2019_72_75_2020-07-01 17:00:00,2020-07-01 17:00:00,True,72,Everton,w,75,Leicester,1.17592,2,2,329,21,4,0.8506,w,0.414753,1.80384,1,1,146,25,11,1.80384
EPL 2019_72_82_2020-07-06 19:00:00,2020-07-06 19:00:00,False,72,Everton,l,82,Tottenham,0.403762,0,0,244,20,3,1.1391,l,0.403762,0.511828,1,1,254,24,3,0.511828
EPL 2019_72_74_2020-07-09 17:00:00,2020-07-09 17:00:00,True,72,Everton,d,74,Southampton,0.671442,1,1,245,17,2,0.266,d,0.671442,2.29684,1,1,194,28,13,1.53568
EPL 2019_229_72_2020-07-12 11:00:00,2020-07-12 11:00:00,False,72,Everton,l,229,Wolverhampton Wanderers,0.286561,0,0,354,19,3,0.0655,l,0.286561,2.86724,3,3,287,20,4,2.10607
EPL 2019_71_72_2020-07-16 17:00:00,2020-07-16 17:00:00,True,72,Everton,d,71,Aston Villa,0.944434,1,1,184,25,6,0.8672,d,0.944434,1.52021,1,1,283,22,6,1.52021
EPL 2019_238_72_2020-07-20 17:00:00,2020-07-20 17:00:00,False,72,Everton,w,238,Sheffield United,0.624814,1,1,209,16,3,1.5150000000000001,w,0.624814,0.468461,0,0,285,25,5,0.468461
EPL 2019_72_73_2020-07-26 15:00:00,2020-07-26 15:00:00,True,72,Everton,l,73,Bournemouth,1.74699,1,1,123,23,13,1.5886,l,1.74699,1.46461,3,3,434,32,7,0.703516
