match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2019_238_73_2019-08-10 15:00:00,2019-08-10 15:00:00,False,238,Sheffield United,d,73,Bournemouth,1.59864,1,1,274,30,6,1.5905,d,1.59864,1.34099,1,1,204,15,4,1.34099
EPL 2019_238_78_2019-08-18 14:00:00,2019-08-18 14:00:00,True,238,Sheffield United,w,78,Crystal Palace,1.84778,1,1,278,25,2,2.6386,w,1.84778,0.241912,0,0,174,15,5,0.241912
EPL 2019_238_75_2019-08-24 15:00:00,2019-08-24 15:00:00,True,238,Sheffield United,l,75,Leicester,0.654318,1,1,262,23,4,1.2765,l,0.654318,0.704879,2,2,152,17,9,0.704879
EPL 2019_238_80_2019-08-31 15:00:00,2019-08-31 15:00:00,False,238,Sheffield United,d,80,Chelsea,1.04649,2,2,502,24,5,0.527,d,1.04649,2.30579,2,2,253,17,4,2.30579
EPL 2019_238_74_2019-09-14 14:00:00,2019-09-14 14:00:00,True,238,Sheffield United,l,74,Southampton,1.88034,0,0,263,21,8,1.5811,l,1.88034,1.57659,1,1,218,17,7,1.57659
EPL 2019_238_72_2019-09-21 14:00:00,2019-09-21 14:00:00,False,238,Sheffield United,w,72,Everton,0.508011,2,2,263,20,2,0.7021999999999999,w,0.508011,1.26041,0,0,96,17,9,1.26041
EPL 2019_238_87_2019-09-28 11:30:00,2019-09-28 11:30:00,True,238,Sheffield United,l,87,Liverpool,1.17022,0,0,412,17,1,0.7802,l,1.17022,1.97079,1,1,124,11,11,1.97079
EPL 2019_238_90_2019-10-05 15:00:00,2019-10-05 15:00:00,False,238,Sheffield United,d,90,Watford,0.353724,0,0,148,22,5,0.4004,d,0.353724,1.44318,0,0,310,16,2,1.44318
EPL 2019_238_83_2019-10-21 20:00:00,2019-10-21 20:00:00,True,238,Sheffield United,w,83,Arsenal,0.895722,1,1,342,28,6,1.2742,w,0.895722,0.949735,0,0,107,18,8,0.949735
EPL 2019_238_81_2019-10-26 15:00:00,2019-10-26 15:00:00,False,238,Sheffield United,d,81,West Ham,1.16171,1,1,303,21,7,0.4991,d,1.16171,2.33891,1,1,162,16,9,2.33891
EPL 2019_238_92_2019-11-02 15:00:00,2019-11-02 15:00:00,True,238,Sheffield United,w,92,Burnley,2.58392,3,3,248,14,6,2.6151,w,2.58392,0.716613,0,0,170,20,3,0.716613
EPL 2019_238_82_2019-11-09 15:00:00,2019-11-09 15:00:00,False,238,Sheffield United,d,82,Tottenham,0.923443,1,1,334,29,6,0.8906000000000001,d,0.923443,1.5104,1,1,162,17,4,1.5104
EPL 2019_238_89_2019-11-24 16:30:00,2019-11-24 16:30:00,True,238,Sheffield United,d,89,Manchester United,1.56025,3,3,325,31,3,1.5623,d,1.56025,1.33065,3,3,164,19,6,1.33065
EPL 2019_229_238_2019-12-01 14:00:00,2019-12-01 14:00:00,False,238,Sheffield United,d,229,Wolverhampton Wanderers,1.47296,1,1,292,37,8,1.5085000000000002,d,1.47296,1.27422,1,1,159,21,4,1.27422
EPL 2019_238_86_2019-12-05 19:30:00,2019-12-05 19:30:00,True,238,Sheffield United,l,86,Newcastle United,1.09175,0,0,117,16,13,1.846,l,1.09175,0.533775,2,2,360,6,3,0.533775
EPL 2019_238_79_2019-12-08 14:00:00,2019-12-08 14:00:00,False,238,Sheffield United,w,79,Norwich,0.712899,2,2,278,25,2,1.4471999999999998,w,0.712899,0.585805,1,1,198,16,7,0.585805
EPL 2019_238_71_2019-12-14 15:00:00,2019-12-14 15:00:00,True,238,Sheffield United,w,71,Aston Villa,1.888,2,2,192,24,13,2.1525,w,1.888,0.97258,0,0,217,20,1,0.211411
EPL 2019_220_238_2019-12-21 15:00:00,2019-12-21 15:00:00,False,238,Sheffield United,w,220,Brighton,1.65933,1,1,364,18,1,2.4205,w,1.65933,0.428371,0,0,128,15,9,0.428371
EPL 2019_238_90_2019-12-26 15:00:00,2019-12-26 15:00:00,True,238,Sheffield United,d,90,Watford,2.04481,1,1,198,15,6,2.5145,d,1.28364,0.596611,1,1,286,14,6,0.596611
EPL 2019_238_88_2019-12-29 18:00:00,2019-12-29 18:00:00,False,238,Sheffield United,l,88,Manchester City,1.23346,0,0,484,14,2,1.4862,l,1.23346,1.08628,2,2,142,13,9,1.08628
EPL 2019_238_87_2020-01-02 20:00:00,2020-01-02 20:00:00,False,238,Sheffield United,l,87,Liverpool,0.634607,0,0,621,19,7,0.0834,l,0.634607,3.0465,2,2,175,12,16,3.0465
EPL 2019_238_81_2020-01-10 20:00:00,2020-01-10 20:00:00,True,238,Sheffield United,w,81,West Ham,2.02768,1,1,278,28,4,2.2167,w,2.02768,0.90477,0,0,208,19,3,0.90477
EPL 2019_238_83_2020-01-18 15:00:00,2020-01-18 15:00:00,False,238,Sheffield United,d,83,Arsenal,1.18444,1,1,323,36,1,1.2883,d,1.18444,1.22882,1,1,170,18,6,1.22882
EPL 2019_238_88_2020-01-21 19:30:00,2020-01-21 19:30:00,True,238,Sheffield United,l,88,Manchester City,0.774943,0,0,391,17,6,0.1615,l,0.774943,2.873,1,1,106,12,11,2.11183
EPL 2019_238_78_2020-02-01 15:00:00,2020-02-01 15:00:00,False,238,Sheffield United,w,78,Crystal Palace,0.860755,1,1,299,29,4,1.2473,w,0.860755,0.970063,0,0,132,12,6,0.970063
EPL 2019_238_73_2020-02-09 14:00:00,2020-02-09 14:00:00,True,238,Sheffield United,w,73,Bournemouth,2.04467,2,2,178,19,10,2.1409,w,2.04467,1.07183,1,1,203,20,8,1.07183
EPL 2019_220_238_2020-02-22 15:00:00,2020-02-22 15:00:00,True,238,Sheffield United,d,220,Brighton,1.6597,1,1,132,18,7,1.8422,d,1.6597,1.06035,1,1,235,15,2,1.06035
EPL 2019_238_79_2020-03-07 15:00:00,2020-03-07 15:00:00,True,238,Sheffield United,w,79,Norwich,1.17263,1,1,338,34,10,0.3676,w,1.17263,2.55449,0,0,129,16,3,2.55449
EPL 2019_238_71_2020-06-17 17:00:00,2020-06-17 17:00:00,False,238,Sheffield United,d,71,Aston Villa,0.235909,0,0,214,27,2,0.5787,d,0.235909,1.00877,0,0,227,14,5,1.00877
EPL 2019_238_86_2020-06-21 13:00:00,2020-06-21 13:00:00,False,238,Sheffield United,l,86,Newcastle United,0.57107,0,0,281,18,4,0.2848,l,0.57107,2.15148,3,3,277,10,4,2.15148
EPL 2019_238_89_2020-06-24 17:00:00,2020-06-24 17:00:00,False,238,Sheffield United,l,89,Manchester United,0.108082,0,0,424,17,2,0.0454,l,0.108082,2.8416,3,3,177,14,11,2.8416
EPL 2019_238_82_2020-07-02 17:00:00,2020-07-02 17:00:00,True,238,Sheffield United,w,82,Tottenham,1.59994,3,3,359,22,9,1.9298,w,1.59994,1.01524,1,1,115,22,8,1.01524
EPL 2019_238_92_2020-07-05 11:00:00,2020-07-05 11:00:00,False,238,Sheffield United,d,92,Burnley,1.63343,1,1,207,15,7,1.6016,d,1.63343,1.31966,1,1,192,21,4,1.31966
EPL 2019_229_238_2020-07-08 17:00:00,2020-07-08 17:00:00,True,238,Sheffield United,w,229,Wolverhampton Wanderers,0.470483,1,1,340,18,7,1.4051,w,0.470483,0.326909,0,0,154,13,2,0.326909
EPL 2019_238_80_2020-07-11 16:30:00,2020-07-11 16:30:00,True,238,Sheffield United,w,80,Chelsea,2.00632,3,3,505,11,5,2.0434,w,2.00632,1.17509,0,0,71,15,3,1.17509
EPL 2019_238_75_2020-07-16 17:00:00,2020-07-16 17:00:00,False,238,Sheffield United,l,75,Leicester,0.660214,0,0,234,23,1,0.1466,l,0.660214,3.05752,2,2,185,20,6,3.05752
EPL 2019_238_72_2020-07-20 17:00:00,2020-07-20 17:00:00,True,238,Sheffield United,l,72,Everton,0.468461,0,0,285,25,5,1.0608,l,0.468461,0.624814,1,1,209,16,3,0.624814
EPL 2019_238_74_2020-07-26 15:00:00,2020-07-26 15:00:00,False,238,Sheffield United,l,74,Southampton,1.41051,1,1,405,23,1,1.1838,l,1.41051,1.64306,3,3,102,15,10,0.881887
