match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2019_81_88_2019-08-10 12:30:00,2019-08-10 12:30:00,True,81,West Ham,l,88,Manchester City,1.2003,0,0,328,20,1,0.2522,l,1.2003,3.18377,5,5,215,31,9,2.42264
EPL 2019_220_81_2019-08-17 15:00:00,2019-08-17 15:00:00,False,81,West Ham,d,220,Brighton,1.00856,1,1,275,31,4,0.4871,d,1.00856,2.40461,1,1,192,35,8,2.40461
EPL 2019_81_90_2019-08-24 15:00:00,2019-08-24 15:00:00,False,81,West Ham,w,90,Watford,3.45768,3,3,246,19,10,2.1833,w,2.69651,2.29348,1,1,195,21,20,2.29348
EPL 2019_79_81_2019-08-31 15:00:00,2019-08-31 15:00:00,True,81,West Ham,w,79,Norwich,2.20657,2,2,298,38,12,2.1159000000000003,w,2.20657,1.1674,0,0,236,27,5,1.1674
EPL 2019_71_81_2019-09-16 19:00:00,2019-09-16 19:00:00,False,81,West Ham,d,71,Aston Villa,0.535279,0,0,222,22,9,0.5889,d,0.535279,1.40502,0,0,213,22,4,1.40502
EPL 2019_81_89_2019-09-22 13:00:00,2019-09-22 13:00:00,True,81,West Ham,w,89,Manchester United,0.51376,2,2,284,19,4,0.6305,w,0.51376,1.27826,0,0,189,11,5,1.27826
EPL 2019_73_81_2019-09-28 14:00:00,2019-09-28 14:00:00,False,81,West Ham,d,73,Bournemouth,1.29546,2,2,262,20,17,0.7235,d,1.29546,2.31957,2,2,225,20,8,2.31957
EPL 2019_78_81_2019-10-05 17:30:00,2019-10-05 17:30:00,True,81,West Ham,l,78,Crystal Palace,1.23577,1,1,281,19,7,0.6572,l,1.23577,2.0682,2,2,281,14,7,1.30703
EPL 2019_72_81_2019-10-19 12:30:00,2019-10-19 12:30:00,False,81,West Ham,l,72,Everton,0.459112,0,0,191,19,3,0.25370000000000004,l,0.459112,2.23324,2,2,183,32,11,2.23324
EPL 2019_238_81_2019-10-26 15:00:00,2019-10-26 15:00:00,True,81,West Ham,d,238,Sheffield United,2.33891,1,1,162,16,9,2.3030000000000004,d,2.33891,1.16171,1,1,303,21,7,1.16171
EPL 2019_81_86_2019-11-02 15:00:00,2019-11-02 15:00:00,True,81,West Ham,l,86,Newcastle United,1.53597,2,2,100,24,17,1.0710000000000002,l,1.53597,1.93192,3,3,246,17,5,1.93192
EPL 2019_81_92_2019-11-09 15:00:00,2019-11-09 15:00:00,False,81,West Ham,l,92,Burnley,0.474281,0,0,137,24,5,0.214,l,0.474281,2.4158,3,3,218,24,5,2.4158
EPL 2019_81_82_2019-11-23 12:30:00,2019-11-23 12:30:00,True,81,West Ham,l,82,Tottenham,0.661449,2,2,272,24,6,0.3375,l,0.661449,2.20681,3,3,209,23,3,2.20681
EPL 2019_80_81_2019-11-30 15:00:00,2019-11-30 15:00:00,False,81,West Ham,w,80,Chelsea,1.12034,1,1,381,34,3,0.39330000000000004,w,1.12034,2.73185,0,0,159,14,6,2.73185
EPL 2019_229_81_2019-12-04 19:30:00,2019-12-04 19:30:00,False,81,West Ham,l,229,Wolverhampton Wanderers,0.501977,0,0,256,26,4,0.4048,l,0.501977,1.82237,2,2,287,31,5,1.82237
EPL 2019_81_83_2019-12-09 20:00:00,2019-12-09 20:00:00,True,81,West Ham,l,83,Arsenal,0.521847,1,1,449,37,4,0.40509999999999996,l,0.521847,1.79181,3,3,139,6,7,1.79181
EPL 2019_74_81_2019-12-14 17:30:00,2019-12-14 17:30:00,False,81,West Ham,w,74,Southampton,0.90324,1,1,239,20,8,1.3766,w,0.90324,0.805884,0,0,139,18,7,0.805884
EPL 2019_78_81_2019-12-26 15:00:00,2019-12-26 15:00:00,False,81,West Ham,l,78,Crystal Palace,0.796338,1,1,327,33,8,0.44730000000000003,l,0.796338,2.14195,2,2,169,17,12,2.14195
EPL 2019_75_81_2019-12-28 17:30:00,2019-12-28 17:30:00,True,81,West Ham,l,75,Leicester,0.782104,1,1,304,34,7,0.2692,l,0.782104,2.62349,2,2,167,22,8,1.86232
EPL 2019_73_81_2020-01-01 17:30:00,2020-01-01 17:30:00,True,81,West Ham,w,73,Bournemouth,2.32825,4,4,428,19,8,2.5677000000000003,w,1.56708,0.720709,0,0,239,15,4,0.720709
EPL 2019_238_81_2020-01-10 20:00:00,2020-01-10 20:00:00,False,81,West Ham,l,238,Sheffield United,0.90477,0,0,208,19,3,0.5763,l,0.90477,2.02768,1,1,278,28,4,2.02768
EPL 2019_72_81_2020-01-18 15:00:00,2020-01-18 15:00:00,True,81,West Ham,d,72,Everton,1.68436,1,1,245,25,2,1.1683000000000001,d,1.68436,1.95473,1,1,223,27,4,1.95473
EPL 2019_75_81_2020-01-22 19:30:00,2020-01-22 19:30:00,False,81,West Ham,l,75,Leicester,1.16254,1,1,316,20,2,0.2424,l,0.401371,2.91302,4,4,131,22,18,2.15185
EPL 2019_81_87_2020-01-29 19:45:00,2020-01-29 19:45:00,True,81,West Ham,l,87,Liverpool,0.878341,0,0,537,14,2,0.2893,l,0.878341,2.59926,2,2,202,27,11,1.83809
EPL 2019_220_81_2020-02-01 15:00:00,2020-02-01 15:00:00,True,81,West Ham,d,220,Brighton,1.30774,3,3,364,21,5,0.8782000000000001,d,1.30774,2.03179,3,3,152,24,9,2.03179
EPL 2019_81_88_2020-02-19 19:30:00,2020-02-19 19:30:00,False,81,West Ham,l,88,Manchester City,0.0895892,0,0,439,17,1,0.11860000000000001,l,0.0895892,2.13777,2,2,133,13,13,2.13777
EPL 2019_81_87_2020-02-24 20:00:00,2020-02-24 20:00:00,False,81,West Ham,l,87,Liverpool,0.638236,2,2,337,10,3,0.23609999999999998,l,0.638236,2.48209,3,3,121,36,14,2.48209
EPL 2019_74_81_2020-02-29 15:00:00,2020-02-29 15:00:00,True,81,West Ham,w,74,Southampton,2.78682,3,3,277,19,5,2.6128,w,2.78682,0.868573,1,1,100,22,7,0.868573
EPL 2019_81_83_2020-03-07 15:00:00,2020-03-07 15:00:00,False,81,West Ham,l,83,Arsenal,1.61615,0,0,347,15,10,1.3869,l,1.61615,1.55974,1,1,118,10,7,1.55974
EPL 2019_229_81_2020-06-20 16:30:00,2020-06-20 16:30:00,True,81,West Ham,l,229,Wolverhampton Wanderers,0.44207,0,0,293,17,1,0.6318,l,0.44207,1.06433,2,2,193,12,8,1.06433
EPL 2019_81_82_2020-06-23 19:15:00,2020-06-23 19:15:00,False,81,West Ham,l,82,Tottenham,0.83104,0,0,375,22,3,0.4129,l,0.83104,2.24125,2,2,163,14,8,2.24125
EPL 2019_80_81_2020-07-01 19:15:00,2020-07-01 19:15:00,True,81,West Ham,w,80,Chelsea,2.10497,3,3,357,17,7,1.8044999999999998,w,2.10497,1.57609,2,2,123,19,8,0.814917
EPL 2019_81_86_2020-07-05 13:15:00,2020-07-05 13:15:00,False,81,West Ham,d,86,Newcastle United,2.03065,2,2,324,25,4,1.7875999999999999,d,2.03065,1.49121,2,2,187,11,13,1.49121
EPL 2019_81_92_2020-07-08 17:00:00,2020-07-08 17:00:00,True,81,West Ham,l,92,Burnley,1.99821,0,0,186,17,8,2.0684,l,1.99821,1.05291,1,1,193,8,6,1.05291
EPL 2019_79_81_2020-07-11 11:30:00,2020-07-11 11:30:00,False,81,West Ham,w,79,Norwich,3.81088,4,4,334,16,9,2.9212999999999996,w,3.81088,0.613251,0,0,254,18,7,0.613251
EPL 2019_81_90_2020-07-17 19:00:00,2020-07-17 19:00:00,True,81,West Ham,w,90,Watford,0.833995,3,3,204,21,2,1.1349,w,0.833995,1.03402,1,1,99,19,8,1.03402
EPL 2019_81_89_2020-07-22 17:00:00,2020-07-22 17:00:00,False,81,West Ham,d,89,Manchester United,1.29009,1,1,241,18,2,1.6327,d,0.528922,0.984161,1,1,237,20,13,0.984161
EPL 2019_71_81_2020-07-26 15:00:00,2020-07-26 15:00:00,True,81,West Ham,d,71,Aston Villa,0.781465,1,1,130,18,2,1.1626,d,0.781465,0.983594,1,1,234,22,4,0.983594
