match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2020_74_78_2020-09-12 14:00:00,2020-09-12 14:00:00,True,78,Crystal Palace,w,74,Southampton,1.39569,1,1,312,18,1,1.477,w,1.39569,1.26267,0,0,83,23,14,1.26267
EPL 2020_78_89_2020-09-19 16:30:00,2020-09-19 16:30:00,False,78,Crystal Palace,w,89,Manchester United,1.91456,3,3,299,22,4,2.0159000000000002,w,1.15339,1.09737,1,1,86,26,9,1.09737
EPL 2020_72_78_2020-09-26 14:00:00,2020-09-26 14:00:00,True,78,Crystal Palace,l,72,Everton,0.443115,1,1,349,29,4,0.19469999999999998,l,0.443115,2.27189,2,2,168,23,3,1.51072
EPL 2020_78_80_2020-10-03 11:30:00,2020-10-03 11:30:00,False,78,Crystal Palace,l,80,Chelsea,0.103249,0,0,440,17,2,0.0397,l,0.103249,2.51433,4,4,138,31,5,0.991996
EPL 2020_220_78_2020-10-18 13:00:00,2020-10-18 13:00:00,True,78,Crystal Palace,d,220,Brighton,0.761169,1,1,299,22,1,1.1033,d,0.0,1.0935,1,1,147,23,7,1.0935
EPL 2020_228_78_2020-10-24 14:00:00,2020-10-24 14:00:00,False,78,Crystal Palace,w,228,Fulham,2.81049,2,2,323,15,9,2.5374000000000003,w,2.81049,1.05258,1,1,181,29,8,1.05258
EPL 2020_229_78_2020-10-30 20:00:00,2020-10-30 20:00:00,False,78,Crystal Palace,l,229,Wolverhampton Wanderers,0.802767,0,0,234,14,4,0.887,l,0.802767,1.34895,2,2,374,27,8,1.34895
EPL 2020_245_78_2020-11-07 15:00:00,2020-11-07 15:00:00,True,78,Crystal Palace,w,245,Leeds,1.30169,4,4,352,17,8,1.7482,w,1.30169,0.847913,1,1,152,37,6,0.847913
EPL 2020_78_92_2020-11-23 17:30:00,2020-11-23 17:30:00,False,78,Crystal Palace,l,92,Burnley,1.28331,0,0,224,14,7,0.995,l,1.28331,1.75343,1,1,255,22,7,1.75343
EPL 2020_78_86_2020-11-27 20:00:00,2020-11-27 20:00:00,True,78,Crystal Palace,l,86,Newcastle United,0.534893,0,0,186,11,12,0.7053,l,0.534893,1.27929,2,2,269,36,4,1.27929
EPL 2020_76_78_2020-12-06 12:00:00,2020-12-06 12:00:00,False,78,Crystal Palace,w,76,West Bromwich Albion,1.68656,5,5,307,25,14,2.2483999999999997,w,1.68656,0.567234,1,1,259,17,7,0.567234
EPL 2020_78_82_2020-12-13 14:15:00,2020-12-13 14:15:00,True,78,Crystal Palace,d,82,Tottenham,1.84443,1,1,214,20,10,1.7143,d,1.84443,1.40792,1,1,193,18,4,1.40792
