match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2020_74_78_2020-09-12 14:00:00,2020-09-12 14:00:00,False,74,Southampton,l,78,Crystal Palace,1.26267,0,0,83,23,14,1.2208,l,1.26267,1.39569,1,1,312,18,1,1.39569
EPL 2020_74_82_2020-09-20 11:00:00,2020-09-20 11:00:00,True,74,Southampton,l,82,Tottenham,2.27708,2,2,234,27,4,1.3364,l,1.51591,2.28004,5,5,248,23,3,2.28004
EPL 2020_74_92_2020-09-26 19:00:00,2020-09-26 19:00:00,False,74,Southampton,w,92,Burnley,0.706632,1,1,275,20,6,1.71,w,0.706632,0.347136,0,0,230,28,9,0.347136
EPL 2020_74_76_2020-10-04 11:00:00,2020-10-04 11:00:00,True,74,Southampton,w,76,West Bromwich Albion,0.949079,2,2,163,32,6,2.1162,w,0.949079,0.161283,0,0,301,19,1,0.161283
EPL 2020_74_80_2020-10-17 14:00:00,2020-10-17 14:00:00,False,74,Southampton,d,80,Chelsea,1.42348,3,3,336,23,5,0.8833,d,1.42348,1.98708,3,3,251,23,11,1.98708
EPL 2020_72_74_2020-10-25 14:00:00,2020-10-25 14:00:00,True,74,Southampton,w,72,Everton,0.74151,2,2,333,24,6,1.7526,w,0.74151,0.287054,0,0,409,35,6,0.287054
EPL 2020_71_74_2020-11-01 12:00:00,2020-11-01 12:00:00,False,74,Southampton,w,71,Aston Villa,1.00333,4,4,164,22,2,0.4426,w,1.00333,2.44855,3,3,161,23,5,1.68738
EPL 2020_74_86_2020-11-06 20:00:00,2020-11-06 20:00:00,True,74,Southampton,w,86,Newcastle United,0.985828,2,2,199,35,4,2.1004,w,0.985828,0.175633,0,0,335,20,0,0.175633
EPL 2020_229_74_2020-11-23 20:00:00,2020-11-23 20:00:00,False,74,Southampton,d,229,Wolverhampton Wanderers,1.0785,1,1,235,19,10,0.9612,d,1.0785,1.57479,1,1,335,27,5,1.57479
EPL 2020_74_89_2020-11-29 14:00:00,2020-11-29 14:00:00,True,74,Southampton,l,89,Manchester United,0.498783,2,2,287,27,0,0.22610000000000002,l,0.498783,2.47547,3,3,335,28,9,2.47547
EPL 2020_220_74_2020-12-07 20:00:00,2020-12-07 20:00:00,False,74,Southampton,w,220,Brighton,1.34801,2,2,188,31,5,0.8063,w,0.586839,2.03376,1,1,206,22,9,1.27259
EPL 2020_238_74_2020-12-13 12:00:00,2020-12-13 12:00:00,True,74,Southampton,w,238,Sheffield United,2.27973,3,3,94,18,7,2.7797,w,2.27973,0.219115,0,0,370,28,1,0.219115
EPL 2020_74_83_2020-12-16 18:00:00,2020-12-16 18:00:00,False,74,Southampton,d,83,Arsenal,1.11296,1,1,207,22,11,1.7655,d,1.11296,0.661135,1,1,342,20,6,0.661135
EPL 2020_74_88_2020-12-19 15:00:00,2020-12-19 15:00:00,True,74,Southampton,l,88,Manchester City,0.586972,0,0,340,28,7,0.7936,l,0.586972,1.15599,1,1,314,24,8,1.15599
EPL 2020_228_74_2020-12-26 15:00:00,2020-12-26 15:00:00,False,74,Southampton,d,228,Fulham,0.119709,0,0,158,35,0,0.5729,d,0.119709,0.781855,0,0,224,26,6,0.781855
EPL 2020_74_81_2020-12-29 18:00:00,2020-12-29 18:00:00,True,74,Southampton,d,81,West Ham,0.670996,0,0,150,19,7,0.9229,d,0.670996,1.07246,0,0,321,19,7,1.07246
EPL 2020_74_87_2021-01-04 20:00:00,2021-01-04 20:00:00,True,74,Southampton,w,87,Liverpool,0.500436,1,1,368,19,2,0.6221,w,0.500436,1.37204,0,0,185,31,21,1.37204
EPL 2020_74_75_2021-01-16 20:00:00,2021-01-16 20:00:00,False,74,Southampton,l,75,Leicester,0.378147,0,0,219,23,5,0.251,l,0.378147,2.12019,2,2,275,28,9,2.12019
EPL 2020_74_83_2021-01-26 20:15:00,2021-01-26 20:15:00,True,74,Southampton,l,83,Arsenal,0.99504,1,1,167,25,1,0.3914,l,0.99504,2.4339,3,3,326,20,7,2.4339
EPL 2020_71_74_2021-01-30 20:00:00,2021-01-30 20:00:00,True,74,Southampton,l,71,Aston Villa,2.22557,0,0,145,16,17,2.4133,l,2.22557,0.795508,1,1,274,26,4,0.795508
