match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2020_75_76_2020-09-13 13:00:00,2020-09-13 13:00:00,True,76,West Bromwich Albion,l,75,Leicester,0.352997,0,0,363,19,6,0.0568,l,0.352997,2.95581,3,3,179,17,3,1.43347
EPL 2020_72_76_2020-09-19 11:30:00,2020-09-19 11:30:00,False,76,West Bromwich Albion,l,72,Everton,0.315347,2,2,581,14,6,0.0037,l,0.315347,4.16254,5,5,191,21,6,4.16254
EPL 2020_76_80_2020-09-26 16:30:00,2020-09-26 16:30:00,True,76,West Bromwich Albion,d,80,Chelsea,0.911185,3,3,449,11,3,0.40570000000000006,d,0.911185,2.36046,3,3,113,25,12,2.36046
EPL 2020_74_76_2020-10-04 11:00:00,2020-10-04 11:00:00,False,76,West Bromwich Albion,l,74,Southampton,0.161283,0,0,301,19,1,0.5202,l,0.161283,0.949079,2,2,163,32,6,0.949079
EPL 2020_76_92_2020-10-19 16:30:00,2020-10-19 16:30:00,True,76,West Bromwich Albion,d,92,Burnley,0.731692,0,0,165,20,3,0.9921,d,0.731692,1.08532,0,0,253,19,2,1.08532
EPL 2020_220_76_2020-10-26 17:30:00,2020-10-26 17:30:00,False,76,West Bromwich Albion,d,220,Brighton,0.295654,1,1,274,19,4,0.9414,d,0.295654,0.546807,1,1,257,24,4,0.546807
EPL 2020_228_76_2020-11-02 17:30:00,2020-11-02 17:30:00,False,76,West Bromwich Albion,l,228,Fulham,0.482685,0,0,187,37,3,0.4562,l,0.482685,1.62247,2,2,287,23,4,1.62247
EPL 2020_76_82_2020-11-08 12:00:00,2020-11-08 12:00:00,True,76,West Bromwich Albion,l,82,Tottenham,0.799352,0,0,263,16,6,0.579,l,0.799352,1.87063,1,1,142,19,4,1.87063
EPL 2020_76_89_2020-11-21 20:00:00,2020-11-21 20:00:00,False,76,West Bromwich Albion,l,89,Manchester United,0.438646,0,0,324,30,2,0.1638,l,0.438646,2.42994,1,1,221,29,20,1.66881
EPL 2020_238_76_2020-11-28 20:00:00,2020-11-28 20:00:00,True,76,West Bromwich Albion,w,238,Sheffield United,1.71644,1,1,182,19,6,0.4776,w,1.71644,3.36544,0,0,198,15,11,3.36544
EPL 2020_76_78_2020-12-06 12:00:00,2020-12-06 12:00:00,True,76,West Bromwich Albion,l,78,Crystal Palace,0.567234,1,1,259,17,7,0.53,l,0.567234,1.68656,5,5,307,25,14,1.68656
EPL 2020_76_86_2020-12-12 15:00:00,2020-12-12 15:00:00,False,76,West Bromwich Albion,l,86,Newcastle United,0.57319,1,1,230,20,4,1.0030000000000001,l,0.57319,0.904163,2,2,254,10,5,0.904163
EPL 2020_76_88_2020-12-15 20:00:00,2020-12-15 20:00:00,False,76,West Bromwich Albion,d,88,Manchester City,0.210243,1,1,315,9,0,0.1102,d,0.210243,2.58593,1,1,97,14,16,2.58593
EPL 2020_71_76_2020-12-20 19:15:00,2020-12-20 19:15:00,True,76,West Bromwich Albion,l,71,Aston Villa,0.0388442,0,0,272,19,1,0.0251,l,0.0388442,2.61964,3,3,142,17,12,1.85847
EPL 2020_76_87_2020-12-27 16:30:00,2020-12-27 16:30:00,False,76,West Bromwich Albion,d,87,Liverpool,0.739845,1,1,312,8,1,0.7865,d,0.739845,1.45485,1,1,75,23,18,1.45485
EPL 2020_245_76_2020-12-29 18:00:00,2020-12-29 18:00:00,True,76,West Bromwich Albion,l,245,Leeds,0.43551,0,0,482,14,1,0.4676,l,0.43551,1.54225,5,5,115,16,13,1.54225
EPL 2020_76_83_2021-01-02 20:00:00,2021-01-02 20:00:00,True,76,West Bromwich Albion,l,83,Arsenal,0.869874,0,0,385,23,4,0.0513,l,0.869874,4.03429,4,4,161,10,7,4.03429
EPL 2020_229_76_2021-01-16 12:30:00,2021-01-16 12:30:00,False,76,West Bromwich Albion,w,229,Wolverhampton Wanderers,2.46332,3,3,308,18,7,1.795,w,0.940987,1.94358,2,2,115,17,5,1.94358
EPL 2020_76_81_2021-01-19 18:00:00,2021-01-19 18:00:00,False,76,West Bromwich Albion,l,81,West Ham,0.464091,1,1,280,17,5,0.218,l,0.464091,2.17512,2,2,181,13,6,2.17512
EPL 2020_76_88_2021-01-26 20:15:00,2021-01-26 20:15:00,True,76,West Bromwich Albion,l,88,Manchester City,0.568258,0,0,486,18,3,0.20400000000000001,l,0.568258,2.24838,5,5,118,15,15,2.24838
EPL 2020_228_76_2021-01-30 15:00:00,2021-01-30 15:00:00,True,76,West Bromwich Albion,d,228,Fulham,0.994664,2,2,319,22,0,0.9413,d,0.994664,1.52044,2,2,149,17,7,1.52044
EPL 2020_238_76_2021-02-02 18:00:00,2021-02-02 18:00:00,False,76,West Bromwich Albion,l,238,Sheffield United,1.61871,1,1,303,17,2,1.6209000000000002,l,1.61871,1.35804,2,2,115,23,12,1.35804
EPL 2020_76_82_2021-02-07 12:00:00,2021-02-07 12:00:00,False,76,West Bromwich Albion,l,82,Tottenham,0.698686,0,0,341,14,3,0.4905,l,0.698686,1.92997,2,2,169,22,10,1.92997
EPL 2020_76_89_2021-02-14 14:00:00,2021-02-14 14:00:00,True,76,West Bromwich Albion,d,89,Manchester United,0.945964,1,1,307,12,3,1.8589999999999998,d,0.945964,0.423885,1,1,111,14,9,0.423885
EPL 2020_76_92_2021-02-20 15:00:00,2021-02-20 15:00:00,False,76,West Bromwich Albion,d,92,Burnley,1.71922,0,0,190,10,4,2.4752,d,1.71922,0.535153,0,0,111,25,3,0.535153
EPL 2020_220_76_2021-02-27 15:00:00,2021-02-27 15:00:00,True,76,West Bromwich Albion,w,220,Brighton,0.687091,1,1,314,22,2,0.1051,w,0.687091,3.12111,0,0,95,25,10,1.59881
EPL 2020_72_76_2021-03-04 18:00:00,2021-03-04 18:00:00,True,76,West Bromwich Albion,l,72,Everton,1.02038,0,0,315,19,7,1.0187,l,1.02038,1.40789,1,1,248,21,8,1.40789
EPL 2020_76_86_2021-03-07 12:00:00,2021-03-07 12:00:00,True,76,West Bromwich Albion,d,86,Newcastle United,1.46503,0,0,188,19,13,2.2386999999999997,d,1.46503,0.454577,0,0,150,18,6,0.454577
EPL 2020_76_78_2021-03-13 15:00:00,2021-03-13 15:00:00,False,76,West Bromwich Albion,l,78,Crystal Palace,0.513439,0,0,156,29,8,0.5564,l,0.513439,1.30694,1,1,202,22,2,0.545768
EPL 2020_76_80_2021-04-03 11:30:00,2021-04-03 11:30:00,False,76,West Bromwich Albion,w,80,Chelsea,1.38315,5,5,326,21,6,0.6399,w,1.38315,2.55917,2,2,167,27,12,2.55917
EPL 2020_74_76_2021-04-12 17:00:00,2021-04-12 17:00:00,True,76,West Bromwich Albion,w,74,Southampton,2.77089,3,3,184,24,12,2.2443,w,2.00972,1.5002,0,0,105,21,9,0.739026
EPL 2020_75_76_2021-04-22 19:00:00,2021-04-22 19:00:00,False,76,West Bromwich Albion,l,75,Leicester,0.277126,0,0,387,19,4,0.1057,l,0.277126,2.6712,3,3,114,24,9,2.6712
EPL 2020_71_76_2021-04-25 18:00:00,2021-04-25 18:00:00,False,76,West Bromwich Albion,d,71,Aston Villa,1.56764,2,2,226,14,3,0.6323,d,0.806474,2.65394,2,2,89,18,11,1.89277
EPL 2020_229_76_2021-05-03 17:00:00,2021-05-03 17:00:00,True,76,West Bromwich Albion,d,229,Wolverhampton Wanderers,1.07133,1,1,224,25,5,1.5879999999999999,d,1.07133,0.844138,1,1,163,20,8,0.844138
EPL 2020_76_83_2021-05-09 18:00:00,2021-05-09 18:00:00,False,76,West Bromwich Albion,l,83,Arsenal,1.83076,1,1,334,20,2,1.9847,l,1.83076,1.07042,3,3,149,15,6,1.07042
EPL 2020_76_87_2021-05-16 15:30:00,2021-05-16 15:30:00,True,76,West Bromwich Albion,l,87,Liverpool,1.14202,1,1,306,14,3,0.7599,l,1.14202,2.07854,2,2,77,19,20,2.07854
EPL 2020_76_81_2021-05-19 19:15:00,2021-05-19 19:15:00,True,76,West Bromwich Albion,l,81,West Ham,1.10741,1,1,150,17,6,0.1184,l,1.10741,3.56991,3,3,159,17,9,2.80874
EPL 2020_245_76_2021-05-23 15:00:00,2021-05-23 15:00:00,False,76,West Bromwich Albion,l,245,Leeds,1.02209,1,1,266,19,8,0.4264,l,1.02209,2.49009,3,3,111,26,9,1.72892
