match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2020_229_238_2020-09-14 17:00:00,2020-09-14 17:00:00,False,229,Wolverhampton Wanderers,w,238,Sheffield United,1.61307,2,2,188,6,3,1.9139,w,1.61307,0.949316,0,0,247,30,10,0.949316
EPL 2020_229_88_2020-09-21 19:15:00,2020-09-21 19:15:00,True,229,Wolverhampton Wanderers,l,88,Manchester City,0.727677,1,1,430,14,3,0.42200000000000004,l,0.727677,2.07651,3,3,228,30,9,1.31535
EPL 2020_229_81_2020-09-27 18:00:00,2020-09-27 18:00:00,False,229,Wolverhampton Wanderers,l,81,West Ham,0.385152,0,0,221,27,4,0.0847,l,0.385152,3.05703,4,4,370,17,1,3.05703
EPL 2020_228_229_2020-10-04 13:00:00,2020-10-04 13:00:00,True,229,Wolverhampton Wanderers,w,228,Fulham,0.89359,1,1,321,22,2,1.2287,w,0.89359,0.969393,0,0,297,14,6,0.969393
EPL 2020_229_245_2020-10-19 19:00:00,2020-10-19 19:00:00,False,229,Wolverhampton Wanderers,w,245,Leeds,0.618191,1,1,312,26,2,0.9133,w,0.618191,1.08332,0,0,132,24,14,1.08332
EPL 2020_229_86_2020-10-25 16:30:00,2020-10-25 16:30:00,True,229,Wolverhampton Wanderers,d,86,Newcastle United,0.758626,1,1,265,26,5,1.7854,d,0.758626,0.253685,1,1,407,13,4,0.253685
EPL 2020_229_78_2020-10-30 20:00:00,2020-10-30 20:00:00,True,229,Wolverhampton Wanderers,w,78,Crystal Palace,1.34895,2,2,374,27,8,1.82,w,1.34895,0.802767,0,0,234,14,4,0.802767
EPL 2020_229_75_2020-11-08 14:00:00,2020-11-08 14:00:00,False,229,Wolverhampton Wanderers,l,75,Leicester,0.57936,0,0,261,10,6,0.2718,l,0.57936,2.0545,1,1,296,20,1,0.532166
EPL 2020_229_74_2020-11-23 20:00:00,2020-11-23 20:00:00,True,229,Wolverhampton Wanderers,d,74,Southampton,1.57479,1,1,335,27,5,1.7555999999999998,d,1.57479,1.0785,1,1,235,19,10,1.0785
EPL 2020_229_83_2020-11-29 19:15:00,2020-11-29 19:15:00,False,229,Wolverhampton Wanderers,w,83,Arsenal,2.0069,2,2,247,14,6,2.069,w,2.0069,1.1185,1,1,225,28,12,1.1185
EPL 2020_229_87_2020-12-06 19:15:00,2020-12-06 19:15:00,False,229,Wolverhampton Wanderers,l,87,Liverpool,0.357753,0,0,434,21,1,0.3728,l,0.357753,1.59454,4,4,232,13,9,1.59454
EPL 2020_229_71_2020-12-12 12:30:00,2020-12-12 12:30:00,True,229,Wolverhampton Wanderers,l,71,Aston Villa,1.1356,0,0,166,20,6,1.1846999999999999,l,1.1356,1.26872,1,1,162,28,5,0.507552
EPL 2020_229_80_2020-12-15 18:00:00,2020-12-15 18:00:00,True,229,Wolverhampton Wanderers,w,80,Chelsea,0.683783,2,2,256,13,4,0.6368,w,0.683783,1.56772,1,1,227,29,6,1.56772
EPL 2020_229_92_2020-12-21 17:30:00,2020-12-21 17:30:00,False,229,Wolverhampton Wanderers,l,92,Burnley,1.45722,1,1,91,20,4,1.5739,l,0.696055,1.20465,2,2,253,18,6,1.20465
EPL 2020_229_82_2020-12-27 19:15:00,2020-12-27 19:15:00,True,229,Wolverhampton Wanderers,d,82,Tottenham,0.742598,1,1,272,41,5,1.6369,d,0.742598,0.408109,1,1,301,18,5,0.408109
EPL 2020_229_89_2020-12-29 20:00:00,2020-12-29 20:00:00,False,229,Wolverhampton Wanderers,l,89,Manchester United,0.411046,0,0,290,11,3,0.3631,l,0.411046,1.48207,1,1,252,23,10,1.48207
EPL 2020_220_229_2021-01-02 17:30:00,2021-01-02 17:30:00,False,229,Wolverhampton Wanderers,d,220,Brighton,1.81856,3,3,345,14,1,0.8768999999999999,d,1.05739,2.4228,3,3,252,35,12,1.66163
EPL 2020_229_72_2021-01-12 20:15:00,2021-01-12 20:15:00,True,229,Wolverhampton Wanderers,l,72,Everton,0.852495,1,1,317,21,4,1.8117,l,0.852495,0.323445,2,2,332,18,9,0.323445
EPL 2020_229_76_2021-01-16 12:30:00,2021-01-16 12:30:00,True,229,Wolverhampton Wanderers,l,76,West Bromwich Albion,1.94358,2,2,115,17,5,0.9684999999999999,l,1.94358,2.46332,3,3,308,18,7,0.940987
EPL 2020_229_80_2021-01-27 18:00:00,2021-01-27 18:00:00,False,229,Wolverhampton Wanderers,d,80,Chelsea,0.63192,0,0,476,6,1,1.3217,d,0.63192,0.663324,0,0,137,32,6,0.663324
EPL 2020_229_78_2021-01-30 15:00:00,2021-01-30 15:00:00,False,229,Wolverhampton Wanderers,l,78,Crystal Palace,0.450907,0,0,318,17,2,0.5049,l,0.450907,1.36877,1,1,351,18,5,1.36877
EPL 2020_229_83_2021-02-02 18:00:00,2021-02-02 18:00:00,True,229,Wolverhampton Wanderers,w,83,Arsenal,1.56162,2,2,328,13,2,2.121,w,0.800456,0.716265,1,1,337,22,5,0.716265
EPL 2020_229_75_2021-02-07 14:00:00,2021-02-07 14:00:00,True,229,Wolverhampton Wanderers,d,75,Leicester,1.35506,0,0,341,23,7,1.9977,d,1.35506,0.632232,0,0,254,34,10,0.632232
EPL 2020_229_74_2021-02-14 12:00:00,2021-02-14 12:00:00,False,229,Wolverhampton Wanderers,w,74,Southampton,1.09361,2,2,292,19,3,1.6020999999999999,w,0.33244,0.8536,1,1,242,21,6,0.8536
EPL 2020_229_245_2021-02-19 20:00:00,2021-02-19 20:00:00,True,229,Wolverhampton Wanderers,w,245,Leeds,0.592049,1,1,266,27,1,0.2581,w,0.592049,2.4793,0,0,147,19,6,2.4793
EPL 2020_229_86_2021-02-27 20:00:00,2021-02-27 20:00:00,False,229,Wolverhampton Wanderers,d,86,Newcastle United,1.27827,1,1,218,17,5,0.9012,d,1.27827,1.9519,1,1,203,34,6,1.9519
EPL 2020_229_88_2021-03-02 20:00:00,2021-03-02 20:00:00,False,229,Wolverhampton Wanderers,l,88,Manchester City,0.318824,1,1,452,13,1,0.0585,l,0.318824,3.26196,4,4,198,28,20,3.26196
