match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2021_244_83_2021-08-13 19:00:00,2021-08-13 19:00:00,False,83,Arsenal,l,244,Brentford,1.02385,0,0,127,22,10,0.6559,l,1.02385,1.88818,2,2,290,18,7,1.88818
EPL 2021_80_83_2021-08-22 15:30:00,2021-08-22 15:30:00,True,83,Arsenal,l,80,Chelsea,0.630099,0,0,376,23,3,0.0659,l,0.630099,3.64132,2,2,156,15,19,3.64132
EPL 2021_83_88_2021-08-28 11:30:00,2021-08-28 11:30:00,False,83,Arsenal,l,88,Manchester City,0.116805,0,0,365,7,0,0.0063,l,0.116805,4.47273,5,5,91,18,14,4.47273
EPL 2021_79_83_2021-09-11 14:00:00,2021-09-11 14:00:00,True,83,Arsenal,w,79,Norwich,2.68515,1,1,225,18,13,2.6841,w,2.68515,0.577292,0,0,213,11,5,0.577292
EPL 2021_83_92_2021-09-18 14:00:00,2021-09-18 14:00:00,False,83,Arsenal,w,92,Burnley,1.09928,1,1,184,17,7,1.6597,w,1.09928,0.775574,0,0,292,23,9,0.775574
EPL 2021_82_83_2021-09-26 15:30:00,2021-09-26 15:30:00,True,83,Arsenal,w,82,Tottenham,1.44499,3,3,246,15,5,1.7799,w,1.44499,0.980166,1,1,225,18,2,0.980166
EPL 2021_220_83_2021-10-02 16:30:00,2021-10-02 16:30:00,False,83,Arsenal,d,220,Brighton,0.36431,0,0,241,8,7,0.6811,d,0.36431,1.11551,0,0,175,20,9,1.11551
EPL 2021_78_83_2021-10-18 19:00:00,2021-10-18 19:00:00,True,83,Arsenal,d,78,Crystal Palace,1.7436,2,2,321,19,10,2.3971,d,1.7436,0.492239,2,2,278,13,3,0.492239
EPL 2021_71_83_2021-10-22 19:00:00,2021-10-22 19:00:00,True,83,Arsenal,w,71,Aston Villa,3.4984,3,3,224,23,14,2.6395,w,2.62648,1.41088,1,1,265,20,7,1.41088
EPL 2021_75_83_2021-10-30 11:30:00,2021-10-30 11:30:00,False,83,Arsenal,w,75,Leicester,1.10288,2,2,374,15,5,0.685,w,1.10288,1.98801,0,0,173,19,9,1.98801
EPL 2021_83_90_2021-11-07 14:00:00,2021-11-07 14:00:00,True,83,Arsenal,w,90,Watford,1.49208,1,1,178,15,7,2.2822,w,0.730909,0.491659,0,0,305,28,1,0.491659
