match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2021_244_83_2021-08-13 19:00:00,2021-08-13 19:00:00,True,244,Brentford,w,83,Arsenal,1.88818,2,2,290,18,7,2.1154,w,1.88818,1.02385,0,0,127,22,10,1.02385
EPL 2021_244_78_2021-08-21 14:00:00,2021-08-21 14:00:00,False,244,Brentford,d,78,Crystal Palace,0.712439,0,0,237,29,6,1.3954,d,0.712439,0.606313,0,0,184,20,5,0.606313
EPL 2021_244_71_2021-08-28 14:00:00,2021-08-28 14:00:00,False,244,Brentford,d,71,Aston Villa,1.13312,1,1,199,24,8,2.0072,d,1.13312,0.431464,1,1,264,20,2,0.431464
EPL 2021_220_244_2021-09-11 14:00:00,2021-09-11 14:00:00,True,244,Brentford,l,220,Brighton,0.729786,0,0,243,24,3,1.7654,l,0.729786,0.287902,1,1,172,26,6,0.287902
EPL 2021_229_244_2021-09-18 11:30:00,2021-09-18 11:30:00,False,244,Brentford,w,229,Wolverhampton Wanderers,2.32741,2,2,248,23,3,2.4119,w,1.56627,1.02316,0,0,176,14,4,1.02316
EPL 2021_244_87_2021-09-25 16:30:00,2021-09-25 16:30:00,True,244,Brentford,d,87,Liverpool,2.94058,3,3,237,10,4,1.8647,d,2.94058,2.25736,3,3,114,17,12,2.25736
EPL 2021_244_81_2021-10-03 13:00:00,2021-10-03 13:00:00,False,244,Brentford,w,81,West Ham,1.30098,2,2,188,14,1,1.3241999999999998,w,1.30098,1.37258,1,1,132,22,8,1.37258
EPL 2021_244_80_2021-10-16 16:30:00,2021-10-16 16:30:00,True,244,Brentford,l,80,Chelsea,1.62169,0,0,271,19,16,2.5013,l,1.62169,0.248256,1,1,208,15,8,0.248256
EPL 2021_244_75_2021-10-24 13:00:00,2021-10-24 13:00:00,True,244,Brentford,l,75,Leicester,1.16789,1,1,216,37,7,1.4951999999999999,l,1.16789,1.00254,2,2,256,12,5,1.00254
EPL 2021_244_92_2021-10-30 14:00:00,2021-10-30 14:00:00,False,244,Brentford,l,92,Burnley,0.834312,1,1,175,19,2,0.2717,l,0.834312,2.72901,3,3,309,19,2,2.72901
EPL 2021_244_79_2021-11-06 15:00:00,2021-11-06 15:00:00,True,244,Brentford,l,79,Norwich,2.79229,1,1,156,23,11,2.503,l,2.79229,1.15797,2,2,265,18,4,0.396837
EPL 2021_244_86_2021-11-20 15:00:00,2021-11-20 15:00:00,False,244,Brentford,d,86,Newcastle United,1.23275,3,3,153,20,6,0.7258,d,1.23275,2.18388,3,3,154,20,8,2.18388
EPL 2021_244_72_2021-11-28 14:00:00,2021-11-28 14:00:00,True,244,Brentford,w,72,Everton,1.19813,1,1,251,19,3,1.5935,w,0.436957,0.968075,0,0,202,29,9,0.968075
EPL 2021_244_82_2021-12-02 19:30:00,2021-12-02 19:30:00,False,244,Brentford,l,82,Tottenham,0.225492,0,0,253,16,7,0.1308,l,0.225492,2.07248,2,2,315,18,6,2.07248
EPL 2021_244_245_2021-12-05 14:00:00,2021-12-05 14:00:00,False,244,Brentford,d,245,Leeds,1.19959,2,2,255,23,5,1.1591,d,1.19959,1.41896,2,2,134,28,7,1.41896
EPL 2021_244_90_2021-12-10 20:00:00,2021-12-10 20:00:00,True,244,Brentford,w,90,Watford,1.82799,2,2,119,29,6,2.4263,w,1.06682,0.561554,1,1,235,23,2,0.561554
EPL 2021_220_244_2021-12-26 20:00:00,2021-12-26 20:00:00,False,244,Brentford,l,220,Brighton,1.10342,0,0,240,19,7,1.4949999999999999,l,1.10342,0.943363,2,2,258,25,7,0.943363
EPL 2021_244_88_2021-12-29 20:15:00,2021-12-29 20:15:00,True,244,Brentford,l,88,Manchester City,0.238829,0,0,288,22,3,0.496,l,0.238829,1.01763,1,1,112,22,6,1.01763
EPL 2021_244_71_2022-01-02 14:00:00,2022-01-02 14:00:00,True,244,Brentford,w,71,Aston Villa,0.501329,2,2,243,30,4,0.7686,w,0.501329,1.13821,1,1,220,17,6,1.13821
EPL 2021_244_74_2022-01-11 21:45:00,2022-01-11 21:45:00,False,244,Brentford,l,74,Southampton,0.621466,1,1,176,18,3,0.5670000000000001,l,0.621466,1.59306,4,4,223,26,1,1.59306
EPL 2021_244_87_2022-01-16 14:00:00,2022-01-16 14:00:00,False,244,Brentford,l,87,Liverpool,0.376656,0,0,303,20,5,0.061,l,0.376656,3.49099,3,3,150,17,11,3.49099
EPL 2021_244_89_2022-01-19 20:00:00,2022-01-19 20:00:00,True,244,Brentford,l,89,Manchester United,2.081,1,1,263,25,8,1.3774000000000002,l,2.081,2.05969,3,3,193,16,6,2.05969
EPL 2021_229_244_2022-01-22 15:00:00,2022-01-22 15:00:00,True,244,Brentford,l,229,Wolverhampton Wanderers,0.742573,1,1,232,23,6,1.8158999999999998,l,0.742573,0.218211,2,2,239,15,2,0.218211
EPL 2021_244_88_2022-02-09 19:45:00,2022-02-09 19:45:00,False,244,Brentford,l,88,Manchester City,0.461305,0,0,280,17,3,0.29410000000000003,l,0.461305,1.98246,2,2,104,20,11,1.22129
EPL 2021_244_78_2022-02-12 15:00:00,2022-02-12 15:00:00,True,244,Brentford,d,78,Crystal Palace,1.97576,0,0,227,25,7,2.5614,d,1.97576,0.49802,0,0,171,30,5,0.49802
EPL 2021_244_83_2022-02-19 15:00:00,2022-02-19 15:00:00,False,244,Brentford,l,83,Arsenal,0.640726,1,1,241,10,4,0.6603999999999999,l,0.640726,1.52247,2,2,168,23,3,1.52247
EPL 2021_244_86_2022-02-26 15:00:00,2022-02-26 15:00:00,True,244,Brentford,l,86,Newcastle United,0.494232,0,0,244,21,5,0.3033,l,0.494232,2.25373,2,2,107,19,8,2.25373
EPL 2021_244_79_2022-03-05 15:00:00,2022-03-05 15:00:00,False,244,Brentford,w,79,Norwich,2.22064,3,3,237,25,5,2.4979,w,0.698303,0.77334,1,1,141,19,5,0.77334
EPL 2021_244_92_2022-03-12 15:00:00,2022-03-12 15:00:00,True,244,Brentford,w,92,Burnley,1.82002,2,2,159,13,4,2.2026,w,1.05885,0.825311,0,0,253,15,7,0.825311
EPL 2021_244_75_2022-03-20 14:00:00,2022-03-20 14:00:00,False,244,Brentford,l,75,Leicester,1.72466,1,1,304,20,12,1.7344,l,1.72466,1.27865,2,2,254,23,6,1.27865
EPL 2021_244_80_2022-04-02 14:00:00,2022-04-02 14:00:00,False,244,Brentford,w,80,Chelsea,2.43422,4,4,303,15,7,2.1407000000000003,w,2.43422,1.29014,1,1,128,17,10,1.29014
EPL 2021_244_81_2022-04-10 13:00:00,2022-04-10 13:00:00,True,244,Brentford,w,81,West Ham,1.85534,2,2,357,11,14,2.6483000000000003,w,1.85534,0.244824,0,0,287,14,3,0.244824
EPL 2021_244_90_2022-04-16 14:00:00,2022-04-16 14:00:00,False,244,Brentford,w,90,Watford,2.12457,2,2,184,19,4,1.8687,w,2.12457,1.50381,1,1,196,27,6,1.50381
EPL 2021_244_82_2022-04-23 16:30:00,2022-04-23 16:30:00,True,244,Brentford,d,82,Tottenham,1.3153,0,0,238,16,5,2.0374,d,1.3153,0.517755,0,0,201,14,6,0.517755
EPL 2021_244_89_2022-05-02 19:00:00,2022-05-02 19:00:00,False,244,Brentford,l,89,Manchester United,0.681425,0,0,434,11,9,0.43920000000000003,l,0.681425,1.84111,3,3,203,13,5,1.07994
EPL 2021_244_74_2022-05-07 14:00:00,2022-05-07 14:00:00,True,244,Brentford,w,74,Southampton,3.68223,3,3,203,24,11,2.7891999999999997,w,3.68223,0.988574,0,0,149,16,5,0.988574
EPL 2021_244_72_2022-05-15 15:30:00,2022-05-15 15:30:00,False,244,Brentford,w,72,Everton,1.81626,3,3,82,14,7,0.7674000000000001,w,1.81626,2.69589,2,2,303,11,5,1.93472
EPL 2021_244_245_2022-05-22 15:00:00,2022-05-22 15:00:00,True,244,Brentford,l,245,Leeds,0.844985,1,1,206,21,4,0.7797000000000001,l,0.844985,1.47786,2,2,262,20,4,0.716686
