match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2021_79_87_2021-08-14 16:30:00,2021-08-14 16:30:00,False,87,Liverpool,w,79,Norwich,1.78728,3,3,359,31,13,1.7064,w,1.78728,1.3333,0,0,308,12,3,1.3333
EPL 2021_87_92_2021-08-21 11:30:00,2021-08-21 11:30:00,True,87,Liverpool,w,92,Burnley,2.63945,2,2,91,13,8,2.5683,w,2.63945,0.690464,0,0,280,22,3,0.690464
EPL 2021_80_87_2021-08-28 16:30:00,2021-08-28 16:30:00,True,87,Liverpool,d,80,Chelsea,2.08462,1,1,211,29,6,2.4875,d,1.32345,0.573638,1,1,309,11,4,0.573638
EPL 2021_245_87_2021-09-12 15:30:00,2021-09-12 15:30:00,False,87,Liverpool,w,245,Leeds,4.4016,3,3,252,15,15,2.9307,w,4.4016,0.652514,0,0,304,8,8,0.652514
EPL 2021_78_87_2021-09-18 14:00:00,2021-09-18 14:00:00,True,87,Liverpool,w,78,Crystal Palace,2.76793,3,3,155,30,8,2.7229,w,2.76793,0.644168,0,0,244,12,8,0.644168
EPL 2021_244_87_2021-09-25 16:30:00,2021-09-25 16:30:00,False,87,Liverpool,d,244,Brentford,2.25736,3,3,114,17,12,0.9266,d,2.25736,2.94058,3,3,237,10,4,2.94058
EPL 2021_87_88_2021-10-03 15:30:00,2021-10-03 15:30:00,True,87,Liverpool,d,88,Manchester City,0.949368,2,2,325,31,7,1.2774,d,0.949368,1.04319,2,2,293,10,11,1.04319
EPL 2021_87_90_2021-10-16 11:30:00,2021-10-16 11:30:00,False,87,Liverpool,w,90,Watford,3.65553,5,5,122,25,10,2.9688000000000003,w,3.65553,0.302302,0,0,496,11,5,0.302302
EPL 2021_87_89_2021-10-24 15:30:00,2021-10-24 15:30:00,False,87,Liverpool,w,89,Manchester United,4.04765,5,5,214,26,13,2.7818,w,4.04765,1.35584,0,0,425,7,7,1.35584
EPL 2021_220_87_2021-10-30 14:00:00,2021-10-30 14:00:00,True,87,Liverpool,d,220,Brighton,1.39778,2,2,272,23,11,1.2456,d,1.39778,1.51032,2,2,396,15,4,1.51032
EPL 2021_81_87_2021-11-07 16:30:00,2021-11-07 16:30:00,False,87,Liverpool,l,81,West Ham,1.45641,2,2,146,22,16,1.5019,l,1.45641,1.25298,3,3,309,15,3,1.25298
EPL 2021_83_87_2021-11-20 17:30:00,2021-11-20 17:30:00,True,87,Liverpool,w,83,Arsenal,3.97374,4,4,210,31,13,2.9878,w,3.97374,0.268025,0,0,422,15,0,0.268025
EPL 2021_74_87_2021-11-27 15:00:00,2021-11-27 15:00:00,True,87,Liverpool,w,74,Southampton,3.07278,4,4,173,18,14,2.6828000000000003,w,3.07278,0.966132,0,0,350,23,2,0.966132
EPL 2021_72_87_2021-12-01 20:15:00,2021-12-01 20:15:00,False,87,Liverpool,w,72,Everton,2.86067,4,4,116,26,10,2.786,w,2.86067,0.512263,1,1,344,22,1,0.512263
EPL 2021_229_87_2021-12-04 15:00:00,2021-12-04 15:00:00,False,87,Liverpool,w,229,Wolverhampton Wanderers,2.42332,1,1,176,24,16,2.8788,w,2.42332,0.095167,0,0,317,8,1,0.095167
EPL 2021_71_87_2021-12-11 15:00:00,2021-12-11 15:00:00,True,87,Liverpool,w,71,Aston Villa,2.71181,1,1,157,30,15,2.9112,w,1.95064,0.140573,0,0,272,11,4,0.140573
EPL 2021_86_87_2021-12-16 20:00:00,2021-12-16 20:00:00,True,87,Liverpool,w,86,Newcastle United,2.93912,3,3,128,25,14,2.9406000000000003,w,2.93912,0.2064,1,1,353,10,2,0.2064
EPL 2021_82_87_2021-12-19 16:30:00,2021-12-19 16:30:00,False,87,Liverpool,d,82,Tottenham,1.54944,2,2,239,36,13,0.5444,d,1.54944,2.79777,2,2,233,11,11,2.79777
EPL 2021_75_87_2021-12-28 20:00:00,2021-12-28 20:00:00,False,87,Liverpool,l,75,Leicester,2.72682,0,0,204,34,22,2.7552999999999996,l,1.86362,0.615892,1,1,223,12,6,0.615892
EPL 2021_80_87_2022-01-02 16:30:00,2022-01-02 16:30:00,False,87,Liverpool,d,80,Chelsea,1.78897,2,2,309,25,4,1.6882000000000001,d,1.78897,1.389,2,2,212,24,8,1.389
EPL 2021_244_87_2022-01-16 14:00:00,2022-01-16 14:00:00,True,87,Liverpool,w,244,Brentford,3.49099,3,3,150,17,11,2.9013999999999998,w,3.49099,0.376656,0,0,303,20,5,0.376656
EPL 2021_78_87_2022-01-23 14:00:00,2022-01-23 14:00:00,False,87,Liverpool,w,78,Crystal Palace,1.49697,3,3,285,21,11,1.2296999999999998,w,0.735802,1.62615,1,1,294,27,5,1.62615
EPL 2021_75_87_2022-02-10 19:45:00,2022-02-10 19:45:00,True,87,Liverpool,w,75,Leicester,2.72997,2,2,190,42,12,2.7248,w,2.72997,0.544954,0,0,355,15,5,0.544954
EPL 2021_87_92_2022-02-13 14:00:00,2022-02-13 14:00:00,False,87,Liverpool,w,92,Burnley,1.95722,1,1,162,20,6,2.1237999999999997,w,1.95722,1.16081,0,0,368,27,1,1.16081
EPL 2021_79_87_2022-02-19 15:00:00,2022-02-19 15:00:00,True,87,Liverpool,w,79,Norwich,3.15449,3,3,169,22,21,2.7498,w,3.15449,0.66975,1,1,356,14,5,0.66975
EPL 2021_245_87_2022-02-23 19:45:00,2022-02-23 19:45:00,True,87,Liverpool,w,245,Leeds,5.3303,6,6,248,22,13,2.9976000000000003,w,3.80797,0.141547,0,0,435,17,3,0.141547
EPL 2021_81_87_2022-03-05 17:30:00,2022-03-05 17:30:00,True,87,Liverpool,w,81,West Ham,2.18865,1,1,190,18,13,1.9755999999999998,w,2.18865,1.33829,0,0,340,10,3,1.33829
EPL 2021_220_87_2022-03-12 12:30:00,2022-03-12 12:30:00,False,87,Liverpool,w,220,Brighton,2.48312,2,2,258,26,15,2.6037,w,1.72195,0.629316,0,0,196,17,4,0.629316
EPL 2021_83_87_2022-03-16 20:15:00,2022-03-16 20:15:00,False,87,Liverpool,w,83,Arsenal,1.27681,2,2,292,25,4,2.1236,w,1.27681,0.534265,0,0,325,20,1,0.534265
EPL 2021_87_90_2022-04-02 11:30:00,2022-04-02 11:30:00,True,87,Liverpool,w,90,Watford,2.23651,2,2,124,26,7,2.4655,w,1.47534,0.753307,0,0,394,14,3,0.753307
EPL 2021_87_88_2022-04-10 15:30:00,2022-04-10 15:30:00,False,87,Liverpool,d,88,Manchester City,1.29983,2,2,377,20,7,1.3463,d,1.29983,1.34647,2,2,266,16,7,1.34647
EPL 2021_87_89_2022-04-19 19:00:00,2022-04-19 19:00:00,True,87,Liverpool,w,89,Manchester United,2.25967,4,4,215,18,14,2.8224,w,2.25967,0.110227,0,0,571,19,3,0.110227
EPL 2021_72_87_2022-04-24 15:30:00,2022-04-24 15:30:00,True,87,Liverpool,w,72,Everton,1.70397,2,2,72,20,15,2.4032,w,1.70397,0.424961,0,0,379,13,2,0.424961
EPL 2021_86_87_2022-04-30 11:30:00,2022-04-30 11:30:00,False,87,Liverpool,w,86,Newcastle United,2.73435,1,1,110,30,10,2.9482,w,2.73435,0.115353,0,0,320,22,1,0.115353
EPL 2021_82_87_2022-05-07 18:45:00,2022-05-07 18:45:00,True,87,Liverpool,d,82,Tottenham,1.0481,1,1,189,30,13,1.3493000000000002,d,1.0481,0.982635,1,1,268,12,6,0.982635
EPL 2021_71_87_2022-05-10 19:00:00,2022-05-10 19:00:00,False,87,Liverpool,w,71,Aston Villa,1.75417,2,2,179,28,13,1.5892,w,1.75417,1.44726,1,1,283,14,3,1.44726
EPL 2021_74_87_2022-05-17 18:45:00,2022-05-17 18:45:00,False,87,Liverpool,w,74,Southampton,1.19178,2,2,155,20,12,2.3047999999999997,w,1.19178,0.121506,1,1,380,20,3,0.121506
EPL 2021_229_87_2022-05-22 15:00:00,2022-05-22 15:00:00,True,87,Liverpool,w,229,Wolverhampton Wanderers,3.19385,3,3,257,25,24,2.6115,w,3.19385,1.11708,1,1,367,11,4,1.11708
