match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2021_79_87_2021-08-14 16:30:00,2021-08-14 16:30:00,True,79,Norwich,l,87,Liverpool,1.3333,0,0,308,12,3,1.0334999999999999,l,1.3333,1.78728,3,3,359,31,13,1.78728
EPL 2021_79_88_2021-08-21 14:00:00,2021-08-21 14:00:00,False,79,Norwich,l,88,Manchester City,0.0250088,0,0,331,12,0,0.0388,l,0.0250088,2.43928,5,5,259,34,16,2.43928
EPL 2021_75_79_2021-08-28 14:00:00,2021-08-28 14:00:00,True,79,Norwich,l,75,Leicester,1.44084,1,1,274,25,2,1.5021,l,0.679671,1.27371,2,2,193,22,3,1.27371
EPL 2021_79_83_2021-09-11 14:00:00,2021-09-11 14:00:00,False,79,Norwich,l,83,Arsenal,0.577292,0,0,213,11,5,0.2151,l,0.577292,2.68515,1,1,225,18,13,2.68515
EPL 2021_79_90_2021-09-18 14:00:00,2021-09-18 14:00:00,True,79,Norwich,l,90,Watford,0.782665,1,1,218,27,12,0.3517,l,0.782665,2.42487,3,3,208,20,7,2.42487
EPL 2021_72_79_2021-09-25 14:00:00,2021-09-25 14:00:00,False,79,Norwich,l,72,Everton,0.800903,0,0,210,15,4,0.29469999999999996,l,0.800903,2.26681,2,2,297,28,6,1.50564
EPL 2021_79_92_2021-10-02 14:00:00,2021-10-02 14:00:00,False,79,Norwich,d,92,Burnley,0.673617,0,0,194,12,9,1.4089,d,0.673617,0.584725,0,0,200,26,6,0.584725
EPL 2021_220_79_2021-10-16 14:00:00,2021-10-16 14:00:00,True,79,Norwich,d,220,Brighton,1.16088,0,0,288,12,6,1.3029,d,1.16088,1.17572,0,0,136,23,15,1.17572
EPL 2021_79_80_2021-10-23 11:30:00,2021-10-23 11:30:00,False,79,Norwich,l,80,Chelsea,0.267429,0,0,327,18,0,0.047,l,0.267429,3.10509,7,7,248,36,10,2.34393
EPL 2021_245_79_2021-10-31 14:00:00,2021-10-31 14:00:00,True,79,Norwich,l,245,Leeds,0.661887,1,1,192,22,2,0.8668,l,0.661887,1.16855,2,2,150,35,5,1.16855
EPL 2021_244_79_2021-11-06 15:00:00,2021-11-06 15:00:00,False,79,Norwich,w,244,Brentford,1.15797,2,2,265,18,4,0.3436,w,0.396837,2.79229,1,1,156,23,11,2.79229
EPL 2021_74_79_2021-11-20 15:00:00,2021-11-20 15:00:00,True,79,Norwich,w,74,Southampton,0.43778,2,2,301,28,4,0.7430999999999999,w,0.43778,1.13118,1,1,132,17,9,1.13118
EPL 2021_229_79_2021-11-27 15:00:00,2021-11-27 15:00:00,True,79,Norwich,d,229,Wolverhampton Wanderers,1.4047,0,0,360,27,9,2.3478999999999997,d,1.4047,0.297157,0,0,240,15,5,0.297157
EPL 2021_79_86_2021-11-30 19:30:00,2021-11-30 19:30:00,False,79,Norwich,d,86,Newcastle United,1.51084,1,1,128,26,8,1.62,d,1.51084,1.15636,1,1,293,8,2,0.395187
EPL 2021_79_82_2021-12-05 14:00:00,2021-12-05 14:00:00,False,79,Norwich,l,82,Tottenham,1.06562,0,0,248,11,9,0.6900999999999999,l,1.06562,2.00668,3,3,457,19,3,2.00668
EPL 2021_79_89_2021-12-11 17:30:00,2021-12-11 17:30:00,True,79,Norwich,l,89,Manchester United,0.986107,0,0,247,10,8,0.5436,l,0.986107,2.09817,1,1,248,29,9,1.337
EPL 2021_71_79_2021-12-14 19:45:00,2021-12-14 19:45:00,True,79,Norwich,l,71,Aston Villa,0.502647,0,0,193,22,5,0.2555,l,0.502647,1.96261,2,2,283,20,14,1.96261
EPL 2021_79_83_2021-12-26 15:00:00,2021-12-26 15:00:00,True,79,Norwich,l,83,Arsenal,0.154212,0,0,347,25,1,0.0342,l,0.154212,2.87539,5,5,153,16,10,2.11422
EPL 2021_78_79_2021-12-28 15:00:00,2021-12-28 15:00:00,False,79,Norwich,l,78,Crystal Palace,0.594134,0,0,234,21,5,0.263,l,0.594134,2.38978,3,3,207,19,8,1.62862
EPL 2021_79_81_2022-01-12 21:45:00,2022-01-12 21:45:00,False,79,Norwich,l,81,West Ham,0.343347,0,0,285,10,4,0.0849,l,0.343347,2.89217,2,2,191,20,12,2.89217
EPL 2021_72_79_2022-01-15 15:00:00,2022-01-15 15:00:00,True,79,Norwich,w,72,Everton,1.00153,2,2,242,20,4,1.8435000000000001,w,1.00153,0.541027,1,1,139,26,7,0.541027
EPL 2021_79_90_2022-01-21 20:00:00,2022-01-21 20:00:00,False,79,Norwich,w,90,Watford,0.925212,3,3,297,36,2,1.034,w,0.925212,1.30606,0,0,112,22,9,1.30606
EPL 2021_78_79_2022-02-09 19:45:00,2022-02-09 19:45:00,True,79,Norwich,d,78,Crystal Palace,0.296411,1,1,403,23,2,0.4135,d,0.296411,1.22883,1,1,125,27,3,0.467662
EPL 2021_79_88_2022-02-12 17:30:00,2022-02-12 17:30:00,True,79,Norwich,l,88,Manchester City,0.356755,0,0,352,9,5,0.007500000000000001,l,0.356755,4.44653,4,4,157,17,21,3.46024
EPL 2021_79_87_2022-02-19 15:00:00,2022-02-19 15:00:00,False,79,Norwich,l,87,Liverpool,0.66975,1,1,356,14,5,0.1656,l,0.66975,3.15449,3,3,169,22,21,3.15449
EPL 2021_74_79_2022-02-25 20:00:00,2022-02-25 20:00:00,False,79,Norwich,l,74,Southampton,0.424877,0,0,220,14,4,0.0835,l,0.424877,3.08863,2,2,197,21,9,3.08863
EPL 2021_244_79_2022-03-05 15:00:00,2022-03-05 15:00:00,True,79,Norwich,l,244,Brentford,0.77334,1,1,141,19,5,0.34450000000000003,l,0.77334,2.22064,3,3,237,25,5,0.698303
EPL 2021_79_80_2022-03-10 19:30:00,2022-03-10 19:30:00,True,79,Norwich,l,80,Chelsea,0.965723,1,1,419,15,2,0.5409,l,0.204554,2.1308,3,3,210,20,17,2.1308
EPL 2021_245_79_2022-03-13 14:00:00,2022-03-13 14:00:00,False,79,Norwich,l,245,Leeds,1.40148,1,1,212,18,12,0.3369,l,1.40148,3.11755,2,2,200,36,10,3.11755
EPL 2021_220_79_2022-04-02 14:00:00,2022-04-02 14:00:00,False,79,Norwich,d,220,Brighton,0.494112,0,0,169,10,4,0.2157,d,0.494112,2.38297,0,0,149,24,14,1.6218
EPL 2021_79_92_2022-04-10 13:00:00,2022-04-10 13:00:00,True,79,Norwich,w,92,Burnley,1.6723,2,2,163,12,5,1.5326999999999997,w,1.6723,1.44652,0,0,125,19,5,1.44652
EPL 2021_79_89_2022-04-16 14:00:00,2022-04-16 14:00:00,False,79,Norwich,l,89,Manchester United,1.79754,2,2,283,20,12,1.4634999999999998,l,1.79754,1.66737,3,3,233,22,19,1.66737
