match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2023_73_81_2023-08-12 14:00:00,2023-08-12 14:00:00,True,73,Bournemouth,d,81,West Ham,1.51025,1,1,138,27,9,1.3845999999999998,d,1.51025,1.4834,1,1,292,30,8,1.4834
EPL 2023_73_87_2023-08-19 14:00:00,2023-08-19 14:00:00,False,73,Bournemouth,l,87,Liverpool,1.3867,1,1,356,32,8,0.3288,l,1.3867,3.25448,3,3,167,23,11,2.33406
EPL 2023_73_82_2023-08-26 11:30:00,2023-08-26 11:30:00,True,73,Bournemouth,l,82,Tottenham,0.483582,0,0,316,31,6,0.26039999999999996,l,0.483582,2.26115,2,2,200,26,20,2.26115
EPL 2023_244_73_2023-09-02 14:00:00,2023-09-02 14:00:00,False,73,Bournemouth,d,244,Brentford,2.11013,2,2,294,21,5,0.7923,d,2.11013,3.07185,2,2,137,24,15,3.07185
EPL 2023_73_80_2023-09-17 13:00:00,2023-09-17 13:00:00,True,73,Bournemouth,d,80,Chelsea,1.32515,0,0,343,21,9,1.3224,d,1.32515,1.39677,0,0,160,28,17,1.39677
EPL 2023_220_73_2023-09-24 13:00:00,2023-09-24 13:00:00,False,73,Bournemouth,l,220,Brighton,1.58984,1,1,352,35,4,0.9499,l,1.58984,2.14533,3,3,156,28,8,2.14533
EPL 2023_73_83_2023-09-30 14:00:00,2023-09-30 14:00:00,True,73,Bournemouth,l,83,Arsenal,0.644443,0,0,330,22,13,0.0368,l,0.644443,4.0742,4,4,167,28,15,2.55187
EPL 2023_72_73_2023-10-07 14:00:00,2023-10-07 14:00:00,False,73,Bournemouth,l,72,Everton,0.981732,0,0,191,22,13,0.1958,l,0.981732,3.16482,3,3,243,34,8,3.16482
EPL 2023_229_73_2023-10-21 14:00:00,2023-10-21 14:00:00,True,73,Bournemouth,l,229,Wolverhampton Wanderers,1.01839,1,1,298,21,5,0.506,l,1.01839,2.30454,2,2,136,21,15,2.30454
EPL 2023_73_92_2023-10-28 14:00:00,2023-10-28 14:00:00,True,73,Bournemouth,w,92,Burnley,1.10052,2,2,279,30,8,1.4745,w,1.10052,0.90255,1,1,204,18,4,0.90255
EPL 2023_73_88_2023-11-04 15:00:00,2023-11-04 15:00:00,False,73,Bournemouth,l,88,Manchester City,0.643127,1,1,378,13,6,0.3185,l,0.643127,2.39949,6,6,258,12,18,2.39949
EPL 2023_73_86_2023-11-11 17:30:00,2023-11-11 17:30:00,True,73,Bournemouth,w,86,Newcastle United,2.78424,2,2,258,27,7,2.8638999999999997,w,2.78424,0.306141,0,0,231,10,3,0.306141
EPL 2023_238_73_2023-11-25 15:00:00,2023-11-25 15:00:00,False,73,Bournemouth,w,238,Sheffield United,3.13975,3,3,193,11,7,2.6885000000000003,w,3.13975,0.816227,1,1,275,26,7,0.816227
EPL 2023_71_73_2023-12-03 14:00:00,2023-12-03 14:00:00,True,73,Bournemouth,d,71,Aston Villa,2.54937,2,2,263,34,10,2.5224,d,2.54937,0.89511,2,2,114,24,3,0.89511
EPL 2023_73_78_2023-12-06 19:30:00,2023-12-06 19:30:00,False,73,Bournemouth,w,78,Crystal Palace,1.79997,2,2,292,31,7,1.8231,w,1.79997,1.26441,0,0,174,23,9,1.26441
EPL 2023_73_89_2023-12-09 15:00:00,2023-12-09 15:00:00,False,73,Bournemouth,w,89,Manchester United,1.9742,3,3,334,24,6,2.0899,w,1.9742,1.11296,0,0,141,22,15,1.11296
EPL 2023_249_73_2023-12-23 15:00:00,2023-12-23 15:00:00,False,73,Bournemouth,w,249,Nottingham Forest,1.89067,3,3,102,26,7,2.1945,w,1.89067,0.791806,2,2,244,19,4,0.791806
EPL 2023_228_73_2023-12-26 15:00:00,2023-12-26 15:00:00,True,73,Bournemouth,w,228,Fulham,2.07911,3,3,307,28,9,2.6859,w,1.31795,0.324365,0,0,238,29,9,0.324365
EPL 2023_73_82_2023-12-31 14:00:00,2023-12-31 14:00:00,False,73,Bournemouth,l,82,Tottenham,1.58229,1,1,238,40,15,0.9894999999999999,l,1.58229,2.15027,3,3,213,20,13,2.15027
EPL 2023_73_87_2024-01-21 16:30:00,2024-01-21 16:30:00,True,73,Bournemouth,l,87,Liverpool,0.834585,0,0,281,28,10,0.7769999999999999,l,0.834585,1.53344,4,4,149,31,15,1.53344
EPL 2023_73_81_2024-02-01 19:30:00,2024-02-01 19:30:00,False,73,Bournemouth,d,81,West Ham,1.13487,1,1,251,31,5,1.1286,d,1.13487,1.3128,1,1,216,23,2,0.551632
EPL 2023_249_73_2024-02-04 14:00:00,2024-02-04 14:00:00,True,73,Bournemouth,d,249,Nottingham Forest,1.1895,1,1,204,33,4,2.182,d,1.1895,0.456548,1,1,141,20,6,0.456548
EPL 2023_228_73_2024-02-10 15:00:00,2024-02-10 15:00:00,False,73,Bournemouth,l,228,Fulham,2.60612,1,1,225,32,21,1.9494,l,2.60612,1.7456,3,3,227,18,8,1.7456
EPL 2023_73_86_2024-02-17 15:00:00,2024-02-17 15:00:00,False,73,Bournemouth,d,86,Newcastle United,2.08098,2,2,245,35,3,1.1198000000000001,d,2.08098,2.38425,2,2,111,17,9,1.62308
EPL 2023_73_88_2024-02-24 17:30:00,2024-02-24 17:30:00,True,73,Bournemouth,l,88,Manchester City,0.925889,0,0,302,28,8,0.6524,l,0.925889,1.79636,1,1,189,14,13,1.79636
EPL 2023_73_92_2024-03-03 13:00:00,2024-03-03 13:00:00,False,73,Bournemouth,w,92,Burnley,1.43616,2,2,325,24,6,1.2124000000000001,w,1.43616,1.60461,0,0,74,17,9,1.60461
EPL 2023_238_73_2024-03-09 15:00:00,2024-03-09 15:00:00,True,73,Bournemouth,d,238,Sheffield United,3.92657,2,2,103,21,15,2.4797999999999996,d,3.1654,1.91752,2,2,208,11,2,1.91752
EPL 2023_256_73_2024-03-13 19:30:00,2024-03-13 19:30:00,True,73,Bournemouth,w,256,Luton,2.84403,4,4,159,20,7,1.3922,w,2.84403,2.79419,3,3,219,24,1,2.79419
EPL 2023_72_73_2024-03-30 15:00:00,2024-03-30 15:00:00,True,73,Bournemouth,w,72,Everton,1.39268,2,2,145,22,6,1.7694999999999999,w,1.39268,0.93378,1,1,163,19,11,0.93378
EPL 2023_73_78_2024-04-02 18:45:00,2024-04-02 18:45:00,True,73,Bournemouth,w,78,Crystal Palace,1.30969,1,1,222,26,4,2.3952,w,1.30969,0.174389,0,0,232,28,6,0.174389
EPL 2023_256_73_2024-04-06 14:00:00,2024-04-06 14:00:00,False,73,Bournemouth,l,256,Luton,0.616108,1,1,160,33,5,0.7569000000000001,l,0.616108,1.30478,2,2,152,27,7,1.30478
EPL 2023_73_89_2024-04-13 16:30:00,2024-04-13 16:30:00,True,73,Bournemouth,d,89,Manchester United,2.38519,2,2,281,21,12,1.9962,d,2.38519,1.52274,2,2,173,16,8,0.761571
EPL 2023_71_73_2024-04-21 14:00:00,2024-04-21 14:00:00,False,73,Bournemouth,l,71,Aston Villa,2.05211,1,1,243,20,2,0.9381,l,1.29094,2.62687,3,3,196,16,19,2.62687
EPL 2023_229_73_2024-04-24 18:45:00,2024-04-24 18:45:00,False,73,Bournemouth,w,229,Wolverhampton Wanderers,2.40311,1,1,286,34,12,2.6209,w,2.40311,0.484454,0,0,131,16,7,0.484454
EPL 2023_220_73_2024-04-28 13:00:00,2024-04-28 13:00:00,True,73,Bournemouth,w,220,Brighton,2.48132,3,3,381,27,5,2.1901,w,2.48132,1.35682,0,0,127,23,7,1.35682
EPL 2023_73_83_2024-05-04 11:30:00,2024-05-04 11:30:00,False,73,Bournemouth,l,83,Arsenal,0.4687,0,0,188,17,3,0.0456,l,0.4687,3.91372,3,3,211,26,28,3.15255
EPL 2023_244_73_2024-05-11 14:00:00,2024-05-11 14:00:00,True,73,Bournemouth,l,244,Brentford,1.07237,1,1,184,23,11,0.7365999999999999,l,1.07237,1.92722,2,2,122,23,11,1.92722
EPL 2023_73_80_2024-05-19 15:00:00,2024-05-19 15:00:00,False,73,Bournemouth,l,80,Chelsea,2.002,1,1,340,37,10,1.6996999999999998,l,2.002,1.59771,2,2,159,16,8,1.59771
