match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2024_228_89_2024-08-16 19:00:00,2024-08-16 19:00:00,False,228,Fulham,l,89,Manchester United,0.418711,0,0,260,24,3,0.2815,l,0.418711,2.04268,1,1,214,29,7,2.04268
EPL 2024_228_75_2024-08-24 14:00:00,2024-08-24 14:00:00,True,228,Fulham,w,75,Leicester,1.96218,2,2,318,31,7,2.1938,w,1.96218,0.857005,1,1,274,20,1,0.857005
EPL 2024_228_285_2024-08-31 14:00:00,2024-08-31 14:00:00,False,228,Fulham,d,285,Ipswich,1.18883,1,1,229,21,4,1.7666,d,1.18883,0.707048,1,1,250,27,2,0.707048
EPL 2024_228_81_2024-09-14 14:00:00,2024-09-14 14:00:00,True,228,Fulham,d,81,West Ham,2.88601,1,1,164,35,6,2.7014,d,2.88601,0.682719,1,1,213,31,4,0.682719
EPL 2024_228_86_2024-09-21 14:00:00,2024-09-21 14:00:00,True,228,Fulham,w,86,Newcastle United,3.21141,3,3,352,27,7,2.5946000000000002,w,3.21141,1.09768,1,1,149,13,3,1.09768
EPL 2024_228_249_2024-09-28 14:00:00,2024-09-28 14:00:00,False,228,Fulham,w,249,Nottingham Forest,1.43592,1,1,157,19,4,2.1275,w,0.674751,0.614351,0,0,281,14,8,0.614351
EPL 2024_228_88_2024-10-05 14:00:00,2024-10-05 14:00:00,False,228,Fulham,l,88,Manchester City,2.75846,2,2,310,14,11,2.289,l,2.75846,1.36684,3,3,216,15,8,1.36684
EPL 2024_228_71_2024-10-19 14:00:00,2024-10-19 14:00:00,True,228,Fulham,l,71,Aston Villa,2.63074,1,1,247,20,3,2.2527000000000004,l,1.86957,1.43595,3,3,252,15,9,1.43595
EPL 2024_228_72_2024-10-26 16:30:00,2024-10-26 16:30:00,False,228,Fulham,d,72,Everton,1.49531,1,1,219,20,7,1.8721,d,1.49531,0.884845,1,1,360,17,7,0.884845
EPL 2024_228_244_2024-11-04 20:00:00,2024-11-04 20:00:00,True,228,Fulham,w,244,Brentford,1.43017,2,2,156,26,13,1.8809,w,1.43017,0.739231,1,1,296,24,2,0.739231
EPL 2024_228_78_2024-11-09 15:00:00,2024-11-09 15:00:00,False,228,Fulham,w,78,Crystal Palace,2.25331,2,2,170,26,7,1.5794000000000001,w,2.25331,1.96037,0,0,354,26,4,1.96037
EPL 2024_228_229_2024-11-23 15:00:00,2024-11-23 15:00:00,True,228,Fulham,l,229,Wolverhampton Wanderers,0.717158,1,1,238,36,6,0.8195999999999999,l,0.717158,1.33903,4,4,273,19,8,1.33903
EPL 2024_228_82_2024-12-01 13:30:00,2024-12-01 13:30:00,False,228,Fulham,d,82,Tottenham,1.57274,1,1,261,23,7,1.8117,d,1.57274,1.01086,1,1,251,13,7,1.01086
EPL 2024_220_228_2024-12-05 19:30:00,2024-12-05 19:30:00,True,228,Fulham,w,220,Brighton,0.666644,3,3,318,17,3,0.9318,w,0.666644,1.09939,1,1,232,17,2,1.09939
EPL 2024_228_83_2024-12-08 14:00:00,2024-12-08 14:00:00,True,228,Fulham,d,83,Arsenal,0.150988,1,1,341,14,0,0.0306,d,0.150988,2.4333,1,1,165,19,12,2.4333
EPL 2024_228_87_2024-12-14 15:00:00,2024-12-14 15:00:00,False,228,Fulham,d,87,Liverpool,1.2862,2,2,310,8,6,0.8013000000000001,d,1.2862,2.09698,2,2,208,27,8,2.09698
EPL 2024_228_74_2024-12-22 14:00:00,2024-12-22 14:00:00,True,228,Fulham,d,74,Southampton,1.25255,0,0,275,15,8,2.2141,d,1.25255,0.280031,0,0,303,26,3,0.280031
EPL 2024_228_80_2024-12-26 15:00:00,2024-12-26 15:00:00,False,228,Fulham,w,80,Chelsea,1.77929,2,2,304,17,4,1.5630000000000002,w,1.77929,1.55626,1,1,388,23,6,1.55626
EPL 2024_228_73_2024-12-29 15:00:00,2024-12-29 15:00:00,True,228,Fulham,d,73,Bournemouth,0.961566,2,2,215,18,5,0.8170999999999999,d,0.961566,1.70692,2,2,271,26,10,1.70692
EPL 2024_228_285_2025-01-05 14:00:00,2025-01-05 14:00:00,True,228,Fulham,d,285,Ipswich,2.65469,2,2,131,16,5,2.294,d,1.13235,1.4434,2,2,330,24,2,0.682234
EPL 2024_228_81_2025-01-14 19:30:00,2025-01-14 19:30:00,False,228,Fulham,l,81,West Ham,2.83581,2,2,277,32,9,2.6248,l,2.83581,0.937322,3,3,294,17,2,0.937322
EPL 2024_228_75_2025-01-18 15:00:00,2025-01-18 15:00:00,False,228,Fulham,w,75,Leicester,2.36823,2,2,206,21,10,2.6144,w,2.36823,0.676934,0,0,304,16,2,0.676934
EPL 2024_228_89_2025-01-26 19:00:00,2025-01-26 19:00:00,True,228,Fulham,l,89,Manchester United,0.560571,0,0,308,10,3,1.6486999999999998,l,0.560571,0.201988,1,1,273,17,5,0.201988
EPL 2024_228_86_2025-02-01 15:00:00,2025-02-01 15:00:00,False,228,Fulham,w,86,Newcastle United,1.60881,2,2,223,19,5,1.6649999999999998,w,1.60881,1.22716,1,1,219,16,10,1.22716
EPL 2024_228_249_2025-02-15 15:00:00,2025-02-15 15:00:00,True,228,Fulham,w,249,Nottingham Forest,2.20993,2,2,237,17,6,2.6468999999999996,w,2.20993,0.331301,1,1,279,11,4,0.331301
EPL 2024_228_78_2025-02-22 15:00:00,2025-02-22 15:00:00,True,228,Fulham,l,78,Crystal Palace,0.23426,0,0,178,25,8,0.318,l,0.23426,1.46203,2,2,318,18,5,1.46203
EPL 2024_228_229_2025-02-25 19:30:00,2025-02-25 19:30:00,False,228,Fulham,w,229,Wolverhampton Wanderers,1.43473,2,2,314,24,4,1.7796,w,1.43473,0.928973,1,1,228,17,2,0.928973
EPL 2024_220_228_2025-03-08 15:00:00,2025-03-08 15:00:00,False,228,Fulham,l,220,Brighton,0.708227,1,1,288,13,1,0.3972,l,0.708227,1.94417,2,2,279,31,11,1.183
EPL 2024_228_82_2025-03-16 13:30:00,2025-03-16 13:30:00,True,228,Fulham,w,82,Tottenham,1.03966,2,2,245,28,9,1.0252999999999999,w,1.03966,1.40865,0,0,271,27,7,1.40865
EPL 2024_228_83_2025-04-01 19:45:00,2025-04-01 19:45:00,False,228,Fulham,l,83,Arsenal,1.44206,1,1,284,14,2,0.7285,l,1.44206,2.30189,2,2,252,15,11,2.30189
EPL 2024_228_87_2025-04-06 13:00:00,2025-04-06 13:00:00,True,228,Fulham,w,87,Liverpool,1.72764,3,3,326,15,6,1.6276,w,1.72764,1.40638,2,2,180,28,8,1.40638
EPL 2024_228_73_2025-04-14 19:00:00,2025-04-14 19:00:00,False,228,Fulham,l,73,Bournemouth,1.07203,0,0,173,18,10,0.7413,l,1.07203,1.8577,1,1,223,19,4,1.8577
EPL 2024_228_80_2025-04-20 13:00:00,2025-04-20 13:00:00,True,228,Fulham,l,80,Chelsea,0.306122,1,1,310,19,2,0.8209000000000001,l,0.306122,0.75172,2,2,209,16,11,0.75172
EPL 2024_228_74_2025-04-26 14:00:00,2025-04-26 14:00:00,False,228,Fulham,w,74,Southampton,1.9956,2,2,178,24,8,2.0890999999999997,w,1.9956,0.935581,1,1,227,14,2,0.935581
EPL 2024_228_71_2025-05-03 11:30:00,2025-05-03 11:30:00,False,228,Fulham,l,71,Aston Villa,0.702787,0,0,276,28,7,0.8140000000000001,l,0.702787,1.29013,1,1,219,11,5,1.29013
EPL 2024_228_72_2025-05-10 14:00:00,2025-05-10 14:00:00,True,228,Fulham,l,72,Everton,1.20869,1,1,177,22,15,1.2613999999999999,l,1.20869,1.32604,3,3,296,17,4,1.32604
EPL 2024_228_244_2025-05-18 14:00:00,2025-05-18 14:00:00,False,228,Fulham,w,244,Brentford,1.61741,3,3,175,11,6,0.7343000000000001,w,1.61741,2.43045,2,2,166,14,4,1.66928
EPL 2024_228_88_2025-05-25 15:00:00,2025-05-25 15:00:00,True,228,Fulham,l,88,Manchester City,2.21797,0,0,288,13,5,1.2431,l,2.21797,2.45923,2,2,298,22,16,1.69806
