match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
EPL 2025_75_82_2024-08-19 19:00:00,2024-08-19 19:00:00,True,75,Leicester,d,82,Tottenham,1.02614,1,1,331,16,2,1.0574,d,1.02614,1.40775,1,1,159,29,21,1.40775
EPL 2025_228_75_2024-08-24 14:00:00,2024-08-24 14:00:00,False,75,Leicester,l,228,Fulham,0.857005,1,1,274,20,1,0.5912000000000001,l,0.857005,1.96218,2,2,318,31,7,1.96218
EPL 2025_71_75_2024-08-31 14:00:00,2024-08-31 14:00:00,True,75,Leicester,l,71,Aston Villa,0.774741,1,1,224,35,3,0.3729,l,0.774741,2.16385,2,2,314,30,6,2.16385
EPL 2025_75_78_2024-09-14 14:00:00,2024-09-14 14:00:00,False,75,Leicester,d,78,Crystal Palace,1.65187,2,2,315,22,7,0.5925,d,1.65187,2.88716,2,2,167,34,15,2.12599
EPL 2025_72_75_2024-09-21 14:00:00,2024-09-21 14:00:00,True,75,Leicester,d,72,Everton,1.33793,1,1,160,19,8,1.0394,d,1.33793,1.82377,1,1,251,13,6,1.82377
EPL 2025_75_83_2024-09-28 14:00:00,2024-09-28 14:00:00,False,75,Leicester,l,83,Arsenal,0.337909,2,2,265,9,4,0.0018,l,0.337909,6.05305,4,4,139,30,21,6.05305
EPL 2025_73_75_2024-10-05 14:00:00,2024-10-05 14:00:00,True,75,Leicester,w,73,Bournemouth,0.912063,1,1,201,15,2,0.5877,w,0.912063,1.94963,0,0,221,26,7,1.94963
EPL 2025_74_75_2024-10-19 14:00:00,2024-10-19 14:00:00,False,75,Leicester,w,74,Southampton,2.83826,3,3,199,30,11,1.6762000000000001,w,2.0771,2.42776,2,2,240,15,8,2.42776
EPL 2025_249_75_2024-10-25 19:00:00,2024-10-25 19:00:00,True,75,Leicester,l,249,Nottingham Forest,0.832415,1,1,118,23,8,0.281,l,0.832415,2.54488,3,3,298,21,6,2.54488
EPL 2025_285_75_2024-11-02 15:00:00,2024-11-02 15:00:00,False,75,Leicester,d,285,Ipswich,2.33858,1,1,138,13,10,2.1052000000000004,d,2.33858,1.33617,1,1,249,22,4,1.33617
EPL 2025_75_89_2024-11-10 14:00:00,2024-11-10 14:00:00,False,75,Leicester,l,89,Manchester United,0.417295,0,0,292,20,5,0.6164000000000001,l,0.417295,1.2369,3,3,284,28,2,1.2369
EPL 2025_75_80_2024-11-23 12:30:00,2024-11-23 12:30:00,True,75,Leicester,l,80,Chelsea,0.967987,1,1,319,24,3,0.2195,l,0.206818,2.81658,2,2,192,23,13,2.81658
EPL 2025_244_75_2024-11-30 15:00:00,2024-11-30 15:00:00,False,75,Leicester,l,244,Brentford,0.907555,1,1,274,19,3,0.4798,l,0.907555,2.21885,4,4,213,28,7,2.21885
EPL 2025_75_81_2024-12-03 20:15:00,2024-12-03 20:15:00,True,75,Leicester,w,81,West Ham,2.78061,3,3,292,29,4,1.3649,w,2.78061,2.87716,1,1,230,18,14,2.87716
EPL 2025_220_75_2024-12-08 14:00:00,2024-12-08 14:00:00,True,75,Leicester,d,220,Brighton,1.42438,2,2,290,20,3,1.6399000000000001,d,1.42438,1.12184,2,2,323,26,5,1.12184
EPL 2025_75_86_2024-12-14 15:00:00,2024-12-14 15:00:00,False,75,Leicester,l,86,Newcastle United,0.186759,0,0,341,23,3,0.0098,l,0.186759,3.95461,4,4,216,19,21,3.95461
EPL 2025_229_75_2024-12-22 14:00:00,2024-12-22 14:00:00,True,75,Leicester,l,229,Wolverhampton Wanderers,0.78868,0,0,320,27,3,1.017,l,0.78868,1.13531,3,3,321,22,3,1.13531
EPL 2025_75_87_2024-12-26 20:00:00,2024-12-26 20:00:00,False,75,Leicester,l,87,Liverpool,0.22097,1,1,312,4,0,0.2228,l,0.22097,1.89935,3,3,181,33,26,1.89935
EPL 2025_75_88_2024-12-29 14:30:00,2024-12-29 14:30:00,True,75,Leicester,l,88,Manchester City,1.84208,0,0,291,19,5,1.5841,l,1.84208,1.58002,2,2,387,14,9,1.58002
EPL 2025_71_75_2025-01-04 15:00:00,2025-01-04 15:00:00,False,75,Leicester,l,71,Aston Villa,0.81548,1,1,396,19,3,0.2842,l,0.81548,2.3456,2,2,262,29,9,2.3456
EPL 2025_75_78_2025-01-15 19:30:00,2025-01-15 19:30:00,True,75,Leicester,l,78,Crystal Palace,2.09904,0,0,270,22,7,1.238,l,2.09904,2.2647,2,2,356,23,7,2.2647
EPL 2025_228_75_2025-01-18 15:00:00,2025-01-18 15:00:00,True,75,Leicester,l,228,Fulham,0.676934,0,0,304,16,2,0.25039999999999996,l,0.676934,2.36823,2,2,206,21,10,2.36823
EPL 2025_75_82_2025-01-26 14:00:00,2025-01-26 14:00:00,False,75,Leicester,w,82,Tottenham,1.40469,2,2,304,27,5,1.4557,w,1.40469,1.27483,1,1,171,15,5,1.27483
EPL 2025_72_75_2025-02-01 15:00:00,2025-02-01 15:00:00,False,75,Leicester,l,72,Everton,0.447136,0,0,277,23,4,0.1015,l,0.447136,3.11261,4,4,323,18,14,3.11261
