match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2014_143_145_2014-08-25 21:00:00,2014-08-25 21:00:00,True,145,Rayo Vallecano,d,143,Atletico Madrid,0.357337,0,0,173,25,3,0.7398,d,0.357337,0.901586,0,0,339,32,3,0.901586
La_liga 2014_139_145_2014-08-31 20:00:00,2014-08-31 20:00:00,False,145,Rayo Vallecano,d,139,Deportivo La Coruna,2.23586,2,2,232,30,7,1.5912,d,2.23586,1.89944,2,2,259,28,4,1.15616
La_liga 2014_145_207_2014-09-14 11:00:00,2014-09-14 11:00:00,True,145,Rayo Vallecano,l,207,Elche,1.42044,2,2,77,30,9,2.1582999999999997,l,0.677167,0.570631,3,3,263,43,0,0.570631
La_liga 2014_145_154_2014-09-21 16:00:00,2014-09-21 16:00:00,False,145,Rayo Vallecano,l,154,Villarreal,1.40506,2,2,169,23,3,0.1163,l,1.40506,4.38395,4,4,289,28,12,4.38395
La_liga 2014_145_147_2014-09-24 19:00:00,2014-09-24 19:00:00,True,145,Rayo Vallecano,w,147,Athletic Club,3.17965,2,2,197,36,2,2.8401,w,3.17965,1.06179,1,1,218,27,4,1.06179
La_liga 2014_145_151_2014-09-27 21:00:00,2014-09-27 21:00:00,False,145,Rayo Vallecano,w,151,Levante,1.39355,2,2,154,17,5,2.0557,w,0.650272,0.637848,0,0,269,40,4,0.637848
La_liga 2014_145_148_2014-10-04 17:00:00,2014-10-04 17:00:00,True,145,Rayo Vallecano,l,148,Barcelona,0.515599,0,0,260,27,2,0.15839999999999999,l,0.515599,2.97834,2,2,197,26,12,2.97834
La_liga 2014_145_155_2014-10-17 20:00:00,2014-10-17 20:00:00,False,145,Rayo Vallecano,w,155,Granada,0.471785,1,1,177,40,5,1.3211,w,0.471785,0.432469,0,0,283,40,3,0.432469
La_liga 2014_137_145_2014-10-26 11:00:00,2014-10-26 11:00:00,False,145,Rayo Vallecano,l,137,Malaga,0.395055,0,0,137,29,2,0.029,l,0.395055,3.90394,4,4,228,37,9,3.16066
La_liga 2014_145_156_2014-11-03 19:45:00,2014-11-03 19:45:00,True,145,Rayo Vallecano,l,156,Eibar,1.21559,2,2,115,25,5,0.5446,l,1.21559,2.50481,3,3,340,29,2,1.76154
La_liga 2014_145_150_2014-11-08 19:00:00,2014-11-08 19:00:00,False,145,Rayo Vallecano,l,150,Real Madrid,0.843676,1,1,278,33,5,0.25780000000000003,l,0.843676,2.69643,5,5,361,17,7,2.69643
