match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2015_141_142_2015-08-22 20:30:00,2015-08-22 20:30:00,False,142,Getafe,l,141,Espanyol,1.27636,0,0,127,29,1,2.2521999999999998,l,1.27636,0.477297,1,1,292,28,2,0.477297
La_liga 2015_142_155_2015-08-31 00:30:00,2015-08-31 00:30:00,True,142,Getafe,l,155,Granada,0.801319,1,1,117,22,6,0.8807,l,0.801319,1.27622,2,2,197,26,1,0.533071
La_liga 2015_142_147_2015-09-13 18:00:00,2015-09-13 18:00:00,False,142,Getafe,l,147,Athletic Club,0.930841,1,1,223,33,1,0.6074999999999999,l,0.930841,1.91225,3,3,195,27,7,1.91225
La_liga 2015_137_142_2015-09-18 22:30:00,2015-09-18 22:30:00,True,142,Getafe,w,137,Malaga,1.18708,1,1,242,25,4,1.7887,w,1.18708,0.690557,0,0,130,24,5,0.690557
La_liga 2015_142_143_2015-09-22 22:00:00,2015-09-22 22:00:00,False,142,Getafe,l,143,Atletico Madrid,0.480381,0,0,241,24,1,0.4628,l,0.480381,1.48124,2,2,244,36,5,1.48124
La_liga 2015_142_151_2015-09-27 20:15:00,2015-09-27 20:15:00,True,142,Getafe,w,151,Levante,1.09777,3,3,165,25,8,1.7835,w,1.09777,0.589659,0,0,256,13,3,0.589659
La_liga 2015_142_152_2015-10-02 22:30:00,2015-10-02 22:30:00,False,142,Getafe,d,152,Celta Vigo,1.32092,0,0,317,28,2,1.2126000000000001,d,1.32092,1.48902,0,0,114,35,9,1.48902
La_liga 2015_142_144_2015-10-18 20:15:00,2015-10-18 20:15:00,True,142,Getafe,w,144,Las Palmas,2.86431,4,4,349,36,8,2.8078999999999996,w,2.86431,0.443316,0,0,217,29,4,0.443316
La_liga 2015_138_142_2015-10-24 22:30:00,2015-10-24 22:30:00,False,142,Getafe,l,138,Sevilla,0.227689,0,0,270,20,2,0.004200000000000001,l,0.227689,5.15361,5,5,193,24,14,2.92378
La_liga 2015_142_148_2015-10-31 23:30:00,2015-10-31 23:30:00,True,142,Getafe,l,148,Barcelona,0.18992,0,0,389,17,1,0.13690000000000002,l,0.18992,2.07864,2,2,168,32,18,2.07864
La_liga 2015_142_156_2015-11-07 23:30:00,2015-11-07 23:30:00,False,142,Getafe,l,156,Eibar,0.607458,1,1,149,27,2,0.176,l,0.607458,2.65653,3,3,249,30,3,1.91326
La_liga 2015_142_145_2015-11-23 23:30:00,2015-11-23 23:30:00,True,142,Getafe,d,145,Rayo Vallecano,0.721945,1,1,259,29,5,0.8332999999999999,d,0.721945,1.1181,1,1,111,28,0,0.234495
La_liga 2015_142_154_2015-11-29 15:00:00,2015-11-29 15:00:00,True,142,Getafe,w,154,Villarreal,1.67288,2,2,241,21,4,2.14,w,1.67288,0.7886,0,0,140,33,9,0.7886
La_liga 2015_142_150_2015-12-05 19:00:00,2015-12-05 19:00:00,False,142,Getafe,l,150,Real Madrid,0.24488,1,1,389,19,1,0.2384,l,0.24488,1.87007,4,4,241,24,9,1.87007
La_liga 2015_140_142_2015-12-11 23:30:00,2015-12-11 23:30:00,True,142,Getafe,d,140,Real Sociedad,0.762214,1,1,288,28,1,0.4934,d,0.762214,1.82817,1,1,152,25,7,1.82817
La_liga 2015_142_146_2015-12-19 19:00:00,2015-12-19 19:00:00,False,142,Getafe,d,146,Valencia,0.508532,2,2,304,31,2,0.6485000000000001,d,0.508532,1.18705,2,2,166,27,5,1.18705
La_liga 2015_139_142_2015-12-30 23:30:00,2015-12-30 23:30:00,True,142,Getafe,d,139,Deportivo La Coruna,0.742286,0,0,176,22,6,1.4543000000000001,d,0.742286,0.584931,0,0,175,25,4,0.584931
La_liga 2015_142_149_2016-01-04 23:30:00,2016-01-04 23:30:00,False,142,Getafe,w,149,Sporting Gijon,2.18421,2,2,153,30,7,1.6349,w,1.44093,1.85778,1,1,182,24,1,1.85778
La_liga 2015_142_153_2016-01-09 21:15:00,2016-01-09 21:15:00,True,142,Getafe,w,153,Real Betis,1.28639,1,1,172,29,6,2.0314,w,1.28639,0.602107,0,0,176,34,5,0.602107
La_liga 2015_141_142_2016-01-17 21:15:00,2016-01-17 21:15:00,True,142,Getafe,w,141,Espanyol,2.98406,3,3,365,16,8,2.2385,w,2.98406,1.6525,1,1,169,31,7,1.6525
La_liga 2015_142_155_2016-01-23 23:30:00,2016-01-23 23:30:00,False,142,Getafe,l,155,Granada,1.57754,2,2,202,24,8,0.6463,l,1.57754,2.75252,3,3,227,35,6,2.75252
La_liga 2015_142_147_2016-01-30 21:15:00,2016-01-30 21:15:00,True,142,Getafe,l,147,Athletic Club,1.33205,0,0,145,22,2,1.1311,l,1.33205,1.59857,1,1,241,42,6,1.59857
La_liga 2015_137_142_2016-02-05 23:30:00,2016-02-05 23:30:00,False,142,Getafe,l,137,Malaga,0.524602,0,0,184,28,2,0.31420000000000003,l,0.524602,2.07318,3,3,281,31,5,2.07318
La_liga 2015_142_143_2016-02-14 21:15:00,2016-02-14 21:15:00,True,142,Getafe,l,143,Atletico Madrid,0.312685,0,0,248,23,4,0.7896000000000001,l,0.312685,0.711788,1,1,353,29,2,0.711788
