match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2016_139_156_2016-08-20 00:00:00,2016-08-20 00:00:00,True,139,Deportivo La Coruna,w,156,Eibar,1.6197,2,2,193,12,0,2.5060000000000002,w,0.876427,0.359012,1,1,214,32,3,0.359012
La_liga 2016_139_153_2016-08-26 22:45:00,2016-08-26 22:45:00,False,139,Deportivo La Coruna,d,153,Real Betis,0.590187,0,0,223,22,3,1.2841,d,0.590187,0.593093,0,0,168,36,2,0.593093
La_liga 2016_139_147_2016-09-11 22:30:00,2016-09-11 22:30:00,True,139,Deportivo La Coruna,l,147,Athletic Club,0.708733,0,0,165,26,4,1.7530999999999999,l,0.708733,0.239631,1,1,332,24,3,0.239631
La_liga 2016_139_158_2016-09-19 22:45:00,2016-09-19 22:45:00,False,139,Deportivo La Coruna,d,158,Alaves,0.671784,0,0,333,24,2,1.4809999999999999,d,0.671784,0.45933,0,0,265,23,5,0.45933
La_liga 2016_139_159_2016-09-22 22:00:00,2016-09-22 22:00:00,True,139,Deportivo La Coruna,l,159,Leganes,1.64049,1,1,196,44,5,1.8753000000000002,l,1.64049,1.06372,2,2,234,28,3,1.06372
La_liga 2016_139_143_2016-09-25 18:15:00,2016-09-25 18:15:00,False,139,Deportivo La Coruna,l,143,Atletico Madrid,0.2328,0,0,258,33,1,0.15760000000000002,l,0.2328,2.13155,1,1,137,21,21,2.13155
La_liga 2016_139_149_2016-10-01 22:45:00,2016-10-01 22:45:00,True,139,Deportivo La Coruna,w,149,Sporting Gijon,1.26977,2,2,127,28,1,2.276,w,1.26977,0.234392,1,1,190,35,0,0.234392
La_liga 2016_139_148_2016-10-15 18:15:00,2016-10-15 18:15:00,False,139,Deportivo La Coruna,l,148,Barcelona,0.278286,0,0,261,23,0,0.0054,l,0.278286,4.85964,4,4,148,27,17,4.85964
La_liga 2016_139_152_2016-10-23 14:00:00,2016-10-23 14:00:00,False,139,Deportivo La Coruna,l,152,Celta Vigo,0.72415,1,1,177,31,2,0.4953,l,0.72415,1.82791,4,4,147,22,5,1.08463
La_liga 2016_139_146_2016-10-31 23:45:00,2016-10-31 23:45:00,True,139,Deportivo La Coruna,d,146,Valencia,1.3997,1,1,285,35,3,1.6483999999999999,d,1.3997,1.03333,1,1,159,29,2,1.03333
La_liga 2016_139_155_2016-11-05 16:00:00,2016-11-05 16:00:00,False,139,Deportivo La Coruna,d,155,Granada,1.71185,1,1,221,19,5,1.0106,d,1.71185,2.10437,1,1,159,24,5,2.10437
La_liga 2016_138_139_2016-11-19 16:00:00,2016-11-19 16:00:00,True,139,Deportivo La Coruna,l,138,Sevilla,0.382392,2,2,291,20,0,0.18059999999999998,l,0.382392,2.28865,3,3,106,21,13,2.28865
La_liga 2016_137_139_2016-11-26 16:00:00,2016-11-26 16:00:00,False,139,Deportivo La Coruna,l,137,Malaga,2.70531,3,3,144,24,5,2.3496,l,1.96203,1.28044,4,4,296,22,2,0.537159
La_liga 2016_139_140_2016-12-05 23:45:00,2016-12-05 23:45:00,True,139,Deportivo La Coruna,w,140,Real Sociedad,2.21106,5,5,275,29,3,2.6184000000000003,w,1.3366,0.569103,1,1,195,23,4,0.569103
La_liga 2016_139_150_2016-12-10 23:45:00,2016-12-10 23:45:00,False,139,Deportivo La Coruna,l,150,Real Madrid,0.648444,2,2,325,22,1,0.8994,l,0.648444,1.17016,3,3,216,35,4,1.17016
La_liga 2016_139_157_2016-12-18 21:30:00,2016-12-18 21:30:00,True,139,Deportivo La Coruna,w,157,Osasuna,1.12829,2,2,205,25,4,2.0201,w,1.12829,0.426863,0,0,405,29,2,0.426863
La_liga 2016_139_141_2017-01-06 23:45:00,2017-01-06 23:45:00,False,139,Deportivo La Coruna,d,141,Espanyol,0.521167,1,1,234,17,5,0.5465,d,0.521167,1.51212,1,1,266,27,3,1.51212
La_liga 2016_139_154_2017-01-14 23:45:00,2017-01-14 23:45:00,True,139,Deportivo La Coruna,d,154,Villarreal,0.523704,0,0,327,20,4,1.6698,d,0.523704,0.144553,0,0,294,17,2,0.144553
La_liga 2016_139_144_2017-01-20 22:45:00,2017-01-20 22:45:00,False,139,Deportivo La Coruna,d,144,Las Palmas,0.329111,1,1,304,20,1,1.032,d,0.329111,0.510785,1,1,270,21,7,0.510785
La_liga 2016_139_156_2017-01-28 20:30:00,2017-01-28 20:30:00,False,139,Deportivo La Coruna,l,156,Eibar,1.03408,1,1,102,19,4,0.9770999999999999,l,1.03408,1.44709,3,3,184,18,7,1.44709
La_liga 2016_139_147_2017-02-11 17:30:00,2017-02-11 17:30:00,False,139,Deportivo La Coruna,l,147,Athletic Club,0.584147,1,1,228,23,0,0.3658,l,0.584147,1.73424,2,2,257,23,8,1.73424
La_liga 2016_139_158_2017-02-18 17:30:00,2017-02-18 17:30:00,True,139,Deportivo La Coruna,l,158,Alaves,1.57995,0,0,169,26,6,1.5395999999999999,l,1.57995,1.33904,1,1,264,15,0,0.595764
La_liga 2016_139_159_2017-02-25 17:30:00,2017-02-25 17:30:00,False,139,Deportivo La Coruna,l,159,Leganes,1.13768,0,0,197,27,1,1.7154,l,1.13768,0.743759,4,4,156,30,2,0.743759
La_liga 2016_139_143_2017-03-02 19:45:00,2017-03-02 19:45:00,True,139,Deportivo La Coruna,d,143,Atletico Madrid,1.23691,1,1,236,19,2,2.1557,d,1.23691,0.370998,1,1,196,30,9,0.370998
La_liga 2016_139_149_2017-03-05 11:00:00,2017-03-05 11:00:00,False,139,Deportivo La Coruna,w,149,Sporting Gijon,1.62631,1,1,204,23,0,1.9852999999999998,w,0.883032,0.924431,0,0,240,21,9,0.924431
La_liga 2016_139_153_2017-03-08 17:45:00,2017-03-08 17:45:00,True,139,Deportivo La Coruna,d,153,Real Betis,1.42173,1,1,163,28,1,2.1616,d,0.678456,0.569912,1,1,194,29,1,0.569912
La_liga 2016_139_148_2017-03-12 15:15:00,2017-03-12 15:15:00,True,139,Deportivo La Coruna,w,148,Barcelona,1.38936,2,2,302,12,2,1.2866,w,1.38936,1.50728,1,1,133,22,18,1.50728
La_liga 2016_139_152_2017-03-19 17:30:00,2017-03-19 17:30:00,True,139,Deportivo La Coruna,l,152,Celta Vigo,0.806674,0,0,224,29,5,1.2189,l,0.806674,0.868296,1,1,169,19,2,0.868296
La_liga 2016_139_146_2017-04-02 17:30:00,2017-04-02 17:30:00,False,139,Deportivo La Coruna,l,146,Valencia,1.54959,0,0,249,25,7,1.4421000000000002,l,0.806308,1.45999,3,3,266,27,6,1.45999
La_liga 2016_139_155_2017-04-05 19:30:00,2017-04-05 19:30:00,True,139,Deportivo La Coruna,d,155,Granada,1.34824,0,0,159,26,4,2.2762,d,0.604959,0.409132,0,0,181,14,1,0.409132
La_liga 2016_138_139_2017-04-08 17:30:00,2017-04-08 17:30:00,False,139,Deportivo La Coruna,l,138,Sevilla,0.521612,2,2,218,25,4,0.1082,l,0.521612,3.09093,4,4,151,36,17,3.09093
La_liga 2016_137_139_2017-04-15 12:00:00,2017-04-15 12:00:00,True,139,Deportivo La Coruna,w,137,Malaga,0.97862,2,2,299,23,3,2.1117999999999997,w,0.97862,0.284772,0,0,163,23,2,0.284772
La_liga 2016_139_140_2017-04-23 11:00:00,2017-04-23 11:00:00,False,139,Deportivo La Coruna,l,140,Real Sociedad,0.299326,0,0,213,25,0,0.7098,l,0.299326,0.940566,1,1,212,30,5,0.940566
La_liga 2016_139_150_2017-04-26 20:30:00,2017-04-26 20:30:00,True,139,Deportivo La Coruna,l,150,Real Madrid,1.39884,2,2,250,28,4,0.0978,l,1.39884,4.95101,6,6,244,24,12,4.95101
La_liga 2016_139_157_2017-04-30 11:00:00,2017-04-30 11:00:00,False,139,Deportivo La Coruna,d,157,Osasuna,1.56321,2,2,172,26,3,1.4529999999999998,d,1.56321,1.45216,2,2,219,19,9,1.45216
La_liga 2016_139_141_2017-05-07 17:30:00,2017-05-07 17:30:00,True,139,Deportivo La Coruna,l,141,Espanyol,1.58012,1,1,199,20,8,1.7056,l,1.58012,1.116,2,2,274,24,3,1.116
La_liga 2016_139_154_2017-05-14 19:00:00,2017-05-14 19:00:00,False,139,Deportivo La Coruna,d,154,Villarreal,0.0795451,0,0,232,19,0,0.1714,d,0.0795451,1.5957,0,0,150,27,13,1.5957
La_liga 2016_139_144_2017-05-20 18:00:00,2017-05-20 18:00:00,True,139,Deportivo La Coruna,w,144,Las Palmas,1.56248,3,3,333,26,0,1.8662,w,1.56248,0.990264,0,0,217,33,5,0.990264
