match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2016_152_159_2016-08-22 22:00:00,2016-08-22 22:00:00,False,159,Leganes,w,152,Celta Vigo,0.908454,1,1,354,36,2,1.5629,w,0.908454,0.64855,0,0,164,29,4,0.64855
La_liga 2016_143_159_2016-08-28 00:15:00,2016-08-28 00:15:00,True,159,Leganes,d,143,Atletico Madrid,0.189954,0,0,294,33,0,0.7167,d,0.189954,0.700848,0,0,152,24,7,0.700848
La_liga 2016_149_159_2016-09-11 14:00:00,2016-09-11 14:00:00,False,159,Leganes,l,149,Sporting Gijon,0.484862,1,1,283,31,4,0.3627,l,0.484862,1.65936,2,2,212,23,7,0.916086
La_liga 2016_148_159_2016-09-17 15:00:00,2016-09-17 15:00:00,True,159,Leganes,l,148,Barcelona,1.18104,1,1,350,64,5,0.3176,l,1.18104,2.94825,5,5,157,15,13,2.20497
La_liga 2016_139_159_2016-09-22 22:00:00,2016-09-22 22:00:00,False,159,Leganes,w,139,Deportivo La Coruna,1.06372,2,2,234,28,3,0.8376,w,1.06372,1.64049,1,1,196,44,5,1.64049
La_liga 2016_146_159_2016-09-25 14:00:00,2016-09-25 14:00:00,True,159,Leganes,l,146,Valencia,1.29014,1,1,199,34,1,1.3018,l,0.546987,1.37734,2,2,241,30,3,1.37734
La_liga 2016_155_159_2016-10-01 15:00:00,2016-10-01 15:00:00,False,159,Leganes,w,155,Granada,0.238575,1,1,107,28,5,0.7613000000000001,w,0.238575,0.665545,0,0,216,19,1,0.665545
La_liga 2016_138_159_2016-10-15 15:00:00,2016-10-15 15:00:00,True,159,Leganes,l,138,Sevilla,0.851751,2,2,306,43,7,0.6447,l,0.851751,1.53817,3,3,147,30,3,1.53817
La_liga 2016_137_159_2016-10-23 20:30:00,2016-10-23 20:30:00,False,159,Leganes,l,137,Malaga,1.18794,0,0,216,28,4,0.3355,l,1.18794,3.12089,4,4,219,27,7,2.37761
La_liga 2016_140_159_2016-10-28 22:45:00,2016-10-28 22:45:00,True,159,Leganes,l,140,Real Sociedad,0.192695,0,0,309,36,2,0.26180000000000003,l,0.192695,1.47952,2,2,167,29,2,1.47952
La_liga 2016_150_159_2016-11-06 15:00:00,2016-11-06 15:00:00,False,159,Leganes,l,150,Real Madrid,0.273683,0,0,454,32,1,0.0598,l,0.273683,2.62943,3,3,213,33,5,2.62943
La_liga 2016_157_159_2016-11-21 23:45:00,2016-11-21 23:45:00,True,159,Leganes,w,157,Osasuna,1.6402,2,2,201,31,3,2.5707,w,1.6402,0.164701,0,0,238,36,1,0.164701
La_liga 2016_141_159_2016-11-26 21:30:00,2016-11-26 21:30:00,False,159,Leganes,l,141,Espanyol,0.205225,0,0,283,54,3,0.40959999999999996,l,0.205225,1.21595,3,3,232,34,2,1.21595
