match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2016_154_155_2016-08-20 22:15:00,2016-08-20 22:15:00,False,154,Villarreal,d,155,Granada,1.75881,1,1,327,30,4,2.0052000000000003,d,1.75881,0.977176,1,1,100,31,1,0.977176
La_liga 2016_138_154_2016-08-29 00:15:00,2016-08-29 00:15:00,True,154,Villarreal,d,138,Sevilla,0.580165,0,0,299,36,7,1.7103000000000002,d,0.580165,0.161483,0,0,164,20,2,0.161483
La_liga 2016_137_154_2016-09-10 20:15:00,2016-09-10 20:15:00,False,154,Villarreal,w,137,Malaga,2.47884,2,2,189,27,5,2.4017,w,1.73556,1.05974,0,0,229,28,4,1.05974
La_liga 2016_140_154_2016-09-18 20:30:00,2016-09-18 20:30:00,True,154,Villarreal,w,140,Real Sociedad,1.42126,2,2,261,18,3,1.7266000000000001,w,0.677981,1.03528,1,1,198,29,8,1.03528
La_liga 2016_150_154_2016-09-21 22:00:00,2016-09-21 22:00:00,False,154,Villarreal,d,150,Real Madrid,1.0322,1,1,266,12,6,1.1395,d,0.288918,1.34367,1,1,284,30,15,1.34367
La_liga 2016_154_157_2016-09-25 20:30:00,2016-09-25 20:30:00,True,154,Villarreal,w,157,Osasuna,2.9887,3,3,202,16,9,2.2060999999999997,w,2.24543,1.7961,1,1,351,24,2,1.05282
La_liga 2016_141_154_2016-10-02 20:30:00,2016-10-02 20:30:00,False,154,Villarreal,d,141,Espanyol,0.696855,0,0,231,23,12,1.6932,d,0.696855,0.351825,0,0,355,25,2,0.351825
La_liga 2016_152_154_2016-10-16 22:45:00,2016-10-16 22:45:00,True,154,Villarreal,w,152,Celta Vigo,1.79979,5,5,338,24,6,2.6775,w,1.79979,0.258037,0,0,298,23,3,0.258037
La_liga 2016_144_154_2016-10-23 20:30:00,2016-10-23 20:30:00,True,154,Villarreal,w,144,Las Palmas,1.67294,2,2,331,42,9,2.3813,w,0.929667,0.5357,1,1,199,14,8,0.5357
La_liga 2016_154_156_2016-10-30 15:00:00,2016-10-30 15:00:00,False,154,Villarreal,l,156,Eibar,1.49906,1,1,188,23,1,1.4433,l,0.755779,1.4571,2,2,235,33,5,1.4571
La_liga 2016_153_154_2016-11-06 21:30:00,2016-11-06 21:30:00,True,154,Villarreal,w,153,Real Betis,1.38858,2,2,278,36,8,2.3294,w,1.38858,0.28961,0,0,237,22,2,0.28961
La_liga 2016_147_154_2016-11-20 23:45:00,2016-11-20 23:45:00,False,154,Villarreal,l,147,Athletic Club,0.173272,0,0,236,22,1,0.1214,l,0.173272,2.15189,1,1,272,32,5,2.15189
La_liga 2016_154_158_2016-11-27 15:00:00,2016-11-27 15:00:00,True,154,Villarreal,l,158,Alaves,1.92523,0,0,187,20,7,1.5998,l,1.92523,1.58373,2,2,262,19,3,1.58373
La_liga 2016_154_159_2016-12-03 21:30:00,2016-12-03 21:30:00,False,154,Villarreal,d,159,Leganes,0.296192,0,0,173,28,3,0.8644000000000001,d,0.296192,0.679532,0,0,242,31,2,0.679532
