match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2017_143_223_2017-08-19 19:15:00,2017-08-19 19:15:00,False,143,Atletico Madrid,d,223,Girona,0.847485,2,2,262,16,5,0.3105,d,0.847485,2.57496,2,2,234,25,7,2.57496
La_liga 2017_143_144_2017-08-26 21:15:00,2017-08-26 21:15:00,False,143,Atletico Madrid,w,144,Las Palmas,0.510608,5,5,328,27,6,0.54,w,0.510608,1.38892,1,1,199,29,3,0.645647
La_liga 2017_143_146_2017-09-09 15:15:00,2017-09-09 15:15:00,False,143,Atletico Madrid,d,146,Valencia,0.638366,0,0,207,20,10,1.2403000000000002,d,0.638366,0.702521,0,0,271,27,4,0.702521
La_liga 2017_137_143_2017-09-16 19:45:00,2017-09-16 19:45:00,True,143,Atletico Madrid,w,137,Malaga,1.54645,1,1,196,27,8,2.3179,w,1.54645,0.438352,0,0,355,26,2,0.438352
La_liga 2017_143_147_2017-09-20 19:00:00,2017-09-20 19:00:00,False,143,Atletico Madrid,w,147,Athletic Club,2.30016,2,2,288,14,9,1.7881999999999998,w,2.30016,1.715,1,1,218,28,7,0.971855
La_liga 2017_138_143_2017-09-23 12:00:00,2017-09-23 12:00:00,True,143,Atletico Madrid,w,138,Sevilla,1.54213,2,2,334,21,6,2.3992,w,1.54213,0.370195,0,0,189,34,14,0.370195
La_liga 2017_143_159_2017-09-30 19:45:00,2017-09-30 19:45:00,False,143,Atletico Madrid,d,159,Leganes,0.545341,0,0,175,34,4,1.4235,d,0.545341,0.421294,0,0,347,24,3,0.421294
La_liga 2017_143_148_2017-10-14 19:45:00,2017-10-14 19:45:00,True,143,Atletico Madrid,d,148,Barcelona,0.334059,1,1,291,11,3,0.37329999999999997,d,0.334059,1.61922,1,1,173,27,13,1.61922
La_liga 2017_143_152_2017-10-23 01:15:00,2017-10-23 01:15:00,False,143,Atletico Madrid,w,152,Celta Vigo,1.14703,1,1,341,24,2,1.6401,w,1.14703,0.895385,0,0,173,24,7,0.895385
La_liga 2017_143_154_2017-10-28 17:30:00,2017-10-28 17:30:00,True,143,Atletico Madrid,d,154,Villarreal,1.49933,1,1,276,34,8,2.0549,d,1.49933,0.678299,1,1,212,30,6,0.678299
La_liga 2017_139_143_2017-11-04 15:15:00,2017-11-04 15:15:00,False,143,Atletico Madrid,w,139,Deportivo La Coruna,0.493918,1,1,207,25,3,1.3422,w,0.493918,0.420272,0,0,209,20,3,0.420272
La_liga 2017_143_150_2017-11-18 19:45:00,2017-11-18 19:45:00,True,143,Atletico Madrid,d,150,Real Madrid,0.745518,0,0,382,35,3,0.7922,d,0.745518,1.41229,0,0,170,22,16,1.41229
La_liga 2017_143_151_2017-11-25 19:45:00,2017-11-25 19:45:00,False,143,Atletico Madrid,w,151,Levante,2.88458,5,5,269,24,9,2.4591,w,2.88458,1.15009,0,0,361,27,4,1.15009
La_liga 2017_140_143_2017-12-02 15:15:00,2017-12-02 15:15:00,True,143,Atletico Madrid,w,140,Real Sociedad,3.06079,2,2,253,46,10,2.2072000000000003,w,3.06079,1.81521,1,1,236,19,8,1.07193
La_liga 2017_143_153_2017-12-10 15:15:00,2017-12-10 15:15:00,False,143,Atletico Madrid,w,153,Real Betis,0.789744,1,1,413,28,4,1.8984999999999999,w,0.789744,0.27905,0,0,107,30,4,0.27905
La_liga 2017_143_158_2017-12-16 19:45:00,2017-12-16 19:45:00,True,143,Atletico Madrid,w,158,Alaves,1.04076,1,1,149,33,5,1.8289,w,1.04076,0.566869,0,0,294,24,2,0.566869
La_liga 2017_141_143_2017-12-22 20:30:00,2017-12-22 20:30:00,False,143,Atletico Madrid,l,141,Espanyol,0.798417,0,0,222,30,6,1.2006999999999999,l,0.798417,0.932545,1,1,272,24,6,0.932545
La_liga 2017_142_143_2018-01-06 12:00:00,2018-01-06 12:00:00,True,143,Atletico Madrid,w,142,Getafe,1.45814,2,2,193,28,5,1.7602999999999998,w,1.45814,0.977635,0,0,380,39,5,0.977635
La_liga 2017_143_156_2018-01-13 17:30:00,2018-01-13 17:30:00,False,143,Atletico Madrid,w,156,Eibar,1.68244,1,1,288,19,5,1.9995000000000003,w,1.68244,0.922091,0,0,126,32,7,0.922091
La_liga 2017_143_223_2018-01-20 15:15:00,2018-01-20 15:15:00,True,143,Atletico Madrid,d,223,Girona,1.37281,1,1,263,24,15,1.8901000000000001,d,1.37281,0.782125,1,1,304,27,4,0.782125
La_liga 2017_143_144_2018-01-28 15:15:00,2018-01-28 15:15:00,True,143,Atletico Madrid,w,144,Las Palmas,3.50759,3,3,247,33,6,2.92,w,3.50759,0.454004,0,0,236,27,3,0.454004
La_liga 2017_143_146_2018-02-04 19:45:00,2018-02-04 19:45:00,True,143,Atletico Madrid,w,146,Valencia,0.59761,1,1,343,34,4,1.5461999999999998,w,0.59761,0.324134,0,0,262,14,2,0.324134
La_liga 2017_137_143_2018-02-10 15:15:00,2018-02-10 15:15:00,False,143,Atletico Madrid,w,137,Malaga,0.507754,1,1,190,28,2,1.4183,w,0.507754,0.412228,0,0,224,34,1,0.412228
