match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2017_151_154_2017-08-21 19:15:00,2017-08-21 19:15:00,True,151,Levante,w,154,Villarreal,1.27973,1,1,294,24,8,2.1841,w,0.53658,0.454109,0,0,147,19,0,0.454109
La_liga 2017_139_151_2017-08-26 19:15:00,2017-08-26 19:15:00,True,151,Levante,d,139,Deportivo La Coruna,2.40085,2,2,195,24,9,2.4636000000000005,d,1.65757,0.814208,2,2,191,12,6,0.814208
La_liga 2017_150_151_2017-09-09 12:00:00,2017-09-09 12:00:00,False,151,Levante,d,150,Real Madrid,0.757405,1,1,297,20,0,0.0752,d,0.757405,3.18354,1,1,138,22,12,3.18354
La_liga 2017_146_151_2017-09-16 12:00:00,2017-09-16 12:00:00,True,151,Levante,d,146,Valencia,0.939192,1,1,252,25,3,0.618,d,0.939192,1.8854,1,1,163,23,6,1.8854
La_liga 2017_140_151_2017-09-21 21:00:00,2017-09-21 21:00:00,True,151,Levante,w,140,Real Sociedad,1.78708,3,3,323,12,3,2.3956,w,1.0438,0.570261,0,0,104,12,6,0.570261
La_liga 2017_151_153_2017-09-25 20:00:00,2017-09-25 20:00:00,False,151,Levante,l,153,Real Betis,0.383336,0,0,447,18,4,0.22490000000000002,l,0.383336,2.23701,4,4,148,20,5,2.23701
La_liga 2017_151_158_2017-09-30 17:30:00,2017-09-30 17:30:00,True,151,Levante,l,158,Alaves,1.02629,0,0,169,11,8,0.4022,l,1.02629,2.5346,2,2,238,17,2,2.5346
La_liga 2017_141_151_2017-10-13 20:00:00,2017-10-13 20:00:00,False,151,Levante,d,141,Espanyol,0.91221,0,0,245,21,4,0.3877,d,0.91221,2.47349,0,0,147,18,5,2.47349
La_liga 2017_142_151_2017-10-21 12:00:00,2017-10-21 12:00:00,True,151,Levante,d,142,Getafe,0.639709,1,1,157,31,2,1.1524999999999999,d,0.639709,0.822573,1,1,206,35,7,0.822573
La_liga 2017_151_156_2017-10-29 17:30:00,2017-10-29 17:30:00,False,151,Levante,d,156,Eibar,0.90967,2,2,291,16,1,0.9421999999999999,d,0.90967,1.41711,2,2,121,24,6,1.41711
La_liga 2017_151_223_2017-11-05 11:00:00,2017-11-05 11:00:00,True,151,Levante,l,223,Girona,0.648662,1,1,280,20,6,0.5467,l,0.648662,1.61579,2,2,232,18,4,1.61579
La_liga 2017_144_151_2017-11-19 17:30:00,2017-11-19 17:30:00,False,151,Levante,w,144,Las Palmas,1.0123,2,2,308,38,1,1.3822,w,1.0123,0.935842,0,0,192,25,10,0.935842
La_liga 2017_143_151_2017-11-25 19:45:00,2017-11-25 19:45:00,True,151,Levante,l,143,Atletico Madrid,1.15009,0,0,361,27,4,0.40140000000000003,l,1.15009,2.88458,5,5,269,24,9,2.88458
La_liga 2017_137_151_2017-12-01 20:00:00,2017-12-01 20:00:00,False,151,Levante,d,137,Malaga,0.444647,0,0,285,18,2,0.9486,d,0.444647,0.863467,0,0,129,26,9,0.863467
