match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2017_138_141_2017-08-19 21:15:00,2017-08-19 21:15:00,True,138,Sevilla,d,141,Espanyol,2.52013,1,1,180,27,10,2.4545,d,2.52013,1.09286,1,1,372,24,1,1.09286
La_liga 2017_138_142_2017-08-27 19:15:00,2017-08-27 19:15:00,False,138,Sevilla,w,142,Getafe,1.21647,1,1,137,17,1,1.1652,w,1.21647,1.47212,0,0,260,39,11,1.47212
La_liga 2017_138_156_2017-09-09 17:30:00,2017-09-09 17:30:00,True,138,Sevilla,w,156,Eibar,2.84122,3,3,170,19,6,2.7539000000000002,w,2.84122,0.690659,0,0,307,38,1,0.690659
La_liga 2017_138_223_2017-09-17 15:15:00,2017-09-17 15:15:00,False,138,Sevilla,w,223,Girona,1.35514,1,1,215,32,5,0.9244000000000001,w,1.35514,1.90439,0,0,326,27,6,1.16111
La_liga 2017_138_144_2017-09-20 21:00:00,2017-09-20 21:00:00,True,138,Sevilla,w,144,Las Palmas,1.38776,1,1,257,37,13,2.3127000000000004,w,1.38776,0.370691,0,0,329,19,3,0.370691
La_liga 2017_138_143_2017-09-23 12:00:00,2017-09-23 12:00:00,False,138,Sevilla,l,143,Atletico Madrid,0.370195,0,0,189,34,14,0.391,l,0.370195,1.54213,2,2,334,21,6,1.54213
La_liga 2017_137_138_2017-09-30 15:15:00,2017-09-30 15:15:00,True,138,Sevilla,w,137,Malaga,2.50129,2,2,162,31,7,2.7388000000000003,w,1.75801,0.429422,0,0,322,24,2,0.429422
La_liga 2017_138_147_2017-10-14 12:00:00,2017-10-14 12:00:00,False,138,Sevilla,l,147,Athletic Club,1.79545,0,0,128,18,12,1.9042,l,1.79545,1.12259,1,1,248,34,6,1.12259
La_liga 2017_138_146_2017-10-21 17:30:00,2017-10-21 17:30:00,False,138,Sevilla,l,146,Valencia,0.879816,0,0,238,29,8,0.7553,l,0.879816,1.72867,4,4,207,16,11,1.72867
La_liga 2017_138_159_2017-10-28 21:30:00,2017-10-28 21:30:00,True,138,Sevilla,w,159,Leganes,1.73468,2,2,134,26,8,1.9501000000000004,w,1.73468,1.02702,1,1,325,25,3,0.283741
La_liga 2017_138_148_2017-11-05 03:45:00,2017-11-05 03:45:00,False,138,Sevilla,l,148,Barcelona,0.354156,1,1,318,25,5,0.2773,l,0.354156,1.95413,2,2,329,26,14,1.95413
La_liga 2017_138_152_2017-11-18 17:30:00,2017-11-18 17:30:00,True,138,Sevilla,w,152,Celta Vigo,1.48193,2,2,306,40,14,0.7746000000000001,w,1.48193,2.34863,1,1,295,23,7,2.34863
La_liga 2017_138_154_2017-11-26 17:30:00,2017-11-26 17:30:00,False,138,Sevilla,w,154,Villarreal,1.8245,3,3,258,29,10,1.2023000000000001,w,1.08122,2.07496,2,2,305,27,8,2.07496
La_liga 2017_138_139_2017-12-02 17:30:00,2017-12-02 17:30:00,True,138,Sevilla,w,139,Deportivo La Coruna,1.53443,2,2,223,22,14,2.13,w,1.53443,0.658203,0,0,325,27,6,0.658203
La_liga 2017_138_150_2017-12-09 15:15:00,2017-12-09 15:15:00,False,138,Sevilla,l,150,Real Madrid,0.381749,0,0,331,19,8,0.054900000000000004,l,0.381749,3.5353,5,5,262,19,17,2.79203
La_liga 2017_138_151_2017-12-15 20:00:00,2017-12-15 20:00:00,True,138,Sevilla,d,151,Levante,2.43666,0,0,142,28,13,2.2814,d,2.43666,1.11964,0,0,269,27,7,1.11964
La_liga 2017_138_140_2017-12-20 20:30:00,2017-12-20 20:30:00,False,138,Sevilla,l,140,Real Sociedad,0.304282,1,1,276,33,6,0.24180000000000001,l,0.304282,1.86402,3,3,279,29,8,1.86402
La_liga 2017_138_153_2018-01-06 19:45:00,2018-01-06 19:45:00,True,138,Sevilla,l,153,Real Betis,1.29186,3,3,255,25,9,1.0792000000000002,l,1.29186,1.6433,5,5,167,22,5,1.6433
La_liga 2017_138_158_2018-01-14 15:15:00,2018-01-14 15:15:00,False,138,Sevilla,l,158,Alaves,0.799343,0,0,140,30,13,1.5048,l,0.799343,0.607306,1,1,291,27,3,0.607306
La_liga 2017_138_141_2018-01-20 12:00:00,2018-01-20 12:00:00,False,138,Sevilla,w,141,Espanyol,1.54864,3,3,256,23,5,1.7328000000000001,w,1.54864,1.09365,0,0,215,37,6,1.09365
La_liga 2017_138_142_2018-01-28 17:30:00,2018-01-28 17:30:00,True,138,Sevilla,d,142,Getafe,1.77022,1,1,148,24,14,2.1216,d,1.77022,0.780113,1,1,331,26,1,0.780113
La_liga 2017_138_156_2018-02-03 12:00:00,2018-02-03 12:00:00,False,138,Sevilla,l,156,Eibar,1.72858,1,1,119,16,5,1.3897000000000002,l,0.985298,1.71804,5,5,233,22,5,1.71804
La_liga 2017_138_223_2018-02-11 11:00:00,2018-02-11 11:00:00,True,138,Sevilla,w,223,Girona,2.27801,1,1,175,20,7,1.9421000000000002,w,2.27801,1.58043,0,0,236,27,3,0.837155
La_liga 2017_138_144_2018-02-17 12:00:00,2018-02-17 12:00:00,False,138,Sevilla,w,144,Las Palmas,2.84337,2,2,194,15,4,2.6344,w,2.84337,1.07811,1,1,192,27,5,0.334837
La_liga 2017_138_143_2018-02-25 19:45:00,2018-02-25 19:45:00,True,138,Sevilla,l,143,Atletico Madrid,1.06166,2,2,242,15,12,0.25949999999999995,l,1.06166,3.05248,5,5,326,42,16,2.3092
La_liga 2017_137_138_2018-02-28 18:30:00,2018-02-28 18:30:00,False,138,Sevilla,w,137,Malaga,0.896695,1,1,205,29,8,1.9665,w,0.896695,0.295635,0,0,224,25,2,0.295635
La_liga 2017_138_147_2018-03-03 15:15:00,2018-03-03 15:15:00,True,138,Sevilla,w,147,Athletic Club,2.46092,2,2,266,20,8,2.6473,w,2.46092,0.513503,0,0,267,25,4,0.513503
