match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2017_144_146_2017-08-18 21:15:00,2017-08-18 21:15:00,True,146,Valencia,w,144,Las Palmas,1.60532,1,1,307,31,9,2.4372,w,1.60532,0.219158,0,0,233,19,4,0.219158
La_liga 2017_146_150_2017-08-27 21:15:00,2017-08-27 21:15:00,False,146,Valencia,d,150,Real Madrid,0.90594,2,2,308,21,4,0.1629,d,0.90594,3.38691,2,2,160,17,15,3.38691
La_liga 2017_143_146_2017-09-09 15:15:00,2017-09-09 15:15:00,True,146,Valencia,d,143,Atletico Madrid,0.702521,0,0,271,27,4,1.3732000000000002,d,0.702521,0.638366,0,0,207,20,10,0.638366
La_liga 2017_146_151_2017-09-16 12:00:00,2017-09-16 12:00:00,False,146,Valencia,d,151,Levante,1.8854,1,1,163,23,6,2.1369000000000002,d,1.8854,0.939192,1,1,252,25,3,0.939192
La_liga 2017_137_146_2017-09-19 19:00:00,2017-09-19 19:00:00,True,146,Valencia,w,137,Malaga,3.40858,5,5,227,20,9,2.8259000000000003,w,3.40858,0.817228,0,0,282,19,4,0.817228
La_liga 2017_140_146_2017-09-24 19:45:00,2017-09-24 19:45:00,False,146,Valencia,w,140,Real Sociedad,1.87637,3,3,229,10,9,1.9095,w,1.87637,1.25293,2,2,201,21,6,1.25293
La_liga 2017_146_147_2017-10-01 17:30:00,2017-10-01 17:30:00,True,146,Valencia,w,147,Athletic Club,2.6265,3,3,275,24,9,1.3852,w,1.88322,2.60881,2,2,190,44,5,2.60881
La_liga 2017_146_153_2017-10-15 19:45:00,2017-10-15 19:45:00,False,146,Valencia,w,153,Real Betis,1.95165,6,6,318,21,6,1.1733,w,1.95165,2.25048,3,3,218,27,12,1.5072
La_liga 2017_138_146_2017-10-21 17:30:00,2017-10-21 17:30:00,True,146,Valencia,w,138,Sevilla,1.72867,4,4,207,16,11,2.006,w,1.72867,0.879816,0,0,238,29,8,0.879816
La_liga 2017_146_158_2017-10-28 12:00:00,2017-10-28 12:00:00,False,146,Valencia,w,158,Alaves,1.06744,2,2,182,35,2,1.8544,w,0.324163,0.629433,1,1,244,37,5,0.629433
La_liga 2017_146_159_2017-11-04 12:00:00,2017-11-04 12:00:00,True,146,Valencia,w,159,Leganes,2.31415,3,3,228,27,3,2.0943,w,1.57088,1.32036,0,0,389,33,6,1.32036
La_liga 2017_141_146_2017-11-19 15:15:00,2017-11-19 15:15:00,False,146,Valencia,w,141,Espanyol,1.27213,2,2,237,32,0,1.5008,w,1.27213,1.14765,0,0,308,38,8,1.14765
La_liga 2017_146_148_2017-11-26 19:45:00,2017-11-26 19:45:00,True,146,Valencia,d,148,Barcelona,1.30897,1,1,367,30,5,1.7714,d,1.30897,0.904581,1,1,158,35,12,0.904581
La_liga 2017_142_146_2017-12-03 15:15:00,2017-12-03 15:15:00,False,146,Valencia,l,142,Getafe,0.615671,0,0,68,19,3,1.0125,l,0.615671,0.910193,1,1,216,25,4,0.910193
La_liga 2017_146_152_2017-12-09 19:45:00,2017-12-09 19:45:00,True,146,Valencia,w,152,Celta Vigo,1.36901,2,2,388,36,7,1.5408,w,0.625731,1.12881,1,1,180,30,3,1.12881
La_liga 2017_146_156_2017-12-16 17:30:00,2017-12-16 17:30:00,False,146,Valencia,l,156,Eibar,1.09896,1,1,164,18,3,1.6412,l,1.09896,0.808252,2,2,190,29,1,0.808252
La_liga 2017_146_154_2017-12-23 15:15:00,2017-12-23 15:15:00,True,146,Valencia,l,154,Villarreal,2.07887,0,0,244,21,12,2.0545,l,2.07887,1.11044,1,1,241,30,3,1.11044
La_liga 2017_146_223_2018-01-06 15:15:00,2018-01-06 15:15:00,True,146,Valencia,w,223,Girona,1.59323,2,2,170,29,11,1.2803,w,0.849948,1.67431,1,1,211,21,2,1.67431
La_liga 2017_139_146_2018-01-13 19:45:00,2018-01-13 19:45:00,False,146,Valencia,w,139,Deportivo La Coruna,0.608761,2,2,204,15,3,0.38060000000000005,w,0.608761,1.78725,1,1,203,21,9,1.78725
La_liga 2017_144_146_2018-01-20 19:45:00,2018-01-20 19:45:00,False,146,Valencia,l,144,Las Palmas,1.94919,1,1,241,37,6,0.5895,l,1.94919,3.28795,2,2,158,30,12,2.54467
La_liga 2017_146_150_2018-01-27 15:15:00,2018-01-27 15:15:00,True,146,Valencia,l,150,Real Madrid,1.41068,1,1,337,29,13,0.5179,l,1.41068,2.70685,4,4,221,32,6,1.2203
La_liga 2017_143_146_2018-02-04 19:45:00,2018-02-04 19:45:00,False,146,Valencia,l,143,Atletico Madrid,0.324134,0,0,262,14,2,0.9789,l,0.324134,0.59761,1,1,343,34,4,0.59761
La_liga 2017_146_151_2018-02-11 19:45:00,2018-02-11 19:45:00,True,146,Valencia,w,151,Levante,3.84966,3,3,197,27,9,2.9777,w,3.10703,0.188016,1,1,292,23,2,0.188016
La_liga 2017_137_146_2018-02-17 19:45:00,2018-02-17 19:45:00,False,146,Valencia,w,137,Malaga,1.18698,2,2,73,24,4,1.3801999999999999,w,0.443703,1.14716,1,1,271,37,1,1.14716
La_liga 2017_140_146_2018-02-25 17:30:00,2018-02-25 17:30:00,True,146,Valencia,w,140,Real Sociedad,1.76569,2,2,381,26,2,2.4059999999999997,w,1.76569,0.592783,1,1,160,21,4,0.592783
La_liga 2017_146_147_2018-02-28 18:30:00,2018-02-28 18:30:00,False,146,Valencia,d,147,Athletic Club,0.195723,1,1,195,21,2,0.1646,d,0.195723,1.91273,1,1,214,38,10,1.16946
La_liga 2017_146_153_2018-03-04 19:45:00,2018-03-04 19:45:00,True,146,Valencia,w,153,Real Betis,1.12897,2,2,411,29,6,2.0511,w,1.12897,0.36952,0,0,243,30,10,0.36952
La_liga 2017_138_146_2018-03-10 15:15:00,2018-03-10 15:15:00,False,146,Valencia,w,138,Sevilla,1.13005,2,2,244,26,4,1.3875,w,1.13005,1.10014,0,0,172,28,11,1.10014
La_liga 2017_146_158_2018-03-17 15:15:00,2018-03-17 15:15:00,True,146,Valencia,w,158,Alaves,2.69263,3,3,178,18,13,2.2953,w,2.69263,1.24894,1,1,371,27,4,1.24894
La_liga 2017_146_159_2018-04-01 15:15:00,2018-04-01 15:15:00,False,146,Valencia,w,159,Leganes,0.0824376,1,1,232,23,0,0.4592,w,0.0824376,0.824763,0,0,303,29,5,0.824763
La_liga 2017_141_146_2018-04-08 18:45:00,2018-04-08 18:45:00,True,146,Valencia,w,141,Espanyol,1.99031,1,1,306,26,4,2.0039000000000002,w,1.99031,1.15464,0,0,312,24,7,1.15464
La_liga 2017_146_148_2018-04-14 14:15:00,2018-04-14 14:15:00,False,146,Valencia,l,148,Barcelona,2.24116,1,1,283,17,6,1.5835,l,1.49801,1.95235,2,2,202,30,27,1.95235
