match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2018_141_152_2018-08-18 19:15:00,2018-08-18 19:15:00,False,141,Espanyol,d,152,Celta Vigo,0.647286,1,1,212,20,5,1.5204,d,0.647286,0.428686,1,1,235,26,5,0.428686
La_liga 2018_141_146_2018-08-26 19:15:00,2018-08-26 19:15:00,True,141,Espanyol,w,146,Valencia,1.50101,2,2,247,29,10,1.7229999999999999,w,1.50101,1.0368,0,0,268,31,11,1.0368
La_liga 2018_141_158_2018-09-02 14:15:00,2018-09-02 14:15:00,False,141,Espanyol,l,158,Alaves,1.04802,1,1,150,23,10,1.2519,l,0.304741,1.15622,2,2,276,27,2,1.15622
La_liga 2018_141_151_2018-09-16 14:15:00,2018-09-16 14:15:00,True,141,Espanyol,w,151,Levante,1.61848,1,1,168,21,6,2.1383,w,1.61848,0.690773,0,0,225,23,2,0.690773
La_liga 2018_141_150_2018-09-22 18:45:00,2018-09-22 18:45:00,False,141,Espanyol,l,150,Real Madrid,0.424687,0,0,325,18,6,0.7448000000000001,l,0.424687,1.08701,1,1,215,26,6,1.08701
La_liga 2018_141_156_2018-09-25 18:00:00,2018-09-25 18:00:00,True,141,Espanyol,w,156,Eibar,0.897083,1,1,253,26,7,2.0917000000000003,w,0.897083,0.200168,0,0,252,16,1,0.200168
La_liga 2018_141_145_2018-09-28 19:00:00,2018-09-28 19:00:00,False,141,Espanyol,d,145,Rayo Vallecano,1.7919,2,2,266,26,6,1.8573,d,1.7919,1.22522,2,2,227,23,1,0.48194
La_liga 2018_141_154_2018-10-07 16:30:00,2018-10-07 16:30:00,True,141,Espanyol,w,154,Villarreal,2.74615,3,3,217,30,10,2.1127,w,2.74615,1.59419,1,1,294,20,4,1.59419
La_liga 2018_141_232_2018-10-21 16:30:00,2018-10-21 16:30:00,False,141,Espanyol,w,232,SD Huesca,1.84992,2,2,255,30,4,2.6797,w,1.84992,0.264947,0,0,234,35,4,0.264947
La_liga 2018_141_231_2018-10-26 19:00:00,2018-10-26 19:00:00,False,141,Espanyol,d,231,Real Valladolid,0.508367,1,1,258,26,7,0.7176,d,0.508367,1.2412,1,1,235,21,7,1.2412
La_liga 2018_141_147_2018-11-05 20:00:00,2018-11-05 20:00:00,True,141,Espanyol,w,147,Athletic Club,1.46389,1,1,279,23,5,1.9295,w,1.46389,0.782205,0,0,219,37,4,0.782205
La_liga 2018_138_141_2018-11-11 17:30:00,2018-11-11 17:30:00,False,141,Espanyol,l,138,Sevilla,0.686451,1,1,205,25,4,0.07289999999999999,l,0.686451,3.95375,2,2,270,29,12,3.95375
La_liga 2018_141_223_2018-11-25 17:30:00,2018-11-25 17:30:00,True,141,Espanyol,l,223,Girona,2.63865,1,1,256,32,20,1.4201000000000001,l,2.63865,2.56699,3,3,342,18,8,2.56699
La_liga 2018_141_142_2018-12-01 17:30:00,2018-12-01 17:30:00,False,141,Espanyol,l,142,Getafe,0.97845,0,0,143,26,6,1.056,l,0.97845,1.33323,3,3,237,28,5,1.33323
La_liga 2018_141_148_2018-12-08 19:45:00,2018-12-08 19:45:00,True,141,Espanyol,l,148,Barcelona,0.812936,0,0,364,33,10,0.1543,l,0.812936,3.16793,4,4,237,25,10,3.16793
La_liga 2018_141_153_2018-12-16 15:15:00,2018-12-16 15:15:00,True,141,Espanyol,l,153,Real Betis,0.52284,1,1,290,40,4,0.34019999999999995,l,0.52284,1.8151,3,3,153,19,9,0.950586
La_liga 2018_141_143_2018-12-22 15:15:00,2018-12-22 15:15:00,False,141,Espanyol,l,143,Atletico Madrid,0.71456,0,0,139,21,7,0.95,l,0.71456,1.03123,1,1,315,29,8,0.288076
La_liga 2018_141_159_2019-01-04 20:00:00,2019-01-04 20:00:00,True,141,Espanyol,w,159,Leganes,1.68261,1,1,230,17,4,2.4516,w,1.68261,0.358462,0,0,231,22,1,0.358462
La_liga 2018_140_141_2019-01-14 20:00:00,2019-01-14 20:00:00,False,141,Espanyol,l,140,Real Sociedad,2.4151,2,2,183,34,5,1.1641,l,2.4151,2.68319,3,3,242,26,1,1.93991
La_liga 2018_141_156_2019-01-21 20:00:00,2019-01-21 20:00:00,False,141,Espanyol,l,156,Eibar,0.65215,0,0,171,12,1,0.36660000000000004,l,0.65215,2.18267,3,3,209,30,9,2.18267
La_liga 2018_141_150_2019-01-27 19:45:00,2019-01-27 19:45:00,True,141,Espanyol,l,150,Real Madrid,1.20349,2,2,352,37,4,0.603,l,1.20349,2.37579,4,4,207,26,14,2.37579
La_liga 2018_141_154_2019-02-03 11:00:00,2019-02-03 11:00:00,False,141,Espanyol,d,154,Villarreal,1.34672,2,2,137,26,11,0.42069999999999996,d,1.34672,2.80288,2,2,241,40,11,2.0596
La_liga 2018_141_145_2019-02-09 17:30:00,2019-02-09 17:30:00,True,141,Espanyol,w,145,Rayo Vallecano,1.70334,2,2,159,30,6,2.2783,w,0.960062,0.627993,1,1,247,16,4,0.627993
La_liga 2018_141_146_2019-02-17 15:15:00,2019-02-17 15:15:00,False,141,Espanyol,d,146,Valencia,0.236317,0,0,227,21,2,0.38939999999999997,d,0.236317,1.44111,0,0,309,33,11,1.44111
La_liga 2018_141_232_2019-02-22 20:00:00,2019-02-22 20:00:00,True,141,Espanyol,d,232,SD Huesca,1.02096,1,1,125,22,7,1.3764999999999998,d,1.02096,0.983427,1,1,321,24,3,0.983427
La_liga 2018_141_231_2019-03-02 12:00:00,2019-03-02 12:00:00,True,141,Espanyol,w,231,Real Valladolid,2.93379,3,3,203,13,13,2.3482000000000003,w,2.93379,1.44858,1,1,204,17,7,0.705297
La_liga 2018_141_147_2019-03-08 20:00:00,2019-03-08 20:00:00,False,141,Espanyol,d,147,Athletic Club,0.882653,1,1,250,24,2,1.6459000000000001,d,0.882653,0.590825,1,1,143,26,6,0.590825
La_liga 2018_138_141_2019-03-17 15:15:00,2019-03-17 15:15:00,True,141,Espanyol,l,138,Sevilla,0.665136,0,0,259,32,5,0.7192000000000001,l,0.665136,1.34192,1,1,234,24,4,0.598647
La_liga 2018_141_148_2019-03-30 15:15:00,2019-03-30 15:15:00,False,141,Espanyol,l,148,Barcelona,0.278344,0,0,336,27,4,0.4546,l,0.278344,1.36012,2,2,149,29,15,1.36012
La_liga 2018_141_142_2019-04-02 19:30:00,2019-04-02 19:30:00,True,141,Espanyol,d,142,Getafe,1.4931,1,1,156,17,6,1.2596999999999998,d,1.4931,1.61764,1,1,201,23,6,1.61764
La_liga 2018_141_223_2019-04-06 12:00:00,2019-04-06 12:00:00,False,141,Espanyol,w,223,Girona,0.408067,2,2,220,28,2,0.46719999999999995,w,0.408067,1.3644,1,1,182,33,5,0.621125
La_liga 2018_141_158_2019-04-13 12:00:00,2019-04-13 12:00:00,True,141,Espanyol,w,158,Alaves,0.624479,2,2,190,19,1,0.8876000000000001,w,0.624479,1.09624,1,1,286,34,5,1.09624
La_liga 2018_141_151_2019-04-21 11:00:00,2019-04-21 11:00:00,False,141,Espanyol,d,151,Levante,2.21288,2,2,204,31,9,1.4815,d,2.21288,2.0614,2,2,196,33,5,2.0614
La_liga 2018_141_152_2019-04-24 19:30:00,2019-04-24 19:30:00,True,141,Espanyol,d,152,Celta Vigo,1.88188,1,1,290,17,9,0.7696,d,1.88188,2.80839,1,1,233,16,8,2.80839
La_liga 2018_141_153_2019-04-29 20:00:00,2019-04-29 20:00:00,False,141,Espanyol,d,153,Real Betis,2.04379,1,1,217,19,4,1.2936999999999999,d,2.04379,2.16463,1,1,257,23,11,2.16463
La_liga 2018_141_143_2019-05-04 15:15:00,2019-05-04 15:15:00,True,141,Espanyol,w,143,Atletico Madrid,1.72125,3,3,268,17,8,2.1216,w,0.977969,0.853337,0,0,277,25,4,0.853337
La_liga 2018_141_159_2019-05-12 17:30:00,2019-05-12 17:30:00,False,141,Espanyol,w,159,Leganes,2.83936,2,2,249,17,7,2.7705,w,2.09608,0.558882,0,0,314,20,7,0.558882
La_liga 2018_140_141_2019-05-18 14:15:00,2019-05-18 14:15:00,True,141,Espanyol,w,140,Real Sociedad,1.06125,2,2,252,26,4,2.0584000000000002,w,1.06125,0.318551,0,0,136,25,5,0.318551
