match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2020_152_156_2020-09-12 14:00:00,2020-09-12 14:00:00,False,152,Celta Vigo,d,156,Eibar,0.783653,0,0,115,22,2,1.7989,d,0.783653,0.344008,0,0,119,27,1,0.344008
La_liga 2020_146_152_2020-09-19 19:00:00,2020-09-19 19:00:00,True,152,Celta Vigo,w,146,Valencia,2.33534,2,2,207,22,8,2.6887000000000003,w,2.33534,0.456643,1,1,247,28,2,0.456643
La_liga 2020_152_231_2020-09-27 16:30:00,2020-09-27 16:30:00,False,152,Celta Vigo,d,231,Real Valladolid,1.08307,1,1,171,26,3,0.9605000000000001,d,1.08307,1.52483,1,1,163,40,3,0.781556
La_liga 2020_148_152_2020-10-01 19:30:00,2020-10-01 19:30:00,True,152,Celta Vigo,l,148,Barcelona,0.568201,0,0,283,37,5,0.9211,l,0.568201,0.931689,3,3,203,18,7,0.931689
La_liga 2020_152_157_2020-10-04 10:00:00,2020-10-04 10:00:00,False,152,Celta Vigo,l,157,Osasuna,0.360866,0,0,116,21,8,0.5939,l,0.360866,1.12188,2,2,250,35,6,1.12188
La_liga 2020_143_152_2020-10-17 14:00:00,2020-10-17 14:00:00,True,152,Celta Vigo,l,143,Atletico Madrid,1.89737,0,0,249,18,12,1.6460000000000001,l,1.89737,1.51399,2,2,257,27,7,1.51399
La_liga 2020_151_152_2020-10-26 20:00:00,2020-10-26 20:00:00,False,152,Celta Vigo,d,151,Levante,0.818389,1,1,269,32,3,0.9463,d,0.818389,1.19249,1,1,175,29,10,0.449212
La_liga 2020_140_152_2020-11-01 15:00:00,2020-11-01 15:00:00,True,152,Celta Vigo,l,140,Real Sociedad,2.12312,1,1,297,39,5,1.2354,l,1.37997,2.27628,4,4,243,38,7,2.27628
La_liga 2020_152_207_2020-11-06 20:00:00,2020-11-06 20:00:00,False,152,Celta Vigo,d,207,Elche,2.15551,1,1,305,35,9,1.7571000000000003,d,2.15551,1.6055,1,1,288,24,4,0.862223
La_liga 2020_138_152_2020-11-21 17:30:00,2020-11-21 17:30:00,False,152,Celta Vigo,l,138,Sevilla,2.08172,2,2,267,25,3,1.2816,l,2.08172,2.22603,4,4,230,22,5,2.22603
La_liga 2020_152_155_2020-11-29 17:30:00,2020-11-29 17:30:00,True,152,Celta Vigo,w,155,Granada,4.64116,3,3,156,32,13,2.872,w,4.64116,1.49416,1,1,336,19,2,1.49416
La_liga 2020_147_152_2020-12-04 20:00:00,2020-12-04 20:00:00,False,152,Celta Vigo,w,147,Athletic Club,1.20044,2,2,235,26,9,2.125,w,1.20044,0.454057,0,0,241,27,8,0.454057
La_liga 2020_152_261_2020-12-14 20:00:00,2020-12-14 20:00:00,True,152,Celta Vigo,w,261,Cadiz,1.51712,4,4,172,25,6,1.9148,w,0.773968,0.906249,0,0,390,24,2,0.906249
La_liga 2020_152_158_2020-12-20 13:00:00,2020-12-20 13:00:00,True,152,Celta Vigo,w,158,Alaves,1.62567,2,2,212,33,10,2.3857,w,1.62567,0.404844,0,0,302,22,7,0.404844
La_liga 2020_142_152_2020-12-23 16:30:00,2020-12-23 16:30:00,False,152,Celta Vigo,d,142,Getafe,0.767168,1,1,133,27,1,2.0665,d,0.0238901,0.265652,1,1,321,22,0,0.265652
La_liga 2020_152_232_2020-12-30 18:15:00,2020-12-30 18:15:00,True,152,Celta Vigo,w,232,SD Huesca,2.85208,2,2,239,35,12,2.4846999999999997,w,2.85208,1.0513,1,1,387,19,2,1.0513
La_liga 2020_150_152_2021-01-02 20:00:00,2021-01-02 20:00:00,False,152,Celta Vigo,l,150,Real Madrid,0.564784,0,0,260,21,3,0.7217,l,0.564784,1.24672,2,2,441,31,4,1.24672
La_liga 2020_152_154_2021-01-08 20:00:00,2021-01-08 20:00:00,True,152,Celta Vigo,l,154,Villarreal,0.363035,0,0,268,30,2,0.0968,l,0.363035,2.88163,4,4,377,28,8,2.88163
La_liga 2020_152_153_2021-01-20 20:00:00,2021-01-20 20:00:00,False,152,Celta Vigo,l,153,Real Betis,0.966752,1,1,160,31,4,1.6270000000000002,l,0.966752,0.646493,2,2,336,26,8,0.646493
La_liga 2020_152_156_2021-01-24 17:30:00,2021-01-24 17:30:00,True,152,Celta Vigo,d,156,Eibar,1.53045,1,1,170,17,2,2.1828,d,1.53045,0.591142,1,1,284,30,2,0.591142
La_liga 2020_152_155_2021-01-31 17:30:00,2021-01-31 17:30:00,False,152,Celta Vigo,d,155,Granada,0.339262,0,0,114,35,5,1.2404000000000002,d,0.339262,0.3242,0,0,246,17,0,0.3242
La_liga 2020_143_152_2021-02-08 20:00:00,2021-02-08 20:00:00,False,152,Celta Vigo,d,143,Atletico Madrid,1.71926,2,2,249,31,5,1.8371000000000002,d,1.71926,1.22973,2,2,302,26,4,1.22973
La_liga 2020_152_207_2021-02-12 17:30:00,2021-02-12 17:30:00,True,152,Celta Vigo,w,207,Elche,2.31967,3,3,237,23,13,2.4690999999999996,w,2.31967,0.836576,1,1,222,21,0,0.836576
La_liga 2020_146_152_2021-02-20 17:30:00,2021-02-20 17:30:00,False,152,Celta Vigo,l,146,Valencia,0.689216,0,0,233,32,2,0.8727999999999999,l,0.689216,1.16675,2,2,194,15,4,1.16675
La_liga 2020_152_231_2021-02-28 13:00:00,2021-02-28 13:00:00,True,152,Celta Vigo,d,231,Real Valladolid,0.86079,1,1,119,29,3,1.3894,d,0.86079,0.762391,1,1,296,31,2,0.762391
La_liga 2020_152_232_2021-03-07 13:00:00,2021-03-07 13:00:00,False,152,Celta Vigo,w,232,SD Huesca,0.655624,4,4,224,38,3,0.12229999999999999,w,0.655624,3.13618,3,3,252,19,3,3.13618
La_liga 2020_147_152_2021-03-14 13:00:00,2021-03-14 13:00:00,True,152,Celta Vigo,d,147,Athletic Club,1.18876,0,0,160,39,6,1.7620999999999998,d,1.18876,0.725139,0,0,329,27,3,0.725139
La_liga 2020_150_152_2021-03-20 15:15:00,2021-03-20 15:15:00,True,152,Celta Vigo,l,150,Real Madrid,0.686996,1,1,284,34,6,0.15039999999999998,l,0.686996,2.79574,3,3,287,26,5,2.79574
La_liga 2020_152_158_2021-04-04 12:00:00,2021-04-04 12:00:00,False,152,Celta Vigo,w,158,Alaves,2.58943,3,3,187,27,5,1.9629,w,2.58943,1.868,1,1,177,21,9,1.868
La_liga 2020_138_152_2021-04-12 19:00:00,2021-04-12 19:00:00,True,152,Celta Vigo,l,138,Sevilla,2.09186,3,3,321,34,5,1.7447,l,1.34858,1.59713,4,4,189,22,3,1.59713
La_liga 2020_152_261_2021-04-18 16:30:00,2021-04-18 16:30:00,False,152,Celta Vigo,d,261,Cadiz,0.436078,0,0,91,12,7,1.3619,d,0.436078,0.322965,0,0,352,7,3,0.322965
La_liga 2020_140_152_2021-04-22 19:00:00,2021-04-22 19:00:00,False,152,Celta Vigo,l,140,Real Sociedad,0.504303,1,1,138,27,6,0.203,l,0.504303,2.19014,2,2,237,23,6,0.703585
La_liga 2020_152_157_2021-04-25 16:30:00,2021-04-25 16:30:00,True,152,Celta Vigo,w,157,Osasuna,0.601898,2,2,177,28,5,0.6003000000000001,w,0.601898,1.41709,1,1,183,23,2,0.673809
La_liga 2020_151_152_2021-04-30 19:00:00,2021-04-30 19:00:00,True,152,Celta Vigo,w,151,Levante,2.3642,2,2,157,17,9,2.4135000000000004,w,2.3642,0.976661,0,0,215,21,2,0.976661
La_liga 2020_152_154_2021-05-09 16:30:00,2021-05-09 16:30:00,False,152,Celta Vigo,w,154,Villarreal,1.98001,4,4,281,26,2,0.9737,w,0.493451,2.50872,2,2,190,18,13,1.76544
La_liga 2020_142_152_2021-05-12 18:00:00,2021-05-12 18:00:00,True,152,Celta Vigo,w,142,Getafe,0.209945,1,1,110,25,2,0.4835,w,0.209945,1.14081,0,0,308,37,6,1.14081
La_liga 2020_148_152_2021-05-16 16:30:00,2021-05-16 16:30:00,False,152,Celta Vigo,w,148,Barcelona,0.631271,2,2,370,30,4,0.3548,w,0.631271,2.10966,1,1,270,18,20,2.10966
La_liga 2020_152_153_2021-05-22 16:00:00,2021-05-22 16:00:00,True,152,Celta Vigo,l,153,Real Betis,1.21829,2,2,127,21,9,0.5847,l,0.475141,2.06863,3,3,263,24,7,1.32535
