match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2020_154_232_2020-09-13 16:30:00,2020-09-13 16:30:00,False,232,SD Huesca,d,154,Villarreal,0.556003,1,1,278,21,3,0.34950000000000003,d,0.556003,2.01913,1,1,163,29,11,1.27586
La_liga 2020_232_261_2020-09-20 14:00:00,2020-09-20 14:00:00,True,232,SD Huesca,l,261,Cadiz,0.223846,0,0,103,28,0,0.1765,l,0.223846,1.50522,2,2,408,34,1,1.50522
La_liga 2020_146_232_2020-09-26 14:00:00,2020-09-26 14:00:00,False,232,SD Huesca,d,146,Valencia,1.10618,1,1,198,41,3,2.0675,d,1.10618,0.306092,1,1,221,19,3,0.306092
La_liga 2020_143_232_2020-09-30 17:00:00,2020-09-30 17:00:00,True,232,SD Huesca,d,143,Atletico Madrid,0.631932,0,0,324,21,3,0.48960000000000004,d,0.631932,1.79241,0,0,196,22,11,1.79241
La_liga 2020_207_232_2020-10-03 16:30:00,2020-10-03 16:30:00,False,232,SD Huesca,d,207,Elche,1.70374,0,0,355,46,12,2.5993000000000004,d,1.70374,0.188885,0,0,239,23,0,0.188885
La_liga 2020_231_232_2020-10-18 16:30:00,2020-10-18 16:30:00,True,232,SD Huesca,d,231,Real Valladolid,1.25439,2,2,109,11,2,1.6073,d,1.25439,0.907963,2,2,323,32,0,0.164685
La_liga 2020_140_232_2020-10-25 20:00:00,2020-10-25 20:00:00,False,232,SD Huesca,l,140,Real Sociedad,0.591473,1,1,241,16,2,0.42010000000000003,l,0.591473,1.79773,4,4,248,28,16,1.05446
La_liga 2020_150_232_2020-10-31 13:00:00,2020-10-31 13:00:00,False,232,SD Huesca,l,150,Real Madrid,0.79915,1,1,370,18,0,0.41859999999999997,l,0.79915,2.23898,4,4,307,33,9,2.23898
La_liga 2020_156_232_2020-11-07 13:00:00,2020-11-07 13:00:00,True,232,SD Huesca,d,156,Eibar,2.23211,1,1,158,23,2,2.4539000000000004,d,2.23211,0.839508,1,1,299,43,1,0.839508
La_liga 2020_157_232_2020-11-20 20:00:00,2020-11-20 20:00:00,False,232,SD Huesca,d,157,Osasuna,0.807899,1,1,238,22,1,1.3013,d,0.807899,0.878778,1,1,221,25,7,0.878778
La_liga 2020_138_232_2020-11-28 17:30:00,2020-11-28 17:30:00,True,232,SD Huesca,l,138,Sevilla,0.167609,0,0,336,17,2,0.20450000000000002,l,0.167609,1.69981,1,1,154,22,11,1.69981
La_liga 2020_155_232_2020-12-06 13:00:00,2020-12-06 13:00:00,False,232,SD Huesca,d,155,Granada,1.68663,3,3,236,26,3,1.2743,d,1.68663,1.82994,3,3,251,34,3,1.82994
La_liga 2020_158_232_2020-12-12 17:30:00,2020-12-12 17:30:00,True,232,SD Huesca,w,158,Alaves,0.380766,1,1,134,26,1,1.4329,w,0.380766,0.171439,0,0,347,29,2,0.171439
La_liga 2020_147_232_2020-12-18 20:00:00,2020-12-18 20:00:00,False,232,SD Huesca,l,147,Athletic Club,0.182818,0,0,295,21,4,0.21989999999999998,l,0.182818,1.51945,2,2,211,23,6,0.776175
La_liga 2020_151_232_2020-12-22 18:45:00,2020-12-22 18:45:00,True,232,SD Huesca,d,151,Levante,1.36969,1,1,209,24,3,2.108,d,0.626417,0.581363,1,1,231,30,2,0.581363
La_liga 2020_152_232_2020-12-30 18:15:00,2020-12-30 18:15:00,False,232,SD Huesca,l,152,Celta Vigo,1.0513,1,1,387,19,2,0.3748,l,1.0513,2.85208,2,2,239,35,12,2.85208
La_liga 2020_148_232_2021-01-03 20:00:00,2021-01-03 20:00:00,True,232,SD Huesca,l,148,Barcelona,0.259005,0,0,343,16,2,0.048799999999999996,l,0.259005,3.21201,1,1,200,33,17,3.21201
La_liga 2020_153_232_2021-01-11 20:00:00,2021-01-11 20:00:00,True,232,SD Huesca,l,153,Real Betis,1.15245,0,0,212,27,3,0.3255,l,1.15245,2.98435,2,2,260,29,9,2.98435
La_liga 2020_142_232_2021-01-20 18:00:00,2021-01-20 18:00:00,False,232,SD Huesca,l,142,Getafe,0.712964,0,0,201,26,5,1.3615,l,0.712964,0.656624,1,1,234,28,2,0.656624
La_liga 2020_154_232_2021-01-23 13:00:00,2021-01-23 13:00:00,True,232,SD Huesca,d,154,Villarreal,0.177253,0,0,387,26,0,0.8393,d,0.177253,0.484831,0,0,303,31,3,0.484831
La_liga 2020_231_232_2021-01-29 20:00:00,2021-01-29 20:00:00,False,232,SD Huesca,w,231,Real Valladolid,1.18337,3,3,281,12,2,0.9447000000000001,w,1.18337,1.74924,1,1,217,33,4,1.74924
La_liga 2020_150_232_2021-02-06 15:15:00,2021-02-06 15:15:00,True,232,SD Huesca,l,150,Real Madrid,0.920971,1,1,310,21,1,0.1041,l,0.920971,3.53921,2,2,182,29,9,3.53921
La_liga 2020_138_232_2021-02-13 15:15:00,2021-02-13 15:15:00,False,232,SD Huesca,l,138,Sevilla,1.39522,0,0,305,23,1,1.4559000000000002,l,1.39522,1.329,1,1,135,19,11,1.329
La_liga 2020_155_232_2021-02-21 17:30:00,2021-02-21 17:30:00,True,232,SD Huesca,w,155,Granada,2.47156,3,3,138,13,1,2.5901,w,1.72828,0.854609,2,2,267,23,1,0.854609
La_liga 2020_156_232_2021-02-27 13:00:00,2021-02-27 13:00:00,False,232,SD Huesca,d,156,Eibar,0.480747,1,1,246,11,2,0.38180000000000003,d,0.480747,1.79661,1,1,216,33,5,1.79661
La_liga 2020_152_232_2021-03-07 13:00:00,2021-03-07 13:00:00,True,232,SD Huesca,l,152,Celta Vigo,3.13618,3,3,252,19,3,2.8115,l,3.13618,0.655624,4,4,224,38,3,0.655624
La_liga 2020_148_232_2021-03-15 20:00:00,2021-03-15 20:00:00,False,232,SD Huesca,l,148,Barcelona,2.19819,1,1,416,20,1,1.9364000000000001,l,1.45491,1.52419,4,4,232,25,10,1.52419
La_liga 2020_157_232_2021-03-20 17:30:00,2021-03-20 17:30:00,True,232,SD Huesca,d,157,Osasuna,0.89442,0,0,154,19,1,1.4228,d,0.89442,0.734886,0,0,230,29,4,0.734886
La_liga 2020_151_232_2021-04-02 19:00:00,2021-04-02 19:00:00,False,232,SD Huesca,w,151,Levante,0.857773,2,2,302,11,2,1.7333999999999998,w,0.857773,0.462819,0,0,188,44,8,0.462819
La_liga 2020_207_232_2021-04-09 19:00:00,2021-04-09 19:00:00,True,232,SD Huesca,w,207,Elche,1.09388,3,3,340,30,4,1.5133,w,0.350603,0.880685,1,1,140,23,2,0.880685
La_liga 2020_158_232_2021-04-18 14:15:00,2021-04-18 14:15:00,False,232,SD Huesca,l,158,Alaves,0.747867,0,0,226,17,3,1.8424,l,0.747867,0.316991,1,1,235,21,2,0.316991
La_liga 2020_143_232_2021-04-22 17:00:00,2021-04-22 17:00:00,False,232,SD Huesca,l,143,Atletico Madrid,1.40665,0,0,375,24,5,0.7058,l,1.40665,2.32831,2,2,378,20,8,2.32831
La_liga 2020_142_232_2021-04-25 12:00:00,2021-04-25 12:00:00,True,232,SD Huesca,l,142,Getafe,0.472579,0,0,81,24,1,0.9982,l,0.472579,0.711933,2,2,304,37,4,0.711933
La_liga 2020_140_232_2021-05-01 16:30:00,2021-05-01 16:30:00,True,232,SD Huesca,w,140,Real Sociedad,0.446278,1,1,221,16,2,1.4022999999999999,w,0.446278,0.298366,0,0,196,24,6,0.298366
La_liga 2020_232_261_2021-05-08 16:30:00,2021-05-08 16:30:00,False,232,SD Huesca,l,261,Cadiz,0.43525,1,1,118,26,4,0.7331,l,0.43525,0.990604,2,2,299,19,3,0.990604
La_liga 2020_147_232_2021-05-12 18:00:00,2021-05-12 18:00:00,True,232,SD Huesca,w,147,Athletic Club,1.56368,1,1,226,22,6,2.3385999999999996,w,1.56368,0.401551,0,0,230,31,0,0.401551
La_liga 2020_153_232_2021-05-16 16:30:00,2021-05-16 16:30:00,False,232,SD Huesca,l,153,Real Betis,0.249221,0,0,171,21,1,0.3992,l,0.249221,1.17298,1,1,227,28,8,0.4297
La_liga 2020_146_232_2021-05-22 16:00:00,2021-05-22 16:00:00,True,232,SD Huesca,d,146,Valencia,0.974788,0,0,198,33,5,1.8408,d,0.974788,0.421299,0,0,204,16,1,0.421299
