match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2021_150_158_2021-08-14 20:00:00,2021-08-14 20:00:00,False,150,Real Madrid,w,158,Alaves,2.15551,4,4,250,20,17,1.9244,w,2.15551,1.41097,1,1,331,22,2,0.667695
La_liga 2021_150_151_2021-08-22 20:00:00,2021-08-22 20:00:00,False,150,Real Madrid,d,151,Levante,2.14125,3,3,192,23,12,1.7348000000000001,d,2.14125,1.63837,3,3,310,25,2,1.63837
La_liga 2021_150_153_2021-08-28 20:00:00,2021-08-28 20:00:00,False,150,Real Madrid,w,153,Real Betis,0.94097,1,1,302,31,5,1.8386,w,0.94097,0.420687,0,0,237,34,4,0.420687
La_liga 2021_150_152_2021-09-12 19:00:00,2021-09-12 19:00:00,True,150,Real Madrid,w,152,Celta Vigo,3.03734,5,5,234,20,12,2.1004,w,2.29419,1.99062,2,2,363,20,13,1.99062
La_liga 2021_146_150_2021-09-19 19:00:00,2021-09-19 19:00:00,False,150,Real Madrid,w,146,Valencia,1.36343,2,2,127,10,17,1.9914999999999998,w,1.36343,0.647432,1,1,307,27,4,0.647432
La_liga 2021_150_239_2021-09-22 20:00:00,2021-09-22 20:00:00,True,150,Real Madrid,w,239,Mallorca,2.3746,6,6,195,35,19,2.1647999999999996,w,2.3746,1.19165,1,1,331,17,5,1.19165
La_liga 2021_150_154_2021-09-25 19:00:00,2021-09-25 19:00:00,True,150,Real Madrid,d,154,Villarreal,1.53636,0,0,348,35,9,2.1452,d,1.53636,0.666401,0,0,222,19,6,0.666401
La_liga 2021_141_150_2021-10-03 14:15:00,2021-10-03 14:15:00,False,150,Real Madrid,l,141,Espanyol,1.62384,1,1,166,22,7,1.5985,l,1.62384,1.29119,2,2,300,15,8,1.29119
La_liga 2021_148_150_2021-10-24 14:15:00,2021-10-24 14:15:00,False,150,Real Madrid,w,148,Barcelona,1.5463,2,2,200,10,9,1.3288,w,1.5463,1.58789,1,1,286,41,12,1.58789
La_liga 2021_150_157_2021-10-27 19:30:00,2021-10-27 19:30:00,True,150,Real Madrid,d,157,Osasuna,0.655438,0,0,117,15,16,1.2168999999999999,d,0.655438,0.71046,0,0,353,19,1,0.71046
La_liga 2021_150_207_2021-10-30 12:00:00,2021-10-30 12:00:00,False,150,Real Madrid,w,207,Elche,1.60735,2,2,256,22,10,1.7297,w,1.60735,1.15068,1,1,352,20,6,1.15068
