match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2021_140_148_2021-08-15 18:00:00,2021-08-15 18:00:00,False,140,Real Sociedad,l,148,Barcelona,0.902312,2,2,324,27,3,0.1226,l,0.902312,3.46484,4,4,192,28,7,3.46484
La_liga 2021_140_145_2021-08-22 15:00:00,2021-08-22 15:00:00,True,140,Real Sociedad,w,145,Rayo Vallecano,2.26913,1,1,138,27,12,2.4854,w,1.52585,0.76322,0,0,269,27,2,0.76322
La_liga 2021_140_151_2021-08-28 17:30:00,2021-08-28 17:30:00,True,140,Real Sociedad,w,151,Levante,0.855875,1,1,278,28,5,1.6335000000000002,w,0.855875,0.521015,0,0,277,32,2,0.521015
La_liga 2021_140_261_2021-09-12 16:30:00,2021-09-12 16:30:00,False,140,Real Sociedad,w,261,Cadiz,2.36611,2,2,73,24,16,2.617,w,1.62283,0.607763,0,0,392,15,3,0.607763
La_liga 2021_138_140_2021-09-19 14:15:00,2021-09-19 14:15:00,True,140,Real Sociedad,d,138,Sevilla,1.17723,0,0,233,26,7,1.7649000000000001,d,0.430526,0.7654,0,0,191,12,1,0.7654
La_liga 2021_140_155_2021-09-23 17:30:00,2021-09-23 17:30:00,False,140,Real Sociedad,w,155,Granada,1.58153,3,3,150,17,7,1.5859999999999999,w,1.58153,1.25019,2,2,262,19,5,0.50691
La_liga 2021_140_207_2021-09-26 16:30:00,2021-09-26 16:30:00,True,140,Real Sociedad,w,207,Elche,2.11835,1,1,155,21,4,2.6048,w,2.11835,0.573483,0,0,308,18,1,0.573483
La_liga 2021_140_142_2021-10-03 16:30:00,2021-10-03 16:30:00,False,140,Real Sociedad,d,142,Getafe,0.799948,1,1,115,23,3,1.5897999999999999,d,0.799948,0.523662,1,1,225,30,1,0.523662
La_liga 2021_140_239_2021-10-16 19:00:00,2021-10-16 19:00:00,True,140,Real Sociedad,w,239,Mallorca,0.404506,1,1,171,23,4,1.307,w,0.404506,0.35977,0,0,224,35,6,0.35977
La_liga 2021_140_143_2021-10-24 19:00:00,2021-10-24 19:00:00,False,140,Real Sociedad,d,143,Atletico Madrid,0.834092,2,2,247,15,8,0.6062,d,0.834092,1.75286,2,2,248,25,9,1.00958
La_liga 2021_140_152_2021-10-28 17:00:00,2021-10-28 17:00:00,False,140,Real Sociedad,w,152,Celta Vigo,1.42714,2,2,267,21,8,1.7489,w,1.42714,0.995591,0,0,208,31,3,0.995591
La_liga 2021_140_147_2021-10-31 20:00:00,2021-10-31 20:00:00,True,140,Real Sociedad,d,147,Athletic Club,1.05807,1,1,192,27,5,1.4061,d,0.314794,1.01149,1,1,271,21,3,1.01149
La_liga 2021_140_157_2021-11-07 17:30:00,2021-11-07 17:30:00,False,140,Real Sociedad,w,157,Osasuna,1.43263,2,2,169,21,9,2.2745,w,0.689356,0.495749,0,0,301,26,3,0.495749
La_liga 2021_140_146_2021-11-21 20:00:00,2021-11-21 20:00:00,True,140,Real Sociedad,d,146,Valencia,0.405372,0,0,117,18,8,1.0735,d,0.405372,0.584859,0,0,296,25,1,0.584859
