match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2022_150_208_2022-08-14 20:00:00,2022-08-14 20:00:00,True,208,Almeria,l,150,Real Madrid,0.80073,1,1,322,10,2,0.2272,l,0.80073,3.11412,2,2,199,10,17,3.11412
La_liga 2022_207_208_2022-08-22 18:00:00,2022-08-22 18:00:00,False,208,Almeria,d,207,Elche,0.969747,1,1,205,33,6,1.4058,d,0.969747,0.899007,1,1,221,19,9,0.899007
La_liga 2022_138_208_2022-08-27 20:00:00,2022-08-27 20:00:00,True,208,Almeria,w,138,Sevilla,2.15407,2,2,301,22,2,1.9479000000000002,w,2.15407,1.37889,1,1,134,12,9,1.37889
La_liga 2022_208_231_2022-09-05 19:00:00,2022-09-05 19:00:00,False,208,Almeria,l,231,Real Valladolid,0.505353,0,0,186,27,3,0.3217,l,0.505353,2.12493,1,1,174,29,5,2.12493
La_liga 2022_157_208_2022-09-12 19:00:00,2022-09-12 19:00:00,True,208,Almeria,l,157,Osasuna,0.166505,0,0,153,12,5,0.13,l,0.166505,2.14,1,1,352,14,6,2.14
La_liga 2022_208_239_2022-09-17 12:00:00,2022-09-17 12:00:00,False,208,Almeria,l,239,Mallorca,0.297582,0,0,248,25,2,0.6126,l,0.297582,0.968715,1,1,306,21,4,0.968715
La_liga 2022_147_208_2022-09-30 19:00:00,2022-09-30 19:00:00,False,208,Almeria,l,147,Athletic Club,0.42606,0,0,232,10,3,0.1314,l,0.42606,2.55531,4,4,196,27,9,1.81204
La_liga 2022_145_208_2022-10-08 12:00:00,2022-10-08 12:00:00,True,208,Almeria,w,145,Rayo Vallecano,1.05684,3,3,247,27,5,1.5081,w,1.05684,0.893142,1,1,119,25,9,0.893142
La_liga 2022_153_208_2022-10-16 19:00:00,2022-10-16 19:00:00,False,208,Almeria,l,153,Real Betis,1.11551,1,1,280,13,6,0.2838,l,1.11551,3.19417,3,3,272,16,15,3.19417
La_liga 2022_208_223_2022-10-20 17:00:00,2022-10-20 17:00:00,True,208,Almeria,w,223,Girona,2.08595,3,3,284,14,2,0.9474,w,2.08595,2.65444,2,2,119,22,4,1.16788
La_liga 2022_154_208_2022-10-23 16:30:00,2022-10-23 16:30:00,False,208,Almeria,l,154,Villarreal,1.24152,1,1,243,14,8,1.6961,l,1.24152,0.852495,2,2,237,19,8,0.852495
