match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2022_140_261_2022-08-14 15:30:00,2022-08-14 15:30:00,True,261,Cadiz,l,140,Real Sociedad,0.294358,0,0,230,19,1,0.10799999999999998,l,0.294358,2.64367,1,1,157,37,15,2.64367
La_liga 2022_157_261_2022-08-20 15:30:00,2022-08-20 15:30:00,False,261,Cadiz,l,157,Osasuna,1.01741,0,0,201,11,1,0.231,l,1.01741,2.92362,2,2,185,29,6,1.43707
La_liga 2022_147_261_2022-08-29 18:00:00,2022-08-29 18:00:00,True,261,Cadiz,l,147,Athletic Club,0.239303,0,0,308,20,2,0.0376,l,0.239303,3.18677,4,4,190,15,8,2.44349
La_liga 2022_152_261_2022-09-02 19:00:00,2022-09-02 19:00:00,False,261,Cadiz,l,152,Celta Vigo,0.234828,0,0,326,39,2,0.28900000000000003,l,0.234828,1.50986,3,3,191,15,5,1.50986
La_liga 2022_148_261_2022-09-10 16:30:00,2022-09-10 16:30:00,True,261,Cadiz,l,148,Barcelona,0.24818,0,0,297,25,1,0.0786,l,0.24818,2.66856,4,4,99,17,9,2.66856
La_liga 2022_231_261_2022-09-16 19:00:00,2022-09-16 19:00:00,False,261,Cadiz,w,231,Real Valladolid,0.523314,1,1,251,22,6,0.3973,w,0.523314,1.98829,0,0,164,25,3,1.98829
La_liga 2022_154_261_2022-10-01 12:00:00,2022-10-01 12:00:00,True,261,Cadiz,d,154,Villarreal,1.06071,0,0,261,30,0,1.0551,d,1.06071,1.43089,0,0,170,13,5,1.43089
La_liga 2022_141_261_2022-10-09 14:15:00,2022-10-09 14:15:00,True,261,Cadiz,d,141,Espanyol,1.33811,2,2,189,17,5,1.26,d,1.33811,1.47057,2,2,177,24,3,1.47057
La_liga 2022_223_261_2022-10-15 12:00:00,2022-10-15 12:00:00,False,261,Cadiz,d,223,Girona,1.3467,1,1,227,9,4,0.6757,d,1.3467,2.36044,1,1,135,25,5,1.61717
La_liga 2022_153_261_2022-10-19 17:00:00,2022-10-19 17:00:00,True,261,Cadiz,d,153,Real Betis,0.74688,0,0,278,18,8,0.9136,d,0.74688,1.22222,0,0,172,14,4,1.22222
La_liga 2022_145_261_2022-10-22 12:00:00,2022-10-22 12:00:00,False,261,Cadiz,l,145,Rayo Vallecano,0.642193,1,1,220,8,1,0.039099999999999996,l,0.642193,3.88516,5,5,154,26,14,3.14188
La_liga 2022_143_261_2022-10-29 14:15:00,2022-10-29 14:15:00,True,261,Cadiz,w,143,Atletico Madrid,1.58908,3,3,290,16,5,1.1926,w,1.58908,1.79745,2,2,192,22,8,1.79745
La_liga 2022_142_261_2022-11-05 14:00:00,2022-11-05 14:00:00,False,261,Cadiz,d,142,Getafe,1.24542,0,0,229,16,2,2.0082,d,1.24542,0.517067,0,0,215,23,3,0.517067
La_liga 2022_150_261_2022-11-10 20:30:00,2022-11-10 20:30:00,False,261,Cadiz,l,150,Real Madrid,1.11674,1,1,359,18,4,0.8783000000000001,l,1.11674,1.73107,2,2,182,33,7,1.73107
La_liga 2022_208_261_2022-12-30 18:15:00,2022-12-30 18:15:00,True,261,Cadiz,d,208,Almeria,1.57833,1,1,276,19,3,0.9583999999999999,d,1.57833,2.22992,1,1,257,23,8,2.22992
La_liga 2022_146_261_2023-01-06 20:00:00,2023-01-06 20:00:00,False,261,Cadiz,w,146,Valencia,0.434224,1,1,300,26,3,1.2027999999999999,w,0.434224,0.495475,0,0,94,29,2,0.495475
La_liga 2022_207_261_2023-01-16 20:00:00,2023-01-16 20:00:00,True,261,Cadiz,d,207,Elche,1.40204,1,1,217,17,0,2.0246,d,1.40204,0.654686,1,1,200,25,6,0.654686
La_liga 2022_138_261_2023-01-21 20:00:00,2023-01-21 20:00:00,False,261,Cadiz,l,138,Sevilla,0.0765073,0,0,345,9,0,0.1416,l,0.0765073,1.66028,1,1,114,29,12,0.916998
La_liga 2022_239_261_2023-01-28 13:00:00,2023-01-28 13:00:00,True,261,Cadiz,w,239,Mallorca,1.8313,2,2,279,25,6,2.6533,w,1.08802,0.306812,0,0,179,15,2,0.306812
La_liga 2022_147_261_2023-02-03 20:00:00,2023-02-03 20:00:00,False,261,Cadiz,l,147,Athletic Club,1.55348,1,1,181,22,7,0.8013999999999999,l,1.55348,2.30209,4,4,305,18,3,2.30209
La_liga 2022_223_261_2023-02-10 20:00:00,2023-02-10 20:00:00,True,261,Cadiz,w,223,Girona,0.717862,2,2,290,37,4,1.7993000000000001,w,0.717862,0.213596,0,0,139,21,0,0.213596
La_liga 2022_148_261_2023-02-19 20:00:00,2023-02-19 20:00:00,False,261,Cadiz,l,148,Barcelona,1.404,0,0,366,21,1,0.7783,l,1.404,2.28935,2,2,183,23,20,2.28935
La_liga 2022_145_261_2023-02-25 15:15:00,2023-02-25 15:15:00,True,261,Cadiz,w,145,Rayo Vallecano,0.816453,1,1,208,31,0,1.7550999999999999,w,0.816453,0.407208,0,0,109,23,2,0.407208
La_liga 2022_140_261_2023-03-03 20:00:00,2023-03-03 20:00:00,False,261,Cadiz,d,140,Real Sociedad,0.847252,0,0,279,27,4,1.169,d,0.847252,1.07575,0,0,83,30,4,1.07575
La_liga 2022_142_261_2023-03-10 20:00:00,2023-03-10 20:00:00,True,261,Cadiz,d,142,Getafe,1.73207,2,2,134,15,5,0.6193,d,0.988797,2.6986,2,2,138,19,4,1.21205
La_liga 2022_208_261_2023-03-18 13:00:00,2023-03-18 13:00:00,False,261,Cadiz,d,208,Almeria,1.13127,1,1,264,11,6,0.43460000000000004,d,1.13127,2.69365,1,1,104,20,6,1.95038
La_liga 2022_138_261_2023-04-01 16:30:00,2023-04-01 16:30:00,True,261,Cadiz,l,138,Sevilla,0.691241,0,0,143,18,3,0.5858,l,0.691241,1.72869,2,2,134,24,3,1.72869
La_liga 2022_153_261_2023-04-09 14:15:00,2023-04-09 14:15:00,False,261,Cadiz,w,153,Real Betis,2.85597,2,2,170,32,6,2.3062,w,2.11269,1.58835,0,0,218,12,4,1.58835
La_liga 2022_150_261_2023-04-15 19:00:00,2023-04-15 19:00:00,True,261,Cadiz,l,150,Real Madrid,0.583718,0,0,357,16,5,0.038599999999999995,l,0.583718,4.49059,2,2,151,18,28,4.49059
La_liga 2022_141_261_2023-04-21 19:00:00,2023-04-21 19:00:00,False,261,Cadiz,d,141,Espanyol,1.12699,0,0,181,24,3,1.0529,d,1.12699,1.52285,0,0,148,13,5,1.52285
La_liga 2022_157_261_2023-04-25 17:30:00,2023-04-25 17:30:00,True,261,Cadiz,l,157,Osasuna,1.4054,0,0,213,15,4,1.7751,l,1.4054,0.865548,1,1,246,19,1,0.865548
La_liga 2022_146_261_2023-04-30 12:00:00,2023-04-30 12:00:00,True,261,Cadiz,w,146,Valencia,2.16593,2,2,158,26,2,2.36,w,2.16593,1.05204,1,1,123,25,7,1.05204
La_liga 2022_143_261_2023-05-03 20:00:00,2023-05-03 20:00:00,False,261,Cadiz,l,143,Atletico Madrid,0.0260457,1,1,288,13,1,0.0036,l,0.0260457,4.25954,5,5,254,14,23,3.51627
La_liga 2022_239_261_2023-05-12 19:00:00,2023-05-12 19:00:00,False,261,Cadiz,l,239,Mallorca,0.611231,0,0,142,15,2,0.5294000000000001,l,0.611231,1.6025,1,1,216,21,4,1.6025
La_liga 2022_231_261_2023-05-19 19:00:00,2023-05-19 19:00:00,True,261,Cadiz,w,231,Real Valladolid,2.1319,2,2,156,21,3,2.8248,w,0.645349,0.20683,0,0,112,29,5,0.20683
La_liga 2022_154_261_2023-05-24 17:30:00,2023-05-24 17:30:00,False,261,Cadiz,l,154,Villarreal,2.09634,0,0,295,20,9,0.8341000000000001,l,2.09634,2.9741,2,2,152,31,12,2.9741
La_liga 2022_152_261_2023-05-28 17:00:00,2023-05-28 17:00:00,True,261,Cadiz,w,152,Celta Vigo,1.59827,1,1,198,31,5,2.2103,w,1.59827,0.599427,0,0,200,17,5,0.599427
La_liga 2022_207_261_2023-06-04 18:00:00,2023-06-04 18:00:00,False,261,Cadiz,d,207,Elche,2.22255,1,1,278,23,4,1.8860999999999999,d,2.22255,1.534,1,1,98,17,6,1.534
