match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
La_liga 2022_153_207_2022-08-15 19:30:00,2022-08-15 19:30:00,True,153,Real Betis,w,207,Elche,3.99664,3,3,122,16,7,2.9887,w,3.99664,0.29379,0,0,397,27,1,0.29379
La_liga 2022_153_239_2022-08-20 17:30:00,2022-08-20 17:30:00,False,153,Real Betis,w,239,Mallorca,2.21648,2,2,198,24,2,1.9830999999999999,w,0.730056,1.46761,1,1,227,25,2,1.46761
La_liga 2022_153_157_2022-08-26 20:00:00,2022-08-26 20:00:00,True,153,Real Betis,w,157,Osasuna,0.507146,1,1,168,17,3,0.9059999999999999,w,0.507146,0.910349,0,0,256,33,5,0.910349
La_liga 2022_150_153_2022-09-03 14:15:00,2022-09-03 14:15:00,False,153,Real Betis,l,150,Real Madrid,0.333406,1,1,254,18,4,0.0582,l,0.333406,3.20593,2,2,308,30,17,3.20593
La_liga 2022_153_154_2022-09-11 19:00:00,2022-09-11 19:00:00,True,153,Real Betis,w,154,Villarreal,1.61505,1,1,198,23,5,0.8246,w,1.61505,2.44235,0,0,194,25,12,2.44235
La_liga 2022_153_223_2022-09-18 16:30:00,2022-09-18 16:30:00,True,153,Real Betis,w,223,Girona,1.49153,2,2,338,24,2,1.4876,w,0.74825,1.34699,1,1,273,21,5,1.34699
La_liga 2022_152_153_2022-10-02 14:15:00,2022-10-02 14:15:00,False,153,Real Betis,l,152,Celta Vigo,1.10607,0,0,200,15,2,1.5229000000000001,l,1.10607,0.892987,1,1,221,34,1,0.892987
La_liga 2022_153_231_2022-10-09 12:00:00,2022-10-09 12:00:00,False,153,Real Betis,d,231,Real Valladolid,0.545154,0,0,285,23,6,1.1838,d,0.545154,0.662444,0,0,166,17,7,0.662444
La_liga 2022_153_208_2022-10-16 19:00:00,2022-10-16 19:00:00,True,153,Real Betis,w,208,Almeria,3.19417,3,3,272,16,15,2.6016,w,3.19417,1.11551,1,1,280,13,6,1.11551
La_liga 2022_153_261_2022-10-19 17:00:00,2022-10-19 17:00:00,False,153,Real Betis,d,261,Cadiz,1.22222,0,0,172,14,4,1.7832999999999999,d,1.22222,0.74688,0,0,278,18,8,0.74688
La_liga 2022_143_153_2022-10-23 14:15:00,2022-10-23 14:15:00,True,153,Real Betis,l,143,Atletico Madrid,1.33076,1,1,283,23,6,1.9793,l,1.33076,0.585496,2,2,333,29,7,0.585496
La_liga 2022_140_153_2022-10-30 20:00:00,2022-10-30 20:00:00,False,153,Real Betis,w,140,Real Sociedad,1.34514,2,2,242,17,4,1.4241000000000001,w,1.34514,1.28165,0,0,155,29,7,1.28165
La_liga 2022_138_153_2022-11-06 20:00:00,2022-11-06 20:00:00,True,153,Real Betis,d,138,Sevilla,1.13067,1,1,261,8,7,1.0962,d,1.13067,1.49591,1,1,165,22,11,1.49591
La_liga 2022_146_153_2022-11-10 19:00:00,2022-11-10 19:00:00,False,153,Real Betis,l,146,Valencia,0.307626,0,0,316,13,2,0.1641,l,0.307626,2.2469,3,3,187,20,3,1.50362
La_liga 2022_147_153_2022-12-29 18:15:00,2022-12-29 18:15:00,True,153,Real Betis,d,147,Athletic Club,0.541791,0,0,188,17,5,1.4607,d,0.541791,0.358148,0,0,243,36,5,0.358148
La_liga 2022_145_153_2023-01-08 15:15:00,2023-01-08 15:15:00,False,153,Real Betis,w,145,Rayo Vallecano,0.735098,2,2,244,21,3,0.7812999999999999,w,0.735098,1.38976,1,1,160,22,3,1.38976
La_liga 2022_141_153_2023-01-21 15:15:00,2023-01-21 15:15:00,False,153,Real Betis,l,141,Espanyol,0.835514,0,0,129,14,4,0.3994,l,0.835514,2.16171,1,1,337,23,3,2.16171
La_liga 2022_142_153_2023-01-28 20:00:00,2023-01-28 20:00:00,False,153,Real Betis,w,142,Getafe,2.00036,1,1,174,25,7,2.7607,w,1.25709,0.206383,0,0,324,34,4,0.206383
La_liga 2022_148_153_2023-02-01 20:00:00,2023-02-01 20:00:00,True,153,Real Betis,l,148,Barcelona,0.760581,1,1,373,24,7,0.24230000000000002,l,0.760581,2.38335,2,2,182,29,16,2.38335
La_liga 2022_152_153_2023-02-04 20:00:00,2023-02-04 20:00:00,True,153,Real Betis,l,152,Celta Vigo,3.54117,3,3,188,25,11,2.1738,l,2.7979,2.30434,4,4,260,20,3,2.30434
La_liga 2022_153_208_2023-02-11 15:15:00,2023-02-11 15:15:00,False,153,Real Betis,w,208,Almeria,3.30673,3,3,222,19,9,2.2364999999999995,w,3.30673,2.00937,2,2,228,20,7,2.00937
La_liga 2022_153_231_2023-02-18 15:15:00,2023-02-18 15:15:00,True,153,Real Betis,w,231,Real Valladolid,2.21822,2,2,233,34,8,2.2716000000000003,w,1.47494,0.97905,1,1,188,31,3,0.97905
La_liga 2022_153_207_2023-02-24 20:00:00,2023-02-24 20:00:00,False,153,Real Betis,w,207,Elche,4.05176,3,3,123,33,9,2.9386,w,1.82192,0.883935,2,2,277,12,0,0.140657
