match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG
Ligue_1 2015_160_161_2015-08-07 22:30:00,2015-08-07 22:30:00,True,160,Lille,l,161,Paris Saint Germain,0.914879,0,0,280,38,2,0.9286000000000001,l,0.914879,1.33457,1,1,238,20,3,1.33457
Ligue_1 2015_160_171_2015-08-14 22:30:00,2015-08-14 22:30:00,False,160,Lille,d,171,Monaco,1.12948,0,0,342,25,5,1.2149,d,1.12948,1.26252,0,0,125,24,2,1.26252
Ligue_1 2015_160_176_2015-08-23 16:00:00,2015-08-23 16:00:00,True,160,Lille,d,176,Bordeaux,1.76204,0,0,163,29,7,2.2765,d,1.76204,0.695256,0,0,217,34,5,0.695256
Ligue_1 2015_160_173_2015-08-29 22:00:00,2015-08-29 22:00:00,True,160,Lille,w,173,GFC Ajaccio,0.756427,1,1,248,20,0,1.6738,w,0.756427,0.397943,0,0,239,27,4,0.397943
Ligue_1 2015_160_178_2015-09-12 19:00:00,2015-09-12 19:00:00,False,160,Lille,d,178,Lyon,0.472192,0,0,271,32,3,0.9178999999999999,d,0.472192,0.850666,0,0,119,38,7,0.850666
Ligue_1 2015_160_163_2015-09-18 22:30:00,2015-09-18 22:30:00,False,160,Lille,d,163,Rennes,1.03901,1,1,177,37,4,0.4539,d,1.03901,2.13208,1,1,169,29,6,1.37198
Ligue_1 2015_160_177_2015-09-25 22:30:00,2015-09-25 22:30:00,False,160,Lille,l,177,Reims,0.888466,0,0,152,23,4,0.5119,l,0.888466,1.94384,1,1,307,30,1,1.17118
Ligue_1 2015_160_168_2015-09-29 20:30:00,2015-09-29 20:30:00,True,160,Lille,l,168,Nantes,1.158,0,0,123,31,12,0.9324999999999999,l,1.158,1.58846,1,1,264,19,4,1.58846
Ligue_1 2015_160_166_2015-10-02 22:30:00,2015-10-02 22:30:00,True,160,Lille,w,166,Montpellier,1.81242,2,2,206,39,4,1.9252999999999998,w,1.05232,1.10281,0,0,202,20,1,0.342718
Ligue_1 2015_160_169_2015-10-17 22:00:00,2015-10-17 22:00:00,False,160,Lille,d,169,Guingamp,0.690247,1,1,114,31,5,1.6344,d,0.690247,0.386919,1,1,298,15,3,0.386919
Ligue_1 2015_160_164_2015-10-25 20:00:00,2015-10-25 20:00:00,True,160,Lille,l,164,Marseille,0.975881,1,1,173,32,3,1.0534,l,0.975881,1.30852,2,2,185,32,6,1.30852
Ligue_1 2015_160_170_2015-11-01 17:00:00,2015-11-01 17:00:00,False,160,Lille,d,170,Nice,0.376406,0,0,295,42,3,0.6441,d,0.376406,0.924375,0,0,141,34,2,0.924375
Ligue_1 2015_160_162_2015-11-07 23:00:00,2015-11-07 23:00:00,True,160,Lille,d,162,SC Bastia,1.47952,1,1,145,27,3,2.1601,d,1.47952,0.623895,1,1,304,15,1,0.623895
Ligue_1 2015_160_172_2015-11-21 23:00:00,2015-11-21 23:00:00,False,160,Lille,d,172,Troyes,1.36525,1,1,257,35,8,1.5551,d,1.36525,1.0881,1,1,202,25,7,1.0881
Ligue_1 2015_160_167_2015-11-28 23:00:00,2015-11-28 23:00:00,False,160,Lille,l,167,Angers,0.397994,0,0,273,24,4,0.4448,l,0.397994,1.41771,2,2,276,30,5,1.41771
Ligue_1 2015_160_175_2015-12-03 00:00:00,2015-12-03 00:00:00,True,160,Lille,w,175,Saint-Etienne,0.408642,1,1,164,33,7,1.2995,w,0.408642,0.367291,0,0,144,32,1,0.367291
Ligue_1 2015_160_165_2015-12-05 23:00:00,2015-12-05 23:00:00,False,160,Lille,w,165,Caen,1.39295,2,2,155,16,4,1.564,w,1.39295,1.12223,1,1,181,23,7,0.362136
Ligue_1 2015_160_179_2015-12-12 23:00:00,2015-12-12 23:00:00,True,160,Lille,w,179,Lorient,2.15989,3,3,302,31,3,2.6583,w,2.15989,0.418619,0,0,272,13,4,0.418619
Ligue_1 2015_160_174_2015-12-19 23:00:00,2015-12-19 23:00:00,False,160,Lille,d,174,Toulouse,1.53278,1,1,169,31,5,1.6925,d,1.53278,1.09533,1,1,247,30,3,1.09533
Ligue_1 2015_160_170_2016-01-10 20:00:00,2016-01-10 20:00:00,True,160,Lille,d,170,Nice,0.843157,1,1,320,33,5,1.8135,d,0.843157,0.362208,1,1,154,28,4,0.362208
Ligue_1 2015_160_176_2016-01-16 23:00:00,2016-01-16 23:00:00,False,160,Lille,l,176,Bordeaux,0.215194,0,0,324,34,1,0.723,l,0.215194,0.760121,1,1,224,34,6,0.760121
Ligue_1 2015_160_172_2016-01-23 23:00:00,2016-01-23 23:00:00,True,160,Lille,l,172,Troyes,1.8398,1,1,201,27,15,2.2315000000000005,l,1.0797,0.766181,3,3,268,20,4,0.766181
Ligue_1 2015_160_164_2016-01-29 23:30:00,2016-01-29 23:30:00,False,160,Lille,d,164,Marseille,1.50673,1,1,313,36,7,1.1138000000000001,d,1.50673,1.78823,1,1,192,31,2,1.78823
Ligue_1 2015_160_165_2016-02-03 22:00:00,2016-02-03 22:00:00,True,160,Lille,w,165,Caen,0.825199,1,1,138,33,8,1.697,w,0.825199,0.440985,0,0,300,22,3,0.440985
Ligue_1 2015_160_163_2016-02-07 17:00:00,2016-02-07 17:00:00,True,160,Lille,d,163,Rennes,1.67631,1,1,306,36,3,1.8074,d,1.67631,1.11632,1,1,205,17,4,0.356224
Ligue_1 2015_160_161_2016-02-13 20:00:00,2016-02-13 20:00:00,False,160,Lille,d,161,Paris Saint Germain,0.0978456,0,0,467,34,0,0.19210000000000002,d,0.0978456,1.71392,0,0,178,34,1,1.71392
Ligue_1 2015_160_178_2016-02-22 00:00:00,2016-02-22 00:00:00,True,160,Lille,w,178,Lyon,0.746493,1,1,240,26,5,1.4238,w,0.746493,0.633253,0,0,174,38,5,0.633253
Ligue_1 2015_160_166_2016-02-27 20:00:00,2016-02-27 20:00:00,False,160,Lille,l,166,Montpellier,0.356202,0,0,220,28,4,0.2439,l,0.356202,1.92669,3,3,221,35,6,1.92669
Ligue_1 2015_160_177_2016-03-05 23:00:00,2016-03-05 23:00:00,True,160,Lille,w,177,Reims,1.57572,2,2,211,23,7,2.5080999999999998,w,1.57572,0.360193,0,0,184,50,0,0.360193
Ligue_1 2015_160_162_2016-03-12 23:00:00,2016-03-12 23:00:00,False,160,Lille,w,162,SC Bastia,1.08963,2,2,247,32,6,1.3433000000000002,w,1.08963,1.10643,1,1,282,28,3,1.10643
Ligue_1 2015_160_174_2016-03-19 23:00:00,2016-03-19 23:00:00,True,160,Lille,w,174,Toulouse,0.263497,1,1,198,22,0,0.6343000000000001,w,0.263497,0.904971,0,0,247,28,7,0.904971
Ligue_1 2015_160_168_2016-04-03 16:00:00,2016-04-03 16:00:00,False,160,Lille,w,168,Nantes,0.963477,3,3,303,17,5,1.8083,w,0.963477,0.530463,0,0,218,31,2,0.530463
Ligue_1 2015_160_171_2016-04-10 16:00:00,2016-04-10 16:00:00,True,160,Lille,w,171,Monaco,2.61337,4,4,248,25,9,2.6814999999999998,w,2.61337,0.739505,1,1,254,27,1,0.739505
Ligue_1 2015_160_173_2016-04-16 22:00:00,2016-04-16 22:00:00,False,160,Lille,w,173,GFC Ajaccio,1.40357,4,4,191,25,6,1.6455000000000002,w,1.40357,1.06386,2,2,344,37,7,1.06386
Ligue_1 2015_160_167_2016-04-27 20:30:00,2016-04-27 20:30:00,True,160,Lille,d,167,Angers,0.902533,0,0,176,36,9,2.011,d,0.902533,0.239742,0,0,397,21,1,0.239742
Ligue_1 2015_160_179_2016-04-30 21:00:00,2016-04-30 21:00:00,False,160,Lille,w,179,Lorient,1.18283,1,1,355,34,5,1.9912,w,1.18283,0.500598,0,0,293,25,6,0.500598
Ligue_1 2015_160_169_2016-05-07 23:00:00,2016-05-07 23:00:00,True,160,Lille,d,169,Guingamp,1.26201,0,0,161,30,9,2.3664000000000005,d,1.26201,0.0884296,0,0,314,23,7,0.0884296
Ligue_1 2015_160_175_2016-05-14 23:00:00,2016-05-14 23:00:00,False,160,Lille,w,175,Saint-Etienne,1.61764,1,1,242,17,2,2.196,w,0.85755,0.691544,0,0,181,37,13,0.691544
